"lang"
{ 
	"Language" "vietnamese" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"ƯU ĐÃI!"
	"DOTA_Workshop_ItemSubmit_UpdateExisting_Note" "Tái tạo vật phẩm thử nghiệm %1 '%2'"

	"DOTA_Workshop_Items_Loading"		"Đang tải..."
	"DOTA_Workshop_Items_No_Free_Item_Index_Title"		"Không có chỉ số vật phẩm tự do nào!"
	"DOTA_Workshop_Items_No_Free_Item_Index_Label"		"Không có chỉ số vật phẩm tự do nào được chỉ định cho vật phẩm này!"

	"DOTA_Workshop_Items_Duplicate_Item_Title"		"Vật phẩm này đã tồn tại!"
	"DOTA_Workshop_Items_Duplicate_Item_Label"		"Bạn không thể tạo ra một vật phẩm đã tồn tại (vật phẩm có cùng tên)."


	"DOTA_Workshop_ExtraMiscTags"                			"Nhãn thêm vào"
	"DOTA_Workshop_ExtraBrandingTags"                		"Nhãn thương hiệu"
	"DOTA_Workshop_Tags_SingleItem"                			"Vật phẩm đơn"
	"DOTA_Workshop_Tags_Warhammer"                			"Warhammer"
	"DOTA_Workshop_Tags_Spring2017"							"Spring 2017"
	"DOTA_Workshop_Tags_Frostivus2017_HeroItems"			"Frostivus 2017 - Vật phẩm tướng"
	"DOTA_Workshop_Tags_Frostivus2017"						"Frostivus 2017 - Tôi chấp nhận các thể lệ của cuộc thi Frostivus 2017 và muốn tham gia."
	"DOTA_Workshop_Tags_Frostivus2017_URL"					"<a href=\"http://www.dota2.com/frostivus2017agreement\">Thể lệ cuộc thi Frostivus 2017</a>"

	"DOTA_Workshop_CourierIconControls"		"Thiết lập thú vận chuyển"
	"DOTA_Workshop_CourierIconType"			"Loại"
	"DOTA_Workshop_CourierIconWalking"		"Đi"
	"DOTA_Workshop_CourierIconFlying"		"Bay"
	"DOTA_Workshop_CourierIconTeam"			"Đội"
	"DOTA_Workshop_CourierIconRadiant"		"Radiant"
	"DOTA_Workshop_CourierIconDire"			"Dire"
	"DOTA_Workshop_WardIconControls"		"Thiết lập mắt"
	"DOTA_Workshop_WardIconType"			"Loại"
	"DOTA_Workshop_WardIconObserver"		"Mắt vàng"
	"DOTA_Workshop_WardTypeSentry"			"Mắt xanh"

	"DOTA_Workshop_Summons"					"Triệu hồi"
	"DOTA_Workshop_BaseUnit"				"Đơn vị gốc"
	"DOTA_Workshop_DisplaySummonedUnits"	"Hiển thị đơn vị triệu hồi"
 	"DOTA_Workshop_SelectSummons"           "Chọn đơn vị triệu hồi"
	"DOTA_Workshop_UseSummonCamera"			"Sử dụng camera triệu hồi"

	"DOTA_Filter_Field_Category"			"Nhãn"
	"DOTA_Armory_Tags_Popup_Title"			"Dán nhãn"
	"DOTA_Armory_Tags_Popup_Info"			"Đổi tên một nhãn không xóa vật phẩm trước đó mà đã có nhãn đó. Chúng sẽ kế thừa tên mới."

	"DOTA_Armory_Attributes"				"Thuộc tính"

	"DOTA_Popup_Item_Received_Header_Unknown"					"Bạn đã nhận được một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_Dropped"					"Bạn đã nhận được một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_Crafted"					"Bạn đã ghép được một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_Traded"					"Bạn đã trao đổi một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_Purchased"					"Bạn đã mua được một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_FoundInCrate"				"Bạn đã nhận được một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_Gifted"					"Bạn đã nhận được một món quà!"
	"DOTA_Popup_Item_Received_Header_Support"					"Hỗ trợ khách hàng đã cấp cho bạn một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_Promotion"					"Bạn đã nhận được một vật phẩm khuyến mãi từ cửa hàng!"
	"DOTA_Popup_Item_Received_Header_Earned"					"Bạn nhận được một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_Refunded"					"Bạn đã được hoàn trả một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_GiftWrapped"				"Bạn đã mở gói quà được một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_Foreign"					"Bạn tìm được một vật phẩm trong một trò chơi khác!"
	"DOTA_Popup_Item_Received_Header_CollectionReward"			"Bạn đã sử dụng một bộ sưu tập phần thưởng!"
	"DOTA_Popup_Item_Received_Header_PreviewItem"				"Bạn đang thử một vật phẩm mới!"
	"DOTA_Popup_Item_Received_Header_PreviewItemPurchased"		"Bạn đã mua một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_PeriodicScoreReward"		"Bạn nhận được một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_Recycling"					"Bạn đã ghép ra một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_TournamentDrop"			"Bạn đã nhận được một món rớt từ giải đấu!"
	"DOTA_Popup_Item_Received_Header_RecipeOutput"				"Bạn đã ghép ra một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_CommunityMarketPurchase"	"Bạn đã mua một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_GemExtract"				"Bạn đã mở một vật phẩm!"
	"DOTA_Popup_Item_Received_Header_CompendiumReward"			"Bạn nhận được một phần thưởng theo mùa!"
	"DOTA_Popup_Item_Received_Header_CompendiumDrop"			"Bạn nhận được một vật phẩm rớt theo mùa!"
	"DOTA_Popup_Item_Received_Header_CompendiumGift"			"Bạn nhận được món quà theo mùa từ {g:dota_persona:gifter_name}!"
	"DOTA_Popup_Item_Received_Header_SeasonalItemGrant"			"Bạn đã nhận được một vật phẩm theo mùa!"
	"DOTA_Popup_Item_Received_Header_FrostivusReward"			"Bạn đã nhận được một phần thưởng theo mùa!"
	"DOTA_Popup_Item_Received_Header_PlusReward"				"Bạn nhận được một phần thưởng Dota Plus!"

	"DOTA_Popup_Item_Received_Header_DefaultSeason"				"Battle Pass"

	"DOTA_Popup_Item_Received_SeasonalExpiration"			"Vật phẩm này sẽ hết hạn dùng vào cuối mùa, ngày {t:s:item_expiration_date}."

	"DOTA_Popup_Item_Received_Label_IOfN"		"{d:item_i} trong {d:item_n}"
	"DOTA_Popup_Item_Received_Button_Accept"	"Chấp nhận"
	"DOTA_Popup_Item_Received_Button_AcceptAll"	"Nhận hết ({d:item_n})"

	"DOTA_Popup_CardPack_WaitingToOpen"				"Vui lòng đợi..."
	"DOTA_Popup_CardPack_ErrorUnknown"				"Có lỗi không xác định xảy ra khi mở gói thẻ người chơi.\n\nXin vui lòng thử lại."
	"DOTA_Popup_CardPack_ErrorFailedToFindPack"		"Thất bại khi tìm gói thẻ người chơi mà bạn đang cố mở."
	"DOTA_Popup_CardPack_ErrorNotCardPack"			"Đã thử mở một vật phẩm không phải là gói thẻ người chơi."
	"DOTA_Popup_CardPack_ErrorFailedCardCreate"		"Tạo thẻ người chơi thất bại"
	"DOTA_Popup_CardPack_ClickToOpen"				"Nhấp để mở"
	"DOTA_Popup_CardPack_ClickToOpen_Region"		"Nhấp để mở gói cho <br /><span class=\"RegionName\">khu vực {s:region_name}</span>"
	"DOTA_Popup_CardPack_Opening"					"Đang mở gói..."
	"DOTA_Popup_CardPack_Model_Winter2017"			"Battle Pass Winter 2017"
	"DOTA_Popup_CardPack_Model_TI7"					"Battle Pass International 2017"
	"DOTA_Popup_CardPack_Model_TI8"					"Battle Pass International 2018"
	"DOTA_Popup_CardPack_Model_TI9"					"Battle Pass International 2019"
	"DOTA_Popup_CardPack_Model_Winter2022"			"TOUR DPC MÙA ĐÔNG 2022"
	"DOTA_Popup_CardPack_Model_PackCount"			"Gói năm thẻ"
	"DOTA_Popup_CardPack_Model_MainTitle"			"Thẻ người chơi"
	"DOTA_Popup_CardPack_Model_SubTitle"			"Để dùng trong Trò chơi thử thách <i>Fantasy</i>"
	"DOTA_Popup_CardPack_Model_MoreInfo"			"Gồm một thẻ <font color='#AEAEAE'>bạc</font> hoặc <font color='#A97B2A'>vàng</font> với chỉ số cộng thêm"
	"DOTA_Popup_CardPack_Model_MoreInfoPrem"		"Bao gồm 4 thẻ <font color='#AEAEAE'>bạc</font> và 1 thẻ <font color='#A97B2A'>vàng</font>"

	"DOTA_PlayerCardPack_MajorOnly"					"Chỉ bao gồm người chơi đủ điều kiện tham dự Major."
	"DOTA_PlayerCardPack_RegionCards"				"Chỉ bao gồm người chơi từ {s:selected_region_name}."

	"DOTA_PlayerCardBonus"			"{s:bonus_name}: <font color='#FFFFFF'>{s:bonus_value}</font>"
	"DOTA_PlayerCardGoldCount"		"{i:gold_count} thẻ vàng"
	"DOTA_PlayerCardSilverCount"	"{i:silver_count} thẻ bạc"
	"DOTA_PlayerCardGold"							"Thẻ vàng"
	"DOTA_PlayerCardSilver"							"Thẻ bạc"
	"DOTA_PlayerCardPlayer"							"Người chơi"
	"DOTA_PlayerCardTeam"							"Đội"
	"DOTA_PlayerCardAngleTI6"						"Thẻ người chơi International 2016"
	"DOTA_PlayerCardAngleFall2016"					"Thẻ người chơi Fall 2016"
	"DOTA_PlayerCardsRecycleConfirmTitle"			"Tái chế thẻ người chơi?"
	"DOTA_PlayerCardsRecycleConfirmBody"			"Bạn sắp phá hủy thẻ người chơi này để đổi lấy {i:card_dust_amount} dust.<br><br>Tiến hành chứ?"
	"DOTA_PlayerCardsRecycleConfirmBodyMultiple"	"Hành động này sẽ xóa mọi thẻ bài thường nếu bạn đã có loại bạc hoặc vàng của người chơi đó, hay có nhiều thẻ thường giống nhau.<br><br>Không tính thẻ hiện đang dùng trong đội hình.<br><br>Bạn sẽ nhận được {i:card_dust_amount} dust.<br><br>Tiếp tục xóa?"
	"DOTA_PlayerCardsRecycleConfirmBodyInUse"		"Bạn sắp phá hủy thẻ người chơi này để đổi lấy {i:card_dust_amount} dust. <br><br><font color='#ff0000'>Thẻ này đang nằm trong đội hình Fantasy!</font><br><br>Tiến hành chứ?"
	"DOTA_PlayerCardsRecycleConfirmBodyInUseMultiple"	"Hành động này sẽ xóa mọi thẻ bài bình thường nếu như bạn đã có loại bạc hoặc vàng. Bạn sẽ nhận được {i:card_dust_amount} dust.<br><br><font color='#ff0000'>Một hoặc nhiều lá bài hiện đang dùng trong đội hình Fantasy!</font><br><br>Tiếp tục xóa?"
	"DOTA_PlayerCardsRecycleResultErrorTitle"		"Lỗi tái chế thẻ người chơi"
	"DOTA_PlayerCardsRecycleResultErrorUnknown"		"Có lỗi không xác định xảy ra khi tái chế thẻ người chơi. Xin vui lòng thử lại."
	"DOTA_PlayerCardsRecycleResultErrorFindCard"	"Lỗi tìm thẻ người chơi để tái chế."
	"DOTA_PlayerCardsRecycleResultErrorNotCard"		"Vật phẩm được tái chế không phải là thẻ người chơi."
	"DOTA_PlayerCardsRecycleResultErrorDustCreate"	"Lỗi tạo dust khi đang tái chế thẻ người chơi."
	"DOTA_PlayerCardsRecycleResultErrorLocked"		"Thẻ này đã được dùng trong đội hình của một ngày bị khóa."
	"DOTA_PlayerCardsRecycleResultSuccessTitle"		"Đã tái chế thẻ người chơi"
	"DOTA_PlayerCardsRecycleResultSuccess"			"Hoàn thành tái chế thẻ người chơi lấy {i:card_dust_amount} dust."
	"DOTA_PlayerCardsBuyPackResultErrorTitle"		"Có lỗi khi mua gói thẻ người chơi"
	"DOTA_PlayerCardsBuyPackResultErrorUnknown"		"Có lỗi không xác định xảy ra khi mua một gói thẻ người chơi bằng dust. Xin vui lòng thử lại."
	"DOTA_PlayerCardsBuyPackResultErrorInsufficientDust"	"Không đủ dust để đổi lấy một gói thẻ người chơi."
	"DOTA_PlayerCardsBuyPackResultErrorNotDust"		"Không thể thấy vật phẩm dust."
	"DOTA_PlayerCardsBuyPackResultErrorPackCreate"	"Tạo gói thẻ người chơi thất bại. Không dust nào bị sử dụng."
	"DOTA_PlayerCardBonusStatName0"					"Giết"
	"DOTA_PlayerCardBonusStatName1"					"Chết"
	"DOTA_PlayerCardBonusStatName2"					"Chỉ số quái"
	"DOTA_PlayerCardBonusStatName3"					"GPM"
	"DOTA_PlayerCardBonusStatName4"					"Phá trụ"
	"DOTA_PlayerCardBonusStatName5"					"Giết Roshan"
	"DOTA_PlayerCardBonusStatName6"					"Giao tranh"
	"DOTA_PlayerCardBonusStatName7"					"Cắm mắt vàng"
	"DOTA_PlayerCardBonusStatName8"					"Bãi quái dồn"
	"DOTA_PlayerCardBonusStatName9"					"Rune lấy được"
	"DOTA_PlayerCardBonusStatName10"				"Chiến công đầu"
	"DOTA_PlayerCardBonusStatName11"				"Choáng"
	"DOTA_PlayerCardBonusTooltip"					"Chỉ số này được nhận một phần thêm từ thẻ người chơi"

	"DOTA_PlayerCard_RosterLabel"					"Kích hoạt đội hình"
	"DOTA_PlayerCard_RosterDesc"					"Thẻ được kích hoạt trong một đội hình fantasy sắp tới"

	"DOTA_PlayerCard_LockedLabel"					"Đội hình đã bị khóa"
	"DOTA_PlayerCard_LockedDesc"					"Thẻ đã được dùng trong đội hình fantasy trước đó."


	"DOTA_PlayerCardsOpenPack"						"Mở gói thẻ người chơi"
	"DOTA_PlayerCardsOpenPremiumPack"				"Mở gói thẻ cao cấp"
	"DOTA_PlayerCardsBuyPack"						"Mua gói thẻ người chơi - {m:pack_price}"
	"DOTA_PlayerCardsPackCount"						"{i:pack_count}"
	"DOTA_PlayerCardsPackPremiumCount"				"{i:premium_pack_count}"
	"DOTA_PlayerCardsPackCountFrozen"				"{i:pack_count_frozen}"
	"DOTA_PlayerCardsPremiumPackCountFrozen"		"{i:premium_pack_count_frozen}"
	"DOTA_PlayerCardsPackUnopenedPacks"				"Gói chưa mở"
	"DOTA_PlayerCardsPackUnopenedPremiumPacks"		"Các gói thẻ cao cấp chưa mở"
	"DOTA_PlayerCardsDustCount"						"{i:dust_amount} Dust thẻ"
	"DOTA_PlayerCardsDustCountCurrent"				"Hiện có {i:dust_amount} Dust"
	"DOTA_PlayerCardsCreatePack"					"{i:dust_price} Dust lấy một gói"
	"DOTA_PlayerCardsCreatePremiumPack"				"{i:premium_dust_price} Dust một gói cao cấp"
	"DOTA_PlayerCardsPurchaseSpecificPlayer"		"{i:specific_dust_price} dust để đổi thẻ người chơi mình muốn"
	"DOTA_PlayerCardsRecycle"						"Tái chế thẻ"
	"DOTA_PlayerCardsRecycleQ"						"Tái chế: <font color='#C899FF'>{i:dust_value} Dust</font>"
	"DOTA_PlayerCard_FantasyLabel"					"Dùng thẻ người chơi của bạn trong"
	"DOTA_PlayerCard_TeamSelectionLabel"			"Chọn hiệu ứng đội"
	"DOTA_PlayerCard_TeamSelectionTooltipNew"			"Bạn có thể chọn một Đội yêu thích, nó sẽ cho phép bạn: sơn xịt hình đội đó, làm biểu tượng cảm xúc được tính vào tổng số người hâm mộ khi xem qua DotaTV, hiển thị đội đó trên hồ sơ của mình, và mở khóa một cờ hiệu biểu trưng đội. Thu thập đủ một bộ thẻ tuyển thủ của đội sẽ kích hoạt hiệu ứng dịch chuyển tùy biến, và phiên bản xịn sẽ được mở khóa khi thu thập đủ bộ thẻ bạc hoặc vàng cho đội đó."
	"DOTA_PlayerCard_Fantasy"						"Đội Fantasy"
	"DOTA_PlayerCard_Return"						"Quay lại Toàn bộ thẻ"
	"DOTA_PlayerCard_Dupe"							"Thẻ bị trùng"
	"DOTA_PlayerCard_Dupe_Tooltip"					"Bạn đã có thẻ này rồi, nó có thể tái chế thành dust một cách an toàn"
	"DOTA_PlayerCard_PacksRemaining:p{packs_remaining}"	"Còn {i:packs_remaining} gói"
	"DOTA_PlayerCard_OpenAnother"					"Mở gói nữa"
	"DOTA_PlayerCard_StatInfo" 						"Thẻ vàng và bạc luôn nhận được thêm chỉ số, dù bạn đã có một thẻ của người chơi đó. Cân nhắc khi tái chế chúng."
	"DOTA_PlayerCard_NoTeams"						"Bạn có {i:pack_count} gói thẻ người chơi và {i:premium_pack_count} gói thẻ cao cấp.\n\nCó thể mở chúng khi có danh sách các đội hình cuối cùng tham dự {g:dota_event_league_name:event_id}, vào thời điểm hoàn thành các vòng loại khu vực."
	"DOTA_PlayerCardsRecycleCommonsButton"			"Tái chế các thẻ thường trùng lặp"
	"DOTA_PlayerCardsSelectTeam"					"Chọn một đội..."
	"DOTA_PlayerCardsSelectPlayer"					"Chọn một tuyển thủ..."
	"DOTA_PlayerCardsPurchaseSpecific"				"Mua thẻ với giá {i:dust_cost} dust"
	"DOTA_PlayerCard_UnopenedPacks:p{unopened_card_packs}"							"{d:unopened_card_packs} gói chưa mở"
	"DOTA_PlayerCard_RecycleAmount:p{recycle_duplicate_commons_dust_amount}"		"Bạn hiện có thể tái chế <span class=\"DustHighlight\">{d:recycle_duplicate_commons_dust_amount}</span> bụi"
	"DOTA_PlayerCard_Claim_Packs:p{claimable_packs}"	"Nhận {d:claimable_packs} gói"
	"DOTA_PlayerCard_Claim_Team_Packs"					"Nhận gói vật phẩm câu lạc bộ ủng hộ"

	"DOTA_PlayerCard_BuyPacks"	 					"Mua gói"
	"DOTA_PlayerCard_MajorTeamsOnly"	 			"Chỉ các đội Major"
	"DOTA_PlayerCard_MajorTeamsOnly_Desc"	 		"Chỉ hiện các đội đủ điều kiện tham dự Major."
	"DOTA_PlayerCard_NoTeamPacksOwned"	 			"Không có gói <span class=\"TeamName\">{s:team_name}</span>"
	"DOTA_PlayerCard_ClickToOpenTeamPacks"	 		"Nhấp để mở gói <span class=\"TeamName\">{s:team_name}</span>"

	
	"DOTA_PlayerCard_Team_Header_Count:p{team_pack_count}"	"Bạn có <span class=\"TeamPurchaseHeaderCountHighlight\">{i:team_pack_count}</span> gói đội tuyển chưa mở"

	"DOTA_PlayerCard_Team_BuyTitle"		 			"Mua gói thẻ <span class=\"TeamName\">{s:team_name}</span>"
	"DOTA_PlayerCard_Team_TeamPackDesc"		 		"Gói đội đảm bảo có thẻ người chơi bậc <span class=\"Gold\">vàng</span> hoặc <span class=\"Silver\">bạc</span> từ đội được chọn"
	"DOTA_PlayerCard_Team_PackQuantity"		 		"Số lượng:"

	"DOTA_PlayerCard_Team_NoPacks"					"Hiện không có gói đội nào đang được bán."
	"DOTA_PlayerCard_PackOpeningDisabled_Header"	"Tắt mở gói"
	"DOTA_PlayerCard_PackOpeningDisabled"			"Đã tắt mở gói thẻ người chơi."


	"DOTA_AllStars_Header"							"Ở International năm nay, trận đấu siêu sao sẽ có giải thưởng 100,000 USD và là một trận đấu 5v5 truyền thống.<br><br>Chủ sỡ hữu Battle Pass có thể bầu chọn một người chơi cho mỗi vị trí -- đội hình sẽ lấy hai người chơi có điểm bầu cao nhất cho mỗi vị trí."
	"DOTA_AllStars_PositionCarry"					"Carry"
	"DOTA_AllStars_PositionSupport"					"Hỗ trợ"
	"DOTA_AllStars_Select"							"Chọn người chơi..."
	"DOTA_AllStars_LockCountdown"					"Còn {i:days}N {i:hours}G {i:minutes}P trước khi đóng dự đoán."
	"DOTA_AllStars_Locked"							"Bầu chọn đã khóa."
	"DOTA_AllStars_SubmitSuccess"					"Bầu chọn đã được gửi."
	"DOTA_AllStars_SubmitFail_Unknown"				"Có lỗi không xác định xảy ra khi gửi các bầu chọn của bạn."

	"DOTA_AllStars_Header_TI8"						"Tại International năm nay, trận đấu siêu sao sẽ là cuộc so tài của hai đội<br>Burning và ROTK"
	"DOTA_AllStars_Header_TI8_TeamBurning"			"Đội Burning"
	"DOTA_AllStars_Header_TI8_TeamROTK"				"Đội ROTK"

	"DOTA_FavoriteTeam_TPHeader"					"Hiệu ứng dịch chuyển"
	"DOTA_FavoriteTeam_ProfileHeader"				"Biểu tượng hồ sơ"
	"DOTA_FavoriteTeam_EmoticonHeader"				"Biểu tượng cảm xúc"
	"DOTA_FavoriteTeam_FanHeader"					"Lượng hâm mộ"
	"DOTA_FavoriteTeam_EffigyHeader"				"Cờ effigy"
	"DOTA_FavoriteTeam_Spray"						"Sơn xịt"

	"DOTA_PlayerCard_RecycleDisabled"				"Thẻ này không thể tái chế. Nó đã được dùng trong đội hình fantasy của một ngày bị khóa."

	"DOTA_FantasyDayHeader"							"Hoàn thành đội hình Fantasy của bạn qua từng ngày của {g:dota_event_league_name:eventid}"
	"DOTA_FantasyWeekHeader"						"Hoàn thành đội hình Fantasy của bạn mỗi tuần"
	"DOTA_FantasyWildCard"							"Loại\nthẳng"
	"DOTA_FantasyGroupStage"						"Vòng\nBảng"
	"DOTA_FantasyMainEvent"							"Sự kiện\nchính"
	"DOTA_FantasyLockTime"							"Chọn lựa khóa hằng ngày lúc 05:00 sáng theo giờ Việt Nam"
	"DOTA_FantasyLockTimeTI7"						"Chọn thẻ sẽ bị khóa mỗi ngày vào lúc 1 giờ sáng (GMT +7)"
	"DOTA_FantasyLockTimeTI8"						"Lựa chọn khoá vào 23 giờ (GMT+7) hàng ngày"
	"DOTA_FantasyLockTimeTI9"						"Lựa chọn khoá vào 8 giờ sáng (GMT+7) mỗi ngày"
	"DOTA_FantasyLockTimeDPC"						"Khóa lựa chọn trong {t:d:t:T:countdown_time}"
	"DOTA_FantasyLockTimeLockedDPC"					"Đã khóa lựa chọn"

	"DOTA_FantasyCores"								"Nòng cốt"
	"DOTA_FantasyOfflane"							"Đường khó"
	"DOTA_FantasySupports"							"Hỗ trợ"
	"DOTA_FantasyMid"								"Đường giữa"
	"DOTA_FantasyScore"								"Điểm"
	"DOTA_FantasySelectCard"						"Chọn thẻ"
	"DOTA_FantasyChangeCard"						"Đổi thẻ"
	"DOTA_FantasyLeaderboardHeaderFriends"			"Bạn bè"
	"DOTA_FantasyLeaderboardHeaderGlobal"			"Tốp 100 TG"
	"DOTA_FantasyLeaderboardScore"					"Tổng điểm"
	"DOTA_FantasyLeaderboardPeriodScore"			"Điểm của kỳ"
	"DOTA_FantasyLevel_Tooltip"						"Nhận 1/2/3/4 cấp Fantasy bằng cách xếp đội hình người chơi để ghi điểm lọt vào top 100%/50%/25%/10%.<br><br>Cứ đạt được bốn cấp Fantasy, nhận pha lê cho ba cấp đầu tiên, và kho báu cho cấp thứ tư."
	"DOTA_FantasyLevelQuantity:p"					"Cấp Fantasy"
	"DOTA_Fantasy_Bottom50"							"Nhóm 50% đứng cuối"
	"DOTA_Fantasy_Top50"							"Top 50%"
	"DOTA_Fantasy_Top25"							"Top 25%"
	"DOTA_Fantasy_Top10"							"Top 10%"
	"DOTA_Fantasy_LeagueWeekNumber"					"Tuần giải #{d:period_number}"
	"DOTA_Fantasy_MajorDayNumber"					"Ngày Major #{d:period_number}"
	"DOTA_Fantasy_Major"							"Major"
	"DOTA_Fantasy_RegionalLeagues"					"Giải đấu"
	"DOTA_FantasyLeaderboardFullFriends"			"Xem bảng xếp hạng bạn bè đầy đủ"
	"DOTA_FantasyLeaderboardFullGlobal"				"Xem bảng xếp hạng toàn thế giới đầy đủ"
	"DOTA_FantasyScoreDay"							"Điểm hôm nay"
	"DOTA_FantasyScorePeriod"						"Điểm cho giai đoạn này"
	"DOTA_FantasyPeriodRewards"						"Thưởng của kỳ"
	"DOTA_FantasyScoreTotal"						"Tổng điểm tới hôm nay"
	"DOTA_FantasyScorePercentile_ToBeDetermined"	"KXĐ"
	"DOTA_FantasyPosition"							"Vị trí Fantasy"
	"DOTA_FantasyHelp"								"Giới thiệu\nvà\nluật\nthử thách\nFantasy"
	"DOTA_FantasyCoreTooltip"						"Nòng cốt bao gồm người chơi carry và đường khó"
	"DOTA_FantasyOfflaneTooltip"					"Offlane chỉ các người chơi đi đường off lane (đường khó)"
	"DOTA_FantasyMidTooltip"						"Đường giữa là để chỉ người chơi thường đi đường giữa"
	"DOTA_FantasySupportTooltip"					"Hỗ trợ là người chơi trợ giúp cho người chơi nòng cốt của đội"
	"DOTA_FantasyLockUntilTimeH:p{lock_number}"		"Khóa sau\n{i:lock_number} tiếng"
	"DOTA_FantasyLockUntilTimeD:p{lock_number}"		"Khóa sau\n{i:lock_number} ngày"
	"DOTA_FantasyLockUntilTimeW:p{lock_number}"		"Khóa sau\n{i:lock_number} ngày"
	"DOTA_FantasyRegion_Tooltip"					"DPC Fantasy có mặt tại tất cả khu vực DPC đang hoạt động. Bạn có thể chơi trong một hoặc nhiều khu vực mỗi kỳ, nhưng chỉ có thể nhận thưởng từ khu vực ghi điểm cao nhất.<br><br>Khi mở gói thẻ người chơi, bạn sẽ chỉ nhận được thẻ từ khu vực đang được chọn."
	
	"DOTA_FantasyCoreNotScheduled"					"Người chơi này hiện không có lịch thi đấu vào ngày này"
	"DOTA_FantasyDayLockUntilTimeH"					"Ngày khóa sau <b>{i:lock_number}</b> giờ"
	"DOTA_FantasyDayLockUntilTimeD"					"Ngày khóa sau <b>{i:lock_number}</b> ngày"
	"DOTA_FantasyDayLockUntilTimeM"					"Ngày khóa sau <b>{i:lock_number}</b> tháng"

	"DOTA_FantasyHelpOverview1"						"1. Mở gói thẻ người chơi"
	"DOTA_FantasyHelpOverview2"						"2. Lập đội hình fantasy"
	"DOTA_FantasyHelpOverview3"						"3. Kiếm điểm fantasy"
	"DOTA_FantasyHelpOverview4"						"4. Nhận thưởng"

	"DOTA_FantasyHelpTitle1"						"Mở gói người chơi"
	"DOTA_FantasyHelpText1"							"Mỗi gói chứa năm thẻ, một trong số đó là thẻ vàng hoặc bạc. Thẻ bạc được thưởng thêm ba chỉ số ngẫu nhiên. Thẻ vàng được thưởng thêm năm chỉ số."
	"DOTA_FantasyHelpTitle2"						"Đặt thẻ người chơi vào đội hình Fantasy của bạn"
	"DOTA_FantasyHelpText2"							"Mỗi ngày trong {g:dota_event_league_name:eventid}, đặt một đội hình Fantasy gồm hai nòng cốt, một đường giữa, và hai hỗ trợ."
	"DOTA_FantasyHelpText2b"						"Với mỗi giai đoạn (thường là một tuần), tạo đội hình Fantasy với hai thẻ người chơi nòng cốt, một thẻ đường giữa, và hai thẻ hỗ trợ."
	"DOTA_FantasyHelpTitle3"						"Ghi điểm Fantasy"
	"DOTA_FantasyHelpText3"							"Thẻ người chơi trong đội hình của bạn ghi điểm dựa vào thành tích của họ trong các trận đấu vào khoảng thời gian đó. Thẻ bạc & vàng với chỉ số thưởng thêm sẽ đem lại nhiều điểm hơn."
	"DOTA_FantasyHelpTitle4"						"Kiếm điểm Battle"
	"DOTA_FantasyHelpText4"							"Sau khi kết thúc {g:dota_event_league_name:eventid}, bạn sẽ nhận được điểm Battle tính theo lượng điểm fantasy mà bạn ghi được so với phần còn lại của cộng đồng."

	"DOTA_FantasyHelpText4b"				"Khi kết thúc mỗi giai đoạn, bạn sẽ nhận cấp độ dựa trên điểm Fantasy của giai đoạn đó. Phần thưởng sẽ được mở khóa dựa trên cấp độ Fantasy tổng thể của bạn."
	"DOTA_FantasyHelpTitle4_compendium"				"Nhận điểm Compendium"
	"DOTA_FantasyHelpTitle4b"						"Nhận thưởng"

	"DOTA_FantasyHelpDetailsRegionHeader"			"Fantasy khu vực"
	"DOTA_FantasyHelpDetailsRegionSub1"					"Mỗi vùng DPC có giải Fantasy của riêng nó. Bạn có thể chọn tham dự nhiều khu vực cùng lúc."
	"DOTA_FantasyHelpDetailsRegionSub2"					"Bạn sẽ nhận cấp độ Fantasy dựa trên giải đạt thành tích tốt nhất cho giai đoạn đó. Ví dụ, nếu bạn đạt top 10% trong một giải và top 50% trong giải khác, bạn sẽ nhận điểm của giải top 10%. Giải thưởng khu vực không cộng dồn."

	"DOTA_FantasyHelpDetailsHeaderWinter2022" 		"Fantasy DPC mùa đông 2022"

	"DOTA_FantasyHelpDetailsSub1"					"Chấm điểm chỉ số"
	"DOTA_FantasyHelpDetailsSub1Text1"				"+ 0.3 điểm mỗi mạng giết"
	"DOTA_FantasyHelpDetailsSub1Text2"				"+ 3 điểm trừ 0.3 điểm cho mỗi mạng chết"
	"DOTA_FantasyHelpDetailsSub1Text3"				"+ 0.003 điểm mỗi Kết liễu/Chối bỏ"
