"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"AKCIÓ!"
	"DOTA_Item_Extremely_Rare_Reward" 			"Rendkívül ritka jutalom"
	"DOTA_campaign_siltbreaker_play_now"        "Játszd most"
	"DOTA_campaign_siltbreaker_desc"            "Verekedjétek át magatokat az undorító szörnyekkel, alattomos csapdákkal és más halálos rémségekkel tarkított változatos tájakon."

	"DOTA_campaign_easymode_desc" 				"Kaland módban a jutalmak le vannak tiltva."

	"DOTA_TI7_CampaignDetails_WorldOverview"			"Zóna részletei"
	"DOTA_TI7_CampaignDetails_Zone"						"{s:zone_name}"
	"DOTA_TI7_CampaignDetails_Kills"					"Ölések"
	"DOTA_TI7_CampaignDetails_Deaths"					"Halálok"
	"DOTA_TI7_CampaignDetails_GoldBags"					"Aranyzsákok"
	"DOTA_TI7_CampaignDetails_Potions"					"Italok"

	"DOTA_TI7_CampaignDetails_GoldBagsGot"					"Felvett aranyzsákok"
	"DOTA_TI7_CampaignDetails_PotionsGot"					"Megivott ital"
	"DOTA_TI7_CampaignDetails_ItemsGot"					"Felvett tárgyak"
	"DOTA_TI7_CampaignDetails_Reviving"					"Újraélesztéssel töltött idő"

	"DOTA_TI7_CampaignDetails_ZoneLeaderboards_Live"	"Élő játékok"
	"DOTA_TI7_CampaignDetails_ZoneLeaderboards_Replays"	"Barát-visszaját."
	"DOTA_TI7_CampaignDetails_ZoneLeaderboards_FriendStats"	"Barátok statisztikái"
	"DOTA_TI7_CampaignDetails_ZoneLeaderboards_Criteria"	"Zóna csillagkövetelményei"
	"DOTA_TI7_CampaignDetails_ZoneLeaderboards_Incomplete"	"Teljesítetlen zóna"

	"DOTA_TI7_CampaignDetails_Zone01_1_Req"	"- Találjátok meg a Keresztúti helyőrséget <font color='#DAFCD9'>9 percen</font> belül.<br>- Vadásszatok le legalább <font color='#DAFCD9'>8</font> őrjöngő pokolmedvét.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Zone01_2_Req"	"- Találjátok meg a Keresztúti helyőrséget <font color='#DAFCD9'>6 és fél percen</font> belül.<br>- Vadásszatok le legalább <font color='#DAFCD9'>12</font> őrjöngő pokolmedvét.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Zone01_3_Req"	"- Találjátok meg a Keresztúti helyőrséget <font color='#DAFCD9'>3 percen</font> belül.<br>- Vadásszatok le legalább <font color='#DAFCD9'>16</font> őrjöngő pokolmedvét.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Zone02_1_Req"	"- Győzzétek le Hosszúkarom Luciust <font color='#DAFCD9'>9 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Zone02_2_Req"	"- Győzzétek le Hosszúkarom Luciust <font color='#DAFCD9'>7 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Zone02_3_Req"	"- Győzzétek le Hosszúkarom Luciust <font color='#DAFCD9'>5 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Zone04_1_Req"	"- Találjátok meg az Átjárógömböt <font color='#DAFCD9'>7 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Zone04_2_Req"	"- Találjátok meg az Átjárógömböt <font color='#DAFCD9'>5 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Zone04_3_Req"	"- Találjátok meg az Átjárógömböt <font color='#DAFCD9'>3 és fél percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Zone03_1_Req"	"- Szabadítsátok ki Könnyedléptű századost <font color='#DAFCD9'>10 percen</font> belül.<br>- Szabadítsatok ki <font color='#DAFCD9'>4</font> foglyul ejtett katonát.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Zone03_2_Req"	"- Szabadítsátok ki Könnyedléptű századost <font color='#DAFCD9'>7 percen</font> belül.<br>- Szabadítsatok ki <font color='#DAFCD9'>8</font> foglyul ejtett katonát.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Zone03_3_Req"	"- Szabadítsátok ki Könnyedléptű századost <font color='#DAFCD9'>5 percen</font> belül.<br>- Szabadítsatok ki <font color='#DAFCD9'>11</font> foglyul ejtett katonát.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Zone05_1_Req"	"- Találjátok meg a kijáratot a Selyemmocsár-szoroshoz <font color='#DAFCD9'>12 percen</font> belül.<br>- Pusztítsatok el <font color='#DAFCD9'>35</font> ivadékzsákot.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Zone05_2_Req"	"- Találjátok meg a kijáratot a Selyemmocsár-szoroshoz <font color='#DAFCD9'>9 percen</font> belül.<br>- Pusztítsatok el <font color='#DAFCD9'>50</font> ivadékzsákot.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Zone05_3_Req"	"- Öljétek meg <font color='#DAFCD9'>Ankabootot</font>.<br>- Találjátok meg a kijáratot a Selyemmocsár-szoroshoz <font color='#DAFCD9'>9 percen</font> belül.<br>- Pusztítsatok el <font color='#DAFCD9'>65</font> ivadékzsákot.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Zone06_1_Req"	"- Találjátok meg a kijáratot Kalaborba <font color='#DAFCD9'>14 percen</font> belül.<br>- Találjátok <font color='#DAFCD9'>3</font> rejtett kincset a templomban.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Zone06_2_Req"	"- Találjátok meg a kijáratot Kalaborba <font color='#DAFCD9'>10 percen</font> belül.<br>- Találjátok <font color='#DAFCD9'>5</font> rejtett kincset a templomban.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Zone06_3_Req"	"- Találjátok meg a kijáratot Kalaborba <font color='#DAFCD9'>7 percen</font> belül.<br>- Találjátok <font color='#DAFCD9'>6</font> rejtett kincset a templomban.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Zone07_1_Req"	"- Érjétek el Kalabort <font color='#DAFCD9'>9 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Zone07_2_Req"	"- Érjétek el Kalabort <font color='#DAFCD9'>5 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Zone07_3_Req"	"- Érjétek el Kalabort <font color='#DAFCD9'>3 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Zone08_1_Req"	"- Győzzétek le a kentaur hadvezéreket és találjátok meg az északi előőrsöt <font color='#DAFCD9'>14 percen</font> belül.<br>- Győzzetek le <font color='#DAFCD9'>4</font> óriás homoknyüzsgő földtúrót.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Zone08_2_Req"	"- Győzzétek le a kentaur hadvezéreket és találjátok meg az északi előőrsöt <font color='#DAFCD9'>10 percen</font> belül.<br>- Győzzetek le <font color='#DAFCD9'>6</font> óriás homoknyüzsgő földtúrót.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Zone08_3_Req"	"- Győzzétek le a kentaur hadvezéreket és találjátok meg az északi előőrsöt <font color='#DAFCD9'>7 percen</font> belül.<br>- Győzzetek le <font color='#DAFCD9'>8</font> óriás homoknyüzsgő földtúrót.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Zone09_1_Req"	"- Győzzétek le a Buzzick századosokat és találjátok meg Rhyzik búvóhelyét <font color='#DAFCD9'>4 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Zone09_2_Req"	"- Győzzétek le a Buzzick századosokat és találjátok meg Rhyzik búvóhelyét <font color='#DAFCD9'>2 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Zone09_3_Req"	"- Győzzétek le a Buzzick századosokat és találjátok meg Rhyzik búvóhelyét <font color='#DAFCD9'>1 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Zone10_1_Req"	"- Győzzétek le Rhyziket <font color='#DAFCD9'>11 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Zone10_2_Req"	"- Győzzétek le Rhyziket <font color='#DAFCD9'>7 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Zone10_3_Req"	"- Győzzétek le Rhyziket <font color='#DAFCD9'>4 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."


	"DOTA_TI7_EventZone_forest"						"Vonyító erdőség"
	"DOTA_TI7_EventZone_forest_holdout"				"Keresztúti helyőrség"
	"DOTA_TI7_EventZone_darkforest_rescue"			"Csontpor-orom"
	"DOTA_TI7_EventZone_darkforest_pass"			"Selyemmocsár-szoros"
	"DOTA_TI7_EventZone_darkforest_death_maze"		"Gallaron próbája"
	"DOTA_TI7_EventZone_underground_temple"			"Ermacor temploma"
	"DOTA_TI7_EventZone_desert_start"				"Út Kalabor felé"
	"DOTA_TI7_EventZone_desert_expanse"				"Kalabor pusztaság"
	"DOTA_TI7_EventZone_desert_chasm"				"Hasító-szurdok"
	"DOTA_TI7_EventZone_desert_fortress"			"Rhyzik erődje"
	"DOTA_TI7_EventZone_completed"					"I. felvonás teljesítve"

	"DOTA_TI7_EventZone_tundra"			"Dércsípte tundra"
	"DOTA_TI7_EventZone_ice_lake"		"Tajtékzó tó"
	"DOTA_TI7_EventZone_aerie"			"A télies sasfészek"
	"DOTA_TI7_EventZone_clifftop"		"Azura magaslat"
	"DOTA_TI7_EventZone_plateau"		"Jégtörte fennsík"
	"DOTA_TI7_EventZone_crag"			"A fagyott szirt"
	"DOTA_TI7_EventZone_crypt"			"Az Odobenus légió kriptája"
	"DOTA_TI7_EventZone_crypt_holdout"	"Az Odobenus támadás"
	"DOTA_TI7_EventZone_reefs_edge"		"A zátony pereme"
	"DOTA_TI7_EventZone_shoal"			"A zátony"
	"DOTA_TI7_EventZone_dark_reef_a"	"Elsüllyedt átjáró"
	"DOTA_TI7_EventZone_dark_reef_b"	"Sötét Zátony börtön"
	"DOTA_TI7_EventZone_silt_arena"		"Iszaphullám"
	"DOTA_TI7_EventZone_completed_act_2"	"II. felvonás teljesítve"

	"DOTA_TI7_CampaignDetails_Act2_Zone01_1_Req" 	"- Találjátok meg a Tajtékzó tavat <font color='#DAFCD9'>9 percen</font> belül.<br>- Végezzetek legalább <font color='#DAFCD9'>10</font> dércsípte sámánnal.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone01_2_Req"	"- Találjátok meg a Tajtékzó tavat <font color='#DAFCD9'>7 és fél percen</font> belül.<br>- Végezzetek legalább <font color='#DAFCD9'>20</font> dércsípte sámánnal.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone01_3_Req"	"- Találjátok meg a Tajtékzó tavat <font color='#DAFCD9'>4 percen</font> belül.<br>- Végezzetek legalább <font color='#DAFCD9'>30</font> dércsípte sámánnal.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Act2_Zone02_1_Req"	"- Mentsetek meg legalább <font color='#DAFCD9'>10</font> pingvint.<br>- Végezzetek legalább <font color='#DAFCD9'>1</font> havasi dörmögővel.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone02_2_Req"	"- Mentsetek meg legalább <font color='#DAFCD9'>20</font> pingvint.<br>- Végezzetek legalább <font color='#DAFCD9'>2</font> havasi dörmögővel.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone02_3_Req"	"- Mentsétek meg mind a <font color='#DAFCD9'>30</font> pingvint.<br>- Végezzetek mind a <font color='#DAFCD9'>3</font> havasi dörmögővel.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Act2_Zone03_1_Req"	"- Győzzétek le Ezüstszárny Karault <font color='#DAFCD9'>7 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone03_2_Req"	"- Győzzétek le Ezüstszárny Karault <font color='#DAFCD9'>5 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone03_3_Req"	"- Győzzétek le Ezüstszárny Karault <font color='#DAFCD9'>3 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Act2_Zone04_1_Req"	"- Találjátok meg a bejáratot a Fagyott szirthez <font color='#DAFCD9'>10 percen</font> belül.<br>- Vadásszatok le legalább <font color='#DAFCD9'>4</font> jégóriást.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone04_2_Req"	"- Találjátok meg a bejáratot a Fagyott szirthez <font color='#DAFCD9'>8 percen</font> belül.<br>- Vadásszatok le legalább <font color='#DAFCD9'>6</font> jégóriást.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone04_3_Req"	"- Találjátok meg a bejáratot a Fagyott szirthez <font color='#DAFCD9'>4 percen</font> belül.<br>- Vadásszatok le legalább <font color='#DAFCD9'>8</font> jégóriást.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Act2_Zone05_1_Req"	"- Győzzétek le Storeggát <font color='#DAFCD9'>8 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone05_2_Req"	"- Győzzétek le Storeggát <font color='#DAFCD9'>6 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone05_3_Req"	"- Győzzétek le Storeggát <font color='#DAFCD9'>4 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Act2_Zone06_1_Req"	"- Érjétek el a tróntermet <font color='#DAFCD9'>14 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone06_2_Req"	"- Érjétek el a tróntermet <font color='#DAFCD9'>10 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone06_3_Req"	"- Érjétek el a tróntermet <font color='#DAFCD9'>6 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Act2_Zone07_1_Req"	"- Jussatok ki a trónteremből <font color='#DAFCD9'>6 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone07_2_Req"	"- Jussatok ki a trónteremből <font color='#DAFCD9'>4 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone07_3_Req"	"- Jussatok ki a trónteremből <font color='#DAFCD9'>2 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Act2_Zone08_1_Req"	"- Találjatok utat a Zátony peremén át <font color='#DAFCD9'>6 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone08_2_Req"	"- Találjatok utat a Zátony peremén át <font color='#DAFCD9'>4 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone08_3_Req"	"- Találjatok utat a Zátony peremén át <font color='#DAFCD9'>2 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Act2_Zone09_1_Req"	"- Győzzétek le az Óriásamőbát <font color='#DAFCD9'>7 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone09_2_Req"	"- Győzzétek le az Óriásamőbát <font color='#DAFCD9'>4 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone09_3_Req"	"- Győzzétek le az Óriásamőbát <font color='#DAFCD9'>2 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Act2_Zone10_1_Req"	"- Találjátok meg Iszaphullám celláját <font color='#DAFCD9'>10 percen</font> belül.<br>- Nyissatok ki legalább <font color='#DAFCD9'>2</font> börtöncellát.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone10_2_Req"	"- Találjátok meg Iszaphullám celláját <font color='#DAFCD9'>6 percen</font> belül.<br>- Nyissatok ki legalább <font color='#DAFCD9'>4</font> börtöncellát.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone10_3_Req"	"- Találjátok meg Iszaphullám celláját <font color='#DAFCD9'>4 percen</font> belül.<br>- Nyissatok ki legalább <font color='#DAFCD9'>6</font> börtöncellát.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI7_CampaignDetails_Act2_Zone11_1_Req"	"- Győzzétek le Iszaphullámot <font color='#DAFCD9'>11 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>5</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone11_2_Req"	"- Győzzétek le Iszaphullámot <font color='#DAFCD9'>7 percen</font> belül.<br>- A csapatotoknak nem lehet több mint <font color='#DAFCD9'>2</font> halála."
	"DOTA_TI7_CampaignDetails_Act2_Zone11_3_Req"	"- Győzzétek le Iszaphullámot <font color='#DAFCD9'>4 percen</font> belül.<br>- A csapatotokban <font color='#DAFCD9'>nem történhet</font> halál."

	"DOTA_TI8_Ticket_Location" "Rogers Arena - Vancouver, Kanada"
	"DOTA_TI8_Ticket_Dates" "2018. 08. 20. - 2018. 08. 25."

	"DOTA_TI8_Ticket_Waves_Tooltip" "A belépőjegyek a The Internationalre két hullámban érhetők el:<br>• Az 1. hullám március 23-án pénteken, 18:00-kor (CET) kezdődik.<br>• A 2. hullám március 24-én szombaton, 06:00-kor (CET) kezdődik."
	"DOTA_TI8_Ticket_Wave1" "1. hullám"
	"DOTA_TI8_Ticket_Wave2" "2. hullám"
	"DOTA_TI8_Ticket_SalesStart" "Jegyértékesítés kezdete:"
	"DOTA_TI8_Ticket_CallToAction" "Készítsd elő fiókodat a TicketMaster.ca oldalon"
	"DOTA_TI8_Ticket_CallToAction2"	"Vásárolj jegyeket a Ticketmaster.ca oldalon"

	"DOTA_TI8_MainEventDates" "Augusztus 20-25."
	"DOTA_TI8_MainEventVenue" "Rogers Arena"
	"DOTA_TI8_MainEventLocation" "Vancouver, Kanada"
	"DOTA_TI8_GroupStageDates" "Augusztus 15-18."

	"DOTA_TI9_MainEventDates" "Augusztus 20-25."
	"DOTA_TI9_MainEventVenue" "Mercedes-Benz Arena"
	"DOTA_TI9_MainEventLocation" "Sanghaj, Kína"
	"DOTA_TI9_GroupStageDates" "Augusztus 15-18."

	"DOTA_Event2018_EventGamePointsCapLeft"		"HETI PONTOK A KORLÁTIG"
	"DOTA_Event2018_EventGameExplainPointsCap"	"Szerezz csatapontokat a The International 2018 Csatabelépőhöz az Üregmélyet játszva, egy heti maximum mennyiségig. Oldj fel magasabb maximumot és szorzót haladva a Csatabelépőddel."
	"DOTA_EventNemestice_EventGamePointsCap"	"Elérhető heti pontok"

	"DOTA_Underhollow_YellowTeamVictory"		"A sárga csapat győzött!"
	"DOTA_Underhollow_OrangeTeamVictory"		"A narancssárga csapat győzött!"
	"DOTA_Underhollow_BlueTeamVictory"			"A kék csapat győzött!"
	"DOTA_Underhollow_GreenTeamVictory"			"A zöld csapat győzött!"
	"DOTA_Underhollow_BrownTeamVictory"			"A barna csapat győzött!"
	"DOTA_Underhollow_CyanTeamVictory"			"A ciánkék csapat győzött!"
	"DOTA_Underhollow_OliveTeamVictory"			"Az olajzöld csapat győzött!"
	"DOTA_Underhollow_PurpleTeamVictory"		"A lila csapat győzött!"

	"DOTA_Underhollow_Leaderboard"				"RANGLISTA"
	"DOTA_Underhollow_Kills"					"ÖLÉSEK"
	"DOTA_Underhollow_Elims"					"KIESÉSEK"
	"DOTA_Underhollow_Saves"					"MENT."
	"DOTA_Underhollow_MyRewards"				"JUTALMAID"

	"DOTA_Underhollow_PointsMultiplier"			"Pontszorzó: "
	"DOTA_Underhollow_BattlePointsEarned"		"Szerzett Csatapontok:"
	"DOTA_Underhollow_BattlePointsRemaining"	"Fennmaradó Csatapontok:"
	"DOTA_Underhollow_TotalPoints"				"= {d:final_reward} CSP"

	"DOTA_Underhollow_WeeklyRemainingPoints"							"MEGMARADT HETI"
	"DOTA_Underhollow_WeeklyEarnedPoints"								"LEHETSÉGES PONTOK A HÉTEN: {d:event_game_points_earned} / {d:event_game_point_cap}"
	"DOTA_Underhollow_TotalPossiblePoints"								"JÁTÉKPONTOK"
	"DOTA_Underhollow_PointsAvaiable"									"A PONTOK A JÁTÉK VÉGÉN LESZNEK KIOSZTVA"
	"DOTA_Underhollow_Elimination_RewardAmount"							"30 CSP"
	"DOTA_Underhollow_SmallCheeses_RewardAmount"						"20 CSP"
	"DOTA_Underhollow_BigCheeses_RewardAmount"							"300 CSP"
	"DOTA_Underhollow_Wins_RewardAmount"								"750 CSP"
	"DOTA_Underhollow_Points_X"											"{d:num_earned} X "

	"DOTA_DB_SeasonPass_PrizePool"     "Jelenlegi nyereményalap"

	"DOTA_Purchase_Popup_Title"				"{s:purchase_item_title}"
	"DOTA_Purchase_Popup_Body"				"{s:purchase_item_body}"
	"DOTA_Purchase_Popup_Purchase_Button"	"Vásárlás"
	"DOTA_Purchase_Popup_SaleAmount"		"-{i:item_sale_amount}%"
	"DOTA_Purchase_Popup_RegularSetPrice"	"{m:item_regular_price}"
	"DOTA_Purchase_Popup_SetPrice"			"{m:item_price}"
	"DOTA_Purchase_Popup_Marketplace_Button"	"Piac"
	"DOTA_Purchase_Popup_Shards_Button"		"Szilánkok"

	"DOTA_Generic_Popup_Title"				"{s:generic_popup_title}"
	"DOTA_Generic_Popup_Body"				"{s:generic_popup_body}"
	"GenericConfirmText_Label"				"Írd be a(z) „{s:confirmation_code}” kódot a megerősítéshez."

	"DOTA_Home_Fall_BattlePass_NotOwned"				"Itt a Fall 2016 Csatabelépő"
	"DOTA_Home_Fall_BattlePass_NeedsActivate"		"Rendelkezel Fall 2016 Csatabelépővel"
	"DOTA_Home_Winter2017_BattlePass_NotOwned"				"Itt a Winter 2017 Csatabelépő"
	"DOTA_Home_Winter2017_BattlePass_NeedsActivate"		"Rendelkezel Winter 2017 Csatabelépővel"

	"DOTA_Home_BattlePass_NotOwned"					"<span class=\"TISubText\">Itt a(z)</span> {g:dota_event_name:eventid}"
	"DOTA_Home_BattlePass_NotOwned_TI10Desc"		"Vásárold meg az idei Csatabelépőt hozzáférésért új funkciókhoz, bónuszokért a nyári esemény játékkal játszva, és vadonatúj díszítők feloldásának lehetőségéért."
	"DOTA_Home_BattlePass_Unpurchasable"			"A(z) {g:dota_event_name:eventid} már nem vásárolható meg."
	"DOTA_Home_BattlePass_NotOwned_LevelPreview"	"A(z) {d:event_level}. szintű jutalmak már feloldva."
	"DOTA_Home_BattlePass_NotOwned_Button"			"Belenézés"
	"DOTA_Home_BattlePass_NeedsActivate"			"Megvan a(z) {g:dota_event_name:eventid}"
	"DOTA_Home_BattlePass_NeedsActivate_Button"		"Aktiválás most"
	"DOTA_Home_BattlePass_RefreshInTime"			"{i:reset_days} n. {i:reset_hours} ó. {i:reset_minutes} p. múlva frissül"
	"DOTA_Home_BattlePass_ResetTime"				"{i:reset_days}N {i:reset_hours}Ó {i:reset_minutes}P"
	"DOTA_Home_BattlePass_EndTime"					"{i:end_days}N {i:end_hours}Ó {i:end_minutes}P"
	"DOTA_Home_BattlePass_Unclaimed:p{unclaimed_rewards}"	"{d:unclaimed_rewards} fel nem vett jutalom#|#{d:unclaimed_rewards} fel nem vett jutalom"
	"DOTA_Home_BattlePass_UnclaimedDescription"		"Kattints ide a felvételhez"
	"DOTA_Home_BattlePass_ShortFilmContest"			"Rövidfilm-verseny"
	"DOTA_Home_BattlePass_PredictionResetTime"		"{i:prediction_reset_days}N {i:prediction_reset_hours}Ó {i:prediction_reset_minutes}P"
	"DOTA_Home_BattlePass_EventEndingSoon"			"Az esemény vége:"
	"DOTA_Home_BattlePass_EventEndingSoonTime"		"{t:s:t:event_end_time}"

	"DOTA_Home_BattlePass_PurchaseLevels"		"Szintvásárlás"
	"DOTA_Home_BattlePass_PurchaseBP"			"Csatabelépő vétele"
	"DOTA_Home_BattlePass_GoToBattlePass"		"A Csatabelépőhöz"

	"BattlePass_LevelUp_Header"		"Gratulálunk!"
	"BattlePass_LevelUp_Body"		"Csatabelépőd új szintje:"

	"DOTA_Home_Plus_MemberSince"		"Ezóta"
	"DOTA_Home_Plus_MemberDate"			"{t:r:m:plus_membership_start_date}"
	"DOTA_Home_Plus_HighestLevelHero"	"Legmagasabb szintű hős"
	"DOTA_Home_Plus_BestHeroLevel"		"{d:plus_best_hero_level}. szint"

	"DOTA_ItemPicker_Title"		"Válassz tárgyat"
	"DOTA_ItemPicker_Action"	"Kiválasztás"

