"lang"
{ 
	"Language" "spanish" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"¡OFERTA!"
		"KillEaterEvent_Lycan_TowerDamageWithWolves"					"Daño a torres con Lobos"
		"KillEaterEvent_Lycan_KillsDuringHowl"							"Víctimas durante Aullido"
		"KillEaterEvent_Lycan_HeroDamageWithWolves"						"Daño a héroes con Lobos"
		"KillEaterEventType_LoneDruid_MultiHeroRoar"					"Rugido Salvaje sobre 3 o más héroes"
		"KillEaterEventType_LoneDruid_BearAghs"							"Torres destruidas por Oso fuera de alcance"
		"KillEaterEventType_LoneDruid_BattleCryKills"					"Víctimas durante Grito de Guerra"
		"KillEaterEventType_LoneDruid_HealsFromSpiritLink"				"Curación de Vínculo Espiritual"
		"KillEaterEventType_Lion_IllusionsKilledWithHex"				"Ilusiones asesinadas por Maldición"
		"KillEaterEventType_WinterWyvern_ThreeHeroCurses"				"Maldiciones de Invierno en 3 héroes"
		"KillEaterEvent_Lion_BlinkHexSpike"								"Combo de Traslación, Maldición y Púa"
		"KillEaterEvent_LoneDruidRootsWithMinions"						"Raíces usadas en Creeps"

		"KillEaterEventType_LoneDruid_EntangleDuration"					"Duración de Garras Enredadoras"
		"KillEaterEventType_Lion_HexDuration"							"Duración de Maldición"
		"KillEaterEventType_Kunkka_Torrents"							"Héroes golpeados por Torrente"
		"KillEaterEvent_Troll_BattleTranceKills"						"Víctimas durante Trance de Batalla"

		"KillEaterEvent_OD_ArcaneOrb"									"Daño de Orbe Arcano"
		"KillEaterEvent_Brewmaster_CinderBrewDuration"					"Duración de Borrachera Abrasadora"

		"DOTA_ChallengeDesc_Batrider_BlinkLassoForceStaffCombos"		"Utiliza <font color='#ffffff'>Translación</font> y <font color='#ffffff'>Lazo Llameante</font> en un héroe enemigo y usa <font color='#ffffff'>Bastón de la Fuerza</font> en ti mismo <font color='#ffffff'>%s1</font> veces."
		"DOTA_ChallengeStatus_Batrider_BlinkLassoForceStaffCombos" 		"%s2¡Necesito conseguir %s1 combos más de Traslación/Lazo Llameante/Bastón de la Fuerza!"
		"DOTA_ChallengeDesc_Batrider_FireflyDamage"						"Inflige <font color='#ffffff'>%s1</font> de daño con <font color='#ffffff'>Luciernaga</font>."
		"DOTA_ChallengeStatus_Batrider_FireflyDamage"					"%s2¡Tengo que infligir %s1 más de daño con Luciérnaga!"


		"DOTA_ChallengeDesc_Tusk_KillAfterIceShards"					"Mata o ayuda a matar a <font color='#ffffff'>%s1</font> héroe(s) enemigo(s) tras usar <font color='#ffffff'>Fragmentos de Hielo</font> sobre él/ellos."
		"DOTA_ChallengeStatus_Tusk_KillAfterIceShards" 					"%s2¡Tengo que conseguir %s1 víctima(s) o asistencia(s) más tras usar Fragmentos de Hielo contra ella(s)!"	
		"DOTA_ChallengeDesc_Ursa_QuickFuryKills"						"Consigue <font color='#ffffff'>%s1</font> muerte(s) o asistencia(s) en héroes enemigos 2 segundos después de usar <font color='#ffffff'>Arañazos Furiosos</font>."
		"DOTA_ChallengeStatus_Ursa_QuickFuryKills" 						"%s2¡Tengo que conseguir %s1 o más muerte(s) o asistencia(s) en enemigos 2 segundos después de usar Arañazos Furiosos!"
		"DOTA_ChallengeDesc_Venomancer_KillsWhileGale"					"Mata a <font color='#ffffff'>%s1</font> héroes enemigos afectados por <font color='#ffffff'>Vendaval Venenoso</font>."
		"DOTA_ChallengeStatus_Venomancer_KillsWhileGale" 				"%s2¡Tengo que conseguir %s1 muerte(s) o asistencia(s) en enemigos afectados por Vendaval Venenoso!"
		"DOTA_ChallengeDesc_Visage_SoulAssumptionKills"					"Mata a <font color='#ffffff'>%s1</font> héroes enemigos con <font color='#ffffff'>Toma de Almas</font>."
		"DOTA_ChallengeStatus_Visage_SoulAssumptionKills" 				"%s2¡Tengo que asesinar a %s1 enemigo(s) más usando Toma de Almas!"
		"DOTA_ChallengeDesc_WinterWyvern_KillsWhileArcticBurn"			"Mata a <font color='#ffffff'>%s1</font> héroes enemigos afectados por <font color='#ffffff'>Quemadura Ártica</font>."
		"DOTA_ChallengeStatus_WinterWyvern_KillsWhileArcticBurn" 		"%s2¡Tengo que conseguir %s1 muerte(s) o asistencia(s) más en enemigos afectados por Quemadura Ártica!"
		"DOTA_ChallengeDesc_SkeletonKing_Lifesteal"						"Roba un total de <font color='#ffffff'>%s1</font> de vida de héroes enemigos."
		"DOTA_ChallengeStatus_SkeletonKing_Lifesteal" 					"%s2¡Tengo que robar %s1 más de vida de héroes enemigos!"
		"DOTA_ChallengeDesc_Elder_Titan_Earth_Splitter_Sleeping_Enemies"			"Daña <font color='#ffffff'>%s1</font> héroes enemigos con <font color='#ffffff'>Divisor de la Tierra</font> mientras duermen por <font color='#ffffff'>Pisotón Resonante</font>."
		"DOTA_ChallengeStatusText_Elder_Titan_Earth_Splitter_Sleeping_Enemies"		"%s2¡Tengo que golpear a %s1 o más héroes enemigos dormidos con Divisor de la Tierra!"

		"DOTA_ChallengeDesc_NagaSiren_MultiEnemySongs"					"Duerme a más de 3 héroes enemigos con <font color='#ffffff'>Canto de la Sirena</font>, <font color='#ffffff'>%s1</font> veces."
		"DOTA_ChallengeStatus_NagaSiren_MultiEnemySongs"				"%s2¡Tengo que dormir a 3 o mas héroes enemigos con Canto de la Sirena %s1 veces!"
		"DOTA_ChallengeDesc_NagaSiren_DamageWithIllusions"			"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>ilusiones</font>."
		"DOTA_ChallengeStatusText_NagaSiren_DamageWithIllusions"	"%s2¡Tengo que infligir %s1 más de daño a héroes enemigos con ilusiones!"
		"DOTA_ChallengeDesc_NagaSiren_HealWithAghs"						"Cura a <font color='#ffffff'>%s1</font> héroes aliados con <font color='#ffffff'>Canto de la Sirena</font> después de comprar el <font color='#ffffff'>Cetro de Aghanim</font>."
		"DOTA_ChallengeStatus_NagaSiren_HealWithAghs"				"%s2¡Tengo que curar %s1 de vida a héroes aliados con Canto de la Sirena!"

		"DOTA_ChallengeDesc_Warlock_SummonGolems"					"Invoca a <font color='#ffffff'>%s1</font> Golems de <font color='#ffffff'>Ofrenda del Caos</font>."
		"DOTA_ChallengeStatus_Warlock_SummonGolems"					"%s2¡Necesito invocar a %s1 Golems más!"
		"DOTA_ChallengeDesc_Warlock_ThreeHeroUpheaval"				"Ralentiza a 3 o más enemigos con un solo lanzamiento de <font color='#ffffff'>Perturbación</font> <font color='#ffffff'>%s1</font> veces."
		"DOTA_ChallengeStatus_Warlock_ThreeHeroUpheaval"			"%s2¡Tengo que ralentizar a 3 o más héroes enemigos con Perturbación %s1 veces más!"

		"DOTA_ChallengeDesc_LoneDruid_MultiHeroRoars"				"Atemoriza a 3 o más héroes enemigos con un solo lanzamiento de <font color='#ffffff'>Rugido Salvaje</font> en <font color='#ffffff'>%s1</font> ocasiones."
		"DOTA_ChallengeStatus_LoneDruid_MultiHeroRoars"				"%s21¡Debo atemorizar a 3 o más héroes enemigos %s1 veces más con Rugido Salvaje!"

		"DOTA_ChallengeDesc_Brewmaster_Kills_While_Split"			"Consigue <font color='#ffffff'>%s1</font> muertes de héroes enemigos durante <font color='#ffffff'>Escisión Primordial</font>."
		"DOTA_ChallengeStatusText_Brewmaster_Kills_While_Split"		"%s2¡Tengo que matar a %s1 héroes enemigos más durante Escisión Primordial!"

		"DOTA_ChallengeDesc_PhoenixSunrayHealing"					"Cura <font color='#ffffff'>%s1</font> de vida en héroes enemigos usando <font color='#ffffff'>Rayo Solar</font>."
		"DOTA_ChallengeStatusText_PhoenixSunrayHealing"				"%s2¡Necesito curar %s1 más de vida de héroes aliados con Rayo Solar!"
		"DOTA_ChallengeDesc_PhoenixThreeHeroFireSpirits"			"Quema a 3 o más héroes enemigos con un solo lanzamiento de <font color='#ffffff'>Espíritus Ígneos</font> en <font color='#ffffff'>%s1</font> ocasiones."
		"DOTA_ChallengeStatusText_PhoenixThreeHeroFireSpirits"		"%s2¡Tengo que dañar a 3 o más héroes enemigos %s1 veces más con un solo lanzamiento de Espíritus Ígneos!"

		"DOTA_ChallengeDesc_Abaddon_AphoticRemoveStuns"				"Purga <font color='#ffffff'>%s1</font> aturdimientos de héroes aliados usando <font color='#ffffff'>Escudo Afótico</font>."
		"DOTA_ChallengeStatus_Abaddon_AphoticRemoveStuns"				"%s2¡Tengo que purgar %s1 incapacitaciones más con Escudo Afótico!"
		"DOTA_ChallengeDesc_Abaddon_BorrowedTimeDamageAbsorbed"			"Absorbe <font color='#ffffff'>%s1</font> de daño con <font color='#ffffff'>Tiempo Prestado</font>."
		"DOTA_ChallengeStatusText_Abaddon_BorrowedTimeDamageAbsorbed"	"%s2¡Tengo que absorber %s1 de daño más con Tiempo Prestado!"

		"DOTA_ChallengeDesc_Magnataur_ShockwaveDamage"				"Inflige <font color='#ffffff'>%s1</font> de daño con <font color='#ffffff'>Onda Sísmica</font>."
		"DOTA_ChallengeStatus_Magnataur_ShockwaveDamage"			"%s2¡Tengo que infligir %s1 más de daño con Onda Sísmica!"

		"DOTA_ChallengeDesc_Centaur_ReturnDamage"				"Inflige <font color='#ffffff'>%s1</font> de daño con <font color='#ffffff'>Devolución</font>."
		"DOTA_ChallengeStatus_Centaur_ReturnDamage"				"%s2¡Tengo que infligir %s1 o más de daño con Devolución!"
		"DOTA_ChallengeDesc_Centaur_TeamDamageDuringStampede"	"Inflige <font color='#ffffff'>%s1</font> de daño a tus héroes enemigos o de tus aliados durante <font color='#ffffff'>Estampida</font>."
		"DOTA_ChallengeStatus_Centaur_TeamDamageDuringStampede"	"%s2¡Debemos infligir %s1 de daño durante Estampida!"

		"DOTA_ChallengeDesc_Batrider_MaxNapalmStacks"			"Aplica al menos <font color='#ffffff'>%s1</font> acumulaciones de Napalm Pegajoso al mismo héroe enemigo de una sola vez."
		"DOTA_ChallengeStatus_Batrider_MaxNapalmStacks"			"%s2¡Necesito alcanzar una acumulación de %s1 de Napalm Pegajoso!"

		"DOTA_ChallengeDesc_Jakiro_LiquidFireBuildingDamage"	"Inflige <font color='#ffffff'>%s1</font> de daño a estructuras enemigas con <font color='#ffffff'>Fuego Líquido</font>."
		"DOTA_ChallengeDesc_Jakiro_MultiHeroDualBreath"			"Daña a 2 o más héroes enemigos con <font color='#ffffff'>Aliento Dual</font>, <font color='#ffffff'>%s1</font> veces."
		"DOTA_ChallengeDesc_Jakiro_DoubleIcePath"				"Aturde a 2 o más héroes enemigos con <font color='#ffffff'>Senda Helada</font> en <font color='#ffffff'>%s1</font> ocasiones."
		"DOTA_ChallengeDesc_Jakiro_MacropyreMaxDamage"			"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos durante un solo uso de <font color='#ffffff'>Macropira</font>."

		"DOTA_ChallengeDesc_CrystalMaiden_FreezingFieldDamage"	"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Campo Congelante</font>."
		"DOTA_ChallengeDesc_CrystalMaiden_FreezingFieldMaxDamage"	"Inflige al menos <font color='#ffffff'>%s1</font> de daño a héroes enemigos en un solo uso de <font color='#ffffff'>Campo Congelante</font>."
		"DOTA_ChallengeDesc_CM_NovaSlowDuration"				"Ralentiza a héroes enemigos por un total de <font color='#ffffff'>%s1</font> segundos con <font color='#ffffff'>Explosión Cristalina</font>."

		"DOTA_ChallengeDesc_VengefulSpirit_SwapsLeadingToKills"	"Haz que <font color='#ffffff'>%s1</font> héroes enemigos mueran en menos de 5 segundos después de ser reposicionados con <font color='#ffffff'>Intercambio Abisal</font>."
		"DOTA_ChallengeDesc_VS_MagicMissileDuration"			"Aturde a héroes enemigos durante <font color='#ffffff'>%s1</font> segundos con <font color='#ffffff'>Misil Mágico</font>."

		"DOTA_ChallengeDesc_Rubick_UltimatesStolen"				"Roba <font color='#ffffff'>%s1</font> habilidades Definitivas de héroes enemigos."
		"DOTA_ChallengeDesc_Rubick_MultiHeroFadeBolt"			"Causa efectos negativos a dos o más héroes enemigos con un lanzamiento de <font color='#ffffff'>Rayo Atenuante</font> en <font color='#ffffff'>%s1</font> ocasiones."
		"DOTA_ChallengeDesc_Rubick_SpellStealDamage"			"Inflige <font color='#ffffff'>%s1</font> de daño con hechizos robados usando <font color='#ffffff'>Robo de Hechizo</font>."
		"DOTA_ChallengeDesc_Rubick_MultiHeroTelekinesis"		"Aturde a 2 o más héroes enemigos con un solo uso de <font color='#ffffff'>Telequinesis</font>, <font color='#ffffff'>%s1</font> veces."
	
		"DOTA_ChallengeDesc_LionMultiHeroEarthSpike"			"Aturde a 2 o más héroes enemigos con un solo lanzamiento de <font color='#ffffff'>Púa Terrenal</font> en <font color='#ffffff'>%s1</font> ocasiones."
		"DOTA_ChallengeDesc_Lion_BlinkHexSpike"					"Utiliza traslación e incapacita a héroes enemigos con <font color='#ffffff'>Púa Terrenal</font> y <font color='#ffffff'>Maldición</font> en menos de 5 segundos en <font color='#ffffff'>%s1</font> ocasiones."

		"DOTA_ChallengeDesc_ShadowShaman_WardBuildingDamage"	"Inflige <font color='#ffffff'>%s1</font> de daño a estructuras enemigas con <font color='#ffffff'>Guardianes Serpiente en Masa</font>."
		"DOTA_ChallengeDesc_ShadowShaman_MaxShackles"			"Canaliza <font color='#ffffff'>Ataduras</font> durante toda su duración <font color='#ffffff'>%s1</font> veces."
		"DOTA_ChallengeDesc_ShadowShaman_TotalDisableDuration"	"Incapacita a héroes enemigos con <font color='#ffffff'>Maldición</font> y <font color='#ffffff'>Ataduras</font> durante <font color='#ffffff'>%s1</font> segundos."
		"DOTA_ChallengeDesc_ShadowShaman_EtherShockDamage"		"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Descarga Etérea</font>."

		"DOTA_ChallengeDesc_Furion_TrapWithSprout"				"Atrapa a <font color='#ffffff'>%s1</font> héroes enemigos utilizando <font color='#ffffff'>Brotar</font>."

		"DOTA_ChallengeDesc_Pugna_NetherBlast"					"Inflige <font color='#ffffff'>%s1</font> de daño a estructuras enemigas con <font color='#ffffff'>Explosión Abisal</font>."
		"DOTA_ChallengeDesc_Pugna_NetherBlastDecrepCombo"		"Daña a un héroe enemigo afectado por <font color='#ffffff'>Decrepitar</font> con <font color='#ffffff'>Explosión Abisal</font> en <font color='#ffffff'>%s1</font> ocasiones."
		"DOTA_ChallengeDesc_Pugna_NetherWardDamage"				"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Guardián Abisal</font>."

		"DOTA_ChallengeDesc_Beastmaster_KillsAfterRoar"			"Mata a <font color='#ffffff'>%s1</font> héroes enemigos dentro de 6 segundos de aturdirlos con <font color='#ffffff'>Rugido Primordial</font>."
		"DOTA_ChallengeDesc_Beastmaster_WildAxesDamage"			"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Hachas Salvajes</font>."
		"DOTA_ChallengeDesc_Beastmaster_BoarSlowDuration"		"Ralentiza a héroes enemigos por un total de <font color='#ffffff'>%s1</font> segundos con la ralentización de los jabalíes de la <font color='#ffffff'>Llamada de lo Salvaje</font>."

		"DOTA_ChallengeDesc_Necrolyte_KillWithReapersScythe"	"Mata a <font color='#ffffff'>%s1</font> héroes enemigos con <font color='#ffffff'>Guadaña de la Muerte</font>."

		"DOTA_ChallengeDesc_Tinker_MissileDamage"				"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Misil Infrarrojo</font>."

		"DOTA_ChallengeDesc_Enigma_PulseBlackHoleCombo"			"Daña a un héroe enemigo con <font color='#ffffff'>Pulso de Medianoche</font> y <font color='#ffffff'>Agujero Negro</font> a la vez en un solo uso de ambas habilidades en <font color='#ffffff'>%s1</font> ocasiones."

		"DOTA_ChallengeDesc_Tidehunter_ManyHeroRavage"			"Ataca con <font color='#ffffff'>Devastar</font> a 4 héroes enemigos <font color='#ffffff'>%s1</font> veces."
		"DOTA_ChallengeDesc_Tidehunter_KillAfterRavage"			"Consigue <font color='#ffffff'>%s1</font> muertes o asistencias en héroes enemigos que fueron devastados."

		"DOTA_ChallengeDesc_Meepo_EarthbindDuration"			"Atrapa a héroes enemigos por <font color='#ffffff'>%s1</font> segundos usando <font color='#ffffff'>Ataduras Terrenales</font>."

		"DOTA_ChallengeDesc_ChaosKnight_StunsAboveFourSeconds"	"Consigue 4 segundos o más de <font color='#ffffff'>Rayo del Caos</font> en un héroe enemigo <font color='#ffffff'>%s1</font> veces."
		"DOTA_ChallengeDesc_ChaosKnight_RealityRiftKills"		"Mata a <font color='#ffffff'>%s1</font> héroes enemigos que estén bajo los efectos de <font color='#ffffff'>Fisura en la Realidad</font>."

		"DOTA_ChallengeDesc_Disruptor_GlimpseKill"				"Mata o ayuda a matar a <font color='#ffffff'>%s1</font> héroe(s) enemigo(s) dentro de los 4 segundos posteriores a que haya(n) sido movido(s) por los efectos de <font color='#ffffff'>Vislumbrar</font>."

		"DOTA_ChallengeDesc_SpectreKillAfterReality"			"Mata o ayuda a matar a <font color='#ffffff'>%s1</font> héroes enemigos en 4 segundos o menos después de usar <font color='#ffffff'>Realidad</font>."
		"DOTA_ChallengeDesc_SpectreKillDuringDagger"			"Mata a <font color='#ffffff'>%s1</font> héroes enemigos que estén bajo los efectos de <font color='#ffffff'>Daga Espectral</font>."
		"DOTA_ChallengeDesc_Spectre_DesolateDamage"				"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos usando <font color='#ffffff'>Desolar</font>."

		"DOTA_ChallengeDesc_Lycan_SummonWolvesHeroDamage"			"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos usando los lobos de <font color='#ffffff'>Invocar Lobos</font>."
		"DOTA_ChallengeDesc_Lycan_TowerDamageFromWolves"			"Inflige <font color='#ffffff'>%s1</font> de daño en torres enemigas usando los lobos de <font color='#ffffff'>Invocar Lobos</font>."
		"DOTA_ChallengeDesc_Lycan_Howl_Kill"						"Ayuda a matar a <font color='#ffffff'>%s1</font> héroes enemigos mientras esté activo el efecto positivo de <font color='#ffffff'>Aullido</font>."
		"DOTA_ChallengeDesc_Lycan_DamageDuringShapeShift"			"Inflige <font color='#ffffff'>%s1</font> de daño de cualquier tipo a héroes enemigos mientras estás bajo los efectos de <font color='#ffffff'>Cambio de Forma</font>."

		"DOTA_ChallengeDesc_Tiny_BuildingDamageDuringTreeGrab"		"Inflige <font color='#ffffff'>%s1</font> de daño a estructuras enemigas mientras usas <font color='#ffffff'>Agarrar Árbol</font>."
		"DOTA_ChallengeDesc_Tiny_TwoHeroAvalanches"					"Aturde a 2 o más héroes enemigos con un solo lanzamiento de <font color='#ffffff'>Avalancha</font> en <font color='#ffffff'>%s1</font> ocasiones."
		"DOTA_ChallengeDesc_Tiny_TossEnemyToAlly"					"<font color='#ffffff'>Lanza</font> a un héroe enemigo hacia a un héroe aliado, <font color='#ffffff'>%s1</font> veces."

		"DOTA_ChallengeDesc_Morphling_MultiHeroWaveForms"			"Golpea a 2 o más héroes enemigos con un solo lanzamiento de <font color='#ffffff'>Forma de Ola</font> en <font color='#ffffff'>%s1</font> ocasiones."
		"DOTA_ChallengeDesc_Morphling_SpellsCastDuringMorph"		"Lanza <font color='#ffffff'>%s1</font> hechizos mientras estás bajo el efecto de <font color='#ffffff'>Transformación</font>."
		"DOTA_ChallengeDesc_Morphling_EthBlade_AdaptiveCombo"		"Daña a héroes enemigos afectados por <font color='#ffffff'>Hoja Etérea</font> con <font color='#ffffff'>Golpe Adaptativo (Agilidad)</font>, <font color='#ffffff'>%s1</font> veces."

		"DOTA_ChallengeDesc_Juggernaut_OmnislashDamage"				"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos usando <font color='#ffffff'>Omnilátigo</font>."
		"DOTA_ChallengeDesc_Juggernaut_KillsWithOmnislash"			"Mata a <font color='#ffffff'>%s1</font> héroes enemigos con <font color='#ffffff'>Omnilátigo</font>."
		"DOTA_ChallengeDesc_Juggernaut_BladefuryDamage"				"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos usando <font color='#ffffff'>Furia de la Hoja</font>."
		"DOTA_ChallengeDesc_Juggernaut_HealingWardHealing"			"Cúrate a ti y a tus héroes aliados <font color='#ffffff'>%s1</font> de vida con <font color='#ffffff'>Guardián Sanador</font>."

		"DOTA_ChallengeDesc_Luna_MoonGlaives_Creep_Kills"			"Mata <font color='#ffffff'>%s1</font> Creeps con <font color='#ffffff'>Gujas Lunares</font>."
		"DOTA_ChallengeDesc_Luna_MoonGlaives_BuildingDamage"		"Inflige <font color='#ffffff'>%s1</font> de daño a estructuras enemigas con <font color='#ffffff'>Gujas Lunares</font>."

		"DOTA_ChallengeDesc_Slark_Kills_During_Pounce"				"Mata a <font color='#ffffff'>%s1</font> héroes enemigos que estén bajo los efectos de <font color='#ffffff'>Asalto</font>."
		"DOTA_ChallengeDesc_Slark_Damage_During_Shadow_Dance"		"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos mientras estás bajo el efecto de <font color='#ffffff'>Baile de Sombras</font>."
		"DOTA_ChallengeDesc_Slark_Damage_With_Dark_Pact"			"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Pacto Oscuro</font>."

		"DOTA_ChallengeDesc_Leshrac_Edict_BuildingDamage"			"Inflige <font color='#ffffff'>%s1</font> de daño a estructuras enemigas con <font color='#ffffff'>Decreto Diabólico</font>."
		"DOTA_ChallengeDesc_Leshrac_EulsSplitEarthCombos"			"Aturde <font color='#ffffff'>%s1</font> o más héroes enemigos con <font color='#ffffff'>Dividir la Tierra</font> después de usar <font color='#ffffff'>el Cetro de Eul</font>."

		"DOTA_ChallengeDesc_Huskar_Inner_Vitality_Duration"			"Cura a tus aliados por un total de <font color='#ffffff'>%s1</font> segundos con <font color='#ffffff'>Vitalidad Interior</font>."

		"DOTA_ChallengeDesc_Bristleback_QuillSprayDamage"			"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Lluvia de Espinas</font>."
		"DOTA_ChallengeDesc_Bristleback_NasalGooDuration"			"Ralentiza a héroes enemigos por un total de <font color='#ffffff'>%s1</font> segundos usando <font color='#ffffff'>Viscosidad Nasal</font>."
		"DOTA_ChallengeDesc_Bristleback_BristlebackTriggeredQuillDamage" "Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Lluvias de Espinas</font> provocadas por <font color='#ffffff'>Espalda Espinosa</font>."
		"DOTA_ChallengeDesc_Bristleback_LongWarpath"				"Consigue una acumulación máxima de nivel 3 de <font color='#ffffff'>Caminos de Guerra</font> por al menos <font color='#ffffff'>%s1</font> segundos."


		"DOTA_ChallengeDesc_Riki_Double_Smoke_Cloud"				"Afecta a <font color='#ffffff'>dos o más</font> héroes enemigos con <font color='#ffffff'>Cortina de Humo</font> por un total de <font color='#ffffff'>%s1</font> veces."
		"DOTA_ChallengeDesc_Riki_Kills_During_Smoke_Screen"			"Mata a <font color='#ffffff'>%s1</font> héroes enemigos que estén bajo los efectos de <font color='#ffffff'>Cortina de Humo</font>."

		"DOTA_ChallengeDesc_Damage_Nightmared_Heroes"				"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos bajo los efectos de <font color='#ffffff'>Pesadilla</font>."
		"DOTA_ChallengeDesc_Bane_Blink_Force_Staff_Fiends_Grip"		"Utiliza <font color='#ffffff'>Garra del Diablo</font> en héroes enemigos después de usar <font color='#ffffff'> Traslación o Bastón de la Fuerza</font> por un total de <font color='#ffffff'>%s1</font> veces."

		"DOTA_ChallengeDesc_Lich_Kills_After_Frost_Blast"			"Mata u obtén <font color='#ffffff'>%s1</font> asistencias de muerte de héroes enemigos tras golpearlos con <font color='#ffffff'>Explosión Gélida</font>."
		"DOTA_ChallengeDesc_Lich_Frost_Armor_Slow_Duration"			"Ralentiza a héroes enemigos por un total de  <font color='#ffffff'>%s1</font> segundos usando la <font color='#ffffff'>Armadura de Hielo</font>."

		"DOTA_ChallengeDesc_Witch_Doctor_Kills_With_Maledict"		"Mata a <font color='#ffffff'>%s1</font> héroes enemigos usando <font color='#ffffff'>Embrujo</font>."
		"DOTA_ChallengeDesc_Wich_Doctor_Total_Cask_Bounces"			"Consigue un total de <font color='#ffffff'>%s1</font> rebotes en héroes enemigos con <font color='#ffffff'>Barril Paralizante</font>."

		"DOTA_ChallengeDesc_WR_Building_Damage_During_FocusFire"	"Inflige <font color='#ffffff'>%s1</font> de daño a estructuras enemigas durante <font color='#ffffff'>Fuego Concentrado</font>."
		"DOTA_ChallengeDesc_WR_PowershotDamage"						"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Disparo Potenciado</font>."
		"DOTA_ChallengeDesc_WR_WindrunEvade"						"Evita <font color='#ffffff'>%s1</font> ataques de héroes enemigos usando <font color='#ffffff'>Correvientos</font>."

		"DOTA_ChallengeDesc_ArcWarden_FluxDamage"					"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Flujo</font>."
		"DOTA_ChallengeDesc_ArcWarden_SparkWraithDamage"			"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Espectro Centelleante</font>."
		"DOTA_ChallengeDesc_ArcWarden_DoubleFlux"					"Acumula dos instancias de <font color='#ffffff'>Flujo</font> en el mismo héroe enemigo <font color='#ffffff'>%s1</font> veces."

		"DOTA_ChallengeDesc_StormSpirit_OverloadDamage"				"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Sobrecarga</font>."
		"DOTA_ChallengeDesc_StormSpirit_BallEvadeSpells"			"Esquiva <font color='#ffffff'>%s1</font> daño de hechizos de héroes enemigos con <font color='#ffffff'>Rayo Esférico</font>."

		"DOTA_ChallengeDesc_Techies_RemoteMineKills"				"Mata a <font color='#ffffff'>%s1</font> héroes enemigos con <font color='#ffffff'>Minas Remotas</font>."
		"DOTA_ChallengeDesc_Techies_MineDamage"						"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Minas de Proximidad</font>."
		"DOTA_ChallengeDesc_Techies_ReactiveTazerMultiheroDisarm"	"Desarma a <font color='#ffffff'>%s1</font> o más héroes enemigos cuando finalice <font color='#ffffff'>Táser Reactivo</font>."
		"DOTA_ChallengeDesc_Techies_StickyBombsAttached"			"Adhiere <font color='#ffffff'>%s1</font> <font color='#ffffff'>Bombas Lapa</font> a héroes enemigos."

		"DOTA_ChallengeDesc_TrollWarlord_AlliedDamageDuringBattleTrance"	"Utiliza ataques automáticos durante <font color='#ffffff'>Trance de Batalla</font>; los héroes en tu equipo deben provocar <font color='#ffffff'>%s1</font> de daño a héroes enemigos."
		"DOTA_ChallengeDesc_TrollWarlord_MeleeAxesMisses"			"Provoca que los héroes enemigos fallen <font color='#ffffff'>%s1</font> ataques mientras son dañados por <font color='#ffffff'>Hachas Giratorias (cuerpo a cuerpo)</font>."
		"DOTA_ChallengeDesc_KillsDuringBattleTrance"				"Mata <font color='#ffffff'>%s1</font> héroes enemigos durante <font color='#ffffff'>Trance de Batalla</font>."

		"DOTA_ChallengeDesc_Clinkz_Kills_DuringDeath_Pact"			"Mata a <font color='#ffffff'>%s1</font> héroes enemigos mientras estás bajo el efecto de <font color='#ffffff'>Pacto Mortal</font>."
		"DOTA_ChallengeDesc_Clinkz_Damage_With_Searing_Arrows"		"Inflige <font color='#ffffff'>%s1</font> de daño a héroes enemigos con <font color='#ffffff'>Flechas Abrasadoras</font>."
		"DOTA_ChallengeDesc_Clinkz_DeathPactHealthGained"			"Obtén <font color='#ffffff'>%s1</font> de vida usando Pacto Mortal."

