"lang"
{ 
	"Language" "danish" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"helbred"					// $health
		"dota_ability_variable_mana"				"mana"						// $mana
		"dota_ability_variable_armor"				"rustning"						// $armor
		"dota_ability_variable_damage"				"skade"					// $damage
		"dota_ability_variable_str"					"styrke"					// $str
		"dota_ability_variable_int"					"intelligens"				// $int
		"dota_ability_variable_agi"					"agilitet"					// $agi
		"dota_ability_variable_all"					"alle attributter"			// $all
		"dota_ability_variable_primary_attribute"	"primær attribut"			// $primary_attribute
		"dota_ability_variable_attack"				"angrebshastighed"				// $attack
		"dota_ability_variable_hp_regen"			"HP-regenerering"		// $hp_regen
		"dota_ability_variable_lifesteal"			"livsstjæl"					// $lifesteal
		"dota_ability_variable_mana_regen"			"mana-regenerering"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"mana-regenerering som aura"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"evneskade"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"debuff-varighed"			// $debuff_amp
		"dota_ability_variable_move_speed"			"bevægelseshastighed"			// $move_speed
		"dota_ability_variable_evasion"				"undvigelse"					// $evasion
		"dota_ability_variable_spell_resist"		"magisk resistens"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"evnelivsstjæl"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"evnelivsstjæl (kryb)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"evnelivsstjæl (helte)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"valgt attribut"		// $selected_attribute
		"dota_ability_variable_attack_range"		"angrebsrækkevidde <font color='#7d7d7d'>(kun afstandshelte)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"angrebsrækkevidde <font color='#7d7d7d'>(kun nærkamp)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"kasterækkevidde"				// $cast_range
		"dota_ability_variable_status_resist"		"statusresistens"			// $status_resist
		"dota_ability_variable_projectile_speed"	"projektilhastighed"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"reduceret mana-omkostning"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"nedkølingsreduktion"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"ekstra maks. mana"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"skade (intelligenshelte)"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent"							"Arcane Curse"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_Lore"					"Nortroms mangel på besværgelser er et mindre problem for ham selv, end det er for hans modstandere."				
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_Note0"				    "Påvirker kryb."
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_damage"			        "SKADE:"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_duration"				"BASISVARIGHED:"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_penalty_multiplier"		"MULTIPLIKATOR MENS UNDERTRYKT:"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_penalty_duration"		"FORØGELSE VED EVNEBRUG:"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_radius"					"RADIUS:"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_movespeed"				"%BEVÆGELSESHÆMNING:"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_application_damage"		"INDLEDENDE SKADE:"

		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom"							"Glaives of Wisdom"
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_Lore"						"Selvom han er mangelfuld, hvad angår traditionelle besværgelser, giver Nortroms herkomst af Aeol Drias ham en forbløffende klogskab, som han anvender i fysisk kamp."
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_Description"				"Silencer fortryller sine glavind med visdom, så de gør ekstra skade baseret på hans intelligens. Silencer stjæler midlertidigt sit måls intelligens med hver træffer. Hvis Silencer dræber en fjendtlig helt, stjæler han permanent %permanent_int_steal_amount% intelligens."
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_Note0"						"Silencer behøver ikke at udføre det dræbende slag for at stjæle intelligens permanent, så længe den fjendtlige helt dræbes inden for %permanent_int_steal_range% afstand af Silencer."
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_Note1"						"Fjenden behøver ikke at have Glaives of Wisdom-svækkelsen, for at Silencer kan stjæle intelligens permanent."
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_intellect_damage_pct"		"%INT. GJORT TIL SKADE:"
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_int_steal"					"INT. STJÅLET:"
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_int_steal_duration"		"VARIGHED PÅ STJÅLET INT.:"
		"DOTA_Tooltip_ability_silencer_last_word"									"Last Word"
		"DOTA_Tooltip_ability_silencer_last_word_Lore"								"Nortrom sikrer sig, at besværgelserne, som hans modstandere ytrer, bliver de sidste."
		"DOTA_Tooltip_ability_silencer_last_word_Description"						"Fortryller et mål, hvilket giver udsyn over det, skader og undertrykker det, hvis målet kaster en besværgelse, eller hvis fortryllelsestimeren udløber. Gør ekstra skade afhængigt af forskellen i intelligens mellem Silencer og målet."
		"DOTA_Tooltip_ability_silencer_last_word_Note0"								"Kanaliserende evner udløser denne effekt, efter kasteren er færdig med at kanalisere."
		"DOTA_Tooltip_ability_silencer_last_word_damage"							"BASISSKADE:"
		"DOTA_Tooltip_ability_silencer_last_word_debuff_duration"					"TID FØR SELVAKTIVERING:"
		"DOTA_Tooltip_ability_silencer_last_word_duration"							"UNDERTRYKKELSESVARIGHED:"
		"DOTA_Tooltip_ability_silencer_global_silence"								"Global Silence"
		"DOTA_Tooltip_ability_silencer_global_silence_Lore"							"Med et stød mod jorden ophører al magi og alle lyde, og Nortrom fuldbyrder sin profeti."
		"DOTA_Tooltip_ability_silencer_global_silence_Description"					"Silencer stopper alle lyde og forhindrer fjendtlige helte og enheder i banen i at anvende besværgelser."
		"DOTA_Tooltip_ability_silencer_global_silence_Note0"						"Denne evne virker på usynlige og besværgelsesimmune enheder, men at blive besværgelsesimmun vil fjerne dens effekt."
		"DOTA_Tooltip_ability_silencer_global_silence_abilityduration"				"VARIGHED:"

		"DOTA_Tooltip_modifier_silencer_curse_of_the_silent"				"Arcane Curse"
		"DOTA_Tooltip_modifier_silencer_curse_of_the_silent_Description"	"Tager skade og hæmmes med %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Varighed øges når en besværgelse kastes."
		"DOTA_Tooltip_modifier_silencer_last_word"							"Last Word"
		"DOTA_Tooltip_modifier_silencer_last_word_Description"				"Vil blive skadet og undertrykt, hvis timeren udløber, eller hvis enheden kaster en besværgelse."
		"DOTA_Tooltip_modifier_silencer_last_word_disarm"					"Undertrykt"
		"DOTA_Tooltip_modifier_silencer_last_word_disarm_Description"		"Undertrykt"
		"DOTA_Tooltip_modifier_silencer_last_word_aura"						"Last Word-stjæl"
		"DOTA_Tooltip_modifier_silencer_last_word_aura_Description"			"Intelligens stjålet i alt"
		"DOTA_Tooltip_modifier_silencer_glaives_of_wisdom_buff_counter"		"Glaives of Wisdom"
		"DOTA_Tooltip_modifier_silencer_glaives_of_wisdom"					"Permanent intelligens stjålet"
		"DOTA_Tooltip_modifier_silencer_int_steal"							"Intelligens stjålet permanent"
		"DOTA_Tooltip_modifier_silencer_global_silence"						"Global Silence"
		"DOTA_Tooltip_modifier_silencer_global_silence_Description"			"Alle helte er undertrykt."
		"DOTA_Tooltip_modifier_silencer_glaives_of_wisdom_debuff_counter"	"Glaives of Wisdom"
		"DOTA_Tooltip_modifier_silencer_glaives_of_wisdom_attack_counter"		"Glaives of Wisdom"
		//OUTWORLD Destroyer
		"DOTA_Tooltip_ability_obsidian_destroyer_arcane_orb"						"Arcane Orb"
		"DOTA_Tooltip_ability_obsidian_destroyer_arcane_orb_Description"			"Føjer ekstra ren skade til Outworld Destroyers angreb baseret på hans tilbageværende mana-pøl."
		"DOTA_Tooltip_ability_obsidian_destroyer_arcane_orb_Lore"					"Budbringerens viden af en anden verden lader Budbringeren tappe ind i ebben og al spirituel energis strømmen, hvorefter den fører det ind i sit eget væsen."
		"DOTA_Tooltip_ability_obsidian_destroyer_arcane_orb_Note0"					"Evnens skade beregnes, efter den har brugt mana."
		"DOTA_Tooltip_ability_obsidian_destroyer_arcane_orb_mana_pool_damage_pct"	"%NUVÆRENDE MANA SOM SKADE:"
		"DOTA_Tooltip_ability_obsidian_destroyer_arcane_orb_mana_cost_percentage"	"%OMKOSTNING AF NUVÆRENDE MANA:"
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment"				"Astral Imprisonment"
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_Description"	"Anbringer en valgt enhed i et astral-fængsel. Den skjulte enhed er usårlig og uskadeliggjort. Når fængslet imploderer, gør det skade på målet og stjæler en procentdel af dets maks. mana."
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_Lore"			"Ofre opdager deres infantile viden og dødelighed, når de låses væk i en lomme mellem denne verden og yderverdenen."
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_Note0"			"Fængslede enheder kan stadig rammes af Sanity's Eclipse."
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_Note1"			"Stjålet maks. mana påvirker kun den maksimale mana. Det øger ikke Outworld Destroyers nuværende mana, og reducerer heller ikke fjendens nuværende mana direkte."
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_damage"        "SKADE:"
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_prison_duration"		"VARIGHED:"
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_mana_capacity_steal"		"%STJÅLET MANA-KAPACITET:"
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_mana_capacity_duration"		"VARIGHED PÅ STJÅLET MANA:"
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_abilitycastrange"	"KASTERÆKKEVIDDE:"
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_max_charges_scepter"	"MAKS. LADNINGER:"
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_charge_restore_time_scepter"	"TID FØR NY LADNING:"

		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura"						"Essence Aura"
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_Description"			"Hver gang en allieret helt i nærheden eller Outworld Destroyer selv anvender en besværgelse, har helten en chance for at gendanne en procentdel af sin mana-pøl. Outworld Destroyer får også en passiv bonus lagt oven i sin basis-mana-pøl. Evner uden nedkøling og evner med til-/fra-indstillinger udløser ikke Essence Aura."
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_Lore"					"Outworld-krystaller producerer mystiske kræfter, og Budbringeren kanaliserer dem ind i de dødeliges verden."
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_Note0"				"Udover Arcane Orb kan de fleste evner, uden nedkølinger, ikke udløse Essence Aura."
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_radius"				"RADIUS:"
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_bonus_mana"			"BASIS-MANA:"
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_restore_amount"			"%MANA GENDANNET:"
		"DOTA_Tooltip_ability_obsidian_destroyer_essence_aura_restore_chance"		"%GENDANNELSESCHANCE:"
		"DOTA_Tooltip_ability_obsidian_destroyer_equilibrium"					"Essence Flux"
		"DOTA_Tooltip_ability_obsidian_destroyer_equilibrium_Description"		"Hver gang du kaster en besværgelse, er der en chance for at gendanne en procentdel af din maksimale mana."
		"DOTA_Tooltip_ability_obsidian_destroyer_equilibrium_proc_chance"		"%CHANCE:"
		"DOTA_Tooltip_ability_obsidian_destroyer_equilibrium_mana_restore"		"%MAKS. MANA GENDANNET:"
		//"DOTA_Tooltip_ability_obsidian_destroyer_equilibrium_mana_capacity_steal"		"%MANA CAPACITY STEAL:"
		//"DOTA_Tooltip_ability_obsidian_destroyer_equilibrium_mana_capacity_duration"		"MANA CAPACITY DURATION:"
		"DOTA_Tooltip_ability_obsidian_destroyer_sanity_eclipse"					"Sanity's Eclipse"
		"DOTA_Tooltip_ability_obsidian_destroyer_sanity_eclipse_Lore"				"Når en Outworld-krystal revner udsendes destruktive energier, og efterklangen af denne kraft føles på tværs af dimensioner."
		"DOTA_Tooltip_ability_obsidian_destroyer_sanity_eclipse_base_damage"		"BASISSKADE:"
		"DOTA_Tooltip_ability_obsidian_destroyer_sanity_eclipse_damage_multiplier"	"SKADEMULTIPLIKATOR (MANA-FORSKEL):"
		"DOTA_Tooltip_ability_obsidian_destroyer_sanity_eclipse_radius"				"RADIUS:"
		"DOTA_Tooltip_ability_obsidian_destroyer_sanity_eclipse_cast_range"			"KASTERÆKKEVIDDE:"
		"DOTA_Tooltip_ability_obsidian_destroyer_sanity_eclipse_Note0"				"Skader ikke kryb eller neutrale enheder."

		"DOTA_Tooltip_modifier_obsidian_destroyer_essence_aura_effect"						"Essence Aura"
		"DOTA_Tooltip_modifier_obsidian_destroyer_essence_aura_effect_Description"			"Efter du kaster en besværgelse, har du en chance for at gendanne en procentdel af din mana-pøl."
		"DOTA_Tooltip_modifier_obsidian_destroyer_astral_imprisonment_buff_counter"					"Stjålet intelligens"
		"DOTA_Tooltip_modifier_obsidian_destroyer_astral_imprisonment_buff_counter_Description"		"Stjæler %dMODIFIER_PROPERTY_TOOLTIP% intelligens fra fjender."
		"DOTA_Tooltip_modifier_obsidian_destroyer_astral_imprisonment_debuff_counter"				"Stjålet intelligens"
		"DOTA_Tooltip_modifier_obsidian_destroyer_astral_imprisonment_debuff_counter_Description"	"Mister %dMODIFIER_PROPERTY_TOOLTIP% intelligens til Outworld Destroyer."
		"DOTA_Tooltip_modifier_obsidian_destroyer_astral_imprisonment_prison"				"Astral Imprisonment"
		"DOTA_Tooltip_modifier_obsidian_destroyer_astral_imprisonment_prison_Description"	"Låst inde i et astral-fængsel. Kan ikke udføre handlinger eller blive udsat for handlinger."
		"DOTA_Tooltip_modifier_obsidian_destroyer_astral_imprisonment_charge_counter"	"Astral Imprisonment – antal ladninger"
		"DOTA_Tooltip_modifier_obsidian_destroyer_astral_imprisonment_charge_counter_Description"	"Du kan bruge Astral Imprisonment, når der er en ladning tilgængelig."
		"DOTA_Tooltip_modifier_obsidian_destroyer_sanity_eclipse_charge"	"Sanity's Eclipse – antal ladninger"
		"DOTA_Tooltip_modifier_obsidian_destroyer_arcane_orb_buff_counter"	"Arcane Orb"
		"DOTA_Tooltip_modifier_obsidian_destroyer_arcane_orb_buff_counter_Description"	"Stjæler %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% intelligens."

		"DOTA_Tooltip_modifier_obsidian_destroyer_arcane_orb_debuff_counter"	"Arcane Orb"
		"DOTA_Tooltip_modifier_obsidian_destroyer_arcane_orb_debuff_counter_Description"	"Mangler %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% intelligens."

		"DOTA_Tooltip_modifier_obsidian_destroyer_equilibrium_active"	"Essence Flux"
		"DOTA_Tooltip_modifier_obsidian_destroyer_equilibrium_debuff"	"Essence Flux"
		"DOTA_Tooltip_modifier_obsidian_destroyer_equilibrium_debuff_Description"	"Hæmmet med %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_modifier_obsidian_destroyer_equilibrium_debuff_counter"  "Astral Imprisonment"
		"DOTA_Tooltip_modifier_obsidian_destroyer_equilibrium_debuff_counter_Description"  "Maks. mana reduceret med %dMODIFIER_PROPERTY_TOOLTIP%."
		"DOTA_Tooltip_modifier_obsidian_destroyer_equilibrium_buff_counter"  "Astral Imprisonment"
		"DOTA_Tooltip_modifier_obsidian_destroyer_equilibrium_buff_counter_Description"  "Stjæler %dMODIFIER_PROPERTY_TOOLTIP% maks. mana"


		// Lycan
		"DOTA_Tooltip_ability_lycan_summon_wolves"									"Summon Wolves"
		"DOTA_Tooltip_ability_lycan_summon_wolves_Lore"								"Den samme fortryllelse, som forvred hans væsen, hidkalder også fortrolige hundevenner."
		"DOTA_Tooltip_ability_lycan_summon_wolves_Description"						"Hidkalder to ulve, som vil kæmpe for Lycan. Ulve i level 3-4 har permanent usynlighed, og ulve i level 4 besidder Cripple-evnen, som giver 20% chance for at lemlæste målet, hvilket gør 8 skade per sekund og fjerner 60 angrebshastighed i 4 sekunder."
		"DOTA_Tooltip_ability_lycan_summon_wolves_shard_description"				"Får én af jeres krybbølger til at indeholde én ulv, som ikke kan styres, og som følger krybene. Ulven kan desuden bruge Cripple-evnen på tårne."
		"DOTA_Tooltip_ability_lycan_summon_wolves_Note1"							"Spirit Wolves har 70% magisk skade-resistens."
		"DOTA_Tooltip_ability_lycan_summon_wolves_Note2"							"At bruge denne evne vil erstatte de aktuelle Spirit Wolves."
		"DOTA_Tooltip_ability_lycan_summon_wolves_wolf_duration"					"VARIGHED:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_wolf_bat"							"GRUNDANGREBSTID:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_wolf_damage"						"SKADE:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_wolf_hp"							"HP:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_tooltip_wolf_count"				"ANTAL ULVE:"
		"DOTA_Tooltip_ability_lycan_howl"											"Howl"
		"DOTA_Tooltip_ability_lycan_howl_Lore"										"Ulvebrøl, som får éns blod til at isne, lader modstandere vide, at Banehallow er hos dem."		
		"DOTA_Tooltip_ability_lycan_howl_howl_duration"								"VARIGHED:"
		"DOTA_Tooltip_ability_lycan_howl_attack_damage_reduction"					"%ANGREBSSKADEREDUKTION:"
		"DOTA_Tooltip_ability_lycan_howl_armor"										"RUSTNINGSREDUKTION:"
		"DOTA_Tooltip_ability_lycan_feral_impulse"									"Feral Impulse"
		"DOTA_Tooltip_ability_lycan_feral_impulse_Lore"								"Banehallows dyriske symbiose med hundearter giver ham skærpede reflekser og jagtkunnen."
		"DOTA_Tooltip_ability_lycan_feral_impulse_Description"						"Øger HP-regenereringen og skaden for Lycan og alle enheder under hans kontrol."
		"DOTA_Tooltip_ability_lycan_feral_impulse_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_lycan_feral_impulse_bonus_damage"						"%BONUS-SKADE:"
		"DOTA_Tooltip_ability_lycan_feral_impulse_bonus_hp_regen"					"EKSTRA HP-REGENERERING:"
		"DOTA_Tooltip_ability_lycan_shapeshift"										"Shapeshift"
		"DOTA_Tooltip_ability_lycan_shapeshift_Lore"								"Han er for evigt bundet til sin ulvemenneske-skikkelse; Banehallow er endt med at acceptere sin forbandelse og tager glædeligt imod sin egen vildskab."
		"DOTA_Tooltip_ability_lycan_shapeshift_Description"							"Lycan antager sin ulveform, hvilket giver hans enheder og ham selv kritiske slag og øget syn om natten. Under Shapeshift-evnens effekt bevæger Lycan, samt alle enheder under hans kontrol, sig med øget hastighed, kan ikke hæmmes og har %crit_chance%%% chance for at foretage et kritisk angreb, der gør %crit_multiplier%%% skade."
		"DOTA_Tooltip_ability_lycan_shapeshift_Note0"								"Hex fjerner ikke Lycans bevægelseshastighed."
		"DOTA_Tooltip_ability_lycan_shapeshift_Note1"								"Lycan har en mindre kollisionsstørrelse i denne form."
		"DOTA_Tooltip_ability_lycan_shapeshift_duration"							"VARIGHED:"
		"DOTA_Tooltip_ability_lycan_shapeshift_speed"								"SHAPESHIFT-BEVÆGELSESHASTIGHED:"
		"DOTA_Tooltip_ability_lycan_shapeshift_bonus_night_vision"					"BONUS-NATTESYN:"
		"DOTA_Tooltip_ability_lycan_shapeshift_health_bonus"						"HP-BONUS:"
		"DOTA_Tooltip_ability_lycan_shapeshift_crit_chance"							"%KRITISK CHANCE:"
		"DOTA_Tooltip_ability_lycan_shapeshift_crit_multiplier"						"%KRITISK SKADE:"
		"DOTA_Tooltip_ability_lycan_shapeshift_transformation_time"					"TRANSFORMERINGSTID:"
		"DOTA_Tooltip_ability_lycan_shapeshift_abilitydraft_note"					"Afstandshelte mister deres angrebsrækkevidde i løbet af Shapeshift, men evner, der øger afstandsrækkevidden, kan gøre op for det (f.eks. Arctic Burn)"
		"DOTA_Tooltip_ability_lycan_summon_wolves_critical_strike"					"Cripple"
		"DOTA_Tooltip_ability_lycan_summon_wolves_critical_strike_Description"		"Har %main_chance%%% chance for at forkrøble sit mål, hvilket gør %main_damage% skade per sekund og får det til at miste %main_attack_speed% angrebshastighed i %main_duration% sekunder."
		"DOTA_Tooltip_ability_lycan_summon_wolves_critical_strike_maim_chance"		"%CHANCE FOR LEMLÆSTNING:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_critical_strike_maim_damage"      "SKADE PER SEKUND:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_critical_strike_maim_movement_speed"    "%BEVÆGELSESHÆMNING:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_critical_strike_maim_attack_speed"    "ANGREBSHÆMNING:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_critical_strike_maim_duration"    "VARIGHED:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_invisibility"						"Invisibility"
		"DOTA_Tooltip_ability_lycan_summon_wolves_invisibility_Description"			"Permanent usynlige når de ikke angriber."
		"DOTA_Tooltip_ability_lycan_wolf_bite"					"Wolf Bite"
		"DOTA_Tooltip_ability_lycan_wolf_bite_Description"		"Lycan bider en allieret, hvilket giver den allierede fordelene fra Shapeshift-evnen. Lycan og det bidte mål får %lifesteal_percent%%% livsstjæl og deler heling fra livsstjæl med hinanden, så længe de er inden for %lifesteal_range% rækkevidde af hinanden."
		"DOTA_Tooltip_ability_lycan_wolf_bite_Note0"		"Nedkølingen på Wolf Bite svarer til nedkølingen på det nuværende level af Shapeshift."
		"DOTA_Tooltip_ability_lycan_wolf_bite_Lore"		"Ser dette bid inficeret ud?"
		
		"DOTA_Tooltip_modifier_lycan_howl_aura"						"Howl Aura"
		"DOTA_Tooltip_modifier_lycan_howl_aura_Description"			"Påfører Howl til spillerstyrede enheder."
		"DOTA_Tooltip_modifier_lycan_howl"							"Howl"
		"DOTA_Tooltip_modifier_lycan_howl_Description"				"Skade reduceret med %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%, og rustning reduceret med %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_lycan_feral_impulse"					"Feral Impulse"
		"DOTA_Tooltip_modifier_lycan_feral_impulse_Description"		"Opnår %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP-regenerering og %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% bonusskade."
		"DOTA_Tooltip_modifier_lycan_summon_wolves_invisibility"	"Usynlig"
		"DOTA_Tooltip_modifier_lycan_summon_wolves_crit_maim"               "Cripple"
		"DOTA_Tooltip_modifier_lycan_summon_wolves_crit_maim_Description"	"Reducerer angrebshastighed med %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% og tager %dMODIFIER_PROPERTY_TOOLTIP% skade."
		"DOTA_Tooltip_modifier_lycan_shapeshift"					"Shapeshift"
		"DOTA_Tooltip_modifier_lycan_shapeshift_Description"		"Opnår hast og kritisk slag."
		"DOTA_Tooltip_modifier_lycan_shapeshift_speed"				"Shapeshift"
		"DOTA_Tooltip_modifier_lycan_shapeshift_speed_Description"	"Opnår hast."
		"DOTA_Tooltip_modifier_lycan_wolf_bite_lifesteal"			"Bite"
		"DOTA_Tooltip_modifier_lycan_wolf_bite_attack_range"			"Bite"
		"DOTA_Tooltip_modifier_lycan_howl_untargettable"					"Skræmmende"
		"DOTA_Tooltip_modifier_lycan_howl_untargettable_Description"		"Så skræmmende, at fjender ikke kan angribe Lycan"

		// LONE DRUID
		"DOTA_Tooltip_ability_lone_druid_spirit_bear"								"Summon Spirit Bear"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_Lore"							"Syllas livslange kompagnon er symbiotisk med hans sjæl og hjerte, og kommer til enhver tid frem for at hjælpe ham, når der er brug for det."
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_Note0"							"De fleste besværgelser virker på samme måde med Spirit Bear, som de gør med helte."
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_bear_hp"						"HP (BJØRN):"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_bear_regen_tooltip"			"HP-REGENERERING (BJØRN)"	
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_bear_armor"					"RUSTNING (BJØRN):"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_bear_bat"						"GRUNDANGREBSTID (BJØRN):"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_movespeed_tooltip"				"BEVÆGELSESHASTIGHED (BJØRN):"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_return"						"Return"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_return_Description"			"Kanaliserer i %channel_tooltip% sekunder, og teleporterer derefter Spirit Bear tilbage til Lone Druid."
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle"						"Entangling Claws"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle_Description"			"Angreb har en chance for at få rødder til at blusse op ad jorden, hvilket fastgør den påvirkede fjendtlige enhed og gør skade per sekund."
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle_Note0"				"Fastgjorte enheder kan ikke bruge Blink-evner og afsløres, hvis de er usynlige."
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle_entangle_chance"		"%CHANCE FOR FASTGØRELSE (BJØRN):"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle_hero_duration"		"VARIGHED (HELTE):"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_demolish"						"Demolish"	
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_demolish_Description"			"Øger Sprit Bears kræfter, hvilket gør, at den gør mere skade på bygninger og har ekstra magisk resistens."
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_demolish_bonus_building_damage""%EKSTRA BYGNINGSSKADE (BJØRN):"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_demolish_spell_resistance"		"%MAGISK RESISTENS:"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_defender"						"Defender"
		"DOTA_Tooltip_ability_lone_druid_rabid"										"Rabid"
		"DOTA_Tooltip_ability_lone_druid_rabid_Lore"								"Bjørne er som regel ikke set som smidige væsener, men kan faktisk bevæge sig temmelig hurtigt, især når de er ophidsede."
		"DOTA_Tooltip_ability_lone_druid_rabid_Description"							"Øger Lone Druids og Spirit Bears angrebs- og bevægelseshastighed."
		"DOTA_Tooltip_ability_lone_druid_rabid_bonus_attack_speed"					"ANGREBSHASTIGHED:"
		"DOTA_Tooltip_ability_lone_druid_rabid_bonus_move_speed"					"%BEVÆGELSESHASTIGHED:"
		"DOTA_Tooltip_ability_lone_druid_rabid_rabid_duration"						"VARIGHED:"
		"DOTA_Tooltip_ability_lone_druid_spirit_link"								"Spirit Link"
		"DOTA_Tooltip_ability_lone_druid_spirit_link_bonus_attack_speed"			"ANGREBSHASTIGHED:"
		"DOTA_Tooltip_ability_lone_druid_spirit_link_armor_sharing"					"%RUSTNING DELT:"
		"DOTA_Tooltip_ability_lone_druid_spirit_link_lifesteal_percent"						"%DELT LIVSSTJÆL:"
		"DOTA_Tooltip_ability_lone_druid_entangling_claws"							"Entangling Claws"
