"lang"
{ 
	"Language" "german" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"Lebenspunkte"					// $health
		"dota_ability_variable_mana"				"Mana"						// $mana
		"dota_ability_variable_armor"				"Rüstung"						// $armor
		"dota_ability_variable_damage"				"Schaden"					// $damage
		"dota_ability_variable_str"					"Stärke"					// $str
		"dota_ability_variable_int"					"Intelligenz"				// $int
		"dota_ability_variable_agi"					"Agilität"					// $agi
		"dota_ability_variable_all"					"Alle Attribute"			// $all
		"dota_ability_variable_primary_attribute"	"Primärattribut"			// $primary_attribute
		"dota_ability_variable_attack"				"Angriffstempo"				// $attack
		"dota_ability_variable_hp_regen"			"Lebensregeneration"		// $hp_regen
		"dota_ability_variable_lifesteal"			"Lebensraub"					// $lifesteal
		"dota_ability_variable_mana_regen"			"Manaregeneration"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"Manaregeneration (Aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"Zauberschaden"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"Schwächungsdauer"			// $debuff_amp
		"dota_ability_variable_move_speed"			"Bewegungstempo"			// $move_speed
		"dota_ability_variable_evasion"				"Ausweichen"					// $evasion
		"dota_ability_variable_spell_resist"		"Magieresistenz"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"Zauberlebensraub"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"Zauberlebensraub (Diener)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"Zauberlebensraub (Helden)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"Ausgewähltes Attribut"		// $selected_attribute
		"dota_ability_variable_attack_range"		"Angriffsreichweite <font color='#7d7d7d'>(nur Fernkampf)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"Angriffsreichweite <font color='#7d7d7d'>(Nur Nahkampf)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"Zauberreichweite"				// $cast_range
		"dota_ability_variable_status_resist"		"Statusresistenz"			// $status_resist
		"dota_ability_variable_projectile_speed"	"Projektiltempo"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"Manakostenreduzierung"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Abklingzeitreduzierung"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"Max. Manabonus"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"Schaden (Intelligenzheld)"
		"DOTA_Tooltip_modifier_ember_spirit_sleight_of_fist_caster_Description"				"Greift alle Gegner im Zielbereich an."

		// EARTH SPIRIT
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash"					"Boulder Smash"
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash_Description"		"Earth Spirit schlägt auf einen Gegner, Verbündeten oder Stone Remnant ein und schleudert ihn in seine Blickrichtung. Wenn Earth Spirit auf ein Gebiet zielt, wird er den nächsten Stone Remnant in einem Radius von %remnant_smash_radius_tooltip% treffen. Das geschleuderte Ziel fügt allen getroffenen Einheiten Schaden zu. Falls es sich um einen Stone Remnant handelt, werden getroffene Ziele zusätzlich verlangsamt und die Reichweite erhöht."
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash_Lore"				"Es ist die Kraft eines Berges, mit der Earth Spirit seine Gegner schlägt."
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash_abilitydraft_note"     "Für die Stone-Remnant-Kombination muss außerdem Magnetize gewählt werden, um Stone Remnants beschwören zu können."
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash_rock_search_aoe"			"SMASH RADIUS (REMNANT):"
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash_rock_damage"		"SCHADEN:"
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash_duration"		"VERLANGSAMUNGSDAUER:"
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash_move_slow"		"%VERLANGSAMUNG:"
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash_speed"				"GESCHWINDIGKEIT:"
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash_unit_distance"		"DISTANZ:"
		"DOTA_Tooltip_ability_earth_spirit_boulder_smash_rock_distance"		"DISTANZ (REMNANT):"
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder"					"Rolling Boulder"
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_Description"		"Earth Spirit wird zu einem Felsbrocken und rollt nach %delay% Sekunden in Richtung des Zielorts. Getroffene gegnerischen Einheiten erleiden %damage% + %damage_str% %% des Stärkewerts als Schaden und werden betäubt. Kollidiert Earth Spirit mit einem gegnerischen Helden oder wird er betäubt, zerbricht der Felsen. Befindet sich in seinem Pfad ein Stone Remnant, werden Reichweite und Geschwindigkeit sowie die Dauer der Betäubung erhöht."
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_Lore"			"Earth Spirit zieht mithilfe seiner Verbindung zur Erde lose Steine zu sich, die eine schützende Kugel um ihn bilden, welche er benutzen kann, um kurze Distanzen zu rollen."
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_abilitydraft_note"     "Für die Stone-Remnant-Kombination muss außerdem Magnetize gewählt werden, um Stone Remnants beschwören zu können."
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_speed"			"TEMPO:"
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_rock_speed"		"TEMPO (REMNANT):"
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_damage"			"SCHADEN:"
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_distance"		"DISTANZ:"
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_rock_distance_multiplier"	"DISTANZMULTIPLIKATOR (REMNANT):"
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_stun_duration"	"BETÄUBUNGSDAUER:"
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_rock_bonus_duration"	"BONUSDAUER (REMNANT):"
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_Note0"					"Beim Rollen über einen Stone Remnant wird dieser zerstört."
		"DOTA_Tooltip_ability_earth_spirit_rolling_boulder_Note1"					"Der Felsen hat einen Radius von 160 Einheiten."
		"DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip"				"Geomagnetic Grip"
		"DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip_Description"	"Earth Spirit zieht den ausgewählten Stone Remnant zu seiner Position. Getroffene Gegner werden verstummt und erleiden Schaden."
		"DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip_Note0"			"Wirkt nicht auf Einheiten, die unter dem Einfluss von Chronosphere, Duel oder Black Hole stehen."
		"DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip_Note1"			"Geomagnetic Grip kann auch auf verbündete Diener gewirkt werden."
		"DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip_abilitydraft_note"	"<span class=\"ADWarning\"><b>Magnetize</b> muss ebenfalls gewählt werden, um Stone Remnants verwenden zu können.</span>"
		"DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip_Lore"			"Gleich und Gleich gesellt sich gern. Sogar die Mineralien, die im Blut und den Knochen von Lebewesen gefunden werden können, können dem Ruf des Earth Spirit nicht widerstehen."
		"DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip_duration"		"VERSTUMMUNGSDAUER:"
		"DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip_rock_damage"	"SCHADEN (REMNANT):"
		"DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip_pull_units_per_second"	"ZUGGESCHWINDIGKEIT (REMNANT):"
		"DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip_pull_units_per_second_heroes"	"ZUGGESCHWINDIGKEIT (HELDEN):"
		"DOTA_Tooltip_ability_earth_spirit_stone_caller"					"Stone Remnant"
		"DOTA_Tooltip_ability_earth_spirit_stone_caller_Description"		"Ruft am Zielort einen Stone Remnant herbei. Stone Remnants gewähren keine Sicht, sind unverwundbar und können für Earth Spirits Fähigkeiten genutzt werden. Das Rufen eines Stone Remnants verbraucht eine Aufladung, welche sich über Zeit wiederaufladen."
		"DOTA_Tooltip_ability_earth_spirit_stone_caller_shard_description"  "Stone Remnants gewähren Sicht. Erhöht die Anzahl an Steinabbildern um %shard_tooltip%."
		"DOTA_Tooltip_ability_earth_spirit_stone_caller_shard_bonus_charges"	"BONUSAUFLADUNGEN:"
		"DOTA_Tooltip_ability_earth_spirit_stone_caller_shard_vision_radius"	"SICHTRADIUS:"
		"DOTA_Tooltip_ability_earth_spirit_stone_caller_duration"			"DAUER:"
		"DOTA_Tooltip_ability_earth_spirit_stone_caller_Lore"				"Earth Spirit beschwört ein Überbleibsel seiner Steinarmee, lange begraben mit ihm in der dunklen Umarmung der Erde."
		"DOTA_Tooltip_ability_earth_spirit_magnetize"						"Magnetize"
		"DOTA_Tooltip_ability_earth_spirit_magnetize_Description"			"Magnetisiert Einheiten in einem kleinen Bereich und fügt ihnen für kurze Zeit Schaden zu. Stone Remnants in der Nähe von magnetisierten Helden explodieren und magnetisieren wiederum Einheiten in ihrer Nähe. Dieser Prozess kann sich mehrere Male wiederholen. Wenn ein gegnerischer Held mit Geomagnetic Grip oder Boulder Smash getroffen wird, teilen alle magnetisierten Helden den Effekt."
		"DOTA_Tooltip_ability_earth_spirit_magnetize_cast_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_earth_spirit_magnetize_damage_per_second"		"SCHADEN PRO SEKUNDE:"
		"DOTA_Tooltip_ability_earth_spirit_magnetize_damage_duration"		"MAGNETIZE-DAUER:"
		"DOTA_Tooltip_ability_earth_spirit_magnetize_rock_search_radius"	"REMNANT-SUCHRADIUS:"
		"DOTA_Tooltip_ability_earth_spirit_magnetize_rock_explosion_radius"	"REMNANT-EXPLOSIONSRADIUS:"						
		"DOTA_Tooltip_ability_earth_spirit_magnetize_Lore"					"Auf Earth Spirits Ruf hin, rebellieren die Mineralien im Blut und den Knochen seiner Gegner gegen den Körper, in dem sie sich befinden."
		"DOTA_Tooltip_ability_earth_spirit_magnetize_abilitydraft_note"     "Gewährt außerdem die Fähigkeit „Stone Remnant“. Aghanims Zepter gewährt dementsprechend die Fähigkeit „Enchant Stone Remnant“."
		"DOTA_Tooltip_ability_earth_spirit_petrify"						"Enchant Remnant"
		"DOTA_Tooltip_ability_earth_spirit_petrify_Description"						"Earth Spirit verzaubert einen Helden für eine kurze Zeit, wodurch diesem die Eigenschaften eines Steinabbilds verliehen werden. Nach Ende des Effekts zerspringt das Abbild, der eingesperrte Held kommt frei und Gegner in dessen Nähe erleiden Schaden.<br><br>Kann auf Steinabbilder angewendet werden und hat dann 5 Sekunden Abklingzeit.<br>Hat eine erhöhte Zauberreichweite bei Anwendung auf Verbündete."
		"DOTA_Tooltip_ability_earth_spirit_petrify_duration"		"REMNANT-DAUER:"
		"DOTA_Tooltip_ability_earth_spirit_petrify_damage"	"SHATTER-SCHADEN:"
		"DOTA_Tooltip_ability_earth_spirit_petrify_aoe"			"SPLITTERRADIUS:"		
		"DOTA_Tooltip_ability_earth_spirit_petrify_ally_cast_range"			"ZAUBERREICHWEITE (VERBÜNDETE):"		
		"DOTA_Tooltip_ability_earth_spirit_petrify_Lore"					"Kaolin nutzt die elementare Macht der Erde, um Lebewesen kurzzeitig zu versteinern, sodass sie möglicherweise für die Armee aus Steinkriegern eingezogen werden."
		
		"DOTA_Tooltip_modifier_earth_spirit_stone_caller_charge_counter"						"Stone Remnants"
		"DOTA_Tooltip_modifier_earth_spirit_stone_caller_charge_counter_Description"			"Sie können Stone Remnants nur dann platzieren, wenn eine Aufladung zur Verfügung steht. Aufladungen stellen sich im Laufe der Zeit wieder her."
		"DOTA_Tooltip_modifier_earth_spirit_boulder_smash_silence"				"Boulder-Smash-Silence"
		"DOTA_Tooltip_modifier_earth_spirit_boulder_smash_silence_Description"	"Verstummt von einem Stein von Earth Spirit."
		"DOTA_Tooltip_modifier_earth_spirit_boulder_smash"										"Boulder Smash"
		"DOTA_Tooltip_modifier_earth_spirit_boulder_smash_debuff"				"Boulder Smash"
		"DOTA_Tooltip_modifier_earth_spirit_boulder_smash_debuff_Description"	"Von Earth Spirits Boulder Smash getroffen. Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% reduziert. "
		"DOTA_Tooltip_modifier_earth_spirit_rolling_boulder_caster"				"Rolling Boulder"
		"DOTA_Tooltip_modifier_earth_spirit_rolling_boulder_slow"				"Verlangsamung durch Rolling Boulder"
		"DOTA_Tooltip_modifier_earth_spirit_rolling_boulder_slow_Description"	"Getroffen von Earth Spirits Rolling Boulder. Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% verlangsamt."
		"DOTA_Tooltip_modifier_earth_spirit_geomagnetic_grip_debuff"						"Verstummt"
		"DOTA_Tooltip_modifier_earth_spirit_geomagnetic_grip"					"Geomagnetic Grip"
		"DOTA_Tooltip_modifier_earth_spirit_geomagnetic_grip_Description"		"Wird zu Earth Spirit gezogen."
		"DOTA_Tooltip_modifier_earth_spirit_magnetize"							"Magnetize"
		"DOTA_Tooltip_modifier_earth_spirit_magnetize_Description"				"Durch Earth Spirit magnetisiert und erleidet Schaden pro Sekunde. Das Annähern an einen von Earth Spirits Remnants, zündet das Remnant an, magnetisiert alle in der nähe befindlichen gegnerischen Helden und erneuert den Debuff."
		"DOTA_Tooltip_modifier_earthspirit_petrify"				"Enchant Remnant"
		"DOTA_Tooltip_modifier_earthspirit_petrify_Description"				"Das Ziel wird vorübergehend in einen Stone Remnant verwandelt."		

		//ABYSSAL UNDERLORD
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm"					"Firestorm"
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_Description"		"Lässt Feuer in Wellen vom Himmel regnen, die gegnerischen Einheiten im Zielgebiet Schaden zufügen und sie in Brand stecken, was über die Zeit weiteren Schaden verursacht."
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_shard_description"		"Firestorm kann auf Underlord selbst angewendet werden, was dazu führt, dass dieser ihm folgt. Erhöht die Anzahl der Wellen und reduziert das Intervall sowie die Branddauer, wodurch diese häufiger auftreten."
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_Lore"				"Die Flammen der Eroberung züngeln aus den dunkelsten Tiefen des Abgrunds empor."
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_wave_count"		"WELLEN:"
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_wave_damage"		"WELLEN-SCHADEN:"
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_wave_interval"	"WELLENINTERVALL:"
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_burn_damage"		"%MAX. HP ALS BRANDSCHADEN:"
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_burn_duration"	"BRANDDAUER:"
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_abilitycastrange"				"ZAUBERREICHWEITE:"
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_shard_wave_count_bonus"			"BONUSWELLEN:"
		"DOTA_Tooltip_ability_abyssal_underlord_firestorm_shard_wave_interval_reduction"	"%REDUZIERUNG (BRANDDAUER/WELLENINTERVALL):"
		"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice"				"Pit of Malice"
		"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_Description"	"Beschwört am Zielort eine tödliche Grube. Alle gegnerischen Einheiten, welche die Grube betreten, werden festgesetzt. Solange er sich in der Grube aufhält, wird ein Gegner alle %pit_interval% Sekunden von diesem Effekt getroffen."
		"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_scepter_description"		"Verlangsamt gegnerisches Bewegungstempo im Wirkungsbereich von Pit of Malice."
		"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_Lore"			"Durch Risse in die Realität gelang, paralysiert der augenscheinliche Hass von Vrogos jene, die sich seinem Willen widersetzen."
		"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_radius"		"RADIUS:"
		"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_pit_duration"	"DAUER:"
		"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_speed_bonus"	"%BEWEGUNGSVERLANGSAMUNG:"
		"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_pit_interval"	"FESTSETZUNGSINTERVALL:"
		"DOTA_Tooltip_ability_abyssal_underlord_pit_of_malice_ensnare_duration"	"FESTSETZUNGSDAUER:"
		"DOTA_Tooltip_ability_abyssal_underlord_atrophy_aura"				"Atrophy Aura"
		"DOTA_Tooltip_ability_abyssal_underlord_atrophy_aura_Description"	"Nahe gegnerische Einheiten werden geschwächt und verlieren einen Teil ihres Grundschadens. Wenn ein Gegner stirbt, während er unter diesem Effekt steht, erhält Underlord temporär zusätzlichen Angriffsschaden."
		"DOTA_Tooltip_ability_abyssal_underlord_atrophy_aura_Lore"			"Lediglich in der Anwesenheit des Underlords zu stehen, fühlt sich an, als würde einem die Überzeugung der Schlacht die Seele aufzehren."
		"DOTA_Tooltip_ability_abyssal_underlord_atrophy_aura_radius"		"RADIUS:"
		"DOTA_Tooltip_ability_abyssal_underlord_atrophy_aura_damage_reduction_pct"		 "%SCHADENSREDUZIERUNG:"
		"DOTA_Tooltip_ability_abyssal_underlord_atrophy_aura_bonus_damage_from_creep"	"BONUSSCHADEN (DIENER/NEUTRAL):"
		"DOTA_Tooltip_ability_abyssal_underlord_atrophy_aura_bonus_damage_from_hero"	"BONUSSCHADEN (HELDEN):"
		"DOTA_Tooltip_ability_abyssal_underlord_atrophy_aura_bonus_damage_duration"		"DAUER:"
		"DOTA_Tooltip_ability_abyssal_underlord_dark_portal"					"Fiend's Gate"
		"DOTA_Tooltip_ability_abyssal_underlord_dark_portal_scepter_description"	"Beschwört Pit of Malice unter beiden Portalen."
		"DOTA_Tooltip_ability_abyssal_underlord_dark_portal_Lore"					"Sie kommen ohne Vorwarnung und hinterlassen Feuer und Blut, wo einst florierende Königreiche waren."
		"DOTA_Tooltip_ability_abyssal_underlord_dark_portal_Description"		"Öffnet 2 Portale, eines neben Underlord und eines am Zielort. Helden können ein Portal für 3 Sekunden kanalisieren, um sich auf die andere Seite zu teleportieren. Gewährt Verbündeten, die sich durch das Portal teleportieren, Schadensreduzierung und Bewegungstempo. Die Portale müssen mindestens %minimum_distance% Einheiten voneinander entfernt sein."
		"DOTA_Tooltip_ability_abyssal_underlord_dark_portal_cast_range"			"ZAUBERREICHWEITE:"		
		"DOTA_Tooltip_ability_abyssal_underlord_dark_portal_damage_reduction"	"%SCHADENSREDUZIERUNG:"		
		"DOTA_Tooltip_ability_abyssal_underlord_dark_portal_bonus_ms"			"%BONUSBEWEGUNGSTEMPO:"		
		"DOTA_Tooltip_ability_abyssal_underlord_dark_portal_buff_duration"		"STÄRKUNGSDAUER:"		
		"DOTA_Tooltip_ability_abyssal_underlord_dark_portal_duration"			"DAUER:"		
		"DOTA_Tooltip_ability_abyssal_underlord_dark_portal_channel_time"			"KANALISIERUNGSZEIT:"		
		"DOTA_Tooltip_ability_abyssal_underlord_dark_rift"					"Dark Rift"
		"DOTA_Tooltip_ability_abyssal_underlord_dark_rift_Description"		"Öffnet eine dunklen Riss nahe einer verbündeten Einheit oder eines verbündeten Gebäudes. Nach einer kurzen Verzögerung werden Underlord und alle verbündeten Helden in seiner Nähe zur Position dieser Einheit teleportiert. Dark Rift kann während des Zauberns jederzeit abgebrochen werden. Wenn die Fähigkeit abgebrochen wird oder die Zieleinheit stirbt, bevor der Zauber beendet ist, beginnt die Abklingzeit."
		"DOTA_Tooltip_ability_abyssal_underlord_dark_rift_Lore"				"Sie kommen ohne Vorwarnung und hinterlassen Feuer und Blut, wo einst florierende Königreiche waren."
		"DOTA_Tooltip_ability_abyssal_underlord_dark_rift_radius"			"TELEPORT-RADIUS:"
		"DOTA_Tooltip_ability_abyssal_underlord_dark_rift_teleport_delay"	"TELEPORTATIONSVERZÖGERUNG:"
		"DOTA_Tooltip_ability_abyssal_underlord_cancel_dark_rift"			"Dark Rift abbrechen"
		"DOTA_Tooltip_ability_abyssal_underlord_cancel_dark_rift_Description"	"Den Teleport stoppen."
		"DOTA_Tooltip_ability_abyssal_underlord_dark_rift_Note0"					"Doppelklick, um zum eigenen Brunnen zu teleportieren." 
	
		"DOTA_Tooltip_modifier_abyssal_underlord_firestorm_burn"						"Firestorm"
		"DOTA_Tooltip_modifier_abyssal_underlord_firestorm_burn_Description"			"Erleidet Schaden über Zeit."
		"DOTA_Tooltip_modifier_abyssal_underlord_pit_of_malice_ensare"					"Pit of Malice"
		"DOTA_Tooltip_modifier_abyssal_underlord_pit_of_malice_ensare_Description"		"Festgehalten durch Pit of Malice. Kann sich nicht bewegen oder blinken."
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura"							"Atrophy Aura"
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura_Description"				"Verringert den Schaden von in der Nähe befindlichen Gegnern."
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura_effect"					"Atrophy Aura"
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura_effect_Description"		"Schaden um %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE% %% verringert."
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura_dmg_buff_counter"				"Atrophy Aura"
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura_dmg_buff_counter_Description"	"Erhält %dMODIFIER_PROPERTY_TOOLTIP% Bonusschaden."
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura_scepter"				"Atrophy Aura"
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura_scepter_Description"	"Erhält Bonusschaden."
		"DOTA_Tooltip_modifier_abyssal_underlord_dark_rift"								"Dark Rift"
		"DOTA_Tooltip_modifier_abyssal_underlord_dark_rift_Description"					"Underlord teleportiert zu dieser Einheit."
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura_hero_permanent_buff"				"Permanenter Angriffsschaden durch Verkümmerungsaura"
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura_hero_permanent_buff_Description"	"Angriffsschaden um %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% erhöht."
		"DOTA_Tooltip_modifier_abyssal_underlord_atrophy_aura_hero_permanent_buff_PostGame"	"Bonusschaden erhalten."
		"DOTA_Tooltip_modifier_underlord_portal_buff"	"Teufelstor"
		"DOTA_Tooltip_modifier_underlord_portal_buff_description"	"Erhält %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE% %% Schadensreduzierung und %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% Bewegungstempo."
		"DOTA_Tooltip_modifier_abyssal_underlord_pit_of_malice_slow"					"Grube des Bösen"
		"DOTA_Tooltip_modifier_abyssal_underlord_pit_of_malice_slow_Description"		"Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% reduziert."
		
		//

		//PHOENIX
		"DOTA_Tooltip_ability_phoenix_icarus_dive"							"Icarus Dive"
		"DOTA_Tooltip_ability_phoenix_icarus_dive_Description"				"Phoenix fliegt einen Bogen mit fester Entfernung, bevor er zu seinem Ausgangspunkt zurückkehrt. Jede auf dem Flug berührte gegnerische Einheit erleidet Schaden über Zeit und wird verlangsamt. Wenn Phoenix Supernova einsetzt, endet der Flug."
		"DOTA_Tooltip_ability_phoenix_icarus_dive_Lore"						"Auch wenn ihm das Reisen durch die kosmische Leere nicht fremd ist, bereitet es doch einzigartige Freuden, durch die Atmosphäre zu segeln."		
		"DOTA_Tooltip_ability_phoenix_icarus_dive_hp_cost_perc"				"%LP-KOSTEN:"
		"DOTA_Tooltip_ability_phoenix_icarus_dive_dash_length"				"DIVE-LÄNGE:"
		"DOTA_Tooltip_ability_phoenix_icarus_dive_burn_duration"			"BRANDDAUER:"
		"DOTA_Tooltip_ability_phoenix_icarus_dive_damage_per_second"		"SCHADEN PRO SEKUNDE:"
		"DOTA_Tooltip_ability_phoenix_icarus_dive_slow_movement_speed_pct"	"%BEWEGUNGSVERLANGSAMUNG:"
		"DOTA_Tooltip_ability_phoenix_icarus_dive_Note0"					"Icarus Dive hat eine Flugzeit von %dive_duration% Sekunden und kann vorzeitig abgebrochen werden, indem die Fähigkeit erneut aktiviert wird."
		"DOTA_Tooltip_ability_phoenix_icarus_dive_stop"							"Stop Icarus Dive"
		"DOTA_Tooltip_ability_phoenix_icarus_dive_stop_Description"				"Beendet den Flug sofort."
		"DOTA_Tooltip_ability_phoenix_icarus_dive_stop_Lore"				"SCREE!"
		"DOTA_Tooltip_ability_phoenix_fire_spirits"							"Fire Spirits"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_Description"				"Beschwört 4 Flammengeister, die Phoenix umkreisen. Jeder Geist kann einzeln auf ein Zielgebiet geworfen werden. Getroffene Gegner erleiden Schaden über Zeit und ihr Angriffstempo wird stark reduziert."
		"DOTA_Tooltip_ability_phoenix_fire_spirits_shard_description"		"Fire Spirits wird zu einer passiven Fähigkeit mit Aufladungen. Wiederaufladezeit: 7 s."
		"DOTA_Tooltip_ability_phoenix_fire_spirits_Note0"				"Die Flammengeister decken das Gebiet, in dem sie aufschlagen, für 1 Sekunde auf."
		"DOTA_Tooltip_ability_phoenix_fire_spirits_Lore"					"Phoenix' kollabierender Kern erzeugt oft kurzlebige Explosionen intelligenten Lichts."
		"DOTA_Tooltip_ability_phoenix_fire_spirits_hp_cost_perc"			"%LP-KOSTEN:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_spirit_duration"			"GEISTDAUER:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_radius"					"RADIUS:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_duration"				"BRANDDAUER:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_damage_per_second"						"SCHADEN PRO SEKUNDE:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_attackspeed_slow"		"ANGRIFFSTEMPOVERLANGSAMUNG:"
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit"							"Launch Fire Spirit"
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_Description"				"Jeder Flammengeist kann einzeln auf ein Zielgebiet geworfen werden. Getroffene Gegner erleiden Schaden über Zeit und ihr Angriffstempo wird stark reduziert."
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_Note0"				"Feuergeister gewähren für 1 Sekunde Sicht auf den Zielbereich."
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_Lore"					"PKAWW! BOOM"
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_hp_cost_perc"			"%LP-KOSTEN:"
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_spirit_duration"		"GEISTDAUER:"
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_radius"				"RADIUS:"
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_duration"				"BRANDDAUER:"
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_damage_per_second"					"SCHADEN PRO SEKUNDE:"
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_attackspeed_slow"		"ANGRIFFSTEMPOVERLANGSAMUNG:"
		"DOTA_Tooltip_ability_phoenix_sun_ray"							"Sun Ray"
