"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"พลังชีวิต"					// $health
		"dota_ability_variable_mana"				"มานา"						// $mana
		"dota_ability_variable_armor"				"เกราะป้องกัน"						// $armor
		"dota_ability_variable_damage"				"พลังโจมตี"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"ค่าคุณสมบัติทั้งหมด"			// $all
		"dota_ability_variable_primary_attribute"	"ค่าสถานะหลัก"			// $primary_attribute
		"dota_ability_variable_attack"				"ความเร็วในการโจมตี"				// $attack
		"dota_ability_variable_hp_regen"			"อัตราการฟื้นฟูพลังชีวิต"		// $hp_regen
		"dota_ability_variable_lifesteal"			"ดูดพลังชีวิต"					// $lifesteal
		"dota_ability_variable_mana_regen"			"อัตราฟื้นฟูมานา"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"ออราอัตราฟื้นฟูมานา"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"ความเสียหายสกิล"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"ระยะเวลาดีบัฟ"			// $debuff_amp
		"dota_ability_variable_move_speed"			"ความเร็วในการเคลื่อนที่"			// $move_speed
		"dota_ability_variable_evasion"				"อัตราหลบหลีก"					// $evasion
		"dota_ability_variable_spell_resist"		"ความต้านทานเวทมนตร์"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"สกิลดูดพลังชีวิต"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"สกิลดูดพลังชีวิต (ครีป)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"สกิลดูดพลังชีวิต (ฮีโร่)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ค่าคุณสมบัติที่เลือก"		// $selected_attribute
		"dota_ability_variable_attack_range"		"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะไกล)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะประชิด)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"ระยะร่าย"				// $cast_range
		"dota_ability_variable_status_resist"		"ความต้านทานสถานะ"			// $status_resist
		"dota_ability_variable_projectile_speed"	"ความเร็วกระสุน"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"ลดมานาที่ใช้"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"ลดคูลดาวน์"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"เพิ่มมานาสูงสุด"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"พลังโจมตี (ฮีโร่ Intelligence)"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_return"						"Return"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_return_Description"			"ยืนร่าย %channel_tooltip% วินาที และจากนั้นเทเลพอร์ต Sprit Bear กลับมาที่ Lone Druid"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle"						"Entangling Claws"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle_Description"			"การโจมตีมีโอกาสที่ทำให้เกิดรากไม้ผุดขึ้นมาจากพื้นดิน ทำให้เป้าหมายที่ถูกโจมตีเคลื่อนที่ไม่ได้และรับความเสียหาย ต่อเนื่องทุกวินาที"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle_Note0"				"ยูนิตที่โดน Entangle จะไม่สามารถใช้ Blink ได้ และถ้ากำลังล่องหนอยู่ จะถูกทำให้ปรากฏตัว"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle_entangle_chance"		"%โอกาส ENTANGLE ของหมี:"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle_hero_entangle_chance"		"%TRUE FORM โอกาส ENTANGLE:"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_entangle_hero_duration"		"ระยะเวลาต่อฮีโร่:"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_demolish"						"Demolish"	
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_demolish_Description"			"เพิ่มพลังให้กับ Spirit Bear ทำให้มันโจมตีสิ่งก่อสร้างได้รุนแรงขึ้น และเพิ่มพลังความต้านทานเวทมนตร์ด้วย"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_demolish_bonus_building_damage""%เพิ่มพลังโจมตีหมีต่อสิ่งก่อสร้าง:"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_demolish_true_form_bonus_building_damage"		"%TRUE FORM เพิ่มพลังโจมตีต่อสิ่งก่อสร้าง:"		
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_demolish_spell_resistance"		"%ความต้านทานเวทมนตร์:"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_defender"						"Defender"
		"DOTA_Tooltip_ability_lone_druid_spirit_bear_defender_Description"			"Spirit Bear ดูดซับความเสียหาย %damage_share%%% ที่ถูกทำต่อ Lone Druid"
		"DOTA_Tooltip_ability_lone_druid_rabid"										"Rabid"
		"DOTA_Tooltip_ability_lone_druid_rabid_Lore"								"โดยทั่วไปหมีไม่ใช่สิ่งมีชีวิตที่กระฉับกระเฉงและว่องไว แต่แท้จริงแล้วสามารถเคลื่อนไหวได้อย่างรวดเร็ว โดยเฉพาะยามที่บ้าคลั่ง"
		"DOTA_Tooltip_ability_lone_druid_rabid_Description"							"เพิ่มความเร็วในการเคลื่อนที่และโจมตีให้กับ Lone Druid และ Spirit Bear"
		"DOTA_Tooltip_ability_lone_druid_rabid_bonus_attack_speed"					"ความเร็วในการโจมตี:"
		"DOTA_Tooltip_ability_lone_druid_rabid_bonus_move_speed"					"%ความเร็วในการเคลื่อนที่:"
		"DOTA_Tooltip_ability_lone_druid_rabid_rabid_duration"						"ระยะเวลา:"
		"DOTA_Tooltip_ability_lone_druid_spirit_link"								"Spirit Link"
		"DOTA_Tooltip_ability_lone_druid_spirit_link_Description"					"สานสัมพันธ์ Lone Druid และ Spirit Bear เข้าด้วยกัน แบ่งปันเกราะป้องกันเป็นเปอร์เซ็นต์ให้กันและกัน เพิ่มความเร็วในการโจมตีของทั้งคู่ และทำให้ความเสียหายที่สร้างโดย Spirit Bear รักษาพลังชีวิต Lone Druid "
		"DOTA_Tooltip_ability_lone_druid_spirit_link_Lore"					"Sylla อาจหาญมากขึ้นด้วยการมีอยู่ของคู่หูเขา พละกำลังของเขาได้รับการเติมเต็มด้วยการข่วนแต่ละครั้งของกรงเล็บ Spirit Bear"
		"DOTA_Tooltip_ability_lone_druid_spirit_link_bonus_attack_speed"			"ความเร็วในการโจมตี:"
		"DOTA_Tooltip_ability_lone_druid_spirit_link_armor_sharing"					"%แบ่งปันเกราะป้องกัน:"
		"DOTA_Tooltip_ability_lone_druid_spirit_link_lifesteal_percent"						"%ดูดพลังชีวิตร่วมกัน:"
		"DOTA_Tooltip_ability_lone_druid_entangling_claws"							"Entangling Claws"
		"DOTA_Tooltip_ability_lone_druid_entangling_claws_Description"				"ทำให้เกิดรากไม้ผุดขึ้นมาจากพื้นดิน ทำให้ยูนิตศัตรูเป้าหมายที่ถูกโจมตีเคลื่อนที่ไม่ได้ และรับความเสียหายจากการโจมตีเพิ่ม ศัตรูยังคงสามารถเคลื่อนที่และโจมตีได้ในขณะติดรากไม้"
		"DOTA_Tooltip_ability_lone_druid_entangling_claws_duration"					"ระยะเวลา:"
		"DOTA_Tooltip_ability_lone_druid_entangling_claws_attack_amp"				"%เพิ่มการโจมตี:"
		"DOTA_Tooltip_ability_lone_druid_savage_roar"								"Savage Roar"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_bear"							"Savage Roar"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_Lore"							"Sylla ศึกษาและเชี่ยวชาญในวิชาแห่งเผ่าหมีที่สาปสูญ ซึ่งเสริมความสามารถของเขาในการปรับตัวให้เข้ากับธรรมชาติ"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_Description"					"Lone Druid และ Spirit Bear คำรามอย่างดุร้ายเพื่อให้ศัตรูที่อยู่ใกล้เคียงหนี ไปยังฐานของพวกเขาด้วยความหวาดกลัว และเพิ่มความเร็ว ในการเคลื่อนที่ของพวกเขา %bonus_speed%%%"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_bear_Description"				"Lone Druid และ Spirit Bear คำรามอย่างดุร้ายเพื่อให้ศัตรูที่อยู่ใกล้เคียงหนี ไปยังฐานของพวกเขาด้วยความหวาดกลัว และเพิ่มความเร็ว ในการเคลื่อนที่ของพวกเขา %bonus_speed%%%"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_shard_description"				"ทำการลบล้างขั้นพื้นฐาน และเสริมพลังเพื่อนร่วมทีมในพื้นที่รอบผู้ร่าย ให้มีความเร็วในการเคลื่อนที่และการโจมตีเพิ่มขึ้น แสดงผลสกิลทั้งจาก Lone Druid และ Spirit Bear โดยไม่สนถึงความสามารถในการร่ายของอีกตัว<br><br>ชนิดการลบล้าง: การลบล้างพื้นฐาน"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_shard_duration"				"ระยะเวลา:"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_shard_radius"					"รัศมี:"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_shard_movement_speed_pct"		"%เพิ่มความเร็วในการเคลื่อนที่:"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_shard_attack_speed"			"เพิ่มความเร็วในการโจมตี:"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_Note0"							"ฮีโร่ที่โดน Entangle จะไม่สามารถเคลื่อนที่ได้"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_bear_Note0"					"ฮีโร่ที่โดน Entangle จะไม่สามารถเคลื่อนที่ได้"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_Note1"     					"ใช้คูลดาวน์ร่วมกันกับ Spirit Bear"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_bear_Note1"					"ใช้คูลดาวน์ร่วมกันกับ Lone Druid"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_radius"	           			"ระยะ:"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_bear_radius"       			"ระยะ:"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_bonus_speed"				    "%เพิ่มความเร็วในการเคลื่อนที่ของศัตรู:"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_bear_bonus_speed"			    "%เพิ่มความเร็วในการเคลื่อนที่ของศัตรู:"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_duration"			            "ระยะเวลา:"
		"DOTA_Tooltip_ability_lone_druid_savage_roar_bear_duration"		            "ระยะเวลา:"
		"DOTA_Tooltip_ability_lone_druid_true_form"									"True Form"
		"DOTA_Tooltip_ability_lone_druid_true_form_Lore"							"หมีทรงพลังเป็นเจ้าป่าที่ครอบครองบัลลังก์ไว้ด้วยพลังที่แท้จริง"
		"DOTA_Tooltip_ability_lone_druid_true_form_Description"						"Lone Druid เรียนรู้ที่จะเปลี่ยนร่างเป็นหมีที่ดุร้าย ทำให้เขา สูญเสียข้อได้เปรียบจากการโจมตีระยะไกล แต่ได้รับเกราะป้องกันและพลังชีวิตเพิ่มขึ้น รวมทั้งได้รับสกิล Entangling Claws และ Demolish ในรูปแบบที่แข็งแกร่งขึ้น"
		"DOTA_Tooltip_ability_lone_druid_true_form_Note0"							"ระยะเวลาคูลดาวน์ของไอเท็มที่แตกต่างกันระหว่างยูนิตโจมตีระยะไกลหรือระยะประชิด จะขึ้นอยู่กับว่า Lone Druid อยู่ในร่างใดในขณะใช้ไอเท็ม"
		"DOTA_Tooltip_ability_lone_druid_true_form_bonus_attack_speed"				"เพิ่มความเร็วในการโจมตี:"
		"DOTA_Tooltip_ability_lone_druid_true_form_bonus_armor"						"เพิ่มเกราะป้องกัน:"
		"DOTA_Tooltip_ability_lone_druid_true_form_bonus_hp"						"เพิ่มพลังชีวิต:"
		"DOTA_Tooltip_ability_lone_druid_true_form_bonus_movement_speed"			"เพิ่มความเร็วในการเคลื่อนที่:"
		"DOTA_Tooltip_ability_lone_druid_true_form_base_attack_time"				"ระยะเวลาการโจมตีพื้นฐาน:"
		"DOTA_Tooltip_ability_lone_druid_true_form_duration"						"ระยะเวลา:"
		"DOTA_Tooltip_ability_lone_druid_true_form_transformation_time"				"เวลาในการแปลงร่าง:"
		"DOTA_Tooltip_ability_lone_druid_true_form_druid"							"Druid Form"
		"DOTA_Tooltip_ability_lone_druid_true_form_druid_Description"				"กลับสู่ร่าง Druid"
		"DOTA_Tooltip_ability_lone_druid_true_form_druid_transformation_time"		"เวลาในการแปลงร่าง:"
		"DOTA_Tooltip_ability_lone_druid_true_form_druid_scepter_description"		"ทำให้ Spirit Bear สามารถโจมตีได้ไม่ว่าจะอยู่ห่างจาก Lone Druid เป็นระยะทางเท่าใด และจะไม่ตายหาก Lone Druid ถูกสังหาร"
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry"						"Battle Cry"
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry_Lore"					"เมื่อ Sylla กู่ร้องในป่าใหญ่ เสียงจะดังก้องกังวานจนรู้สึกได้แม้อยู่ไกลออกไป"
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry_Description"			"เพิ่มพลังโจมตีและเกราะป้องกันแก่ Lone Druid รวมทั้งยูนิตใกล้เคียงที่อยู่ภายใต้การควบคุมของเขา"
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry_bonus_damage"			"เพิ่มพลังโจมตี:"
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry_bonus_armor"			"เพิ่มเกราะป้องกัน:"
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry_cry_duration"			"ระยะเวลา:"
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry_range"				"รัศมี:"
		"DOTA_Tooltip_ability_bear_empty1"											"ว่าง"
		"DOTA_Tooltip_ability_bear_empty2"											"ว่าง"

		"DOTA_Tooltip_modifier_lone_druid_spirit_bear_entangle_effect"		"Entangling Claws"
		"DOTA_Tooltip_modifier_lone_druid_spirit_bear_entangle_effect_Description"		"ไม่สามารถเคลื่อนที่ได้ และได้รับความเสียหายอย่างต่อเนื่อง"
		"DOTA_Tooltip_modifier_lone_druid_rabid"					"Rabid"
		"DOTA_Tooltip_modifier_lone_druid_rabid_Description"		"เพิ่มความเร็วในการโจมตี %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% หน่วย และความเร็วในการเคลื่อนที่ %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_lone_druid_savage_roar"					"Savage Roar"
		"DOTA_Tooltip_modifier_lone_druid_savage_roar_Description"		"หนีด้วยความเร็วในการเคลื่อนที่ที่เพิ่มขึ้น"
		"DOTA_Tooltip_modifier_lone_druid_true_form_battle_cry"		"Battle Cry"
		"DOTA_Tooltip_modifier_lone_druid_true_form_battle_cry_Description"		"เพิ่มพลังโจมตี %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% หน่วย และเกราะป้องกัน %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% หน่วย"
		"DOTA_Tooltip_modifier_lone_druid_spirit_bear_attack_check"		"ความใกล้ของ Spirit Bear"
		"DOTA_Tooltip_modifier_lone_druid_spirit_bear_attack_check_Description"		"หาก Spirit Bear เดินออกห่างจาก Lone Druid มากเกินไป มันจะไม่สามารถโจมตีได้ ยกเว้น Lone Druid มี Aghanim's Scepter"
		
		"DOTA_Tooltip_modifier_lone_druid_spirit_bear_defender"	"Defender"
		"DOTA_Tooltip_modifier_lone_druid_spirit_bear_defender_Description"	"เปอร์เซ็นต์ของความเสียหายที่กำหนดเป้าหมายมายังคุณจะถูกรับโดย Spirit Bear แทน"
		
		"DOTA_Tooltip_modifier_lone_druid_spirit_link"	"Spirit Link"
		"DOTA_Tooltip_modifier_lone_druid_spirit_link_Description"	"ได้รับความเร็วการโจมตี %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% หน่วย และทำให้ความเสียหายที่ทำได้เป็นเปอร์เซ็นต์ฟื้นฟูเลือดให้คู่หู"
		
		"DOTA_Tooltip_modifier_lone_druid_true_form"						"True Form"
		"DOTA_Tooltip_modifier_lone_druid_true_form_Description"			"เปลี่ยนร่างเป็นหมีที่ดุร้าย สูญเสียข้อได้เปรียบจากการโจมตีระยะไกล แต่ได้รับพลังชีวิตเพิ่มขึ้น %dMODIFIER_PROPERTY_EXTRA_HEALTH_BONUS% หน่วยและเกราะป้องกันเพิ่มขึ้น %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% หน่วย รวมทั้งได้รับสกิล Entangling Claws และ Demolish"

		"DOTA_Tooltip_modifier_lone_druid_bear_demolish_corruption"					"Demolish"
		"DOTA_Tooltip_modifier_lone_druid_bear_demolish_corruption_Description"		"เกราะป้องกันลดลง %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% หน่วย"

		"DOTA_Tooltip_modifier_lone_druid_demolish_corruption"					"Demolish"
		"DOTA_Tooltip_modifier_lone_druid_demolish_corruption_Description"		"เกราะป้องกันลดลง %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% หน่วย"		

		//BREWMASTER
		"DOTA_Tooltip_ability_brewmaster_thunder_clap"								"Thunder Clap"
		"DOTA_Tooltip_ability_brewmaster_thunder_clap_Lore"							"เสียงอันทรงพลังเมื่อ Mangix' กระแทกถังเบียร์เป็นสัญญาณเริ่มการเฉลิมฉลอง"
		"DOTA_Tooltip_ability_brewmaster_thunder_clap_Description"					"กระทืบพื้นดิน สร้างความเสียหายและทำให้ศัตรูที่อยู่ใกล้เคียงเคลื่อนที่และโจมตีช้าลง"
		"DOTA_Tooltip_ability_brewmaster_thunder_clap_radius"						"รัศมี:"
		"DOTA_Tooltip_ability_brewmaster_thunder_clap_damage"						"ความเสียหาย:"
		"DOTA_Tooltip_ability_brewmaster_thunder_clap_movement_slow"				"%เคลื่อนที่ช้าลง:"
		"DOTA_Tooltip_ability_brewmaster_thunder_clap_attack_speed_slow"			"โจมตีช้าลง:"
		"DOTA_Tooltip_ability_brewmaster_thunder_clap_duration"						"ระยะเวลา:"
		"DOTA_Tooltip_ability_brewmaster_drunken_haze"								"Drunken Haze"
		"DOTA_Tooltip_ability_brewmaster_drunken_haze_Lore"							"ทางออกของนิกาย Oyo สู่ปัญหาทั้งมวล - คือดื่มอีกครั้ง!"
		"DOTA_Tooltip_ability_brewmaster_drunken_haze_Description"					"โยนเหล้าไปยังเป้าหมาย ทำให้ความเร็วในการเคลื่อนที่ของพวกเขาลดลง และพวกเขามีโอกาสที่จะโจมตีพลาด"
		"DOTA_Tooltip_ability_brewmaster_drunken_haze_Note0"						"สามารถหลบได้"
		"DOTA_Tooltip_ability_brewmaster_drunken_haze_duration"						"ระยะเวลา:"
		"DOTA_Tooltip_ability_brewmaster_drunken_haze_movement_slow"				"%เคลื่อนที่ช้าลง:"
		"DOTA_Tooltip_ability_brewmaster_drunken_haze_miss_chance"					"%โอกาสโจมตีพลาด:"
		"DOTA_Tooltip_ability_brewmaster_cinder_brew"								"Cinder Brew"
		"DOTA_Tooltip_ability_brewmaster_cinder_brew_Lore"							"ทางออกของนิกาย Oyo ต่อปัญหาทั้งมวล - ดื่มอีกครั้ง!"
		"DOTA_Tooltip_ability_brewmaster_cinder_brew_Description"					"ทำให้ตัวเขาและพื้นที่นั้นชุ่มไปด้วยแอลกอฮอล์ ส่งผลให้ยูนิตศัตรูเคลื่อนที่ช้าลง และติดไฟเมื่อได้รับความเสียหายจากสกิลใดก็ตาม ระยะเวลาจะเพิ่มขึ้น %extra_duration% วินาทีเมื่อศัตรูติดไฟ ขณะ Brewmaster เปียกชุ่มไปด้วย Cinder Brew กระบวนท่าของสกิล Drunken Brawler จะแข็งแกร่งยิ่งขึ้น"
		"DOTA_Tooltip_ability_brewmaster_cinder_brew_duration"						"ระยะเวลา:"
		"DOTA_Tooltip_ability_brewmaster_cinder_brew_total_damage"					"ความเสียหายทั้งหมดของ IGNITE:"
		"DOTA_Tooltip_ability_brewmaster_cinder_brew_movement_slow"					"%เคลื่อนที่ช้าลง:"
		"DOTA_Tooltip_ability_brewmaster_drunken_brawler"							"Drunken Brawler"
		"DOTA_Tooltip_ability_brewmaster_drunken_brawler_Lore"						"เมื่อครั้ง Mangix ชนะและได้รับตำแหน่ง Brewmaster จากนิกายแห่ง Oyo เขาได้ร้องขอตำแหน่งของเขาในด้านผู้เชี่ยวชาญแห่งนักดื่มสุรา"
		"DOTA_Tooltip_ability_brewmaster_drunken_brawler_Description"				"Brewmaster สามารถเปลี่ยนกระบวนท่าไปมาตามธาตุที่เขาควบคุม ทำให้ได้รับโบนัสติดตัวซึ่งรุนแรงยิ่งขึ้นต่อศัตรูเมื่อเปียกชุ่มไปด้วย Cinder Brew\n<font color=\"#9acd32\">Earth Brawler</font> - มอบเกราะป้องกัน %armor% หน่วยและความต้านทานเวทมนตร์ %magic_resist%%% โบนัสดังกล่าวจะมีผลเป็น %active_multiplier% เท่าเมื่อเปียกชุ่มไปด้วย Cinder Brew\n<font color=\"#87ceeb\">Storm Brawler</font> - มอบอัตราหลบหลีก %dodge_chance%%% และความเร็วในการเคลื่อนที่เพิ่มขึ้น %bonus_move_speed%%% โบนัสดังกล่าวจะมีผลเป็น %active_multiplier% เท่าเมื่อเปียกชุ่มไปด้วย Cinder Brew\n<font color=\"#FF0000\">Fire Brawler</font> - มอบโอกาส %crit_chance%%% ที่จะสร้างความเสียหายคริติคอล %crit_multiplier%%% ของพลังโจมตีของคุณ โอกาสดังกล่าวจะเพิ่มเป็น %active_multiplier% เท่าเมื่อเปียกชุ่มไปด้วย Cinder Brew"
		"DOTA_Tooltip_ability_brewmaster_drunken_brawler_Note0"						"ซ้อนทับแบบลดทอนกับแหล่งอัตราหลบหลีกอื่น"
		"DOTA_Tooltip_ability_brewmaster_drunken_brawler_shard_Description"			"มอบกระบวนท่า Void Brawler ซึ่งเพิ่มความต้านทานสถานะ %bonus_status_resist%%% แก่ Brewmaster และเมื่อโจมตีจะลดความเร็วศัตรู %movespeed%%% เป็นเวลา %slow_duration% วินาที การลดความเร็วและความต้านทานสถานะจะมีค่าเพิ่มเป็น 3 เท่าขณะได้รับผลของ Cinder Brew"
		"DOTA_Tooltip_ability_brewmaster_primal_split"								"Primal Split"
		"DOTA_Tooltip_ability_brewmaster_primal_split_Lore"							"มันไม่ชัดเจนไม่ว่า Mangix จะตระหนักรับรู้ถึงความสามารถเชื่อมโยงกับธรรมชาติของเขาหรือไม่ เพราะว่ามันเกิดขึ้นในระหว่างที่มึนเมาด้วยฤทธิ์สุรา"
		"DOTA_Tooltip_ability_brewmaster_primal_split_Description"					"แบ่งร่าง Brewmaster ออกมาเป็นธาตุต่าง ๆ ในรูปลักษณ์ของ 3 นักรบที่เชี่ยวชาญเฉพาะสาย ชำนาญในการเอาชีวิตรอด ถ้าพวกมันสามารถเหลือรอดได้แม้เพียงคนเดียว จนกระทั่ง หมดระยะเวลาอัญเชิญ Brewmaster ก็จะฟื้นคืนกลับมา"
		"DOTA_Tooltip_ability_brewmaster_primal_split_Note0"						"Earth Element จะมีคุณสมบัติของออราต่าง ๆ ที่ Brewmaster มีอยู่ รวมถึง True Sight ด้วย"
		"DOTA_Tooltip_ability_brewmaster_primal_split_Note1"						"Fire สามารถเคลื่อนที่ผ่านยูนิตได้"
		"DOTA_Tooltip_ability_brewmaster_primal_split_Note2"						"เมื่อคาถานี้สิ้นสุดลง ร่างของ Brewmaster จะเข้าแทนที่ร่างอวตารที่ยังมีชีวิตอยู่ตามลำดับ ดังนี้: Earth, Storm, Fire"
		"DOTA_Tooltip_ability_brewmaster_primal_split_duration"						"ระยะเวลา:"
		"DOTA_Tooltip_ability_brewmaster_primal_split_tooltip_earth_brewling_hp"	"<font color=\"#9acd32\">พลังชีวิตของ EARTH BREWLING</font>:"
		"DOTA_Tooltip_ability_brewmaster_primal_split_tooltip_storm_brewling_hp"	"<font color=\"#87ceeb\">พลังชีวิตของ STORM BREWLING</font>:"
		"DOTA_Tooltip_ability_brewmaster_primal_split_tooltip_fire_brewling_hp"		"<font color=\"#FF0000\">พลังชีวิตของ FIRE BREWLING</font>:"
		"DOTA_Tooltip_ability_brewmaster_primal_split_shard_description"			"Primal Split ต่อจากนี้สร้างร่าง Void โดยมีสกิล Astral Pulse"
		"DOTA_Tooltip_ability_brewmaster_primal_split_shard_tooltip_void_brewling_hp"	"<font color=\"#662375\">พลังชีวิตของ VOID BREWLING</font>:"
		"DOTA_Tooltip_ability_brewmaster_primal_split_scepter_description"			"Primal Split มี 2 ชาร์จและสามารถยกเลิกเมื่อใดก็ได้ เวลาเติมชาร์จจะเท่ากับระยะเวลาคูลดาวน์ปกติ"
		"DOTA_Tooltip_ability_brewmaster_primal_split_scepter_movementspeed"		"เพิ่มความเร็วในการเคลื่อนที่:"
		"DOTA_Tooltip_ability_brewmaster_primal_split_cancel"								"Primal Split Cancel"
		"DOTA_Tooltip_ability_brewmaster_primal_split_cancel_Description"					"ยกเลิก Primal Split"

		"DOTA_Tooltip_ability_brewmaster_primal_companion"							"Primal Companion"
		"DOTA_Tooltip_ability_brewmaster_primal_companion_Description"				"สร้าง Brewling ขึ้นมา 1 ตัวขึ้นกับกระบวนท่า Drunken Brawler ที่มีอยู่ของ Brewmaster หาก Brewling เคลื่อนที่ไกลออกไปจาก Brewmaster เกิน %disable_distance% หน่วยจะไม่สามารถร่ายสกิลและช้าลง %movement_slow_when_out_of_range%%% โดยสกิลของ Brewling ทั้งหมดจะมีคูลดาวน์นานขึ้น %cooldown_penalty_pct%%% <br><br>ถ้า Brewling ที่มีอยู่ได้รับความเสียหายจากฮีโร่ศัตรูหรือยูนิตที่ฮีโร่ศัตรูควบคุม จะไม่สามารถอัญเชิญ Brewling ใหม่ได้เป็นเวลา %cooldown_on_take_damage% วินาที และหาก Brewling ตายลง สกิลนี้จะติดคูลดาวน์ %cooldown_on_death% วินาที<br><br>สามารถมี Brewling ได้ครั้งละ 1 ตัวเท่านั้น ถ้าหาก Brewmaster ใช้ Primal Split แล้ว Brewling ที่มีอยู่ก็จะหายไป"


		"DOTA_Tooltip_ability_brewmaster_resistant_skin"							"Resistant Skin"
		"DOTA_Tooltip_ability_brewmaster_resistant_skin_Lore"						" "
		"DOTA_Tooltip_ability_brewmaster_resistant_skin_Description"				"ปกป้องความเสียหายจากการโจมตี"
		"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder"						"Hurl Boulder"
		"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder_Lore"					" "
		"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder_Description"			"ขว้างหินก้อนใหญ่ไปที่ยูนิตเพื่อสร้างความเสียหายและสตันมัน"
		"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder_damage"					"ความเสียหาย:"
		"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder_duration"				"ระยะเวลาสตัน:"
		"DOTA_Tooltip_ability_brewmaster_earth_spell_immunity"						"Spell Immunity"
		"DOTA_Tooltip_ability_brewmaster_earth_spell_immunity_Lore"					" "
		"DOTA_Tooltip_ability_brewmaster_earth_spell_immunity_Description"			"ต้านทานต่อเวทมนตร์"
		"DOTA_Tooltip_ability_brewmaster_earth_pulverize"							"Demolish"
		"DOTA_Tooltip_ability_brewmaster_earth_pulverize_Lore"						" "
