"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"ฮ้า ฮ่า ฮาฮ่าฮ่าฮาฮะฮะฮ่ะฮ่ะฮ่ะฮ่ะ!"
"[english]dota_chatwheel_label_dazzle_deny"	"That's not right."
"dota_chatwheel_message_dazzle_1"	"ความตายอันน่าพิศวง"
"[english]dota_chatwheel_message_dazzle_1"	"A dazzling death."
"dota_chatwheel_label_dazzle_1"	"ความตายอันน่าพิศวง"
"[english]dota_chatwheel_label_dazzle_1"	"A dazzling death."
"dota_chatwheel_message_dazzle_2"	"เจ้าช่างใจบุญเหลือเกิน"
"[english]dota_chatwheel_message_dazzle_2"	"Charitable of you."
"dota_chatwheel_label_dazzle_2"	"เจ้าช่างใจบุญเหลือเกิน"
"[english]dota_chatwheel_label_dazzle_2"	"Charitable of you."
"dota_chatwheel_message_dazzle_3"	"ซ-แซป!"
"[english]dota_chatwheel_message_dazzle_3"	"Jzap!"
"dota_chatwheel_label_dazzle_3"	"ซ-แซป!"
"[english]dota_chatwheel_label_dazzle_3"	"Jzap!"
"dota_chatwheel_message_dazzle_4"	"โดนหลอกแล้วเธอ"
"[english]dota_chatwheel_message_dazzle_4"	"Tricked you."
"dota_chatwheel_label_dazzle_4"	"โดนหลอกแล้วเธอ"
"[english]dota_chatwheel_label_dazzle_4"	"Tricked you."
"dota_chatwheel_message_dazzle_5"	"เกือบหายนะแล้วไง"
"[english]dota_chatwheel_message_dazzle_5"	"That was almost a disaster."
"dota_chatwheel_label_dazzle_5"	"เกือบหายนะแล้วไง"
"[english]dota_chatwheel_label_dazzle_5"	"That was almost a disaster."
"dota_chatwheel_message_rattletrap_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_rattletrap_laugh"	"Ha ha ha ha ha ha!"
"dota_chatwheel_label_rattletrap_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_rattletrap_laugh"	"Laugh"
"dota_chatwheel_message_rattletrap_deny"	"ไม่เหมือนที่คิดไว้หรอ?"
"[english]dota_chatwheel_message_rattletrap_deny"	"Not what you expected?"
"dota_chatwheel_label_rattletrap_deny"	"ไม่เหมือนที่คิดไว้หรอ?"
"[english]dota_chatwheel_label_rattletrap_deny"	"Not what you expected?"
"dota_chatwheel_message_rattletrap_1"	"บอกฉันทีว่ามีคนเห็น!"
"[english]dota_chatwheel_message_rattletrap_1"	"Tell me someone saw that!"
"dota_chatwheel_label_rattletrap_1"	"บอกฉันทีว่ามีคนเห็น!"
"[english]dota_chatwheel_label_rattletrap_1"	"Tell me someone saw that!"
"dota_chatwheel_message_rattletrap_2"	"ฮ่า จั๊กจี้จัง!"
"[english]dota_chatwheel_message_rattletrap_2"	"Ha, that tickles!"
"dota_chatwheel_label_rattletrap_2"	"ฮ่า จั๊กจี้จัง!"
"[english]dota_chatwheel_label_rattletrap_2"	"Ha, that tickles!"
"dota_chatwheel_message_rattletrap_3"	"โว้ว!"
"[english]dota_chatwheel_message_rattletrap_3"	"Whoa!"
"dota_chatwheel_label_rattletrap_3"	"โว้ว!"
"[english]dota_chatwheel_label_rattletrap_3"	"Whoa!"
"dota_chatwheel_message_rattletrap_4"	"บีบบุบ ผมคือหุ่นยนต์ เอ่อ พูดเล่นน่ะ"
"[english]dota_chatwheel_message_rattletrap_4"	"Bleep bloop, I am a robot. Eh, just kidding."
"dota_chatwheel_label_rattletrap_4"	"บีบบุบ ผมคือหุ่นยนต์..."
"[english]dota_chatwheel_label_rattletrap_4"	"Bleep bloop, I am a robot..."
"dota_chatwheel_message_rattletrap_5"	"พลังแห่งหินเหล็กไฟ!"
"[english]dota_chatwheel_message_rattletrap_5"	"That is so metal!"
"dota_chatwheel_label_rattletrap_5"	"พลังแห่งหินเหล็กไฟ!"
"[english]dota_chatwheel_label_rattletrap_5"	"That is so metal!"
"dota_chatwheel_message_leshrac_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_leshrac_laugh"	"Ha ha ha ha ha ha ha!"
"dota_chatwheel_label_leshrac_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_leshrac_laugh"	"Laugh"
"dota_chatwheel_message_leshrac_thank"	"สู่อนาคตอันน่าเศร้าโศก"
"[english]dota_chatwheel_message_leshrac_thank"	"To a future of grief."
"dota_chatwheel_label_leshrac_thank"	"สู่อนาคตอันน่าเศร้าโศก"
"[english]dota_chatwheel_label_leshrac_thank"	"To a future of grief."
"dota_chatwheel_message_leshrac_deny"	"หัดอายให้เป็นบ้าง"
"[english]dota_chatwheel_message_leshrac_deny"	"Have a little humility."
"dota_chatwheel_label_leshrac_deny"	"หัดอายให้เป็นบ้าง"
"[english]dota_chatwheel_label_leshrac_deny"	"Have a little humility."
"dota_chatwheel_message_furion_laugh"	"ม้า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_furion_laugh"	"Ma ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_furion_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_furion_laugh"	"Laugh"
"dota_chatwheel_message_furion_thank"	"น่าชมเชย"
"[english]dota_chatwheel_message_furion_thank"	"Admirable."
"dota_chatwheel_label_furion_thank"	"น่าชมเชย"
"[english]dota_chatwheel_label_furion_thank"	"Admirable."
"dota_chatwheel_message_furion_deny"	"ฮ่าๆๆ แจ่ม แจ่ม"
"[english]dota_chatwheel_message_furion_deny"	"Hmhmhm. Well, well."
"dota_chatwheel_label_furion_deny"	"ฮ่าๆๆ แจ่ม แจ่ม"
"[english]dota_chatwheel_label_furion_deny"	"Hmhmhm. Well, well."
"dota_chatwheel_message_furion_1"	"เป็นปุ๋ยซะ"
"[english]dota_chatwheel_message_furion_1"	"Feed the trees."
"dota_chatwheel_label_furion_1"	"เป็นปุ๋ยซะ"
"[english]dota_chatwheel_label_furion_1"	"Feed the trees."
"dota_chatwheel_message_furion_2"	"ข้าจะฉีกแกให้เป็นชิ้น ๆ"
"[english]dota_chatwheel_message_furion_2"	"I'll tear you limb from limb."
"dota_chatwheel_label_furion_2"	"ข้าจะฉีกแกให้เป็นชิ้น ๆ"
"[english]dota_chatwheel_label_furion_2"	"I'll tear you limb from limb."
"dota_chatwheel_message_furion_3"	"วิเศษมาก"
"[english]dota_chatwheel_message_furion_3"	"Very nice."
"dota_chatwheel_label_furion_3"	"วิเศษมาก"
"[english]dota_chatwheel_label_furion_3"	"Very nice."
"dota_chatwheel_message_furion_4"	"ว้าา แย่จัง"
"[english]dota_chatwheel_message_furion_4"	"Aww, too bad."
"dota_chatwheel_label_furion_4"	"ว้าา แย่จัง"
"[english]dota_chatwheel_label_furion_4"	"Aww, too bad."
"dota_chatwheel_message_furion_5"	"ชีวิตใหม่จะเกิดขึ้นท่ามกลางซากกระดูกของเจ้า"
"[english]dota_chatwheel_message_furion_5"	"New life will make its home amongst your bones."
"dota_chatwheel_label_furion_5"	"ชีวิตใหม่จะเกิดขึ้น..."
"[english]dota_chatwheel_label_furion_5"	"New life will make its home..."
"dota_chatwheel_message_life_stealer_laugh"	"ฮ่า! ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_life_stealer_laugh"	"Ha! Ha ha ha ha!"
"dota_chatwheel_label_life_stealer_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_life_stealer_laugh"	"Laugh"
"dota_chatwheel_message_life_stealer_deny"	"เซอร์ไพรส์!"
"[english]dota_chatwheel_message_life_stealer_deny"	"Surprise!"
"dota_chatwheel_label_life_stealer_deny"	"เซอร์ไพรส์!"
"[english]dota_chatwheel_label_life_stealer_deny"	"Surprise!"
"dota_chatwheel_message_life_stealer_5"	"จ๊ะเอ๋!"
"[english]dota_chatwheel_message_life_stealer_5"	"Ta-da!"
"dota_chatwheel_label_life_stealer_5"	"จ๊ะเอ๋!"
"[english]dota_chatwheel_label_life_stealer_5"	"Ta-da!"
"dota_chatwheel_message_dark_seer_laugh"	"ฮี่ฮื่อ เย้ฮื้อฮื้อ เฮ้ ฮี่ฮื้ออฮี่ เย้เฮ้ เยฮี่ ฮื่อฮื้อ ฮื้อฮื้อ เย้"
"[english]dota_chatwheel_message_dark_seer_laugh"	"Heheh yeheheh hey heehhhe yehhey yehe heheh eheh yeh."
"dota_chatwheel_label_dark_seer_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_dark_seer_laugh"	"Laugh"
"dota_chatwheel_message_dark_seer_thank"	"ดีมาก"
"[english]dota_chatwheel_message_dark_seer_thank"	"Very good."
"dota_chatwheel_label_dark_seer_thank"	"ดีมาก"
"[english]dota_chatwheel_label_dark_seer_thank"	"Very good."
"dota_chatwheel_message_dark_seer_2"	"ไม่อยากจะเชื่อเลยว่าได้ผล"
"[english]dota_chatwheel_message_dark_seer_2"	"I cannot believe that worked."
"dota_chatwheel_label_dark_seer_2"	"ไม่อยากจะเชื่อเลยว่าได้ผล!"
"[english]dota_chatwheel_label_dark_seer_2"	"I cannot believe that worked!"
"dota_chatwheel_message_dark_seer_3"	"โฮะฮะฮ่ะฮ้าฮ้าาาฮ่าาา"
"[english]dota_chatwheel_message_dark_seer_3"	"Hoooahahaaaheeh."
"dota_chatwheel_label_dark_seer_3"	"โฮะฮะฮ่ะฮ้าฮ้าาาฮ่าาา"
"[english]dota_chatwheel_label_dark_seer_3"	"Hoooahahaaaheeh."
"dota_chatwheel_message_dark_seer_4"	"เจ้าชนกำแพงแล้ว"
"[english]dota_chatwheel_message_dark_seer_4"	"You've hit a wall."
"dota_chatwheel_label_dark_seer_4"	"เจ้าชนกำแพงแล้ว"
"[english]dota_chatwheel_label_dark_seer_4"	"You've hit a wall."
"dota_chatwheel_message_clinkz_laugh"	"ฮ้า ฮ่า ฮ่า ฮ่า ฮ่า"
"[english]dota_chatwheel_message_clinkz_laugh"	"Ah ha ha ha ha."
"dota_chatwheel_label_clinkz_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_clinkz_laugh"	"Laugh"
"dota_chatwheel_message_clinkz_thank"	"ทำได้ดี"
"[english]dota_chatwheel_message_clinkz_thank"	"Well done."
"dota_chatwheel_label_clinkz_thank"	"ทำได้ดี"
"[english]dota_chatwheel_label_clinkz_thank"	"Well done."
"dota_chatwheel_message_clinkz_1"	"ข้าจะเผาร่างของเจ้าให้เป็นเถ้ากระดูก"
"[english]dota_chatwheel_message_clinkz_1"	"I'll burn your body to ashes."
"dota_chatwheel_label_clinkz_1"	"ข้าจะเผาร่างของเจ้าให้เป็นเถ้ากระดูก"
"[english]dota_chatwheel_label_clinkz_1"	"I'll burn your body to ashes."
"dota_chatwheel_message_clinkz_2"	"สู้กับไฟด้วยไฟ"
"[english]dota_chatwheel_message_clinkz_2"	"Fight fire with fire."
"dota_chatwheel_label_clinkz_2"	"สู้กับไฟด้วยไฟ"
"[english]dota_chatwheel_label_clinkz_2"	"Fight fire with fire."
"dota_chatwheel_message_clinkz_3"	"ขอบคุณที่เป็นเป้าซ้อมให้นะ"
"[english]dota_chatwheel_message_clinkz_3"	"Thanks for the target practice."
"dota_chatwheel_label_clinkz_3"	"ขอบคุณที่เป็นเป้าซ้อมให้นะ"
"[english]dota_chatwheel_label_clinkz_3"	"Thanks for the target practice."
"dota_chatwheel_message_clinkz_4"	"ได้!"
"[english]dota_chatwheel_message_clinkz_4"	"Yes!"
"dota_chatwheel_label_clinkz_4"	"ได้!"
"[english]dota_chatwheel_label_clinkz_4"	"Yes!"
"dota_chatwheel_message_omniknight_laugh"	"เมี้ยวววฮื้อฮื้อ ฮื่ออ ฮืว"
"[english]dota_chatwheel_message_omniknight_laugh"	"Mehooweheh hwh hew."
"dota_chatwheel_label_omniknight_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_omniknight_laugh"	"Laugh"
"dota_chatwheel_message_omniknight_thank"	"งามยิ่งนัก"
"[english]dota_chatwheel_message_omniknight_thank"	"Beautiful."
"dota_chatwheel_label_omniknight_thank"	"งามยิ่งนัก"
"[english]dota_chatwheel_label_omniknight_thank"	"Beautiful."
"dota_chatwheel_message_omniknight_deny"	"เอาอยู่"
"[english]dota_chatwheel_message_omniknight_deny"	"Nailed it."
"dota_chatwheel_label_omniknight_deny"	"เอาอยู่"
"[english]dota_chatwheel_label_omniknight_deny"	"Nailed it."
"dota_chatwheel_message_omniknight_2"	"มลทินของเจ้าหนักหนาสาหัสมาก"
"[english]dota_chatwheel_message_omniknight_2"	"Your guilt weighs heavily."
"dota_chatwheel_label_omniknight_2"	"มลทินของเจ้าหนักหนาสาหัสมาก"
"[english]dota_chatwheel_label_omniknight_2"	"Your guilt weighs heavily."
"dota_chatwheel_message_omniknight_3"	"จงสงบเถิดเจ้าชั่วร้ายเบาปัญญา"
"[english]dota_chatwheel_message_omniknight_3"	"Be at peace you wretched fool."
"dota_chatwheel_label_omniknight_3"	"จงสงบเถิดเจ้าชั่วร้ายเบาปัญญา"
"[english]dota_chatwheel_label_omniknight_3"	"Be at peace you wretched fool."
"dota_chatwheel_message_omniknight_4"	"เจ้าตัดสินใจได้แย่มาก"
"[english]dota_chatwheel_message_omniknight_4"	"You chose poorly."
"dota_chatwheel_label_omniknight_4"	"เจ้าตัดสินใจได้แย่มาก"
"[english]dota_chatwheel_label_omniknight_4"	"You chose poorly."
"dota_chatwheel_message_omniknight_5"	"องค์สัพพัญญูรับรู้ความเสียใจของเจ้า"
"[english]dota_chatwheel_message_omniknight_5"	"The All-knowing One senses your regret."
"dota_chatwheel_label_omniknight_5"	"องค์สัพพัญญูรับรู้ความเสียใจของเจ้า"
"[english]dota_chatwheel_label_omniknight_5"	"The All-knowing One senses..."
"dota_chatwheel_message_enchantress_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_enchantress_laugh"	"Ha ha ha ha ha ha ha!"
"dota_chatwheel_label_enchantress_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_enchantress_laugh"	"Laugh"
"dota_chatwheel_message_enchantress_thank"	"ฉันรักชัยชนะ!"
"[english]dota_chatwheel_message_enchantress_thank"	"I love winning!"
"dota_chatwheel_label_enchantress_thank"	"ฉันรักชัยชนะ!"
"[english]dota_chatwheel_label_enchantress_thank"	"I love winning!"
"dota_chatwheel_message_enchantress_deny"	"อย่าหัวร้อน"
"[english]dota_chatwheel_message_enchantress_deny"	"Don't be mad."
"dota_chatwheel_label_enchantress_deny"	"อย่าหัวร้อน"
"[english]dota_chatwheel_label_enchantress_deny"	"Don't be mad."
"dota_chatwheel_message_enchantress_1"	"ไม่ยุติธรรมเลย"
"[english]dota_chatwheel_message_enchantress_1"	"It's just not fair."
"dota_chatwheel_label_enchantress_1"	"ไม่ยุติธรรมเลย"
"[english]dota_chatwheel_label_enchantress_1"	"It's just not fair."
"dota_chatwheel_message_enchantress_2"	"ตลกชะมัด"
"[english]dota_chatwheel_message_enchantress_2"	"Hilarious."
"dota_chatwheel_label_enchantress_2"	"ตลกชะมัด"
"[english]dota_chatwheel_label_enchantress_2"	"Hilarious."
"dota_chatwheel_message_enchantress_3"	"เธอทำดีที่สุดแล้ว"
"[english]dota_chatwheel_message_enchantress_3"	"You did your best."
"dota_chatwheel_label_enchantress_3"	"เธอทำดีที่สุดแล้ว"
"[english]dota_chatwheel_label_enchantress_3"	"You did your best."
"dota_chatwheel_message_enchantress_4"	"ดึ๋ง"
"[english]dota_chatwheel_message_enchantress_4"	"Sproink."
"dota_chatwheel_label_enchantress_4"	"ดึ๋ง"
"[english]dota_chatwheel_label_enchantress_4"	"Sproink."
"dota_chatwheel_message_enchantress_5"	"รู้มั้ยว่าฉันรักอะไร? ทุกอย่างเลย!"
"[english]dota_chatwheel_message_enchantress_5"	"You know what I love? Everything!"
"dota_chatwheel_label_enchantress_5"	"รู้มั้ยว่าฉันรักอะไร? ทุกอย่างเลย!"
"[english]dota_chatwheel_label_enchantress_5"	"You know what I love?..."
"dota_chatwheel_message_huskar_laugh"	"ฮื่อ ฮื่อ ฮื่ออ"
"[english]dota_chatwheel_message_huskar_laugh"	"Heh heh heeh."
"dota_chatwheel_label_huskar_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_huskar_laugh"	"Laugh"
"dota_chatwheel_message_huskar_thank"	"อ้าา สิ่งนี้จะทำให้เทพเจ้าพอใจ"
"[english]dota_chatwheel_message_huskar_thank"	"Ahh, this will please the gods."
"dota_chatwheel_label_huskar_thank"	"อ้าา สิ่งนี้จะทำให้เทพเจ้าพอใจ"
"[english]dota_chatwheel_label_huskar_thank"	"Ahh, this will please the gods."
"dota_chatwheel_message_huskar_deny"	"คุ้มค่าจริง"
"[english]dota_chatwheel_message_huskar_deny"	"Well worth it."
"dota_chatwheel_label_huskar_deny"	"คุ้มค่าจริง"
"[english]dota_chatwheel_label_huskar_deny"	"Well worth it."
"dota_chatwheel_message_huskar_2"	"คุ้มจังเลย!"
"[english]dota_chatwheel_message_huskar_2"	"A fair trade!"
"dota_chatwheel_label_huskar_2"	"คุ้มจังเลย!"
"[english]dota_chatwheel_label_huskar_2"	"A fair trade!"
"dota_chatwheel_message_huskar_3"	"ชีวิตข้ามีความหมายแล้ว!"
"[english]dota_chatwheel_message_huskar_3"	"My life now has meaning!"
"dota_chatwheel_label_huskar_3"	"ชีวิตข้ามีความหมายแล้ว!"
"[english]dota_chatwheel_label_huskar_3"	"My life now has meaning!"
"dota_chatwheel_message_huskar_4"	"แค่นี้เหรอ?"
"[english]dota_chatwheel_message_huskar_4"	"Is that all?"
"dota_chatwheel_label_huskar_4"	"แค่นี้เหรอ?"
"[english]dota_chatwheel_label_huskar_4"	"Is that all?"
"dota_chatwheel_message_huskar_5"	"เจ้าทำดีแล้ว แต่ยังดีไม่พอ"
"[english]dota_chatwheel_message_huskar_5"	"You gave all you could give but it was not enough."
"dota_chatwheel_label_huskar_5"	"เจ้าทำดีแล้ว..."
"[english]dota_chatwheel_label_huskar_5"	"You gave all you could give..."
"dota_chatwheel_message_night_stalker_laugh"	"ฮื่อ ฮื่อ ฮื่อ ฮ่าา ฮื่อ ฮื่ออออ"
"[english]dota_chatwheel_message_night_stalker_laugh"	"Heh heh heh hah heh hehhhh."
"dota_chatwheel_label_night_stalker_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_night_stalker_laugh"	"Laugh"
"dota_chatwheel_message_night_stalker_thank"	"เดี๋ยวพวกมันจะต้องทุกข์ทรมาน"
"[english]dota_chatwheel_message_night_stalker_thank"	"Now they will suffer."
"dota_chatwheel_label_night_stalker_thank"	"เดี๋ยวพวกมันจะต้องทุกข์ทรมาน"
"[english]dota_chatwheel_label_night_stalker_thank"	"Now they will suffer."
"dota_chatwheel_message_night_stalker_deny"	"ฝันร้ายของเจ้ายังคงดำเนินต่อไป"
"[english]dota_chatwheel_message_night_stalker_deny"	"Your nightmare continues."
"dota_chatwheel_label_night_stalker_deny"	"ฝันร้ายของเจ้ายังคงดำเนินต่อไป"
"[english]dota_chatwheel_label_night_stalker_deny"	"Your nightmare continues."
"dota_chatwheel_message_night_stalker_1"	"นี่แหละที่ข้าต้องการ!"
"[english]dota_chatwheel_message_night_stalker_1"	"Just what I needed!"
"dota_chatwheel_label_night_stalker_1"	"นี่แหละที่ข้าต้องการ"
"[english]dota_chatwheel_label_night_stalker_1"	"Just what I needed."
"dota_chatwheel_message_night_stalker_2"	"หนีไปไหนไม่ได้หรอก"
"[english]dota_chatwheel_message_night_stalker_2"	"There's no escape."
"dota_chatwheel_label_night_stalker_2"	"หนีไปไหนไม่ได้หรอก"
"[english]dota_chatwheel_label_night_stalker_2"	"There's no escape."
"dota_chatwheel_message_night_stalker_3"	"หิวกระหายในยามมืดมิด"
"[english]dota_chatwheel_message_night_stalker_3"	"Darkness hungers."
"dota_chatwheel_label_night_stalker_3"	"หิวกระหายในยามมืดมิด"
"[english]dota_chatwheel_label_night_stalker_3"	"Darkness hungers."
"dota_chatwheel_message_night_stalker_4"	"ได้เวลาหาอาหาร"
"[english]dota_chatwheel_message_night_stalker_4"	"It's feeding time."
"dota_chatwheel_label_night_stalker_4"	"ได้เวลาหาอาหาร"
"[english]dota_chatwheel_label_night_stalker_4"	"It's feeding time."
"dota_chatwheel_message_night_stalker_5"	"ข้าคือปีศาจร้ายในนิทานก่อนนอน"
"[english]dota_chatwheel_message_night_stalker_5"	"I'm the beast of bedtime tales."
"dota_chatwheel_label_night_stalker_5"	"ข้าคือปีศาจร้ายในนิทานก่อนนอน"
"[english]dota_chatwheel_label_night_stalker_5"	"I'm the beast of bedtime tales."
"dota_chatwheel_message_broodmother_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า"
"[english]dota_chatwheel_message_broodmother_laugh"	"Ha ha ha ha ha."
"dota_chatwheel_label_broodmother_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_broodmother_laugh"	"Laugh"
"dota_chatwheel_message_broodmother_1"	"อร่อยจัง"
"[english]dota_chatwheel_message_broodmother_1"	"Delicious."
"dota_chatwheel_label_broodmother_1"	"อร่อยจัง"
"[english]dota_chatwheel_label_broodmother_1"	"Delicious."
"dota_chatwheel_message_broodmother_2"	"เจ้าไม่ได้กลัวแมงมุมใช่ไหม?"
"[english]dota_chatwheel_message_broodmother_2"	"You're not afraid of spiders, are you?"
"dota_chatwheel_label_broodmother_2"	"เจ้าไม่ได้กลัวแมงมุมใช่ไหม?"
"[english]dota_chatwheel_label_broodmother_2"	"You're not afraid of spiders, are you?"
"dota_chatwheel_message_broodmother_3"	"อย่าตายนะที่รักของฉัน"
"[english]dota_chatwheel_message_broodmother_3"	"Don't die, my darlings."
"dota_chatwheel_message_broodmother_4"	"โอ้ สวยเหลือเกิน"
"[english]dota_chatwheel_message_broodmother_4"	"Oh so beautiful."
"dota_chatwheel_label_broodmother_4"	"โอ้ สวยเหลือเกิน"
"[english]dota_chatwheel_label_broodmother_4"	"Oh, so beautiful."
"dota_chatwheel_message_broodmother_5"	"ซ-ซซ-ซู้ด!"
"[english]dota_chatwheel_message_broodmother_5"	"Sss-sss-ssslurp!"
"dota_chatwheel_label_broodmother_5"	"ซู้ด"
"[english]dota_chatwheel_label_broodmother_5"	"Slurp."
"dota_chatwheel_message_bounty_hunter_laugh"	"ฮ้า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า"
"[english]dota_chatwheel_message_bounty_hunter_laugh"	"Ah ha ha ha ha ha ha ha ha."
"dota_chatwheel_label_bounty_hunter_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_bounty_hunter_laugh"	"Laugh"
"dota_chatwheel_message_bounty_hunter_thank"	"เพื่อนร่วมทีมของข้าได้รับส่วนแบ่งแล้ว"
"[english]dota_chatwheel_message_bounty_hunter_thank"	"My allies have earned their keep."
"dota_chatwheel_message_bounty_hunter_deny"	"ข้าจะต้องสังหารเจ้าอีกเท่าไหร่เนี่ย?"
"[english]dota_chatwheel_message_bounty_hunter_deny"	"How many of you do I have to kill?"
"dota_chatwheel_message_bounty_hunter_1"	"ธุรกิจน่ะ ไม่ใช่เรื่องส่วนตัว"
"[english]dota_chatwheel_message_bounty_hunter_1"	"Just business, nothing personal."
"dota_chatwheel_label_bounty_hunter_1"	"ธุรกิจน่ะ..."
"[english]dota_chatwheel_label_bounty_hunter_1"	"Just business..."
"dota_chatwheel_message_bounty_hunter_2"	"นักล่าที่ปราดเปรื่องต้องสุขุมเยือกเย็น"
"[english]dota_chatwheel_message_bounty_hunter_2"	"A wise hunter knows patience."
"dota_chatwheel_message_bounty_hunter_3"	"เจ็บปวด ใช่มั้ยล่ะ?"
"[english]dota_chatwheel_message_bounty_hunter_3"	"Stings, don't it?"
"dota_chatwheel_message_bounty_hunter_5"	"พวกเขาจะต้องกล่าวขานถึงเรื่องนี้"
"[english]dota_chatwheel_message_bounty_hunter_5"	"They'll tell tales of this."
"dota_chatwheel_message_weaver_laugh"	"ฮี่ฮื่อฮี่ฮ่าา!"
"[english]dota_chatwheel_message_weaver_laugh"	"Hehehhehah!"
"dota_chatwheel_label_weaver_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_weaver_laugh"	"Laugh"
"dota_chatwheel_message_weaver_deny"	"คิดว่าจัดการฉันได้แล้วใช่ไหมล่ะ?"
"[english]dota_chatwheel_message_weaver_deny"	"You thought you had me, didn't you?"
"dota_chatwheel_message_jakiro_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_jakiro_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_jakiro_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_jakiro_laugh"	"Laugh"
"dota_chatwheel_message_jakiro_thank"	"ขอบใจ"
"[english]dota_chatwheel_message_jakiro_thank"	"Cheers."
"dota_chatwheel_label_jakiro_thank"	"ขอบใจ"
"[english]dota_chatwheel_label_jakiro_thank"	"Cheers."
"dota_chatwheel_message_jakiro_1"	"เผาเป็นผุยผง"
"[english]dota_chatwheel_message_jakiro_1"	"Burninated."
"dota_chatwheel_label_jakiro_1"	"เผาเป็นผุยผง!"
"[english]dota_chatwheel_label_jakiro_1"	"Burninated!"
"dota_chatwheel_message_jakiro_4"	"พวกเราไม่ตลกนะ"
"[english]dota_chatwheel_message_jakiro_4"	"We are not amused."
"dota_chatwheel_label_jakiro_4"	"พวกเราไม่ตลกนะ"
"[english]dota_chatwheel_label_jakiro_4"	"We are not amused."
"dota_chatwheel_message_jakiro_5"	"ช่างเลือดเย็นเป็นยิ่งนัก"
"[english]dota_chatwheel_message_jakiro_5"	"That was cold blooded."
"dota_chatwheel_label_jakiro_5"	"ช่างเลือดเย็นเป็นยิ่งนัก"
"[english]dota_chatwheel_label_jakiro_5"	"That was cold blooded."
"dota_chatwheel_message_batrider_laugh"	"ฮี่ ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_batrider_laugh"	"He ha ha!"
"dota_chatwheel_label_batrider_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_batrider_laugh"	"Laugh"
"dota_chatwheel_message_batrider_1"	"โอ้ว เย้ เราจะขี่มุ่งสู่อาทิตย์อัสดง!"
"[english]dota_chatwheel_message_batrider_1"	"Aw yeah, off we ride into the sunset."
"dota_chatwheel_label_batrider_1"	"มุ่งสู่อาทิตย์อัสดง!"
"[english]dota_chatwheel_label_batrider_1"	"Into the sunset!"
"dota_chatwheel_message_chen_laugh"	"ฮี่ฮี่ฮื่มฮื่มฮืมมม"
"[english]dota_chatwheel_message_chen_laugh"	"Hehehmehmehmmm."
"dota_chatwheel_label_chen_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_chen_laugh"	"Laugh"
"dota_chatwheel_message_chen_thank"	"โอ้ ขอบคุณพระเจ้า"
"[english]dota_chatwheel_message_chen_thank"	"Oh, thank God."
"dota_chatwheel_label_chen_thank"	"โอ้ ขอบคุณพระเจ้า"
"[english]dota_chatwheel_label_chen_thank"	"Oh, thank God."
"dota_chatwheel_message_chen_deny"	"เจ้าหนีบาปตัวเองไม่พ้นหรอก"
"[english]dota_chatwheel_message_chen_deny"	"Can't escape your sins."
"dota_chatwheel_label_chen_deny"	"เจ้าหนีบาปตัวเองไม่พ้นหรอก"
"[english]dota_chatwheel_label_chen_deny"	"You can't escape your sins."
"dota_chatwheel_message_chen_1"	"เจอแล้วพวกมิคู่ควร"
"[english]dota_chatwheel_message_chen_1"	"Found unworthy."
"dota_chatwheel_label_chen_1"	"เจอแล้วพวกมิคู่ควร"
