"lang"
{ 
	"Language" "polish" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"pkt. zdrowia"					// $health
		"dota_ability_variable_mana"				"pkt. many"						// $mana
		"dota_ability_variable_armor"				"pkt. pancerza"						// $armor
		"dota_ability_variable_damage"				"pkt. obrażeń"					// $damage
		"dota_ability_variable_str"					"pkt. Siły"					// $str
		"dota_ability_variable_int"					"pkt. Inteligencji"				// $int
		"dota_ability_variable_agi"					"pkt. Zręczności"					// $agi
		"dota_ability_variable_all"					"pkt. wszystkich atrybutów"			// $all
		"dota_ability_variable_primary_attribute"	"pkt. głównego atrybutu"			// $primary_attribute
		"dota_ability_variable_attack"				"jedn. szybkości ataku"				// $attack
		"dota_ability_variable_hp_regen"			"pkt. regeneracji zdrowia"			// $hp_regen
"dota_ability_variable_mana_regen"			"pkt. regeneracji many"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"jedn. aury regeneracji many"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"obrażeń od czarów"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"czasu trwanie negatywnych efektów"			// $debuff_amp
		"dota_ability_variable_move_speed"			"szybkości ruchu"			// $move_speed
		"dota_ability_variable_evasion"				"szansy na unik"					// $evasion
		"dota_ability_variable_spell_resist"		"odporności na magię"			// $spell_resist
"dota_ability_variable_spell_lifesteal_creep"	"kradzieży zdrowia z czarów (creepy)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"kradzieży zdrowia z czarów (bohaterowie)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"pkt. wybranego atrybutu"		// $selected_attribute
		"dota_ability_variable_attack_range"		"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko dla dystansowych)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko walczący wręcz)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"zasięgu rzutu"				// $cast_range
		"dota_ability_variable_status_resist"		"odporności na statusy"			// $status_resist
		"dota_ability_variable_projectile_speed"	"jedn. szybkości pocisku"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"redukcji kosztów many"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Skrócenie czasów oczekiwania"		// $cooldown_reduction 

		//ATTRIBUTES
		"DOTA_Tooltip_ability_brewmaster_primal_split_cancel_Description"					"Anuluj Primal Split."
		"DOTA_Tooltip_ability_brewmaster_resistant_skin"							"Resistant Skin"
		"DOTA_Tooltip_ability_brewmaster_resistant_skin_Lore"						"
"
		"DOTA_Tooltip_ability_brewmaster_resistant_skin_Description"				"Uniemożliwia obniżenie twoich obrażeń."
		"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder"						"Hurl Boulder"
		"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder_Lore"					"
"
		"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder_Description"			"Rzuca głazem w jednostkę, zadając obrażenia i ogłuszając ją."
		"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder_damage"					"OBRAŻENIA:"
		"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder_duration"				"CZAS TRWANIA OGŁUSZENIA:"
		"DOTA_Tooltip_ability_brewmaster_earth_spell_immunity"						"Spell Immunity"
		"DOTA_Tooltip_ability_brewmaster_earth_spell_immunity_Lore"					"
"
		"DOTA_Tooltip_ability_brewmaster_earth_spell_immunity_Description"			"Odporność na czary."
		"DOTA_Tooltip_ability_brewmaster_earth_pulverize"							"Demolish"
		"DOTA_Tooltip_ability_brewmaster_earth_pulverize_Lore"						"
"
		"DOTA_Tooltip_ability_brewmaster_earth_pulverize_Description"				"Zadaje dodatkowe obrażenia budynkom."
		"DOTA_Tooltip_ability_brewmaster_earth_pulverize_bonus_building_damage"     "PREMIA DO OBRAŻEŃ (BUDYNKI):"
		"DOTA_Tooltip_ability_brewmaster_storm_dispel_magic"						"Dispel Magic"
		"DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_Lore"					"
"
		"DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_Description"			"Zadaje obrażenia przyzwanym jednostkom w małym promieniu i oczyszcza większość pozytywnych i negatywnych efektów.\n\nTYP ROZPROSZENIA: zwykłe"
		"DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_damage"					"OBRAŻENIA (PRZYWOŁANI):"
		"DOTA_Tooltip_ability_brewmaster_storm_dispel_magic_radius"					"PROMIEŃ:"
		"DOTA_Tooltip_ability_brewmaster_storm_cyclone"								"Cyclone"
		"DOTA_Tooltip_ability_brewmaster_storm_cyclone_Lore"						"
"
		"DOTA_Tooltip_ability_brewmaster_storm_cyclone_Description"					"Wciąga jednostkę w tornado, eliminując ją z pola walki."
		"DOTA_Tooltip_ability_brewmaster_storm_cyclone_duration_hero"				"CZAS TRWANIA (BOHATER):"
		"DOTA_Tooltip_ability_brewmaster_storm_cyclone_duration_unit"				"CZAS TRWANIA (JEDNOSTKA):"
		"DOTA_Tooltip_ability_brewmaster_storm_wind_walk"							"Wind Walk"
		"DOTA_Tooltip_ability_brewmaster_storm_wind_walk_Lore"						"
"
		"DOTA_Tooltip_ability_brewmaster_storm_wind_walk_Description"				"Zapewnia chwilową niewidzialność oraz premię do szybkości ruchu i obrażeń podczas trwania niewidzialności."
		"DOTA_Tooltip_ability_brewmaster_storm_wind_walk_bonus_damage"				"PREMIA DO OBRAŻEŃ:"
		"DOTA_Tooltip_ability_brewmaster_storm_wind_walk_bonus_movement_speeed"		"PREMIA DO SZYBKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_brewmaster_storm_wind_walk_duration"					"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation"					"Permanent Immolation"
		"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_Lore"			"
"
		"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_Description"		"Zadaje obrażenia od ognia pobliskim wrogim jednostkom."
		"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_damage"			"OBRAŻENIA NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_radius"			"PROMIEŃ:"
		"DOTA_Tooltip_ability_brewmaster_void_astral_pulse"							"Astral Pulse"
		"DOTA_Tooltip_modifier_brewmaster_thunder_clap"						"Thunder Clap"
		"DOTA_Tooltip_modifier_brewmaster_thunder_clap_Description"			"Spowolnienie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% i ataku o %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% jednostek."
		"DOTA_Tooltip_modifier_brewmaster_drunken_haze"						"Drunken Haze"
		"DOTA_Tooltip_modifier_brewmaster_drunken_haze_Description"			"Spowolnienie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% szansy na chybienie ataku."
		"DOTA_Tooltip_modifier_brewmaster_drunken_brawler"					"Drunken Brawler"
		"DOTA_Tooltip_modifier_brewmaster_drunken_brawler_Description"		"Uzyskiwanie dodatkowej szansy na trafienie krytyczne i unik, szybkość ruchu zmienia się."
		"DOTA_Tooltip_modifier_brewmaster_earth_pulverize"					"Demolish"
		"DOTA_Tooltip_modifier_brewmaster_earth_pulverize_Description"		"Zadaje dodatkowe obrażenia budynkom."
		"DOTA_Tooltip_modifier_brewmaster_earth_spell_immunity"				"Spell Immunity"
		"DOTA_Tooltip_modifier_brewmaster_earth_spell_immunity_Description"	"Odporność na większość czarów"
		"DOTA_Tooltip_modifier_brewmaster_storm_wind_walk"					"Wind Walk"
		"DOTA_Tooltip_modifier_brewmaster_storm_cyclone"					"Cyclone"
		"DOTA_Tooltip_modifier_brewmaster_storm_cyclone_Description"		"Nietykalność, brak możliwości działania."
		"DOTA_Tooltip_modifier_brewmaster_fire_permanent_immolation"		"Permanent Immolation"
		"DOTA_Tooltip_modifier_brewmaster_fire_permanent_immolation_Description"	"Palisz się. Otrzymujesz %dMODIFIER_PROPERTY_TOOLTIP% pkt. obrażeń na sekundę."
		"DOTA_Tooltip_modifier_brewmaster_primal_split_duration"			"Primal Split"
		"DOTA_Tooltip_modifier_brewmaster_primal_split_duration_Description" "
"
		"DOTA_Tooltip_modifier_brewmaster_void_void_strike"		"Void Strike"
		"DOTA_Tooltip_modifier_brewmaster_void_void_strike_description"		"Pod wpływem modyfikatorów ataku Brewmastera."
		"DOTA_Tooltip_modifier_brewmaster_void_astral_pulse"				"Astral Pulse"
		"DOTA_Tooltip_modifier_brewmaster_void_astral_pulse_description"	"Rozbrojono i spowolniono o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_modifier_brewmaster_cinder_brew"	"Cinder Brew"
		"DOTA_Tooltip_modifier_brewmaster_cinder_brew_Description"	"Spowolnienie o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Spowoduje zapłon po otrzymaniu obrażeń od czarów."

		"DOTA_Tooltip_modifier_brewmaster_cinder_brew_active"	"Cinder Brew - zapłon"
		"DOTA_Tooltip_modifier_brewmaster_cinder_brew_active_Description"	"Otrzymywanie obrażeń okresowych."

		"DOTA_Tooltip_modifier_brewmaster_drunken_brawler_passive"					"Drunken Brawler"

		//SHADOW DEMON
		"DOTA_Tooltip_ability_shadow_demon_disruption"								"Disruption"
		"DOTA_Tooltip_ability_shadow_demon_disruption_Description"					"Wypędza zaznaczoną jednostkę, pozbywając się jej na chwilę z pola bitwy. Po powrocie tworzą się dwie jej iluzje, które znajdują się pod kontrolą Shadow Demona."
		"DOTA_Tooltip_ability_shadow_demon_disruption_Lore"							"Ból po oszukaniu nachodzi nie w momencie jego zdarzenia, lecz odkrycia."
		"DOTA_Tooltip_ability_shadow_demon_disruption_disruption_duration"			"CZAS TRWANIA WYPĘDZENIA:"
		"DOTA_Tooltip_ability_shadow_demon_disruption_illusion_duration"			"CZAS TRWANIA ILUZJI:"
		"DOTA_Tooltip_ability_shadow_demon_disruption_illusion_outgoing_tooltip"	"%OBRAŻENIA OD ILUZJI:"
		"DOTA_Tooltip_ability_shadow_demon_disruption_tooltip_total_illusion_incoming_damage"		"%OBRAŻENIA ZADAWANE ILUZJOM:"		
		"DOTA_Tooltip_ability_shadow_demon_soul_catcher"							"Soul Catcher"
		"DOTA_Tooltip_ability_shadow_demon_soul_catcher_Description"				"Porywa dusze wrogich jednostek we wskazanym obszarze, sprawiając, że tracą część swojego obecnego zdrowia. Shadow Demon tymczasowo zyskuje wzmocnienie czarów za każdą przechwyconą duszę bohatera. Gdy negatywny efekt przestaje działać, jednostki z powrotem zyskują połowę utraconego zdrowia. Soul Catcher działa na jednostki pod wpływem umiejętności Disruption."
		"DOTA_Tooltip_ability_shadow_demon_soul_catcher_Lore"						"Próby uwolnienia się z zaklęcia zepsucia Shadow Demona są głównie bezcelowe."
		"DOTA_Tooltip_ability_shadow_demon_soul_catcher_health_lost"			"%UTRATA OBECNEGO ZDROWIA:"
		"DOTA_Tooltip_ability_shadow_demon_soul_catcher_radius"						"PROMIEŃ:"
		"DOTA_Tooltip_ability_shadow_demon_soul_catcher_bonus_spell_amp"			"WZMOCNIENIE CZARÓW NA BOHATERA:"
		"DOTA_Tooltip_ability_shadow_demon_soul_catcher_duration"			"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison"							"Shadow Poison"
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_abilitydraft_note"			"W trybie Ability Draft umiejętność Shadow Poison – uwolnienie działa poprzez przełączanie autorzucania albo klikanie prawym na umiejętności, albo używanie skrótu klawiszowego z klawiszem Alt. Autorzucanie zostanie włączone, jeżeli istnieją jakiekolwiek jednostki, na które nałożono instancję Shadow Poison."
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_Description"				"Zadaje obrażenia w linii prostej i zatruwa trafione wrogie jednostki. Trucizna zadaje 1/2/4/8/16-krotność obrażeń od pojedynczej instancji w oparciu o liczbę instancji na celu (maksymalnie %max_multiply_stacks%). Dodatkowe instancje dodają kolejne %bonus_stack_damage% pkt. obrażeń. Te opóźnione obrażenia są zadawane, gdy działanie Shadow Poison się skończy lub użyta zostanie podumiejętność uwalniająca ją."
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_Lore"						"Rosnące wpływy Shadow Demona są w stanie zanieczyścić nawet najdzielniejszych i najbardziej prawych bohaterów."
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_Note0"						"Shadow Poison może zatruć cele pod wpływem Disruption."
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_stack_damage"				"OBRAŻENIA OD INSTANCJI:"
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_abilityduration"			"CZAS TRWANIA EFEKTU:"
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_radius"					"PROMIEŃ:"
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_max_multiply_stacks"		"MAKS. INSTANCJI Z MNOŻNIKIEM:"
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_hit_damage"				"OBRAŻENIA OD TRAFIENIA:"
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_release"					"Shadow Poison – uwolnienie"
		"DOTA_Tooltip_ability_shadow_demon_shadow_poison_release_Description"		"Uwalnia truciznę, która zadaje obrażenia wszystkim jednostkom, na które wpłynęła. Shadow Poison działa na jednostki pod wpływem umiejętności Disruption."
		"DOTA_Tooltip_ability_shadow_demon_demonic_purge"							"Demonic Purge"
		"DOTA_Tooltip_ability_shadow_demon_demonic_purge_Description"				"Oczyszcza wskazaną wrogą jednostkę, usuwając pozytywne efekty oraz spowalniając cel na czas trwania umiejętności. Ofiara stopniowo odzyskuje swoją szybkość aż do momentu zakończenia działania umiejętności, po którym otrzyma ona obrażenia. Demonic Purge działa na jednostki pod wpływem umiejętności Disruption.\n\nTYP ROZPROSZENIA: zwykłe"
		"DOTA_Tooltip_ability_shadow_demon_demonic_purge_scepter_description"		"Zastępuje czas oczekiwania %max_charges% ładunkami, które odnawiają się co %charge_restore_time_tooltip_scepter% s. Pozwala również na przełamywanie pasywnych umiejętności celu, gdy Demonic Purge jest aktywne."		
		"DOTA_Tooltip_ability_shadow_demon_demonic_purge_Lore"						"Gdy Shadow Demon już nie potrzebuje swojego kultysty, pozbawia go poddaństwa - oraz życia."
		"DOTA_Tooltip_ability_shadow_demon_demonic_purge_Note0"						"Spowolnienie rozpoczyna się z wartością %max_slow%%% i spada z czasem do %min_slow%%%."
		"DOTA_Tooltip_ability_shadow_demon_demonic_purge_Note1"						"Pozytywne efekty są nieustannie usuwane z celu przez czas trwania Demonic Purge."
		"DOTA_Tooltip_ability_shadow_demon_demonic_purge_abilityduration"			"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_shadow_demon_demonic_purge_purge_damage"				"OBRAŻENIA:"
		"DOTA_Tooltip_modifier_shadow_demon_disruption"						"Disruption"
		"DOTA_Tooltip_modifier_shadow_demon_disruption_Description"			"Wypędzono."
		"DOTA_Tooltip_modifier_shadow_demon_soul_catcher"					"Soul Catcher"
		"DOTA_Tooltip_modifier_shadow_demon_soul_catcher_Description"		"Utrata zdrowia. Połowa utraconego zdrowia powróci, gdy czar się skończy."
		"DOTA_Tooltip_modifier_shadow_demon_soul_catcher_spell_amp"			"Soul Catcher"
		"DOTA_Tooltip_modifier_shadow_demon_soul_catcher_spell_amp_Description"		"Uzyskiwanie %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% wzmocnienia czarów."
		"DOTA_Tooltip_modifier_shadow_demon_shadow_poison"					"Shadow Poison"
		"DOTA_Tooltip_modifier_shadow_demon_shadow_poison_Description"		"Za chwilę otrzyma %dMODIFIER_PROPERTY_TOOLTIP% pkt. obrażeń."
		"DOTA_Tooltip_modifier_shadow_demon_purge_slow"						"Demonic Purged"
		"DOTA_Tooltip_modifier_shadow_demon_purge_slow_Description"			"Spowolnienie o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Pozytywne efekty są usuwane przez cały czas trwania Demonic Purge."
		"DOTA_Tooltip_modifier_shadow_demon_demonic_purge_charge_counter"	"Demonic Purge – ładunki"
		"DOTA_Tooltip_modifier_shadow_demon_demonic_purge_charge_counter_description"	"Ładunki odnowią się po użyciu."
		"DOTA_Tooltip_modifier_shadow_demon_disruption_charge_counter"		"Disruption – ładunki"

		//CHAOS KNIGHT
		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt"					"Chaos Bolt"
		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_Description"		"Ciska tajemniczym pociskiem energii w wybraną jednostkę. Powoduje ogłuszenie o losowym czasie trwania i zadaje losowe obrażenia."
		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_Lore"				"Nawet Chaos Knight nie jest w stanie przewidzieć skutków tego ładunku piekielnej energii."
		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_stun_min"			"MIN. OGŁUSZENIE:"
		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_stun_max"			"MAKS. OGŁUSZENIE:"
		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_damage_min"		"MIN. OBRAŻENIA:"
		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_damage_max"		"MAKS. OBRAŻENIA:"
		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_Note0"			"Czas trwania ogłuszenia i zadane obrażenia są odwrotnie proporcjonalne."
		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_Note1"			"Pobliskie iluzje będą naśladować animację rzucania."
		"DOTA_Tooltip_ability_chaos_knight_reality_rift"				"Reality Rift"
		"DOTA_Tooltip_ability_chaos_knight_reality_rift_Description"	"Teleportuje Chaos Knighta, wszystkie posiadane przez niego iluzje i wybraną wrogą jednostkę do punktu pomiędzy nim a celem. Redukuje pancerz wrogiej jednostki na %duration% s."
		"DOTA_Tooltip_ability_chaos_knight_reality_rift_shard_description"	"Pozwala, by Reality Rift było rzucane na każdego wrogiego bohatera w zasięgu 1200 jednostek od ciebie lub jednej z twoich iluzji. Zbiera wszystkie twoje iluzje i twojego bohatera oraz teleportuje ich do wybranego wroga."
		"DOTA_Tooltip_ability_chaos_knight_reality_rift_Lore"			"Armageddon pędzi między światami, niosąc Chaos Knighta ku jego ofierze, gdziekolwiek by się nie chowała."
		"DOTA_Tooltip_ability_chaos_knight_reality_rift_Note0"			"Chaos Knight i cel zostają zwróceni ku sobie nawzajem, a Chaos Knight i jego fantomy dostaną rozkaz ataku na cel."
		"DOTA_Tooltip_ability_chaos_knight_reality_rift_cast_range"		"ZASIĘG RZUTU:"
		"DOTA_Tooltip_ability_chaos_knight_reality_rift_pull_distance"	"DYSTANS PRZYCIĄGNIĘCIA:"
		"DOTA_Tooltip_ability_chaos_knight_reality_rift_armor_reduction"	"REDUKCJA PANCERZA:"
		"DOTA_Tooltip_ability_chaos_knight_chaos_strike"				"Chaos Strike"
		"DOTA_Tooltip_ability_chaos_knight_chaos_strike_Lore"			"Nieokiełznana moc Chaos Knighta powala każdego, kto stanie mu na drodze, miażdżąc nawet najtwardsze z pancerzy."
		"DOTA_Tooltip_ability_chaos_knight_chaos_strike_chance"	"%SZANSA:"
		"DOTA_Tooltip_ability_chaos_knight_chaos_strike_crit_min"	"%MIN. TRAFIENIE KRYTYCZNE:"
		"DOTA_Tooltip_ability_chaos_knight_chaos_strike_crit_max"	"%MAKS. TRAFIENIE KRYTYCZNE:"
		"DOTA_Tooltip_ability_chaos_knight_chaos_strike_lifesteal"	"%KRADZIEŻ PZ PRZY KRYT. TRAFIENIU:"		
		"DOTA_Tooltip_ability_chaos_knight_phantasm"					"Phantasm"
		"DOTA_Tooltip_ability_chaos_knight_phantasm_Description"		"Przyzywa kilka fantomów będących kopiami Chaos Knighta z innych wymiarów. Fantomy są silnymi iluzjami, które zadają %outgoing_damage_tooltip%%% obrażeń, ale otrzymują %incoming_damage_tooltip%%% obrażeń.\n\nTYP ROZPROSZENIA: zwykłe"
		"DOTA_Tooltip_ability_chaos_knight_phantasm_scepter_description" "Tworzy iluzję sojuszniczych bohaterów. Tworzy również dodatkową iluzję dla Chaos Knighta."
		"DOTA_Tooltip_ability_chaos_knight_phantasm_Lore"				"Chaos Knight zbiera zjawy ze swoich bitew stoczonych w wielu światach i w wielu czasach, by z ich pomocą zgnieść każdego, kto mu się przeciwstawi."
		"DOTA_Tooltip_ability_chaos_knight_phantasm_Note0"				"Usuwa większość negatywnych efektów z Chaos Knighta."
		"DOTA_Tooltip_ability_chaos_knight_phantasm_Note1"				"Podczas przywoływania iluzji bohater jest nietykalny przez %invuln_duration% s, co pozwala mu uniknąć ogłuszeń i obrażeń."
		"DOTA_Tooltip_ability_chaos_knight_phantasm_Note2"				"Silnych iluzji nie można zabić natychmiastowo czarami."
		"DOTA_Tooltip_ability_chaos_knight_phantasm_images_count"		"LICZBA FANTOMÓW:"
		"DOTA_Tooltip_ability_chaos_knight_phantasm_illusion_duration"	"CZAS TRWANIA FANTOMÓW:"
		"DOTA_Tooltip_ability_chaos_knight_phantasm_incoming_damage_tooltip"	"%OBRAŻENIA ZADAWANE FANTOMOM:"
		"DOTA_Tooltip_ability_chaos_knight_phantasm_outgoing_damage_tooltip"	"%OBRAŻENIA FANTOMÓW:"	
		"DOTA_Tooltip_ability_chaos_knight_phantasm_incoming_damage_tooltip_scepter"	"%OBRAŻENIA ZADAWANE ILUZJOM (SCEPTER):"	

		"DOTA_Tooltip_modifier_chaos_knight_chaos_strike_debuff"				"Chaos Strike"
		"DOTA_Tooltip_modifier_chaos_knight_chaos_strike_debuff_Description"	"Spowolnienie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		
		"DOTA_Tooltip_modifier_chaos_knight_reality_rift_debuff"	"Maimed"
		"DOTA_Tooltip_modifier_chaos_knight_reality_rift_debuff_Description"	"Redukcja pancerza o %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% pkt."

		//OGRE MAGI
		"DOTA_Tooltip_ability_ogre_magi_fireblast"									"Fireblast"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_Description"						"Uderza wrogą jednostkę falą ognia, zadając obrażenia i ogłuszając cel."
		"DOTA_Tooltip_ability_ogre_magi_fireblast_Lore"								"Ogre Magi łatwo popada w euforię, zabawiając samego siebie na długie godziny poprzez zabawę z ogniem."
		"DOTA_Tooltip_ability_ogre_magi_fireblast_Note0"							"Jeśli wylosowany zostanie mnożnik, Fireblast zadziała odpowiednią liczbę razy na celu, zadając obrażenia co %multicast_delay% s."
		"DOTA_Tooltip_ability_ogre_magi_fireblast_stun_duration"					"CZAS TRWANIA OGŁUSZENIA:"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_fireblast_damage"					"OBRAŻENIA:"
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast"						"Unrefined Fireblast"
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_Description"			"Uderza przeciwnika falą ognia, zadając obrażenia i ogłuszając cel. Koszt many jest równy %scepter_mana%%% aktualnej many Ogre Magi."
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_Lore"					"Kłótnia z samym sobą w stylu „kto pierwszy ten lepszy” na rzucanie zaklęć jest łatwo rozwiązywana poprzez rzucanie dwóch zaklęć na raz."
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_Note0"					"W przypadku aktywacji Multicast, Unrefined Fireblast uderza ten sam cel wielokrotnie z odstępem trwającym %multicast_delay% s między uderzeniami."
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_stun_duration"			"CZAS TRWANIA OGŁUSZENIA:"
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_fireblast_damage"		"OBRAŻENIA (FIREBLAST):"
        "DOTA_Tooltip_ability_ogre_magi_ignite"										"Ignite"
		"DOTA_Tooltip_ability_ogre_magi_ignite_Description"							"Oblewa cel i inną losową jednostkę niestabilnymi chemikaliami, które powodują zapłon. Cel odczuwa ogromny ból, otrzymuje obrażenia i porusza się wolniej."
		"DOTA_Tooltip_ability_ogre_magi_ignite_Lore"								"Kto następny?"
		"DOTA_Tooltip_ability_ogre_magi_ignite_Note1"								"Jeżeli Ignite trafi w jednostkę już znajdującą się pod wpływem tego efektu, to czas trwania palenia zostanie odpowiednio wydłużony."
		"DOTA_Tooltip_ability_ogre_magi_ignite_burn_damage"							"OBRAŻENIA OD PODPALENIA:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_duration"							"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_slow_movement_speed_pct"				"%SPOWOLNIENIE:"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust"									"Bloodlust"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_Description"						"Wpędza sprzymierzoną jednostkę w szał, zwiększając jej szybkość ruchu i ataku. Przyznaje zwiększoną premię do szybkości ataku, jeżeli Ogre Magi użyje na sobie. Można używać na wieżach."
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_Lore"								"„Bieganie nie jest tak zabawne, jak uderzanie… ani trochę.”"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_Note0"							"Jeśli aktywowany zostanie mnożnik, odpowiednia liczba losowo wybranych sojuszników w promieniu %multicast_bloodlust_aoe% jednostek otrzyma Bloodlust."
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_duration"							"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_bonus_movement_speed"				"%PREMIA DO SZYBKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_bonus_attack_speed"				"PREMIA DO SZYBKOŚCI ATAKU:"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_self_bonus"						"PREMIA DO SZYBKOŚCI ATAKU DLA SIEBIE:"
		"DOTA_Tooltip_ability_ogre_magi_multicast"									"Multicast"
		"DOTA_Tooltip_ability_ogre_magi_multicast_Description"						"Pozwala Ogre Magi na wielokrotne rzucanie czarów i użycie przedmiotów przy każdym ich użyciu."
		"DOTA_Tooltip_ability_ogre_magi_multicast_Lore"								"Pomimo bycia dość ograniczonym przez swoje IQ, sukcesy, które Ogre Magi odnosi w walkach, są przypisywane jego wielkim umiejętnościom."
		"DOTA_Tooltip_ability_ogre_magi_multicast_Note0"							"Tylko umiejętności oraz przedmioty celowane mają szansę na aktywowanie Multicast."
		"DOTA_Tooltip_ability_ogre_magi_multicast_Note1"							"Celowane umiejętności oraz przedmioty działają na dodatkowych wrogów i neutralne creepy dookoła Ogre Magi. Fireblast i Unrefined Fireblast zamiast tego uderzają ten sam cel wielokrotnie."
		"DOTA_Tooltip_ability_ogre_magi_smash"									    "Fire Shield"
		"DOTA_Tooltip_modifier_ogre_magi_smash_buff"								"Fire Shield"


		"DOTA_Tooltip_ability_ogre_magi_multicast_multicast_2_times"		"%SZANSA NA 2X RZUT:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_multicast_3_times"		"%SZANSA NA 3X RZUT:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_multicast_4_times"		"%SZANSA NA 4X RZUT:"
		
		"DOTA_Tooltip_modifier_ogre_magi_bloodlust"				"Bloodlust"
