"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха!"
"dota_chatwheel_message_clinkz_thank"	"Много добре."
"[english]dota_chatwheel_message_clinkz_thank"	"Well done."
"dota_chatwheel_label_clinkz_thank"	"Много добре."
"[english]dota_chatwheel_label_clinkz_thank"	"Well done."
"dota_chatwheel_message_clinkz_deny"	"А почти се бяхте справили."
"[english]dota_chatwheel_message_clinkz_deny"	"You almost had it too."
"dota_chatwheel_label_clinkz_deny"	"А почти се бяхте справили."
"[english]dota_chatwheel_label_clinkz_deny"	"You almost had it too."
"dota_chatwheel_message_clinkz_1"	"Ще изпепеля тялото Ви."
"[english]dota_chatwheel_message_clinkz_1"	"I'll burn your body to ashes."
"dota_chatwheel_label_clinkz_1"	"Ще изпепеля тялото Ви."
"[english]dota_chatwheel_label_clinkz_1"	"I'll burn your body to ashes."
"dota_chatwheel_message_clinkz_2"	"Борете се срещу огъня с огън."
"[english]dota_chatwheel_message_clinkz_2"	"Fight fire with fire."
"dota_chatwheel_label_clinkz_2"	"Борете се срещу огъня с огън."
"[english]dota_chatwheel_label_clinkz_2"	"Fight fire with fire."
"dota_chatwheel_message_clinkz_3"	"Благодаря за целевата тренировка."
"[english]dota_chatwheel_message_clinkz_3"	"Thanks for the target practice."
"dota_chatwheel_label_clinkz_3"	"Благодаря за целевата тренировка."
"[english]dota_chatwheel_label_clinkz_3"	"Thanks for the target practice."
"dota_chatwheel_message_clinkz_4"	"Да!"
"[english]dota_chatwheel_message_clinkz_4"	"Yes!"
"dota_chatwheel_label_clinkz_4"	"Да!"
"[english]dota_chatwheel_label_clinkz_4"	"Yes!"
"dota_chatwheel_message_clinkz_5"	"Колкото повече подклаждате огъня, толкова повече той се разраства."
"[english]dota_chatwheel_message_clinkz_5"	"Fire grows hungrier the more it's fed."
"dota_chatwheel_label_clinkz_5"	"Огънят се разраства…"
"[english]dota_chatwheel_label_clinkz_5"	"Fire grows hungrier..."
"dota_chatwheel_message_omniknight_laugh"	"Му-хоо-уе-хех-хъх-хей."
"[english]dota_chatwheel_message_omniknight_laugh"	"Mehooweheh hwh hew."
"dota_chatwheel_label_omniknight_laugh"	"Смях"
"[english]dota_chatwheel_label_omniknight_laugh"	"Laugh"
"dota_chatwheel_message_omniknight_thank"	"Красиво."
"[english]dota_chatwheel_message_omniknight_thank"	"Beautiful."
"dota_chatwheel_label_omniknight_thank"	"Красиво."
"[english]dota_chatwheel_label_omniknight_thank"	"Beautiful."
"dota_chatwheel_message_omniknight_deny"	"Заковах го."
"[english]dota_chatwheel_message_omniknight_deny"	"Nailed it."
"dota_chatwheel_label_omniknight_deny"	"Заковах го."
"[english]dota_chatwheel_label_omniknight_deny"	"Nailed it."
"dota_chatwheel_message_omniknight_1"	"Поредното леке на бойното поле."
"[english]dota_chatwheel_message_omniknight_1"	"Another stain on the battlefield."
"dota_chatwheel_label_omniknight_1"	"Поредното леке на бойното поле."
"[english]dota_chatwheel_label_omniknight_1"	"Another stain on the battlefield."
"dota_chatwheel_message_omniknight_2"	"Вината Ви натежава много."
"[english]dota_chatwheel_message_omniknight_2"	"Your guilt weighs heavily."
"dota_chatwheel_label_omniknight_2"	"Вината Ви натежава много."
"[english]dota_chatwheel_label_omniknight_2"	"Your guilt weighs heavily."
"dota_chatwheel_message_omniknight_3"	"Почивайте в мир, злочести глупако."
"[english]dota_chatwheel_message_omniknight_3"	"Be at peace you wretched fool."
"dota_chatwheel_label_omniknight_3"	"Почивайте в мир, злочести глупако."
"[english]dota_chatwheel_label_omniknight_3"	"Be at peace you wretched fool."
"dota_chatwheel_message_omniknight_4"	"Изборът Ви беше незадоволителен."
"[english]dota_chatwheel_message_omniknight_4"	"You chose poorly."
"dota_chatwheel_label_omniknight_4"	"Изборът Ви беше незадоволителен."
"[english]dota_chatwheel_label_omniknight_4"	"You chose poorly."
"dota_chatwheel_message_omniknight_5"	"Всезнаещият долавя разкаянието Ви."
"[english]dota_chatwheel_message_omniknight_5"	"The All-knowing One senses your regret."
"dota_chatwheel_label_omniknight_5"	"Всезнаещият долавя…"
"[english]dota_chatwheel_label_omniknight_5"	"The All-knowing One senses..."
"dota_chatwheel_message_enchantress_laugh"	"Ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_enchantress_laugh"	"Ha ha ha ha ha ha ha!"
"dota_chatwheel_label_enchantress_laugh"	"Смях"
"[english]dota_chatwheel_label_enchantress_laugh"	"Laugh"
"dota_chatwheel_message_enchantress_thank"	"Обичам да побеждавам!"
"[english]dota_chatwheel_message_enchantress_thank"	"I love winning!"
"dota_chatwheel_label_enchantress_thank"	"Обичам да побеждавам!"
"[english]dota_chatwheel_label_enchantress_thank"	"I love winning!"
"dota_chatwheel_message_enchantress_deny"	"Не се гневете."
"[english]dota_chatwheel_message_enchantress_deny"	"Don't be mad."
"dota_chatwheel_label_enchantress_deny"	"Не се гневете."
"[english]dota_chatwheel_label_enchantress_deny"	"Don't be mad."
"dota_chatwheel_message_enchantress_1"	"Просто не е честно."
"[english]dota_chatwheel_message_enchantress_1"	"It's just not fair."
"dota_chatwheel_label_enchantress_1"	"Просто не е честно."
"[english]dota_chatwheel_label_enchantress_1"	"It's just not fair."
"dota_chatwheel_message_enchantress_2"	"Смехотворно."
"[english]dota_chatwheel_message_enchantress_2"	"Hilarious."
"dota_chatwheel_label_enchantress_2"	"Смехотворно."
"[english]dota_chatwheel_label_enchantress_2"	"Hilarious."
"dota_chatwheel_message_enchantress_3"	"Постарахте се, доколкото е възможно."
"[english]dota_chatwheel_message_enchantress_3"	"You did your best."
"dota_chatwheel_label_enchantress_3"	"Постарахте се, доколкото е възможно."
"[english]dota_chatwheel_label_enchantress_3"	"You did your best."
"dota_chatwheel_message_enchantress_4"	"Спройнк."
"[english]dota_chatwheel_message_enchantress_4"	"Sproink."
"dota_chatwheel_label_enchantress_4"	"Спройнк."
"[english]dota_chatwheel_label_enchantress_4"	"Sproink."
"dota_chatwheel_message_enchantress_5"	"Знаете ли какво обичам? Всичко!"
"[english]dota_chatwheel_message_enchantress_5"	"You know what I love? Everything!"
"dota_chatwheel_label_enchantress_5"	"Знаете ли какво обичам…?"
"[english]dota_chatwheel_label_enchantress_5"	"You know what I love?..."
"dota_chatwheel_message_huskar_laugh"	"Хех-хех-хеех."
"[english]dota_chatwheel_message_huskar_laugh"	"Heh heh heeh."
"dota_chatwheel_label_huskar_laugh"	"Смях"
"[english]dota_chatwheel_label_huskar_laugh"	"Laugh"
"dota_chatwheel_message_huskar_thank"	"Ахх, това ще се понрави на боговете."
"[english]dota_chatwheel_message_huskar_thank"	"Ahh, this will please the gods."
"dota_chatwheel_label_huskar_thank"	"Ахх, това ще се понрави на боговете."
"[english]dota_chatwheel_label_huskar_thank"	"Ahh, this will please the gods."
"dota_chatwheel_message_huskar_deny"	"Доста си заслужаваше."
"[english]dota_chatwheel_message_huskar_deny"	"Well worth it."
"dota_chatwheel_label_huskar_deny"	"Доста си заслужаваше."
"[english]dota_chatwheel_label_huskar_deny"	"Well worth it."
"dota_chatwheel_message_huskar_1"	"Поредният пропилян живот."
"[english]dota_chatwheel_message_huskar_1"	"Another life squandered."
"dota_chatwheel_label_huskar_1"	"Поредният пропилян живот."
"[english]dota_chatwheel_label_huskar_1"	"Another life squandered."
"dota_chatwheel_message_huskar_2"	"Честна размяна!"
"[english]dota_chatwheel_message_huskar_2"	"A fair trade!"
"dota_chatwheel_label_huskar_2"	"Честна размяна!"
"[english]dota_chatwheel_label_huskar_2"	"A fair trade!"
"dota_chatwheel_message_huskar_3"	"Сега животът ми има смисъл!"
"[english]dota_chatwheel_message_huskar_3"	"My life now has meaning!"
"dota_chatwheel_label_huskar_3"	"Сега животът ми има смисъл!"
"[english]dota_chatwheel_label_huskar_3"	"My life now has meaning!"
"dota_chatwheel_message_huskar_4"	"Това ли беше всичко?"
"[english]dota_chatwheel_message_huskar_4"	"Is that all?"
"dota_chatwheel_label_huskar_4"	"Това ли беше всичко?"
"[english]dota_chatwheel_label_huskar_4"	"Is that all?"
"dota_chatwheel_message_huskar_5"	"Дадохте всичко от себе си, но не беше достатъчно."
"[english]dota_chatwheel_message_huskar_5"	"You gave all you could give but it was not enough."
"dota_chatwheel_label_huskar_5"	"Дадохте всичко от себе си…"
"[english]dota_chatwheel_label_huskar_5"	"You gave all you could give..."
"dota_chatwheel_message_night_stalker_laugh"	"Хех-хех-хех-хах-хех-хехххх."
"[english]dota_chatwheel_message_night_stalker_laugh"	"Heh heh heh hah heh hehhhh."
"dota_chatwheel_label_night_stalker_laugh"	"Смях"
"[english]dota_chatwheel_label_night_stalker_laugh"	"Laugh"
"dota_chatwheel_message_night_stalker_thank"	"Сега вече ще страдат."
"[english]dota_chatwheel_message_night_stalker_thank"	"Now they will suffer."
"dota_chatwheel_label_night_stalker_thank"	"Сега вече ще страдат."
"[english]dota_chatwheel_label_night_stalker_thank"	"Now they will suffer."
"dota_chatwheel_message_night_stalker_deny"	"Кошмарът Ви продължава."
"[english]dota_chatwheel_message_night_stalker_deny"	"Your nightmare continues."
"dota_chatwheel_label_night_stalker_deny"	"Кошмарът Ви продължава."
"[english]dota_chatwheel_label_night_stalker_deny"	"Your nightmare continues."
"dota_chatwheel_message_night_stalker_1"	"Точно от това се нуждаех!"
"[english]dota_chatwheel_message_night_stalker_1"	"Just what I needed!"
"dota_chatwheel_label_night_stalker_1"	"Точно от това се нуждаех."
"[english]dota_chatwheel_label_night_stalker_1"	"Just what I needed."
"dota_chatwheel_message_night_stalker_2"	"Няма накъде да бягате."
"[english]dota_chatwheel_message_night_stalker_2"	"There's no escape."
"dota_chatwheel_label_night_stalker_2"	"Няма накъде да бягате."
"[english]dota_chatwheel_label_night_stalker_2"	"There's no escape."
"dota_chatwheel_message_night_stalker_3"	"Мракът копнее."
"[english]dota_chatwheel_message_night_stalker_3"	"Darkness hungers."
"dota_chatwheel_label_night_stalker_3"	"Мракът копнее."
"[english]dota_chatwheel_label_night_stalker_3"	"Darkness hungers."
"dota_chatwheel_message_night_stalker_4"	"Време е за прехраната."
"[english]dota_chatwheel_message_night_stalker_4"	"It's feeding time."
"dota_chatwheel_label_night_stalker_4"	"Време е за прехраната."
"[english]dota_chatwheel_label_night_stalker_4"	"It's feeding time."
"dota_chatwheel_message_night_stalker_5"	"Аз съм звярът от приказките преди лягане."
"[english]dota_chatwheel_message_night_stalker_5"	"I'm the beast of bedtime tales."
"dota_chatwheel_label_night_stalker_5"	"Аз съм звярът от приказките преди лягане."
"[english]dota_chatwheel_label_night_stalker_5"	"I'm the beast of bedtime tales."
"dota_chatwheel_message_broodmother_laugh"	"Ха-ха-ха-ха-ха."
"[english]dota_chatwheel_message_broodmother_laugh"	"Ha ha ha ha ha."
"dota_chatwheel_label_broodmother_laugh"	"Смях"
"[english]dota_chatwheel_label_broodmother_laugh"	"Laugh"
"dota_chatwheel_message_broodmother_thank"	"Какво прелестно люпило."
"[english]dota_chatwheel_message_broodmother_thank"	"What a lovely brood."
"dota_chatwheel_label_broodmother_thank"	"Прелестно люпило."
"[english]dota_chatwheel_label_broodmother_thank"	"A lovely brood."
"dota_chatwheel_message_broodmother_deny"	"Нуждая се от това, както ми е необходим още един чифт крака."
"[english]dota_chatwheel_message_broodmother_deny"	"I need this like I need another pair of legs."
"dota_chatwheel_label_broodmother_deny"	"Това не ми е нужно."
"[english]dota_chatwheel_label_broodmother_deny"	"I don't need this."
"dota_chatwheel_message_broodmother_1"	"Изящно."
"[english]dota_chatwheel_message_broodmother_1"	"Delicious."
"dota_chatwheel_label_broodmother_1"	"Изящно."
"[english]dota_chatwheel_label_broodmother_1"	"Delicious."
"dota_chatwheel_message_broodmother_2"	"Нали не се страхувате от паяци?"
"[english]dota_chatwheel_message_broodmother_2"	"You're not afraid of spiders, are you?"
"dota_chatwheel_label_broodmother_2"	"Нали не се страхувате от паяци?"
"[english]dota_chatwheel_label_broodmother_2"	"You're not afraid of spiders, are you?"
"dota_chatwheel_message_broodmother_3"	"Не умирайте, мили мои."
"[english]dota_chatwheel_message_broodmother_3"	"Don't die, my darlings."
"dota_chatwheel_label_broodmother_3"	"Не умирайте, мили мои."
"[english]dota_chatwheel_label_broodmother_3"	"Don't die, my darlings."
"dota_chatwheel_message_broodmother_4"	"О, колко красиво."
"[english]dota_chatwheel_message_broodmother_4"	"Oh so beautiful."
"dota_chatwheel_label_broodmother_4"	"О, колко красиво."
"[english]dota_chatwheel_label_broodmother_4"	"Oh, so beautiful."
"dota_chatwheel_message_broodmother_5"	"Ссс-ссс-сссърбане!"
"[english]dota_chatwheel_message_broodmother_5"	"Sss-sss-ssslurp!"
"dota_chatwheel_label_broodmother_5"	"Сърбане."
"[english]dota_chatwheel_label_broodmother_5"	"Slurp."
"dota_chatwheel_message_bounty_hunter_laugh"	"Ах-ха-ха-ха-ха-ха-ха-ха-ха."
"[english]dota_chatwheel_message_bounty_hunter_laugh"	"Ah ha ha ha ha ha ha ha ha."
"dota_chatwheel_label_bounty_hunter_laugh"	"Смях"
"[english]dota_chatwheel_label_bounty_hunter_laugh"	"Laugh"
"dota_chatwheel_message_bounty_hunter_thank"	"Съюзниците ми са си заслужили отплатата."
"[english]dota_chatwheel_message_bounty_hunter_thank"	"My allies have earned their keep."
"dota_chatwheel_label_bounty_hunter_thank"	"Заслужили са си отплатата."
"[english]dota_chatwheel_label_bounty_hunter_thank"	"Earned their keep."
"dota_chatwheel_message_bounty_hunter_deny"	"Колко от Вас трябва да убия?"
"[english]dota_chatwheel_message_bounty_hunter_deny"	"How many of you do I have to kill?"
"dota_chatwheel_label_bounty_hunter_deny"	"Колко трябва да убия?"
"[english]dota_chatwheel_label_bounty_hunter_deny"	"How many do I have to kill?"
"dota_chatwheel_message_bounty_hunter_1"	"Просто работа, нищо лично."
"[english]dota_chatwheel_message_bounty_hunter_1"	"Just business, nothing personal."
"dota_chatwheel_label_bounty_hunter_1"	"Просто работа…"
"[english]dota_chatwheel_label_bounty_hunter_1"	"Just business..."
"dota_chatwheel_message_bounty_hunter_2"	"Мъдрият ловец познава търпението."
"[english]dota_chatwheel_message_bounty_hunter_2"	"A wise hunter knows patience."
"dota_chatwheel_label_bounty_hunter_2"	"Мъдрият ловец познава търпението."
"[english]dota_chatwheel_label_bounty_hunter_2"	"A wise hunter knows patience."
"dota_chatwheel_message_bounty_hunter_3"	"Жегва, нали?"
"[english]dota_chatwheel_message_bounty_hunter_3"	"Stings, don't it?"
"dota_chatwheel_label_bounty_hunter_3"	"Жегва, нали?"
"[english]dota_chatwheel_label_bounty_hunter_3"	"Stings, don't it?"
"dota_chatwheel_message_bounty_hunter_4"	"Можете да бягате, но няма да се скриете."
"[english]dota_chatwheel_message_bounty_hunter_4"	"You can run but you can't hide."
"dota_chatwheel_label_bounty_hunter_4"	"Можете да бягате, но няма да се скриете."
"[english]dota_chatwheel_label_bounty_hunter_4"	"You can run but you can't hide."
"dota_chatwheel_message_bounty_hunter_5"	"Ще се носят истории за това."
"[english]dota_chatwheel_message_bounty_hunter_5"	"They'll tell tales of this."
"dota_chatwheel_label_bounty_hunter_5"	"Ще се носят истории за това."
"[english]dota_chatwheel_label_bounty_hunter_5"	"They'll tell tales of this."
"dota_chatwheel_message_weaver_laugh"	"Хе-хех-хе-хах!"
"[english]dota_chatwheel_message_weaver_laugh"	"Hehehhehah!"
"dota_chatwheel_label_weaver_laugh"	"Смях"
"[english]dota_chatwheel_label_weaver_laugh"	"Laugh"
"dota_chatwheel_message_weaver_thank"	"Кройката е завършена."
"[english]dota_chatwheel_message_weaver_thank"	"The pattern is complete."
"dota_chatwheel_label_weaver_thank"	"Кройката е завършена!"
"[english]dota_chatwheel_label_weaver_thank"	"The pattern is complete!"
"dota_chatwheel_message_weaver_deny"	"Помислихте си, че сте ме спипали, нали така?"
"[english]dota_chatwheel_message_weaver_deny"	"You thought you had me, didn't you?"
"dota_chatwheel_label_weaver_deny"	"Помислихте си, че сте ме спипали."
"[english]dota_chatwheel_label_weaver_deny"	"Thought you had me."
"dota_chatwheel_message_weaver_1"	"Долавям даден еталон тук."
"[english]dota_chatwheel_message_weaver_1"	"I'm sensing a pattern here."
"dota_chatwheel_label_weaver_1"	"Долавям даден еталон."
"[english]dota_chatwheel_label_weaver_1"	"Sensing a pattern."
"dota_chatwheel_message_weaver_2"	"В плановете има непредвидено препятствие."
"[english]dota_chatwheel_message_weaver_2"	"There's a snag in your plans."
"dota_chatwheel_label_weaver_2"	"Има непредвидено препятствие…"
"[english]dota_chatwheel_label_weaver_2"	"There's a snag..."
"dota_chatwheel_message_weaver_3"	"Даденият еталон се повтаря."
"[english]dota_chatwheel_message_weaver_3"	"A pattern repeats."
"dota_chatwheel_label_weaver_3"	"Даденият еталон се повтаря."
"[english]dota_chatwheel_label_weaver_3"	"A pattern repeats."
"dota_chatwheel_message_weaver_4"	"Пиршество за моите бръмбари."
"[english]dota_chatwheel_message_weaver_4"	"A feast for my beetles."
"dota_chatwheel_label_weaver_4"	"Пиршество за моите бръмбари."
"[english]dota_chatwheel_label_weaver_4"	"A feast for my beetles."
"dota_chatwheel_message_weaver_5"	"Хо, паднахте ми!"
"[english]dota_chatwheel_message_weaver_5"	"Ho, snap!"
"dota_chatwheel_label_weaver_5"	"Хо, паднахте ми!"
"[english]dota_chatwheel_label_weaver_5"	"Ho, snap!"
"dota_chatwheel_message_jakiro_laugh"	"Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_jakiro_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_jakiro_laugh"	"Смях"
"[english]dota_chatwheel_label_jakiro_laugh"	"Laugh"
"dota_chatwheel_message_jakiro_thank"	"Наздраве."
"[english]dota_chatwheel_message_jakiro_thank"	"Cheers."
"dota_chatwheel_label_jakiro_thank"	"Наздраве."
"[english]dota_chatwheel_label_jakiro_thank"	"Cheers."
"dota_chatwheel_message_jakiro_deny"	"Това променя всичко."
"[english]dota_chatwheel_message_jakiro_deny"	"This changes everything."
"dota_chatwheel_label_jakiro_deny"	"Това променя всичко."
"[english]dota_chatwheel_label_jakiro_deny"	"This changes everything."
"dota_chatwheel_message_jakiro_1"	"Попилени."
"[english]dota_chatwheel_message_jakiro_1"	"Burninated."
"dota_chatwheel_label_jakiro_1"	"Попилени!"
"[english]dota_chatwheel_label_jakiro_1"	"Burninated!"
"dota_chatwheel_message_jakiro_2"	"Да си дойдем на думата."
"[english]dota_chatwheel_message_jakiro_2"	"Now we're talking."
"dota_chatwheel_label_jakiro_2"	"Да си дойдем на думата."
"[english]dota_chatwheel_label_jakiro_2"	"Now we're talking."
"dota_chatwheel_message_jakiro_3"	"Ще я видим тая работа."
"[english]dota_chatwheel_message_jakiro_3"	"We'll see about that."
"dota_chatwheel_label_jakiro_3"	"Ще я видим тая работа!"
"[english]dota_chatwheel_label_jakiro_3"	"We'll see about that!"
"dota_chatwheel_message_jakiro_4"	"Не сме впечатлени."
"[english]dota_chatwheel_message_jakiro_4"	"We are not amused."
"dota_chatwheel_label_jakiro_4"	"Не сме впечатлени."
"[english]dota_chatwheel_label_jakiro_4"	"We are not amused."
"dota_chatwheel_message_jakiro_5"	"Това беше хладнокръвно."
"[english]dota_chatwheel_message_jakiro_5"	"That was cold blooded."
"dota_chatwheel_label_jakiro_5"	"Това беше хладнокръвно."
"[english]dota_chatwheel_label_jakiro_5"	"That was cold blooded."
"dota_chatwheel_message_batrider_laugh"	"Хе-ха-ха!"
"[english]dota_chatwheel_message_batrider_laugh"	"He ha ha!"
"dota_chatwheel_label_batrider_laugh"	"Смях"
"[english]dota_chatwheel_label_batrider_laugh"	"Laugh"
"dota_chatwheel_message_batrider_thank"	"Ах, ето за това иде реч!"
"[english]dota_chatwheel_message_batrider_thank"	"Ah, that's what I'm talking about!"
"dota_chatwheel_label_batrider_thank"	"Ето за това иде реч."
"[english]dota_chatwheel_label_batrider_thank"	"That's what I'm talking about."
"dota_chatwheel_message_batrider_deny"	"Това ще Ви жегне."
"[english]dota_chatwheel_message_batrider_deny"	"This is gonna sting."
"dota_chatwheel_label_batrider_deny"	"Това ще Ви жегне."
"[english]dota_chatwheel_label_batrider_deny"	"This is gonna sting."
"dota_chatwheel_message_batrider_1"	"Ау, да, отпрашваме към залеза."
"[english]dota_chatwheel_message_batrider_1"	"Aw yeah, off we ride into the sunset."
"dota_chatwheel_label_batrider_1"	"Към залеза!"
"[english]dota_chatwheel_label_batrider_1"	"Into the sunset!"
"dota_chatwheel_message_batrider_2"	"Животът току-що стана интересен!"
"[english]dota_chatwheel_message_batrider_2"	"Life just got interesting!"
"dota_chatwheel_label_batrider_2"	"Животът току-що стана интересен!"
"[english]dota_chatwheel_label_batrider_2"	"Life just got interesting!"
"dota_chatwheel_message_batrider_3"	"Изстисквам волята Ви за живот!"
"[english]dota_chatwheel_message_batrider_3"	"I'm sappin your will to live!"
"dota_chatwheel_label_batrider_3"	"Изстисквам волята Ви за живот!"
"[english]dota_chatwheel_label_batrider_3"	"Sappin' your will to live!"
"dota_chatwheel_message_batrider_4"	"Еха, болезнено изгаряне!"
"[english]dota_chatwheel_message_batrider_4"	"Whoa, sick burn!"
"dota_chatwheel_label_batrider_4"	"Болезнено изгаряне!"
"[english]dota_chatwheel_label_batrider_4"	"Sick burn!"
"dota_chatwheel_message_batrider_5"	"Това беше куцо."
"[english]dota_chatwheel_message_batrider_5"	"That was lame."
"dota_chatwheel_label_batrider_5"	"Това беше куцо."
"[english]dota_chatwheel_label_batrider_5"	"That was lame."
"dota_chatwheel_message_chen_laugh"	"Хе-хех-мех-мех-ммм."
"[english]dota_chatwheel_message_chen_laugh"	"Hehehmehmehmmm."
"dota_chatwheel_label_chen_laugh"	"Смях"
"[english]dota_chatwheel_label_chen_laugh"	"Laugh"
"dota_chatwheel_message_chen_thank"	"О, слава богу."
"[english]dota_chatwheel_message_chen_thank"	"Oh, thank God."
"dota_chatwheel_label_chen_thank"	"О, слава богу."
"[english]dota_chatwheel_label_chen_thank"	"Oh, thank God."
"dota_chatwheel_message_chen_deny"	"Не можете да избягате от своите грехове."
"[english]dota_chatwheel_message_chen_deny"	"Can't escape your sins."
"dota_chatwheel_label_chen_deny"	"Не можете да избягате от своите грехове."
"[english]dota_chatwheel_label_chen_deny"	"You can't escape your sins."
"dota_chatwheel_message_chen_1"	"Счетен за недостоен."
"[english]dota_chatwheel_message_chen_1"	"Found unworthy."
"dota_chatwheel_label_chen_1"	"Счетен за недостоен."
"[english]dota_chatwheel_label_chen_1"	"Found unworthy."
"dota_chatwheel_message_chen_2"	"Що за богохулство е това?"
"[english]dota_chatwheel_message_chen_2"	"What blasphemy is this?"
"dota_chatwheel_label_chen_2"	"Що за богохулство…"
"[english]dota_chatwheel_label_chen_2"	"What blasphemy..."
"dota_chatwheel_message_chen_3"	"Времето наближава."
"[english]dota_chatwheel_message_chen_3"	"The time draws nigh."
"dota_chatwheel_label_chen_3"	"Времето наближава."
"[english]dota_chatwheel_label_chen_3"	"The time draws nigh."
"dota_chatwheel_message_chen_4"	"Преследването започва сега!"
"[english]dota_chatwheel_message_chen_4"	"The persecution starts now!"
"dota_chatwheel_label_chen_4"	"Преследването…"
"[english]dota_chatwheel_label_chen_4"	"The persecution..."
"dota_chatwheel_message_chen_5"	"Осъществяване на пророчеството."
"[english]dota_chatwheel_message_chen_5"	"A fulfillment of the prophecy."
"dota_chatwheel_label_chen_5"	"Осъществяване на пророчеството."
"[english]dota_chatwheel_label_chen_5"	"A fulfillment of the prophecy."
"dota_chatwheel_message_spectre_laugh"	"Ха-ха-ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_spectre_laugh"	"Ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_spectre_laugh"	"[Смях]"
"[english]dota_chatwheel_label_spectre_laugh"	"[Laugh]"
"dota_chatwheel_message_spectre_thank"	"Ще стоя до Вас."
"[english]dota_chatwheel_message_spectre_thank"	"I'll stand by you."
"dota_chatwheel_label_spectre_thank"	"Ще стоя до Вас."
"[english]dota_chatwheel_label_spectre_thank"	"I'll stand by you."
"dota_chatwheel_message_spectre_deny"	"Грешно."
"[english]dota_chatwheel_message_spectre_deny"	"Wrong."
"dota_chatwheel_label_spectre_deny"	"Грешно."
"[english]dota_chatwheel_label_spectre_deny"	"Wrong."
"dota_chatwheel_message_spectre_1"	"Не разбирам."
"[english]dota_chatwheel_message_spectre_1"	"I do not understand."
"dota_chatwheel_label_spectre_1"	"Не разбирам."
"[english]dota_chatwheel_label_spectre_1"	"I do not understand."
"dota_chatwheel_message_spectre_2"	"Какво е това?"
"[english]dota_chatwheel_message_spectre_2"	"What is this?"
"dota_chatwheel_label_spectre_2"	"Какво е това?"
"[english]dota_chatwheel_label_spectre_2"	"What is this?"
"dota_chatwheel_message_spectre_3"	"Полезно умение."
"[english]dota_chatwheel_message_spectre_3"	"A useful skill."
"dota_chatwheel_label_spectre_3"	"Полезно умение."
"[english]dota_chatwheel_label_spectre_3"	"A useful skill."
"dota_chatwheel_message_spectre_4"	"Никой ли не ме разбира?"
"[english]dota_chatwheel_message_spectre_4"	"Can no one understand me?"
"dota_chatwheel_label_spectre_4"	"Никой ли не ме разбира?"
"[english]dota_chatwheel_label_spectre_4"	"Can no one understand me?"
"dota_chatwheel_message_spectre_5"	"Мизерни и невежи."
"[english]dota_chatwheel_message_spectre_5"	"Miserable and ignorant."
"dota_chatwheel_label_spectre_5"	"Мизерни и невежи."
"[english]dota_chatwheel_label_spectre_5"	"Miserable and ignorant."
"dota_chatwheel_message_ancient_apparition_laugh"	"Хм-хм-ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_ancient_apparition_laugh"	"Hm hm hm ha ha ha ha ha ha ha!"
"dota_chatwheel_label_ancient_apparition_laugh"	"Смях"
"[english]dota_chatwheel_label_ancient_apparition_laugh"	"Laugh"
"dota_chatwheel_message_ancient_apparition_thank"	"Интересно."
"[english]dota_chatwheel_message_ancient_apparition_thank"	"Interesting."
"dota_chatwheel_label_ancient_apparition_thank"	"Интересно."
"[english]dota_chatwheel_label_ancient_apparition_thank"	"Interesting."
"dota_chatwheel_message_ancient_apparition_deny"	"Духа студен повей."
"[english]dota_chatwheel_message_ancient_apparition_deny"	"A cold wind blows."
"dota_chatwheel_label_ancient_apparition_deny"	"Духа студен повей."
"[english]dota_chatwheel_label_ancient_apparition_deny"	"A cold wind blows."
"dota_chatwheel_message_ancient_apparition_1"	"Кръвта Ви се смразява."
"[english]dota_chatwheel_message_ancient_apparition_1"	"Your blood runs cold."
"dota_chatwheel_label_ancient_apparition_1"	"Кръвта Ви се смразява."
"[english]dota_chatwheel_label_ancient_apparition_1"	"Your blood runs cold."
"dota_chatwheel_message_ancient_apparition_2"	"Твърде съм стар за това!"
"[english]dota_chatwheel_message_ancient_apparition_2"	"I'm too old for this!"
"dota_chatwheel_label_ancient_apparition_2"	"Твърде съм стар за това."
"[english]dota_chatwheel_label_ancient_apparition_2"	"I'm too old for this."
"dota_chatwheel_message_ancient_apparition_3"	"Чаках цяла вечност, но си заслужаваше."
"[english]dota_chatwheel_message_ancient_apparition_3"	"I waited ages but it was worth it."
"dota_chatwheel_label_ancient_apparition_3"	"Чаках цяла вечност…"
"[english]dota_chatwheel_label_ancient_apparition_3"	"I waited ages..."
"dota_chatwheel_message_ancient_apparition_4"	"Време е да разчупим леда!"
"[english]dota_chatwheel_message_ancient_apparition_4"	"Time to break the ice!"
"dota_chatwheel_label_ancient_apparition_4"	"Разчупете леда."
"[english]dota_chatwheel_label_ancient_apparition_4"	"Break the ice."
"dota_chatwheel_message_ancient_apparition_5"	"Icefog!"
