"lang"
{ 
	"Language" "japanese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"HP"					// $health
		"dota_ability_variable_mana"				"マナ"						// $mana
		"dota_ability_variable_armor"				"アーマー"						// $armor
		"dota_ability_variable_damage"				"ダメージ"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"すべての属性"			// $all
		"dota_ability_variable_attack"				"攻撃速度"				// $attack
		"dota_ability_variable_mana_regen"			"マナ自然回復"			// $mana_regen
		"dota_ability_variable_spell_amp"			"スペルダメージ"				// $spell_amp
		"dota_ability_variable_move_speed"			"移動速度"			// $move_speed
		"dota_ability_variable_evasion"				"回避"					// $evasion
		"dota_ability_variable_selected_attrib"		"選択中の属性"		// $selected_attribute
		"dota_ability_variable_attack_range"		"攻撃範囲 <font color='#7d7d7d'>(Ranged のみ)</font>"	// $attack_range
		"dota_ability_variable_cast_range"			"キャスト範囲"				// $cast_range
//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"属性値ボーナス"
		"DOTA_Tooltip_ability_rubick_spell_steal_duration"						"持続時間："
		"DOTA_Tooltip_modifier_rubick_telekinesis"						"Telekinesis"
		"DOTA_Tooltip_modifier_rubick_fade_bolt_debuff"					"Fade Bolt"
		"DOTA_Tooltip_modifier_rubick_null_field_effect"				"Null Field"
		"DOTA_Tooltip_modifier_rubick_spell_steal"						"Spell Steal"
		"DOTA_Tooltip_modifier_rubick_spell_steal_Description"			"スペルを盗み取った。"

		//DISRUPTOR
		"DOTA_Tooltip_ability_disruptor_thunder_strike"							"Thunder Strike"
		"DOTA_Tooltip_ability_disruptor_thunder_strike_Lore"					"電力を帯びたコイルは時にオーバーロードし、敵のアーマーのプレートや毛皮の房を焼き焦がす。"
		"DOTA_Tooltip_ability_disruptor_thunder_strike_radius"					"範囲:"
		"DOTA_Tooltip_ability_disruptor_thunder_strike_strikes"					"STRIKE　の数："
		"DOTA_Tooltip_ability_disruptor_thunder_strike_strike_interval"			"STRIKE 間隔:"
		"DOTA_Tooltip_ability_disruptor_glimpse"								"Glimpse"
		"DOTA_Tooltip_ability_disruptor_glimpse_Lore"							"電気で遊んた結果がもたらした予期せぬ副産物。"
		"DOTA_Tooltip_ability_disruptor_glimpse_cast_range"						"キャスト範囲："
		"DOTA_Tooltip_ability_disruptor_kinetic_field"							"Kinetic Field"
		"DOTA_Tooltip_ability_disruptor_kinetic_field_Description"				"少し時間をかけて、敵が通り抜けることが出来ない運動エネルギーで出来た円形のバリアを作り出す。"
		"DOTA_Tooltip_ability_disruptor_kinetic_field_Lore"						"敵を消費する強風の力に免疫を持つ。"
		"DOTA_Tooltip_ability_disruptor_kinetic_field_formation_time"			"作成遅延："
		"DOTA_Tooltip_ability_disruptor_kinetic_field_duration"					"持続時間:"
		"DOTA_Tooltip_ability_disruptor_kinetic_field_radius"					"範囲:"
		"DOTA_Tooltip_ability_disruptor_static_storm"							"Static Storm"
		"DOTA_Tooltip_ability_disruptor_static_storm_Lore"						"Oglodi だけが生き残ることの出来る激しい Druid のスコール。"
		"DOTA_Tooltip_ability_disruptor_static_storm_radius"					"範囲:"
		"DOTA_Tooltip_ability_disruptor_static_storm_damage_max"				"最大ダメージ／秒："
		"DOTA_Tooltip_ability_disruptor_static_storm_duration"					"持続時間:"
		"DOTA_Tooltip_ability_disruptor_static_storm_pulses"					"パルス数:"
		"DOTA_Tooltip_ability_disruptor_static_storm_duration_scepter"			"SCEPTER 持続時間："
		"DOTA_Tooltip_ability_disruptor_static_storm_pulses_scepter"			"SCEPTER パルス数："
		"DOTA_Tooltip_modifier_disruptor_thunder_strike"				"Thunder Strike"
		"DOTA_Tooltip_modifier_disruptor_thunder_strike_Description"	"断続的なダメージを受けている"
		"DOTA_Tooltip_modifier_disruptor_static_storm"					"Static Storm"
		"DOTA_Tooltip_modifier_disruptor_static_storm_Description"		"サイレンスされている"

		//NYX ASSASSIN
		"DOTA_Tooltip_ability_nyx_assassin_impale"								"Impale"
		"DOTA_Tooltip_ability_nyx_assassin_impale_Description"					"地中から岩のスパイクを直線状に破裂させる。敵ユニットは空中に打ち上げられ、着地時にスタンとダメージを受ける。"
		"DOTA_Tooltip_ability_nyx_assassin_impale_duration"						"スタン持続時間："
		"DOTA_Tooltip_ability_nyx_assassin_mana_burn"							"Mana Burn"
		"DOTA_Tooltip_ability_nyx_assassin_mana_burn_Description"				"指定したヒーローのIntelligence に乗数をかけた分だけマナを燃焼させ、燃焼したマナと同じ量のダメージを与える。"
		"DOTA_Tooltip_ability_nyx_assassin_mana_burn_float_multiplier"			"INTELLIGENCE 乗数："
		"DOTA_Tooltip_ability_nyx_assassin_spiked_carapace"						"Spiked Carapace"
		"DOTA_Tooltip_ability_nyx_assassin_spiked_carapace_reflect_duration"	"REFLECT 持続時間："
		"DOTA_Tooltip_ability_nyx_assassin_spiked_carapace_stun_duration"		"スタン持続時間："
		"DOTA_Tooltip_ability_nyx_assassin_vendetta"							"Vendetta"
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_duration"					"持続時間："
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_bonus_damage"				"ボーナスダメージ："	
		"DOTA_Tooltip_ability_nyx_assassin_burrow"						"Burrow"
		"DOTA_Tooltip_ability_nyx_assassin_unburrow"						"Unburrow"
		"DOTA_Tooltip_modifier_nyx_assassin_impale"							"Impale"
		"DOTA_Tooltip_modifier_nyx_assassin_impale_Description"					"Stunned."
		"DOTA_Tooltip_modifier_nyx_assassin_spiked_carapace"				"Spiked Carapace"
		"DOTA_Tooltip_modifier_nyx_assassin_spiked_carapace_Description"	"プレイヤーから受けたダメージを反射し、そのプレイヤーにダメージとスタンを与える。"
		"DOTA_Tooltip_modifier_nyx_assassin_vendetta"						"Vendetta"
		"DOTA_Tooltip_modifier_nyx_assassin_burrow"							"Burrowed"
		//NAGA SIREN
		"DOTA_Tooltip_ability_naga_siren_mirror_image"							"Mirror Image"
		"DOTA_Tooltip_ability_naga_siren_mirror_image_Lore"						"生まれながらに強力なSlithice を追跡するのは困難なこととして有名だ。"
		"DOTA_Tooltip_ability_naga_siren_mirror_image_illusion_duration"		"IMAGE 持続時間:"
		"DOTA_Tooltip_ability_naga_siren_ensnare"								"Ensnare"
		"DOTA_Tooltip_ability_naga_siren_ensnare_Description"					"対象のスキルやアイテムの詠唱を妨害し、その場に捕らえて移動やブリンクをできなくする。"
		"DOTA_Tooltip_ability_naga_siren_ensnare_Lore"							"Slithereen の猛攻から逃れる唯一の方法は、そもそも敵対しないことだ。"
		"DOTA_Tooltip_ability_naga_siren_ensnare_duration"						"持続時間："
		"DOTA_Tooltip_ability_naga_siren_rip_tide"								"Rip Tide"
		"DOTA_Tooltip_ability_naga_siren_rip_tide_Lore"							"Deep Ones からの急流は Siren の敵の防御を押しつぶす。"
		"DOTA_Tooltip_ability_naga_siren_rip_tide_armor_reduction"				"アーマー低下:"
		"DOTA_Tooltip_ability_naga_siren_rip_tide_duration"				        "持続時間:"
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren"						"Song of the Siren"
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_Lore"				"いざという時にSlithereen の親族を呼び出しながら、Slithice の強力な声で敵族に魔法をかける。"
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_duration"			"持続時間："
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_radius"				"範囲:"
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_cancel_Description"	"敵ユニットを歌から解放し、再び攻撃の対象となるようにする。"
		
		"DOTA_Tooltip_modifier_naga_siren_ensnare"						"Ensnare"
		"DOTA_Tooltip_modifier_naga_siren_ensnare_Description"			"その場に捕らえられ、移動やブリンクができない。"
		"DOTA_Tooltip_modifier_naga_siren_rip_tide"						"Rip Tide"
		"DOTA_Tooltip_modifier_naga_siren_rip_tide_Description"			"アーマーが%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%低下する。"
		"DOTA_Tooltip_modifier_naga_siren_song_of_the_siren"			"Song of the Siren"
		"DOTA_Tooltip_modifier_naga_siren_song_of_the_siren_Description"	"眠っており、無敵状態。"	
		"DOTA_Tooltip_modifier_naga_siren_song_of_the_siren_aura"			"Song of the Siren"
		"DOTA_Tooltip_modifier_naga_siren_song_of_the_siren_aura_Description"	"敵を停止状態に陥らせる"
		//KEEPER OF THE LIGHT
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate"					"Illuminate"
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_max_channel_time""最長詠唱時間："
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_range"				"範囲："
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_end"				"Release Illuminate"
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_end_Description"	"早期に詠唱をやめる。"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak"					"Mana Leak"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_Description"		"敵の魔法要素を弱らせ、移動するとマナを失わせる。マナを全て失った敵は、スタンを受ける。"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_mana_leak_pct"		"%MANA LEAK パーセント："
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_duration"			"LEAK 持続時間："
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_stun_duration"		"スタン持続時間："
		"DOTA_Tooltip_ability_keeper_of_the_light_chakra_magic"					"Chakra Magic"
		"DOTA_Tooltip_ability_keeper_of_the_light_chakra_magic_mana_restore"	"マナ回復："
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form"					"Spirit Form"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_duration"			"持続時間:"
		"DOTA_Tooltip_ability_keeper_of_the_light_recall"						"Recall"
		"DOTA_Tooltip_ability_keeper_of_the_light_recall_Description"			"少しの遅れの後、対象の味方ヒーローを自分の場所までテレポートさせる。詠唱してからテレポートするまでの間に、テレポート対象のヒーローがプレイヤーからのダメージを請けると、このアビリティは中断される。"
		"DOTA_Tooltip_ability_keeper_of_the_light_recall_Lore"					"光に向かって歩く。"
		"DOTA_Tooltip_ability_keeper_of_the_light_recall_teleport_delay"		"テレポート遅延："
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light"				"Blinding Light"
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light_miss_rate"		"%ミス確率:"
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light_radius"		"範囲:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate"					"Illuminate"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_range"				"範囲："
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_max_channel_time"	"最長詠唱時間："
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_end"				"Release Illuminate"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_end_Description"	"早期に詠唱をやめる。"
		"DOTA_Tooltip_ability_keeper_of_the_light_empty1"										"空"
		"DOTA_Tooltip_ability_keeper_of_the_light_empty2"										"空"
		"DOTA_Tooltip_modifier_keeper_of_the_light_mana_leak"							"Mana Leak"
		"DOTA_Tooltip_modifier_keeper_of_the_light_mana_leak_Description"				"移動するとマナを失う。"
		"DOTA_Tooltip_modifier_keeper_of_the_light_spirit_form"							"Spirit Form"
		"DOTA_Tooltip_modifier_keeper_of_the_light_spirit_form_illuminate"				"Channeling Illuminate"
		"DOTA_Tooltip_modifier_keeper_of_the_light_spirit_form_illuminate_Description"	"精霊が別の場所で Channeling Illuminate を使用しています。"
		"DOTA_Tooltip_modifier_keeper_of_the_light_recall"								"Recall"
		"DOTA_Tooltip_modifier_keeper_of_the_light_recall_Description"					"Keeper of the Light の位置に移動している。"
		"DOTA_Tooltip_modifier_keeper_of_the_light_blinding_light"						"Blinding Light"
		"DOTA_Tooltip_modifier_keeper_of_the_light_blinding_light_Description"			"視界を奪われ、攻撃の%dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% をミスする。"
		"DOTA_Tooltip_modifier_keeper_of_the_light_chakra_magic"			"Chakra Magic"
		//Wisp
		"DOTA_Tooltip_ability_wisp_tether"										"Tether"
		"DOTA_Tooltip_ability_wisp_tether_movespeed"							"%移動速度ボーナス："
		"DOTA_Tooltip_ability_wisp_tether_break"								"Break Tether"
		"DOTA_Tooltip_ability_wisp_tether_break_Description"					"Tetherで繋がったユニットとのリンクを切る。"
		"DOTA_Tooltip_ability_wisp_spirits"										"Spirits"
		"DOTA_Tooltip_ability_wisp_spirits_creep_damage"						"クリープ ダメージ："
		"DOTA_Tooltip_ability_wisp_spirits_hero_damage"							"ヒーローへのダメージ:"
		"DOTA_Tooltip_ability_wisp_spirits_max_range"							"振動範囲:"
		"DOTA_Tooltip_ability_wisp_spirits_explode_radius"						"爆発の範囲:"
		"DOTA_Tooltip_ability_wisp_spirits_spirit_duration"						"持続時間："
		"DOTA_Tooltip_ability_wisp_spirits_out"									"Spirits Out"
		"DOTA_Tooltip_ability_wisp_spirits_out_Description"						"精霊を遠ざける。OnとOffを切り替えられる。"
		"DOTA_Tooltip_ability_wisp_overcharge"									"Overcharge"
		"DOTA_Tooltip_ability_wisp_overcharge_bonus_attack_speed"				"攻撃速度:"
		"DOTA_Tooltip_ability_wisp_relocate"									"Relocate"
		"DOTA_Tooltip_ability_wisp_relocate_return_time"						"戻る時間:"
		"DOTA_Tooltip_modifier_wisp_tether"									"Tether を受けた状態"
		"DOTA_Tooltip_modifier_wisp_tether_haste"							"Tether を受けた状態"
		"DOTA_Tooltip_modifier_wisp_overcharge"								"Overcharge　を受けた状態"
		"DOTA_Tooltip_modifier_wisp_spirits"								"Spirits"
		"DOTA_Tooltip_modifier_wisp_spirits_Description"					"味方の精霊たちに囲まれている。"
		"DOTA_Tooltip_modifier_wisp_relocate_return"						"Return"
		"DOTA_Tooltip_modifier_wisp_relocate_return_Description"			"元の場所へ戻ろうとしている。"
		// SLARK
		"DOTA_Tooltip_ability_slark_dark_pact"									"Dark Pact"
		"DOTA_Tooltip_ability_slark_dark_pact_Lore"								"Slithereen は重傷を負うと、命を救うために 体を素早く再生できる。"
		"DOTA_Tooltip_ability_slark_dark_pact_Note2"							"このスキルで死ぬことはできない。"
		"DOTA_Tooltip_ability_slark_dark_pact_Note3"							"Slark が死ぬとパルスは停止する。"
		"DOTA_Tooltip_ability_slark_dark_pact_delay"							"遅延："
		"DOTA_Tooltip_ability_slark_dark_pact_radius"							"範囲:"
		"DOTA_Tooltip_ability_slark_dark_pact_total_damage"						"ダメージ："
		"DOTA_Tooltip_ability_slark_pounce"										"Pounce"
		"DOTA_Tooltip_ability_slark_pounce_Lore"								"Dark Reef での時間が Slark を攻撃的で恐れを知らない危険な暗殺者にした"
		"DOTA_Tooltip_ability_slark_pounce_Note1"								"スペル耐性のあるユニットは結びつかない。"
		"DOTA_Tooltip_ability_slark_pounce_Note2"								"Slark の着地点の周りの木々は破壊される。"
		"DOTA_Tooltip_ability_slark_pounce_pounce_distance"						"距離："
		"DOTA_Tooltip_ability_slark_pounce_leash_duration"						"LEASH 持続時間："
		"DOTA_Tooltip_ability_slark_pounce_leash_radius"						"LEASH 範囲:"
		"DOTA_Tooltip_ability_slark_essence_shift"								"Essence Shift"
		"DOTA_Tooltip_ability_slark_essence_shift_Lore"							"敵を撃つたびに相手の弱点への知識が上がる。"
		"DOTA_Tooltip_ability_slark_essence_shift_Note0"						"属性は1以下に下がることはありません。"
		"DOTA_Tooltip_ability_slark_essence_shift_Note1"						"死亡すると Essence Shifted の数値は通常通りに戻る。Slark に戻る数値と影響を受けたヒーローに戻る数値は別々。"
		"DOTA_Tooltip_ability_slark_essence_shift_agi_gain"						"獲得した AGILITY:"
		"DOTA_Tooltip_ability_slark_essence_shift_stat_loss"					"失った全ての属性："
		"DOTA_Tooltip_ability_slark_essence_shift_duration"						"持続時間："
		"DOTA_Tooltip_ability_slark_shadow_dance"								"Shadow Dance"
		"DOTA_Tooltip_ability_slark_shadow_dance_Lore"							"隠れた Thirteenth は信用ならない敵だ。"
		"DOTA_Tooltip_ability_slark_shadow_dance_duration"						"持続時間："
		"DOTA_Tooltip_ability_slark_shadow_dance_bonus_movement_speed"			"%ボーナス移動速度："
		"DOTA_Tooltip_modifier_slark_pounce_leash"							"Leashed"
		"DOTA_Tooltip_modifier_slark_pounce_leash_Description"				"Slark につながれているため、一定距離しか離れられない。"
		"DOTA_Tooltip_modifier_slark_essence_shift"							"Essence Shift"					
		"DOTA_Tooltip_modifier_slark_essence_shift_Description"				"%dMODIFIER_PROPERTY_STATS_AGILITY_BONUS% Agility を盗んでいる。"
		"DOTA_Tooltip_modifier_slark_essence_shift_debuff_counter"			"Essence Shift"
		"DOTA_Tooltip_modifier_slark_essence_shift_debuff_counter_Description"	"各属性の%dMODIFIER_PROPERTY_TOOLTIP% を失っている。"
		"DOTA_Tooltip_modifier_slark_shadow_dance_passive_regen"				"Shadow Dance 自然回復"
		"DOTA_Tooltip_modifier_slark_shadow_dance"							"Shadow Dance"
		"DOTA_Tooltip_modifier_slark_shadow_dance_Description"				"煙の雲の中に姿を隠す。"
		
		// MEDUSA
		"DOTA_Tooltip_ability_medusa_split_shot"								"Split Shot"
		"DOTA_Tooltip_ability_medusa_split_shot_Lore"							"呪われた Gorgon に出会った者全てが彼女の憤怒を感じる。"
		"DOTA_Tooltip_ability_medusa_split_shot_damage_modifier_tooltip"		"%発散されるダメージ："
		"DOTA_Tooltip_ability_medusa_mystic_snake"								"Mystic Snake"
		"DOTA_Tooltip_ability_medusa_mystic_snake_Lore"							"Gorgon の呪いが彼女の最強の力だ。"
		"DOTA_Tooltip_ability_medusa_mystic_snake_radius"						"ジャンプの範囲："
		"DOTA_Tooltip_ability_medusa_mystic_snake_snake_jumps"					"ジャンプ数："
		"DOTA_Tooltip_ability_medusa_mana_shield"								"Mana Shield"
		"DOTA_Tooltip_ability_medusa_mana_shield_Lore"							"生誕時に永遠の命を約束されてはいなかったが、呪いによって彼女には恐ろしいほどの防御力が授けられた。"
		"DOTA_Tooltip_ability_medusa_mana_shield_damage_per_mana"				"マナ毎のダメージ："
		"DOTA_Tooltip_ability_medusa_stone_gaze"								"Stone Gaze"
		"DOTA_Tooltip_ability_medusa_stone_gaze_Lore"							"Medusa の美は伝説的だ。"
		"DOTA_Tooltip_ability_medusa_stone_gaze_radius"							"範囲:"
		"DOTA_Tooltip_ability_medusa_stone_gaze_slow"							"%減速："
		"DOTA_Tooltip_ability_medusa_stone_gaze_duration"						"持続時間："
		"DOTA_Tooltip_ability_medusa_stone_gaze_stone_duration"					"STONE 持続時間："
		"DOTA_Tooltip_modifier_medusa_mana_shield"							"Mana Shield"
		"DOTA_Tooltip_modifier_medusa_mana_shield_Description"				"Medusa が受けたダメージの一部がマナプールで消化される。"
		"DOTA_Tooltip_modifier_medusa_stone_gaze"							"Stone Gaze"
		"DOTA_Tooltip_modifier_medusa_stone_gaze_stone"							"Stone Gaze"
		// TROLL WARLORD
		"DOTA_Tooltip_ability_troll_warlord_berserkers_rage"					"Berserker's Rage"
		"DOTA_Tooltip_ability_troll_warlord_berserkers_rage_bonus_move_speed"	"ボーナス移動速度："
		"DOTA_Tooltip_ability_troll_warlord_berserkers_rage_bonus_armor"		"ボーナスアーマー："		
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_ranged"				"Whirling Axes (Ranged)"
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_ranged_axe_damage"	"AXE ダメージ："
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_ranged_axe_slow_duration"		"減速持続時間："
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_ranged_movement_speed"		"%移動減速:"
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee"				"Whirling Axes (Melee)"
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_Description"	"自身の周りに小さな範囲で二つの斧を投げ、 敵ユニットにダメージと攻撃ミスを与える。"
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_damage"			"ダメージ："
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_max_range"		"範囲："
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_blind_duration"	"BLIND 持続時間："
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_blind_pct"		"%ミス確率:"
		"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_whirl_duration"	"WHIRL 持続時間："
		"DOTA_Tooltip_ability_troll_warlord_fervor"								"Fervor"
		"DOTA_Tooltip_ability_troll_warlord_fervor_Description"					"同一対象を連続で攻撃すると、攻撃速度を得る。標的を変更すると、スタックはゼロになる。"
		"DOTA_Tooltip_ability_troll_warlord_fervor_attack_speed"				"スタックごとの攻撃速度："
		"DOTA_Tooltip_ability_troll_warlord_fervor_max_stacks"					"最高スタック："
		"DOTA_Tooltip_ability_troll_warlord_battle_trance"						"Battle Trance"
		"DOTA_Tooltip_ability_troll_warlord_battle_trance_trance_duration"		"TRANCE 持続時間："
		"DOTA_Tooltip_ability_troll_warlord_battle_trance_attack_speed"			"攻撃速度："
		"DOTA_Tooltip_modifier_troll_warlord_whirling_axes_slow"			 "Whirling Axes Slow"
		"DOTA_Tooltip_modifier_troll_warlord_whirling_axes_slow_Description" "%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%減速された。"
		"DOTA_Tooltip_modifier_troll_warlord_fervor"						 "Fervor"
		"DOTA_Tooltip_modifier_troll_warlord_battle_trance"					 "Battle Trance"
		"DOTA_Tooltip_modifier_troll_warlord_whirling_axes_blind"			 "Whirling Axes Blind"
		// CENTAUR WARCHIEF
		"DOTA_Tooltip_ability_centaur_hoof_stomp"								"Hoof Stomp"
		"DOTA_Tooltip_ability_centaur_hoof_stomp_Description"					"地面を打ち付け、周囲の敵ユニットにスタンとダメージを与える。"
		"DOTA_Tooltip_ability_centaur_hoof_stomp_Lore"							"Warrunner の強大な蹄が地面に触れるとき、広範囲に渡って振動が感知される。"
		"DOTA_Tooltip_ability_centaur_hoof_stomp_radius"						"範囲:"
		"DOTA_Tooltip_ability_centaur_hoof_stomp_stomp_damage"					"STOMP のダメージ:"
		"DOTA_Tooltip_ability_centaur_double_edge"								"Double Edge"
		"DOTA_Tooltip_ability_centaur_double_edge_Lore"							"戦闘が過熱するにつれ、Bradwarden の危なっかしい一振りは時に自分をも傷つけることがある。"
		"DOTA_Tooltip_ability_centaur_double_edge_edge_damage"					"ダメージ:"
		"DOTA_Tooltip_ability_centaur_return_Lore"								"鎧のような皮膚を持つBradwarden は相手の攻撃を受け流す必要がない。"
		"DOTA_Tooltip_ability_centaur_stampede"									"Stampede"
		"DOTA_Tooltip_ability_centaur_stampede_Lore"							"Omexe の卓越した強打で Bradwarden が種族一の偉大な戦士であることを知らしめ、仲間の剣闘士達を彼について野蛮な戦闘へと駆り立てる。"
		"DOTA_Tooltip_ability_centaur_stampede_radius"							"TRAMPLE 範囲:"
		"DOTA_Tooltip_ability_centaur_stampede_duration"						"STAMPEDE 持続時間："
		"DOTA_Tooltip_ability_centaur_stampede_strength_damage"					"ダメージになるSTRENGTHの倍率:"
		"DOTA_Tooltip_modifier_centaur_stampede"							"Stampede"
		"DOTA_Tooltip_modifier_centaur_stampede_slow"						"Stampede"
		// MAGNATAUR
		"DOTA_Tooltip_ability_magnataur_shockwave"								"Shockwave"
		"DOTA_Tooltip_ability_magnataur_shockwave_shock_damage"					"ダメージ："
		"DOTA_Tooltip_ability_magnataur_empower"								"Empower"
		"DOTA_Tooltip_ability_magnataur_empower_Note0"							"ボーナスダメージは、基本ダメージと第一属性からのダメージにのみ基づきます。"
		"DOTA_Tooltip_ability_magnataur_empower_empower_duration"				"持続時間："
		"DOTA_Tooltip_ability_magnataur_empower_bonus_damage_pct"				"%ボーナスダメージ："
		"DOTA_Tooltip_ability_magnataur_empower_cleave_damage_pct"				"%CLEAVE ダメージ："
		"DOTA_Tooltip_ability_magnataur_skewer"									"Skewer"
		"DOTA_Tooltip_ability_magnataur_skewer_range"							"距離："
		"DOTA_Tooltip_ability_magnataur_skewer_skewer_speed"					"速度："
		"DOTA_Tooltip_ability_magnataur_skewer_slow_duration"					"減速の持続時間：" 
		"DOTA_Tooltip_ability_magnataur_skewer_skewer_damage"					"ダメージ："
		"DOTA_Tooltip_ability_magnataur_reverse_polarity"						"Reverse Polarity"
		"DOTA_Tooltip_ability_magnataur_reverse_polarity_pull_radius"			"引き寄せる範囲："
		"DOTA_Tooltip_ability_magnataur_reverse_polarity_polarity_damage"		"ダメージ："
		"DOTA_Tooltip_ability_magnataur_reverse_polarity_hero_stun_duration"	"スタン持続時間："
		"DOTA_Tooltip_modifier_magnataur_empower"							"Empower"
		"DOTA_Tooltip_modifier_magnataur_skewer_slow"						"Skewered"
		"DOTA_Tooltip_modifier_magnataur_skewer_slow_Description"			"%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%の減速を受ける。"
		// SHREDDER
		"DOTA_Tooltip_ability_shredder_whirling_death"							"Whirling Death"
		"DOTA_Tooltip_ability_shredder_whirling_death_whirling_damage"			"ダメージ:"
		"DOTA_Tooltip_ability_shredder_whirling_death_whirling_radius"			"範囲："
		"DOTA_Tooltip_ability_shredder_whirling_death_stat_loss_pct"			"%属性減少率："
		"DOTA_Tooltip_ability_shredder_whirling_death_duration"					"第一属性の一部を失う時間："
		"DOTA_Tooltip_ability_shredder_timber_chain"							"Timber Chain"
		"DOTA_Tooltip_ability_shredder_timber_chain_Description"				"発射された鎖が最初にぶつかった木に埋め込まれ、Timbersaw を木の方向に引っ張る。 進路上の敵はダメージを受ける。"
		"DOTA_Tooltip_ability_shredder_timber_chain_damage"						"ダメージ:"
		"DOTA_Tooltip_ability_shredder_timber_chain_range"						"LATCH 射程："
		"DOTA_Tooltip_ability_shredder_timber_chain_radius"				"範囲："
		"DOTA_Tooltip_ability_shredder_timber_chain_speed"						"速度："
		"DOTA_Tooltip_ability_shredder_reactive_armor"							"Reactive Armor"
		"DOTA_Tooltip_ability_shredder_reactive_armor_bonus_armor"				"ボーナスアーマー："
		"DOTA_Tooltip_ability_shredder_reactive_armor_bonus_hp_regen"			"ボーナスHP回復："
		"DOTA_Tooltip_ability_shredder_reactive_armor_stack_limit"				"最高スタック数:"
		"DOTA_Tooltip_ability_shredder_reactive_armor_stack_duration"			"スタック持続時間："
		"DOTA_Tooltip_ability_shredder_chakram"									"Chakram"
		"DOTA_Tooltip_ability_shredder_chakram_radius"							"範囲："
		"DOTA_Tooltip_ability_shredder_chakram_pass_damage"						"PASS ダメージ:"
		"DOTA_Tooltip_ability_shredder_chakram_damage_per_second"				"ダメージ／秒："
		"DOTA_Tooltip_ability_shredder_chakram_slow"							"%減速："
		"DOTA_Tooltip_ability_shredder_chakram_mana_per_second"					"毎秒のマナ消費："
		"DOTA_Tooltip_ability_shredder_return_chakram"							"Return Chakram"
		"DOTA_Tooltip_ability_shredder_return_chakram_Description"				"Timbersaw の元に Chakram を戻す。"		

		"DOTA_Tooltip_modifier_shredder_whirling_death_debuff"				"Whirling Death"
		"DOTA_Tooltip_modifier_shredder_reactive_armor"						"Reactive Armor"
		"DOTA_Tooltip_modifier_shredder_chakram_debuff"						"Chakram"
		"DOTA_Tooltip_modifier_shredder_chakram_debuff_Description"			"Chakram によって乗除に進行するダメージと、減速を受けている。"
		"DOTA_Tooltip_modifier_shredder_chakram_disarm"						"Chakram Disarm"
