"lang"
{ 
	"Language" "italian" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"di salute"					// $health
		"dota_ability_variable_mana"				"di mana"						// $mana
		"dota_ability_variable_armor"				"di armatura"						// $armor
		"dota_ability_variable_damage"				"di danno"					// $damage
		"dota_ability_variable_str"					"di Forza"					// $str
		"dota_ability_variable_int"					"di Intelligenza"				// $int
		"dota_ability_variable_agi"					"di Agilità"					// $agi
		"dota_ability_variable_all"					"a tutti gli attributi"			// $all
		"dota_ability_variable_primary_attribute"	"all'attributo primario"			// $primary_attribute
		"dota_ability_variable_attack"				"di velocità di attacco"				// $attack
		"dota_ability_variable_hp_regen"			"di rigenerazione della salute"		// $hp_regen
		"dota_ability_variable_lifesteal"			"di prosciugamento della salute"					// $lifesteal
		"dota_ability_variable_mana_regen"			"di rigen. del mana"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"di rigen. del mana (aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"di danno degli incantesimi"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"alla durata degli effetti negativi"			// $debuff_amp
		"dota_ability_variable_move_speed"			"di velocità di movimento"			// $move_speed
		"dota_ability_variable_evasion"				"di elusività"					// $evasion
		"dota_ability_variable_spell_resist"		"di resistenza alla magia"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"di prosciugamento dagli incantesimi"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"di prosciugamento dagli incantesimi (creep)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"di prosciugamento dagli incantesimi (Eroi)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"all'attributo selezionato"		// $selected_attribute
		"dota_ability_variable_attack_range"		"di gittata d'attacco <font color='#7d7d7d'>(solo a distanza)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"di gittata d'attacco <font color='#7d7d7d'>(solo da mischia)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"di gittata di lancio"				// $cast_range
		"dota_ability_variable_status_resist"		"di resistenza agli stati"			// $status_resist
		"dota_ability_variable_projectile_speed"	"di velocità dei proiettili"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"di riduzione dei costi in mana"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"di riduzione dei tempi di ricarica"		// $cooldown_reduction 

		"dota_ability_variable_damage_int_hero"	"di danno (Eroi Intelligenza)"
				"DOTA_Tooltip_ability_nyx_assassin_vendetta_Lore"						"Lo scarabeo uccide per la gloria della sua regina."
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_Note0"						"Il tempo di sparizione è pari a %fade_time% secondi."
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_Note1"						"Il danno aggiuntivo andrà perduto se l'invisibilità viene interrotta usando un'abilità o se la durata dell'effetto termina."
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_duration"					"DURATA:"
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_movement_speed"				"%VELOCITÀ DI MOVIMENTO:"
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_bonus_damage"				"DANNO AGGIUNTIVO:"	
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_shard_debuff_duration"		"DURATA DELL'EFFETTO NEGATIVO:"
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_shard_magic_resist_reduction"	"%RIDUZIONE DELLA RESISTENZA ALLA MAGIA:"
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_shard_movement_speed_bonus"		"%VELOCITÀ DI MOVIMENTO AGGIUNTIVA:"
		"DOTA_Tooltip_ability_nyx_assassin_burrow"						"Nascondiglio sotterraneo"
		"DOTA_Tooltip_ability_nyx_assassin_burrow_Description"		"Nome in inglese: <b><font color='#F2A93E'>Burrow</font></b>\n \nNyx Assassin si nasconde sottoterra nel giro di un breve periodo di tempo. Mentre è nascosto sottoterra, Nyx Assassin sarà immobile, invisibile e non potrà attaccare; l'utilizzo di Carapace appuntito stordirà istantaneamente i nemici nelle vicinanze, la gittata di Brucia-mana e Impalamento sarà maggiore e il tempo di ricarica di Impalamento sarà minore. Nel sottosuolo, tutto il danno inflitto a Nyx Assassin da qualsiasi fonte subirà una riduzione."
		"DOTA_Tooltip_ability_nyx_assassin_burrow_Lore"						"Alcune caste di scarabei zeloti creano piccoli nascondigli sotterranei nei quali celarsi, pronti a tendere un'imboscata alla loro preda."
		"DOTA_Tooltip_ability_nyx_assassin_burrow_Note0"		"Usare la Vendetta farà uscire Nyx Assassin dal nascondiglio sotterraneo."
		"DOTA_Tooltip_ability_nyx_assassin_burrow_damage_reduction"		"%RIDUZIONE DEL DANNO SOTTOTERRA:"
		"DOTA_Tooltip_ability_nyx_assassin_burrow_mana_burn_bonus_cast_range"	"GITTATA DI BRUCIA-MANA SOTTOTERRA:"
		"DOTA_Tooltip_ability_nyx_assassin_burrow_impale_cooldown_reduction" 	"RIDUZIONE DELLA RICARICA DI IMPALAMENTO:"
		"DOTA_Tooltip_ability_nyx_assassin_burrow_impale_bonus_cast_range"		"GITTATA AGGIUNTIVA DI IMPALAMENTO SOTTOTERRA:"
		"DOTA_Tooltip_ability_nyx_assassin_burrow_carapace_radius"				"GITTATA DI CARAPACE APPUNTITO SOTTOTERRA:"		
		"DOTA_Tooltip_ability_nyx_assassin_unburrow"						"Esci dal nascondiglio"
		"DOTA_Tooltip_ability_nyx_assassin_unburrow_Description"			"Nome in inglese: <font color='#F2A93E'>Unburrow</font>\n \nTi fa emergere dal nascondiglio sotterraneo."
		"DOTA_Tooltip_ability_nyx_assassin_unburrow_Lore"						"Alcune caste di scarabei zeloti creano piccoli nascondigli sotterranei nei quali celarsi, pronti a tendere un'imboscata alla loro preda."
		
		"DOTA_Tooltip_modifier_nyx_assassin_impale"							"Impalamento"
		"DOTA_Tooltip_modifier_nyx_assassin_impale_Description"					"È stordito."
		"DOTA_Tooltip_modifier_nyx_assassin_spiked_carapace"				"Carapace appuntito"
		"DOTA_Tooltip_modifier_nyx_assassin_spiked_carapace_Description"	"La prossima istanza di danno causata da un Eroe sarà riflessa. Se l'istanza di danno viene provocata da un'Unità controllata da un giocatore, l'Eroe che la controlla subirà danni e rimarrà stordito."
		"DOTA_Tooltip_modifier_nyx_assassin_vendetta"						"Vendetta"
		"DOTA_Tooltip_modifier_nyx_assassin_vendetta_Description"			"Velocità di movimento aumentata del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% e può muoversi attraverso le Unità. Il prossimo attacco infliggerà un danno maggiore."
		"DOTA_Tooltip_modifier_nyx_assassin_burrow"							"Sottoterra"
		"DOTA_Tooltip_modifier_nyx_assassin_burrow_Description"					"È immobile, invisibile e non può attaccare. Ha rigenerazioni della salute e del mana aumentate e subisce danni ridotti."
		
		"DOTA_Tooltip_modifier_nyx_assassin_vendetta_break"	"Vendetta"
		"DOTA_Tooltip_modifier_nyx_assassin_vendetta_break_Description"	"Le abilità passive sono disabilitate."
		"DOTA_Tooltip_modifier_nyx_assassin_vendetta_armor_reduction"				"Vendetta"
		"DOTA_Tooltip_modifier_nyx_assassin_vendetta_armor_reduction_Description"	"Danno subito dagli incantesimi aumentato del %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%."

		//NAGA SIREN
		"DOTA_Tooltip_ability_naga_siren_mirror_image"							"Immagine speculare"
		"DOTA_Tooltip_ability_naga_siren_mirror_image_Description"				"Nome in inglese: <b><font color='#F2A93E'>Mirror Image</font></b>\n\nCrea varie immagini di Naga Siren sotto il suo controllo.\n\nTIPO DI DISSIPAZIONE: Dissipazione di base"
		"DOTA_Tooltip_ability_naga_siren_mirror_image_Lore"						"Slithice, sebbene sia già potente di suo, è anche famigerata per essere difficile da rintracciare."
		"DOTA_Tooltip_ability_naga_siren_mirror_image_Note0"					"Naga Siren rimane invulnerabile per %invuln_duration% secondi da quando utilizza l'abilità, consentendole di schivare stordimenti e danni."
		"DOTA_Tooltip_ability_naga_siren_mirror_image_Note1"					"Usare l'abilità rimuove la maggior parte degli effetti da Naga Siren."
		"DOTA_Tooltip_ability_naga_siren_mirror_image_Note2"					"All'utilizzo, le illusioni già esistenti di Immagine speculare vengono distrutte."
		"DOTA_Tooltip_ability_naga_siren_mirror_image_illusion_duration"		"DURATA DELLE IMMAGINI:"
		"DOTA_Tooltip_ability_naga_siren_mirror_image_outgoing_damage_tooltip"	"%DANNO INFLITTO DALLE IMMAGINI:"
		"DOTA_Tooltip_ability_naga_siren_mirror_image_tooltip_incoming_damage_total_pct"			"%DANNO SUBITO DALLE IMMAGINI:"
		"DOTA_Tooltip_ability_naga_siren_mirror_image_images_count"				"NUMERO DI IMMAGINI:"
		"DOTA_Tooltip_ability_naga_siren_ensnare"								"Intrappolamento"
		"DOTA_Tooltip_ability_naga_siren_ensnare_Description"					"Nome in inglese: <font color='#F2A93E'>Ensnare</font>\n \nInterrompe il bersaglio e lo intrappola, impedendogli di muoversi o di usare il Baleno."
		"DOTA_Tooltip_ability_naga_siren_ensnare_Lore"							"Il solo modo per sfuggire alla furia di un Viscidoso è di non opporglisi fin dal principio."
		"DOTA_Tooltip_ability_naga_siren_ensnare_duration"						"DURATA:"
		"DOTA_Tooltip_ability_naga_siren_ensnare_scepter_description"			"Riduce il tempo di ricarica e aumenta la gittata di lancio. Consente a Intrappolamento di bersagliare le Unità addormentate o immuni agli incantesimi."
		"DOTA_Tooltip_ability_naga_siren_ensnare_scepter_cooldown"				"RIDUZIONE DEL TEMPO DI RICARICA:"
		"DOTA_Tooltip_ability_naga_siren_ensnare_scepter_range"					"GITTATA DI LANCIO AGGIUNTIVA:"
		"DOTA_Tooltip_ability_naga_siren_rip_tide"								"Risacca"
		"DOTA_Tooltip_ability_naga_siren_rip_tide_Description"					"Nome in inglese: <b><font color='#F2A93E'>Rip Tide</font></b>\n \nPer ogni %hits% attacchi di Naga Siren e delle sue immagini contro una stessa Unità, Naga Siren e le immagini colpiranno tutti i nemici nelle vicinanze con un'onda d'acqua che li danneggia e ne riduce l'armatura per %duration% secondi."
		"DOTA_Tooltip_ability_naga_siren_rip_tide_Lore"							"Un torrente dai Profondi si schianta contro le difese dei nemici della Sirena."
		"DOTA_Tooltip_ability_naga_siren_rip_tide_chance"						"%PROBABILITÀ:"
		"DOTA_Tooltip_ability_naga_siren_rip_tide_armor_reduction"				"RIDUZIONE DELL'ARMATURA:"
		"DOTA_Tooltip_ability_naga_siren_rip_tide_damage"						"DANNO:"
		"DOTA_Tooltip_ability_naga_siren_rip_tide_duration"				        "DURATA:"
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren"						"Canto della sirena"
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_Description"			"Nome in inglese: <b><font color='#F2A93E'>Song of the Siren</font></b>\n \nTutti i nemici nel raggio di Naga Siren vengono posti in una stasi magica in cui non possono né agire né venire attaccati. Attivando di nuovo Canto della sirena, l'effetto terminerà prematuramente."
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_shard_description"	"Canto della sirena fa recuperare il %shard_heal_pct%%% della salute massima degli alleati ogni secondo nel corso di tutta la sua durata."
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_Lore"				"La potente voce di Slithice incanta schiere di nemici, mentre invoca la sua razza di Viscidosi nel momento del bisogno."
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_Note0"				"Le unità affette dal Canto della sirena sono invulnerabili e non possono subire danni da nessun tipo di fonte."
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_Note1"				"Non ha effetto sulle Unità immuni agli incantesimi."
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_Note2"				"L'area della canzone segue Naga; le Unità sotto l'effetto della canzone si sveglieranno se Naga si sposta abbastanza lontano."
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_duration"			"DURATA:"
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_radius"				"RAGGIO:"
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_cancel"				"Termina Canto della sirena"
		"DOTA_Tooltip_ability_naga_siren_song_of_the_siren_cancel_Description"	"Nome in inglese: <b><font color='#F2A93E'>Song of the Siren End</font></b>\n \nDesta le Unità nemiche dalla tua canzone per renderle nuovamente bersagliabili."
		
		"DOTA_Tooltip_ability_naga_siren_crit"									"Colpo critico"
		"DOTA_Tooltip_ability_naga_siren_crit_Description"						"Gli attacchi infliggono danni critici."
		"DOTA_Tooltip_ability_naga_siren_crit_chance"						"%PROBABILITÀ DI COLPO CRITICO:"
		"DOTA_Tooltip_ability_naga_siren_crit_crit"							"%DANNO CRITICO:"

		"DOTA_Tooltip_modifier_naga_siren_ensnare"						"Intrappolamento"
		"DOTA_Tooltip_modifier_naga_siren_ensnare_Description"			"È intrappolato sul posto, non può muoversi né usare il Baleno."
		"DOTA_Tooltip_modifier_naga_siren_rip_tide"						"Risacca"
		"DOTA_Tooltip_modifier_naga_siren_rip_tide_Description"			"Armatura diminuita di %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_naga_siren_rip_tide_slow"							"Rallentamento di Risacca"
		"DOTA_Tooltip_modifier_naga_siren_rip_tide_slow_Description"				"Rallentato del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_naga_siren_song_of_the_siren"			"Canto della sirena"
		"DOTA_Tooltip_modifier_naga_siren_song_of_the_siren_Description"	"Dorme, è invulnerabile."	
		"DOTA_Tooltip_modifier_naga_siren_song_of_the_siren_healing"			"Canto della sirena"
		"DOTA_Tooltip_modifier_naga_siren_song_of_the_siren_healing_Description"	"Sta venendo curato dal rilassante canto di Naga Siren."	
		"DOTA_Tooltip_modifier_naga_siren_song_of_the_siren_aura"			"Canto della sirena"
		"DOTA_Tooltip_modifier_naga_siren_song_of_the_siren_aura_Description"	"Sta mettendo in stasi i nemici."

		//KEEPER OF THE LIGHT
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate"					"Illuminazione"
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_Description"		"Nome in inglese: <b><font color='#F2A93E'>Illuminate</font></b>\n \nCanalizza dell'energia luminosa, aumentandone il potere quanto più a lungo è canalizzata. Una volta rilasciata, l'energia danneggia i nemici colpiti e fornisce visione lungo il suo percorso. Più a lungo viene canalizzata, maggiore sarà il danno inflitto."
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_shard_description" "Durante il giorno, Illuminazione guarisce gli alleati di una quantità pari al 40% del suo danno."
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_Lore"				"La luce nascosta di Ezalor si rivela con del fascino meraviglioso."
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_Note0"				"Fornisce visione aggiuntiva con il passare del tempo di canalizzazione."
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_total_damage"		"DANNO MASSIMO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_max_channel_time""TEMPO MASSIMO DI CANALIZZAZIONE:"
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_radius"			"LARGHEZZA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_range"				"GITTATA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_end"				"Rilascia Illuminazione"
		"DOTA_Tooltip_ability_keeper_of_the_light_illuminate_end_Description"	"Nome in inglese: <font color='#F2A93E'>Release Illuminate</font>\n \nInterrompe la canalizzazione in anticipo."
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak"					"Perdita di mana"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_Description"		"Nome in inglese: <font color='#F2A93E'>Mana Leak</font>\n \nIndebolisce l'essenza magica di un nemico, facendogli perdere del mana ad ogni movimento. Il nemico rimarrà stordito se finisce tutto il mana a causa dell'effetto."
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_Lore"				"Ezalor distrugge l'armonia Primordiale, prosciugando l'energia magica dai più deboli."
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_Note0"				"Se il bersaglio viaggia per oltre 300 unità di distanza in meno di 0,1 secondo (per esempio usando le abilità di Baleno), la Perdita di mana non ridurrà il mana per quella distanza."
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_mana_leak_pct"		"%PERCENTUALE DI MANA PERSO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_duration"			"DURATA DELLA PERDITA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_stun_duration"		"DURATA DELLO STORDIMENTO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_leak_abilitycastrange"	"GITTATA DI LANCIO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_radiant_bind"					"Blocco solare"
		"DOTA_Tooltip_ability_keeper_of_the_light_radiant_bind_Description"		"Nome in inglese: <b><font color='#F2A93E'>Solar Bind</font></b>\n\nRiduce la resistenza alla magia di un nemico e applica un rallentamento che aumenta di intensità quanto più il bersaglio si muove."
		"DOTA_Tooltip_ability_keeper_of_the_light_radiant_bind_duration"		"DURATA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_radiant_bind_slow"		"%RALLENTAMENTO OGNI 100 UNITÀ:"
		"DOTA_Tooltip_ability_keeper_of_the_light_radiant_bind_magic_resistance"		"%RIDUZIONE DELLA RESISTENZA ALLA MAGIA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_radiant_bind_abilitycastrange"	"GITTATA DI LANCIO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_chakra_magic"					"Magia del chakra"
		"DOTA_Tooltip_ability_keeper_of_the_light_chakra_magic_Description"		"Nome in inglese: <b><font color='#F2A93E'>Chakra Magic</font></b>\n \nRipristina il mana dell'Unità bersagliata e riduce di una certa quantità il tempo di ricarica di tutte le abilità in attesa."
		"DOTA_Tooltip_ability_keeper_of_the_light_chakra_magic_Lore"			"Allo stesso modo, Ezalor condivide la sua armonia con gli altri."
		"DOTA_Tooltip_ability_keeper_of_the_light_chakra_magic_mana_restore"	"MANA RIPRISTINATO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_chakra_magic_cooldown_reduction"	"RIDUZIONE DEL TEMPO DI RICARICA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_chakra_magic_Note0"	    "Magia del chakra non riduce il tempo di ricarica delle abilità Ultimate."
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp"						"Fuoco fatuo"
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp_Description"			"Nome in inglese: <b><font color='#F2A93E'>Will-O-Wisp</font></b>\n\nBersaglia un'area ed evoca un Fuoco fatuo che si accende e si spegne, attirando i nemici a sé grazie al suo scintillio ipnotizzante."
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp_Lore"			"Anche se non potrebbe dire di \"conoscerle\", Ezalor esercita una misteriosa influenza su molte creature potenti, sempre pronte a venire in suo aiuto."
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp_radius"					"RAGGIO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp_wisp_duration"			"DURATA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp_hit_count"				"ATTACCHI PER DISTRUGGERE:"
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp_interval"			"INTERVALLO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp_damage"			"DANNO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp_heal"			"CURA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp_abilitycooldown"			"TEMPO DI RICARICA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_will_o_wisp_abilitymanacost"			"COSTO IN MANA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form"					"Forma spirituale"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_Description"		"Nome in inglese: <b><font color='#F2A93E'>Spirit Form</font></b>\n \nEzalor fa diventare il suo corpo luminescente, aumentando la sua velocità di movimento e la sua gittata di lancio. Inoltre, sblocca l'abilità Luce accecante e fa sì che Illuminazione possa essere canalizzata da uno spirito diverso."
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_Lore"				"In un bagliore di luce, Ezalor rivela la sua vera natura."
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_duration"			"DURATA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_movement_speed"			"%VELOCITÀ DI MOVIMENTO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_heal"			"%CURA DI ILLUMINAZIONE:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_cast_range"			"GITTATA DI LANCIO AGGIUNTIVA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_evasion"			"%ELUSIVITÀ:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_chakra_bonus"			"MANA AGGIUNTIVO (CHAKRA):"
		"DOTA_Tooltip_ability_keeper_of_the_light_recall"						"Richiamo"
		"DOTA_Tooltip_ability_keeper_of_the_light_recall_Description"			"Nome in inglese: <font color='#F2A93E'>Recall</font>\n \nDopo un breve ritardo, teletrasporta l'Eroe alleato bersagliato alla tua posizione. L'abilità verrà interrotta se l'Eroe subisce danni da un altro Eroe durante questa attesa."
		"DOTA_Tooltip_ability_keeper_of_the_light_recall_Lore"					"Cammina verso la luce."
		"DOTA_Tooltip_ability_keeper_of_the_light_recall_Note0"					"L'effetto dell'abilità verrà interrotto se Keeper of the Light muore."
		"DOTA_Tooltip_ability_keeper_of_the_light_recall_Note1"					"Il Richiamo interromperà le abilità canalizzate."
		"DOTA_Tooltip_ability_keeper_of_the_light_recall_Note2"					"Puoi disabilitare l'aiuto per impedire a Keeper of the Light di usare questa abilità su di te."
		"DOTA_Tooltip_ability_keeper_of_the_light_recall_Note3"					"L'abilità può essere usata anche cliccando sulla minimappa; verrà selezionato l'Eroe alleato più vicino."
		"DOTA_Tooltip_ability_keeper_of_the_light_recall_teleport_delay"		"RITARDO DEL TELETRASPORTO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light"				"Luce accecante"
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light_Description"	"Nome in inglese: <b><font color='#F2A93E'>Blinding Light</font></b>\n \nScatena una luce abbagliante nell'area bersagliata, respingendo ed accecando le Unità nemiche lì presenti e facendo fallire alcuni dei loro attacchi. Le Unità vengono respinte di %knockback_distance% nel corso di %knockback_duration% secondi."
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light_Note0"			"All'atterraggio, le Unità distruggeranno gli alberi in un raggio di 150 unità."
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light_Lore"			"La luce Primordiale volge le sorti della battaglia a favore di Ezalor e dei suoi alleati."
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light_miss_rate"		"%PROBABILITÀ DI MANCARE GLI ATTACCHI:"
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light_duration"		"DURATA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light_radius"		"RAGGIO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light_damage"		"DANNO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_blinding_light_abilitycastrange"		"GITTATA DI LANCIO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate"					"Illuminazione"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_Description"		"Nome in inglese: <b><font color='#F2A93E'>Illuminate</font></b>\n \nCanalizza dell'energia luminosa, aumentandone il potere quanto più a lungo è canalizzata. Una volta rilasciata, l'energia danneggia i nemici colpiti e fornisce visione lungo il suo percorso. Più a lungo viene canalizzata, maggiore sarà il danno inflitto."
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_Lore"				"La luce nascosta di Ezalor si rivela con del fascino meraviglioso."
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_Note0"				"Fornisce visione aggiuntiva con il passare del tempo di canalizzazione."
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_total_damage"		"DANNO MASSIMO:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_radius"			"LARGHEZZA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_range"				"GITTATA:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_max_channel_time"	"TEMPO MASSIMO DI CANALIZZAZIONE:"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_end"				"Rilascia Illuminazione"
		"DOTA_Tooltip_ability_keeper_of_the_light_spirit_form_illuminate_end_Description"	"Nome in inglese: <font color='#F2A93E'>Release Illuminate</font>\n \nInterrompe la canalizzazione in anticipo."
		"DOTA_Tooltip_ability_keeper_of_the_light_empty1"										"Vuoto"
		"DOTA_Tooltip_ability_keeper_of_the_light_empty2"										"Vuoto"
		"DOTA_Tooltip_modifier_keeper_of_the_light_mana_leak"							"Perdita di mana"
		"DOTA_Tooltip_modifier_keeper_of_the_light_mana_leak_Description"				"Perderai mana se ti muovi."
		"DOTA_Tooltip_modifier_keeper_of_the_light_spirit_form"							"Forma spirituale"
		"DOTA_Tooltip_modifier_keeper_of_the_light_spirit_form_illuminate"				"Illuminazione"
		"DOTA_Tooltip_modifier_keeper_of_the_light_spirit_form_illuminate_Description"	"Il tuo spirito sta canalizzando l'Illuminazione da un'altra posizione."
		"DOTA_Tooltip_modifier_keeper_of_the_light_recall"								"Richiamo"
		"DOTA_Tooltip_modifier_keeper_of_the_light_recall_Description"					"Sta venendo teletrasportato alla posizione di Keeper of the Light."
		"DOTA_Tooltip_modifier_keeper_of_the_light_blinding_light"						"Luce accecante"
		"DOTA_Tooltip_modifier_keeper_of_the_light_blinding_light_Description"			"È accecato, sta fallendo l'%dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% degli attacchi."
		"DOTA_Tooltip_modifier_keeper_of_the_light_chakra_magic"			"Magia del chakra"
		"DOTA_Tooltip_modifier_keeper_of_the_light_chakra_magic_Description"			"La prossima abilità usata avrà un tempo d'attesa ridotto."
		"DOTA_Tooltip_modifier_keeper_of_the_light_radiant_bind"						"Blocco solare"
		"DOTA_Tooltip_modifier_keeper_of_the_light_radiant_bind_Description"			"Velocità di movimento ridotta del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% e resistenza alla magia ridotta del %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
		
		"DOTA_Tooltip_modifier_keeper_of_the_light_will_o_wisp"	"Ipnotizzato"
		"DOTA_Tooltip_modifier_keeper_of_the_light_will_o_wisp_Description"	"Non può agire."
		
		"npc_dota_ignis_fatuus"	"Ignis Fatuus"
		"DOTA_Tooltip_modifier_keeper_of_the_light_will_o_wisp_aura"	"Aura ipnotizzante"
		"DOTA_Tooltip_modifier_keeper_of_the_light_will_o_wisp_aura_Description"	"I nemici all'interno del raggio d'azione sono ipnotizzati dalla luce quando è accesa, e non sono in grado di agire."

		//Wisp
		"DOTA_Tooltip_ability_wisp_tether"										"Legame"
		"DOTA_Tooltip_ability_wisp_tether_Description"							"Nome in inglese: <b><font color='#F2A93E'>Tether</font></b>\n \nLega Io all'Unità alleata selezionata, aumentando la velocità di movimento di entrambi. Quando Io riacquista salute o mana, l'Unità legata ne otterrà una quantità maggiore. Il legame si spezza se la distanza diventa eccessiva o se viene reciso da Io."
