"dota"
{
"DOTA_Accept"	"Αποδοχή"
"DOTA_ItemChangeAttribute_Processing_Title"	"Αλλαγή στοιχείου ({s:item_attribute}) σε επεξεργασία"
"DOTA_ItemChangeAttribute_Processing_Text"	"Η αλλαγή του στοιχείου ({s:l:item_attribute}) στο αντικείμενο είναι σε εξέλιξη..."
"DOTA_ItemChangeAttribute_TooLong_Title"	"Πολύ μεγάλο στοιχείο αντικειμένου ({s:item_attribute})"
"DOTA_ItemChangeAttribute_TooLong_Body"	"Το εισηγμένο στοιχείο αντικειμένου ({s:l:item_attribute}) είναι πολύ μεγάλο. Παρακαλούμε δοκιμάστε ξανά με μικρότερο στοιχείο ({s:l:item_attribute})."
"DOTA_ItemChangeAttribute_Succeeded"	"Η αλλαγή του στοιχείου ({s:l:item_attribute}) στο αντικείμενο πραγματοποιήθηκε επιτυχώς."
"DOTA_ItemChangeAttribute_Error"	"Προέκυψε ένα σφάλμα κατά την αλλαγή του στοιχείου ({s:l:item_attribute}) στο αντικείμενο."
"Customization_Name"	"Όνομα"
"Customization_Name_Tool"	"Ετικέτα ονόματος"
"Customization_Description"	"Περιγραφή"
"Customization_Description_Tool"	"Ετικέτα περιγραφής"
"Customization_Gifter_Attributes"	"Πληροφορίες δώρου"
"DOTA_ItemRemoveAttribute_Title"	"Αφαίρεση {s:item_attribute};"
"DOTA_ItemRemoveAttribute"	"Αφαίρεση του προσαρμοσμένου στοιχείου ({s:l:item_attribute}) από το αντικείμενο, επαναφέροντας το αρχικό στοιχείο του ({s:l:item_attribute});\n"
"DOTA_ItemRemoveGift"	"Αφαίρεση των πληροφοριών δώρου από το αντικείμενο;\n"
"DOTA_ItemRemoveAttribute_Failed_Title"	"Αποτυχία τροποποίησης αντικειμένου"
"DOTA_ItemRemoveAttribute_Succeeded"	"Το προσαρμοσμένο στοιχείο ({s:l:item_attribute}) αφαιρέθηκε επιτυχώς από το αντικείμενο."
"DOTA_ItemRemoveAttribute_CannotBeRemoved"	"Το προσαρμοσμένο στοιχείο ({s:l:item_attribute}) δεν μπορεί να αφαιρεθεί από το αντικείμενο."
"DOTA_ItemRemoveAttribute_Failed"	"Προέκυψε ένα σφάλμα κατά την αφαίρεση του στοιχείου ({s:l:item_attribute}) από το αντικείμενο."
"DOTA_TributeTreasure_GuaranteedDescription"	"Θησαυροί μέχρι την επόμενη έγχυση: "
"DOTA_Leaf_Halloween2015_Title"	"Στοιχειωμένο Κολοσσαίο"
"DOTA_Leaf_Halloween2015_SubTitle"	"Ένα νέο προσαρμοσμένο παιχνίδι από την Valve"
"DOTA_Leaf_Halloween2015_Desc"	"Δύο ομάδα των πέντε μάχονται για εδαφικό έλεγχο, σε μια ολοκληρωτική μάχη κυριαρχίας."
"DOTA_Leaf_Halloween2015_Capture"	"Κατάκτηση"
"DOTA_Leaf_Halloween2015_Control"	"Έλεγχος"
"DOTA_Leaf_Halloween2015_Tricks"	"Τρικ"
"DOTA_Leaf_Halloween2015_Win"	"Νίκη"
"DOTA_Leaf_Halloween2015_Capture_Desc"	"Κατακτήστε τα σημεία ελέγχου στεκόμενοι επάνω τους. Κερδίστε πόντους για την ομάδα σας όταν έχετε κατακτημένα τρία ή περισσότερα σημεία ελέγχου.<br><br> Όσα περισσότερα σημεία ελέγχου έχετε κατακτήσει, τόσο γρηγορότερα κερδίζετε πόντους."
"DOTA_Leaf_Halloween2015_Control_Desc"	"Επιβραδύνετε ή μπλοκάρετε τους εχθρού κατακτώντας ένα σημείο.<br><br>Χρησιμοποιήστε την οχύρωση για μπλοκάρετε προσωρινά τις κατακτήσεις των εχθρών."
"DOTA_Leaf_Halloween2015_Tricks_Desc"	"Ενεργοποιήστε παγίδες για να πολεμήσετε εχθρούς από μακρία.<i> Προσοχή!</i> Παγίδες καρφιών και παγίδες με εκκρεμή θα βλάψουν εσάς και τους συμπαίκτες σας.<br><br>Για κάθε 1000 πόντους που κερδίζει ο εχθρός, φιλικά μεγαθήρια αναβιώνουν για να πολεμήσουν για εσάς."
"DOTA_Leaf_Halloween2015_Win_Desc"	"<font color='#DAFCD9'>Η πρώτη ομάδα που θα φτάσει τους 5000 πόντους κερδίζει το παιχνίδι.</font><br><br>Σφάξτε τους εχθρούς σας για να συλλέξετε επαυξήσεις που αναπληρώνουν τη ζωή σας, την ενέργειά σας και σας χαρίζουν επιπλέον χρυσό."
"DOTA_Leaf_Halloween2015_Play"	"Μετάβαση στο Στοιχειωμένο Κολοσσαίο"
"FrontPage_Halloween2015_Haunted_Colosseum_Header"	"Νέο προσαρμοσμένο παιχνίδι"
"FrontPage_Halloween2015_Haunted_Colosseum_Title"	"Στοιχειωμένο Κολοσσαίο"
"FrontPage_Halloween2015_Haunted_Colosseum_Desc"	"Ένα νέο προσαρμοσμένο παιχνίδι από την Valve"
"DOTA_SplashAd_FallMajorCompendium_AddedTitle"	"Αποκτήστε πρόσβαση σε αποκλειστικό περιεχόμενο"
"DOTA_SplashAd_FallMajorCompendium_List1"	"<font color='#B3E432'>-</font> Ολοκληρώστε προκλήσεις για να κερδίσετε νομίσματα"
"DOTA_SplashAd_FallMajorCompendium_List2"	"<font color='#B3E432'>-</font> Στοιχηματίστε νομίσματα στις νίκες σας"
"DOTA_SplashAd_FallMajorCompendium_List3"	"<font color='#B3E432'>-</font> Εξαργυρώστε νομίσματα για αποκλειστικές ανταμοιβές"
"DOTA_SplashAd_FallMajorCompendium_Purchase"	"Ξεκινήστε τώρα για μόλις <font color='#FFFFFF'>{g:dota_item_price:compendium_itemdef_lvl1}</font>"
"DOTA_ItemChangeName_NeedTool_Title"	"Αγορά μιας ετικέτας ονόματος;"
"DOTA_ItemChangeName_NeedTool"	"Χρειάζεστε μια ετικέτα ονόματος για να αλλάξετε το όνομα αντικειμένου; Θα θέλατε να αγοράσετε μία;"
"DOTA_ItemChangeName_EnterAttribute_Title"	"Εισάγετε νέο όνομα αντικειμένου"
"DOTA_ItemChangeName_EnterAttribute_Body"	"Πληκτρολογήστε το νέο όνομα που θέλετε για το αντικείμενο. Αλλάζοντας το όνομα θα καταναλώστε ένα εργαλείο ετικέτας ονόματος."
"DOTA_ItemChangeName_Processing_Title"	"Αλλαγή ονόματος σε επεξεργασία"
"DOTA_ItemChangeName_Processing_Text"	"Η αλλαγή του ονόματος στο αντικείμενο είναι σε εξέλιξη..."
"DOTA_ItemChangeName_TooLong_Title"	"Πολύ μεγάλο όνομα αντικειμένου"
"DOTA_ItemChangeName_TooLong_Body"	"Το εισηγμένο όνομα αντικειμένου είναι πολύ μεγάλο. Παρακαλούμε δοκιμάστε ξανά με μικρότερο όνομα."
"DOTA_ItemChangeName_Succeeded"	"Η αλλαγή του ονόματος στο αντικείμενο πραγματοποιήθηκε επιτυχώς."
"DOTA_ItemChangeName_Error"	"Προέκυψε ένα σφάλμα κατά την αλλαγή του ονόματος στο αντικείμενο."
"DOTA_ItemChangeDescription_NeedTool_Title"	"Αγορά μιας ετικέτας περιγραφής;"
"DOTA_ItemChangeDescription_NeedTool"	"Χρειάζεστε μια ετικέτα περιγραφής για να αλλάξετε την περιγραφή αντικειμένου; Θα θέλατε να αγοράσετε μία;"
"DOTA_ItemChangeDescription_EnterAttribute_Title"	"Εισάγετε νέα περιγραφή αντικειμένου"
"DOTA_ItemChangeDescription_EnterAttribute_Body"	"Πληκτρολογήστε τη νέα περιγραφή που θέλετε για το αντικείμενο. Αλλάζοντας την περιγραφή θα καταναλώστε ένα εργαλείο ετικέτας περιγραφής."
"DOTA_ItemChangeDescription_Processing_Title"	"Αλλαγή περιγραφής σε επεξεργασία"
"DOTA_ItemChangeDescription_Processing_Text"	"Η αλλαγή της περιγραφής του αντικειμένου είναι σε εξέλιξη..."
"DOTA_ItemChangeDescription_TooLong_Title"	"Πολύ μεγάλη περιγραφή αντικειμένου"
"DOTA_ItemChangeDescription_TooLong_Body"	"Η εισηγμένη περιγραφή αντικειμένου είναι πολύ μεγάλη. Παρακαλούμε δοκιμάστε ξανά με μικρότερη περιγραφή."
"DOTA_ItemChangeDescription_Succeeded"	"Η αλλαγή της περιγραφής στο αντικείμενο πραγματοποιήθηκε επιτυχώς."
"DOTA_ItemChangeDescription_Error"	"Προέκυψε ένα σφάλμα κατά την αλλαγή της περιγραφής στο αντικείμενο."
"DOTA_ItemRemoveName_Title"	"Αφαίρεση ονόματος;"
"DOTA_ItemRemoveName"	"Αφαίρεση του προσαρμοσμένου ονόματος από το αντικείμενο, επαναφέροντας το αρχικό όνομά του;\n"
"DOTA_ItemRemoveName_Succeeded"	"Το προσαρμοσμένο όνομα αφαιρέθηκε επιτυχώς από το αντικείμενο."
"DOTA_ItemRemoveName_CannotBeRemoved"	"Το προσαρμοσμένο όνομα δεν μπορεί να αφαιρεθεί από το αντικείμενο."
"DOTA_ItemRemoveName_Failed"	"Προέκυψε ένα σφάλμα κατά την αφαίρεση του ονόματος από το αντικείμενο."
"DOTA_ItemRemoveDescription_Title"	"Αφαίρεση περιγραφής;"
"DOTA_ItemRemoveDescription"	"Αφαίρεση της προσαρμοσμένης περιγραφής από το αντικείμενο, επαναφέροντας την αρχική περιγραφή του;\n"
"DOTA_ItemRemoveDescription_Succeeded"	"Η προσαρμοσμένη περιγραφή αφαιρέθηκε επιτυχώς από το αντικείμενο."
"DOTA_ItemRemoveDescription_CannotBeRemoved"	"Η προσαρμοσμένη περιγραφή δεν μπορεί να αφαιρεθεί από το αντικείμενο."
"DOTA_ItemRemoveDescription_Failed"	"Προέκυψε ένα σφάλμα κατά την αφαίρεση της περιγραφής από το αντικείμενο."
"DOTA_ItemRemoveGift_Title"	"Αφαίρεση πληροφοριών δώρου;"
"DOTA_ItemRemoveGift_Succeeded"	"Οι πληροφορίες δώρου αφαιρέθηκαν επιτυχώς από το αντικείμενο."
"DOTA_ItemRemoveGift_CannotBeRemoved"	"Οι πληροφορίες δώρου δεν μπορούν να αφαιρεθούν από το αντικείμενο."
"DOTA_ItemRemoveGift_Failed"	"Προέκυψε ένα σφάλμα κατά την αφαίρεση των πληροφοριών δώρου από το αντικείμενο."
"DOTA_Custom_Game_Last_Updated_String"	"Ενημερώθηκε {s:last_updated_date_string}"
"DOTAWatchDownloads_Search"	"Αναζήτηση για τουρνουά..."
"DOTA_OwnedItemDetails_DefaultSet"	"Προεπιλεγμένο σετ"
"DOTA_OwnedItemDetails_Style"	"Εμφανίσεις: {i:item_style_count}"
"DOTA_OwnedItemDetails_BundleName"	"Στο πακέτο «{s:item_bundle}»"
"DOTA_econ_item_details_reset_name"	"Επαναφορά στο αρχικό όνομα"
"DOTA_econ_item_details_edit_name"	"Δημιουργία προσαρμοσμένου ονόματος"
"GC_updating"	"Ο συντονιστής παιχνιδιού του Dota 2 ενημερώνεται..."
"GC_logging_in"	"Συνδεδεμένος με τον συντονιστή παιχνιδιού Dota 2, πραγματοποιείται σύνδεση..."
"GC_steamupdating"	"Οι διακομιστές του Steam ανανεώνονται αυτή τη στιγμή..."
"DOTA_Workshop_RunAnim"	"Αυτή είναι μια κίνηση τρεξίματος - η κίνηση θα εξαχθεί από τη θέση με όνομα «root» (βάση του σκελετού εάν δεν υπάρχει)."
"DOTA_Workshop_DeltaAnim"	"Αυτή είναι μια κίνηση δέλτα - θα αναπαράγεται ως επικάλυψη πάνω από άλλη κίνηση. (Το πρώτο καρέ ορίζει την ουδέτερη στάση.)"
"DOTA_Workshop_SMDWarning"	"ΠΡΟΣΟΧΗ: Η υποστήριξη αρχείων SMD θα καταργηθεί σύντομα."
"DOTA_Workshop_Err_NonexistentFile"	"Ανύπαρκτο αρχείο: «%1»"
"DOTA_TributeTreasure_PreviewInfuser"	"Προεπισκόπηση σετ με Infuser"
"DOTA_Hide"	"Απόκρυψη"
"DOTA_Show"	"Εμφάνιση"
"UI_On"	"Ναι"
"UI_Off"	"Όχι"
"DOTA_PartnerPurchase_ItemName"	"{s:item_name}"
"DOTA_PartnerPurchase_ItemCount"	"{d:item_count}"
"DOTA_PartnerPurchase_ItemPrice"	"{m:item_price}"
"DOTA_PartnerPurchase_ItemName_Title"	"Αντικείμενο"
"DOTA_PartnerPurchase_ItemCount_Title"	"Ποσότητα"
"DOTA_PartnerPurchase_ItemPrice_Title"	"Τιμή"
"DOTA_Lobby_Settings_Tournament_Series"	"Σειρά"
"DOTA_Lobby_Settings_Tournament_Game"	"Παιχνίδι στη σειρά"
"DOTA_TournamentBracket_GrandFinals"	"Μεγάλος τελικός"
"DOTA_TournamentBracket_UBFinals"	"Τελικός ομίλου νικητών"
"DOTA_TournamentBracket_UBSemiFinals"	"Ημιτελικός ομίλου νικητών"
"DOTA_TournamentBracket_UBQuarterFinals"	"Προημιτελικός ομίλου νικητών"
"DOTA_TournamentBracket_LosersMatch"	"Προκριματικός αγώνας"
"DOTA_TournamentBracket_Qualification1"	"Προκριματικός #1"
"DOTA_TournamentBracket_Qualification2"	"Προκριματικός #2"
"DOTA_TournamentBracket_AllStar"	"Αγώνας All-Star"
"DOTA_TournamentBracket_TieBreaker"	"Αγώνας μπαράζ"
"DOTA_TournamentBracket_Group1"	"Όμιλος A"
"DOTA_TournamentBracket_Group2"	"Όμιλος B"
"DOTA_TournamentBracket_Group3"	"Όμιλος C"
"DOTA_TournamentBracket_Group4"	"Όμιλος D"
"DOTA_TournamentBracket_Group5"	"Όμιλος E"
"DOTA_TournamentBracket_Group6"	"Όμιλος F"
"DOTA_TournamentBracket_Group7"	"Όμιλος G"
"DOTA_TournamentBracket_Group8"	"Όμιλος H"
"DOTA_TournamentBracket_Match1"	"Αγώνας 1"
"DOTA_TournamentBracket_Match2"	"Αγώνας 2"
"DOTA_TournamentBracket_Match3"	"Αγώνας 3"
"DOTA_TournamentBracket_Match4"	"Αγώνας 4"
"DOTA_TournamentBracket_Match5"	"Αγώνας 5"
"DOTA_TournamentBracket_Match6"	"Αγώνας 6"
"DOTA_TournamentBracket_Match7"	"Αγώνας 7"
"DOTA_TournamentBracket_Match8"	"Αγώνας 8"
"DOTA_TournamentBracket_Match9"	"Αγώνας 9"
"DOTA_TournamentBracket_Match10"	"Αγώνας 10"
"DOTA_TournamentBracket_LBR1"	"Γύρος 1 ομίλου ηττημένων"
"DOTA_TournamentBracket_LBR2"	"Γύρος 2 ομίλου ηττημένων"
"DOTA_TournamentBracket_LBR3"	"Γύρος 3 ομίλου ηττημένων"
"DOTA_TournamentBracket_LBR4"	"Γύρος 4 ομίλου ηττημένων"
"DOTA_TournamentBracket_LBR5"	"Γύρος 5 ομίλου ηττημένων"
"DOTA_TournamentBracket_LBR6"	"Γύρος 6 ομίλου ηττημένων"
"DOTA_TournamentBracket_LBFinals"	"Τελικός ομίλου ηττημένων"
"DOTA_TournamentBracket_Sidebar_Watch"	"Παρακολούθηση"
"DOTA_TournamentBracket_MatchList_TBD"	"Υπό καθορισμό"
"DOTA_TournamentBracket_MatchList_Game"	"Παιχνίδι {i:game}"
"DOTA_TournamentBracket_Sidebar_Stage"	"{s:stage} (ΣΤΑ {i:best_of})"
"DOTA_TournamentBracket_Sidebar_GameNumber"	"Παιχνίδι {i:game_number}"
"DOTA_TournamentBracket_Sidebar_Live"	"Σε εξέλιξη"
"DOTA_TournamentBracket_Sidebar_TimeRemaining"	"Αρχίζει: {t:m:r:duration}"
"DOTA_TournamentBracket_Sidebar_WinnerGoes"	"Ο νικητής προκρίνεται στο {s:winner_goes}"
"DOTA_TournamentBracket_Sidebar_LoserGoes"	"Ο ηττημένος πέφτει στο {s:loser_goes}"
"DOTA_TournamentBracket_Sidebar_LoserEliminated"	"Ο ηττημένος αποκλείεται"
"DOTA_TournamentBracket_Sidebar_WinnerChampion"	"Ο νικητής γίνεται πρωταθλητής"
"DOTA_TournamentBracket_Sidebar_PreviousMatch"	"Προηγούμενος αγώνας του {s:name}: εναντίον {s:prevopponent} {s:prevscore}"
"DOTA_MatchDetailsGame_DownloadProgress"	"Γίνεται λήψη...{i:download_pct}%"
"DOTA_MatchDetailsGame_DecompressProgress"	"Αποσυμπίεση...{i:decompress_pct}%"
"DOTA_WatchTournamentBracket_PrizePoolLabel"	"Συνολικό έπαθλο"
"DOTATournamentUpcomingMatches"	"ΕΠΕΡΧΟΜΕΝΟΙ ΑΓΩΝΕΣ"
"DOTATournamentBracketFormat"	"Δομή"
"DOTATournamentBracketLANPlayoffs"	"Πλέι-οφ LAN"
"DOTATournamentBracketLANGroupStage"	"Φάση ομίλων LAN"
"DOTA_WatchTournamentBracket_StartDate"	"Ημερομηνία έναρξης"
"DOTA_WatchTournamentBracket_EndDate"	"Ημερομηνία λήξης"
"DOTA_WatchTournamentBracket_Dates"	"Ημερομηνίες"
"DOTA_WatchTournamentBracket_Location"	"Τοποθεσία"
"DOTA_WatchTournamentBracket_Organizer"	"Οργανωτής"
"DOTA_WatchTournamentBracket_Tier"	"Βαθμίδα"
"DOTA_TournamentNewsDate"	"{t:r:m:date}"
"DOTATournamentBracket_MatchDate"	"{t:s:date}"
"DOTA_TournamentBracket_RowRank"	"{i:rank}"
"DOTA_TournamentBracket_RowTeamName"	"{s:team_name}"
"DOTA_TournamentBracket_RowGamesPlayed"	"{i:played}"
"DOTA_TournamentBracket_RowPoints"	"{i:won} - {i:tied} - {i:lost}"
"DOTA_TournamentBracket_Score"	"{i:score}"
"DOTA_TournamentDetails_Spoiler"	"ΑΠΟΚΛΕΙΣΜΟΣ SPOILER"
"DOTA_TournamentDetails_SpoilerOff"	"ΑΠΟΚΛΕΙΣΜΟΣ SPOILER"
"DOTA_TournamentMatchList_All"	"Όλες οι ημέρες"
"DOTA_TournamentMatchListTime"	"{t:s:time}"
"DOTA_TournamentMatchListTeam1"	"{s:team1}"
"DOTA_TournamentMatchListTeam2"	"{s:team2}"
"DOTA_TournamentMatchListScore"	"{i:score1} - {i:score2}"
"DOTA_TournamentButtonExpand"	"Άνοιγμα"
"DOTA_TournamentButtonHide"	"Απόκρυψη"
"DOTA_TournamentButtonWatch"	"Παρακολούθηση"
"DOTA_TournamentButtonDetails"	"Λεπτομέρειες"
"DOTA_TournamentButtonMatchDetails"	"Πληροφορίες αγώνα"
"DOTATournamentBracketPlayoffs"	"ΠΛΕΪ-ΟΦ"
"DOTATournamentBracketGroupPhase"	"ΦΑΣΗ ΟΜΙΛΩΝ"
"DOTATournamentBracketWildcards"	"Προκριματικά"
"DOTATournamentDetailsPhase"	"{s:phase}"
"DOTATournamentDetailsSchedule"	"Πρόγραμμα"
"DOTATournamentDetailsGrid"	"Πλέγμα αγώνων"
"DOTATournamentDetailsStandings"	"Βαθμολογίες"
"DOTATournamentDetailsBracket"	"Όμιλος"
"DOTATournamentBracketOverview"	"ΕΠΙΣΚΟΠΗΣΗ"
"DOTATournamentBracketTeams"	"Ομάδες"
"DOTATournamentStageAndGame"	"{s:stage_name} - Παιχνίδι {i:game_number}"
"DOTATournamentStage"	"{s:stage_name}"
"DOTATournamentTeamUnknown"	"Υπό καθορισμό"
"DOTATournamentTeamVersus"	"VS"
"DOTATournamentTeamGameInProgress"	"Σε εξέλιξη - Παρακολουθήστε ζωντανά"
"DOTATournamentMatchListWatch"	"ΠΑΡΑΚΟΛΟΥΘΗΣΗ"
"DOTATournamentMatchListDetails"	"ΛΕΠΤΟΜΕΡΕΙΕΣ"
"DOTATournamentMatchListWatchLive"	"ΠΑΡΑΚΟΛΟΥΘΗΣΤΕ ΖΩΝΤΑΝΑ"
"DOTA_WatchTournament_Recent"	"Πρόσφατα παιχνίδια"
"DOTA_WatchTournament_Live"	"Ζωντανά παιχνίδια σε εξέλιξη"
"DOTA_Tournament_Major"	"Πρωτάθλημα Major"
"DOTA_ReplayDownload_Error"	"Σφάλμα λήψης επανάληψης: {s:download_error}"
"dota_settings_chat_allow_global"	"Εμφάνιση μηνυμάτων καναλιών σε καρτέλες άλλων καναλιών"
"DOTA_econ_item_details_item_creation_date"	"Κυκλοφόρησε: {t:l:creation_date}"
"DOTA_store_item_details_included"	"Περιλαμβάνεται σε αυτό το πακέτο"
"DOTA_Workshop_SubmissionType_TeamLogo"	"Λογότυπο ομάδας"
"DOTA_Workshop_SubmissionType_TeamLogo_Desc"	"Ένα λογότυπο για μια επαγγελματική ομάδα Dota"
"DOTA_Workshop_LogoMarketingImage"	"Λογότυπο ομάδας"
"DOTA_Workshop_LogoMarketingImage_Desc"	"Μια εικόνα ή ένα λογότυπο για να χρησιμοποιηθεί από την ομάδα σας. Πρέπει να είναι τετράγωνη με διαστάσεις τουλάχιστον 600x600, και να έχει διαφανές φόντο κατάλληλο για την επικάλυψη άλλων εικόνων. Πρέπει να έχετε τα δικαιώματα χρήσης αυτής της εικόνας."
"DOTA_Workshop_MoreInfoURL"	"(Περισσότερες πληροφορίες)"
"DOTA_Workshop_SubmissionType_MusicPack"	"Μουσικό πακέτο"
"DOTA_Workshop_SubmissionType_MusicPack_Desc"	"Μια αντικατάσταση της μουσικής του παιχνιδιού, συμπεριλαμβανόμενης της μουσικής στο κύριο μενού και εντός παιχνιδιού."
"DOTA_Workshop_Music_Section_UI"	"Κομμάτια UI"
"DOTA_Workshop_Music_Section_PreGame"	"Κομμάτια πριν το παιχνίδι"
"DOTA_Workshop_Music_Section_Laning"	"Κομμάτια και στρώσεις μετώπων"
"DOTA_Workshop_Music_Section_Battle"	"Κομμάτια μάχης"
"DOTA_Workshop_Music_Section_Roshan"	"Κομμάτι Roshan"
"DOTA_Workshop_Music_Section_Smoke"	"Κομμάτι καπνού"
"DOTA_Workshop_Music_Section_Gank"	"Ήχος ενέδρας"
"DOTA_Workshop_Music_Section_Killed"	"Κομμάτι σκοτωμού"
"DOTA_Workshop_Music_Section_EndOfMatch"	"Ήχος τέλους αγώνα"
"DOTA_Workshop_MusicMarketingImage"	"Εικόνες μουσικού πακέτου"
"DOTA_Workshop_MusicMarketingImageDesc"	"Μια εικόνα ή ένα λογότυπο για να χρησιμοποιηθεί από το μουσικό πακέτο σας. Πρέπει να είναι τετράγωνη με διαστάσεις τουλάχιστον 600x600, και να έχει διαφανές φόντο κατάλληλο για την επικάλυψη άλλων εικόνων. Πρέπει να έχετε τα δικαιώματα χρήσης αυτής της εικόνας."
"DOTA_Workshop_Music_ui_startup"	"Εκκίνηση UI"
"DOTA_Workshop_Music_ui_main"	"Κεντρικό UI"
"DOTA_Workshop_Music_ui_hero_select"	"Επιλογή ήρωα"
"DOTA_Workshop_Music_countdown"	"Αντίστροφη μέτρηση"
"DOTA_Workshop_Music_laning_01_layer_01"	"Μέτωπο #1, στρώση 1"
"DOTA_Workshop_Music_laning_01_layer_02"	"Μέτωπο #1, στρώση 2"
"DOTA_Workshop_Music_laning_01_layer_03"	"Μέτωπο #1, στρώση 3"
"DOTA_Workshop_Music_laning_02_layer_01"	"Μέτωπο #2, στρώση 1"
"DOTA_Workshop_Music_laning_02_layer_02"	"Μέτωπο #2, στρώση 2"
"DOTA_Workshop_Music_laning_02_layer_03"	"Μέτωπο #2, στρώση 3"
"DOTA_Workshop_Music_laning_03_layer_01"	"Μέτωπο #3, στρώση 1"
"DOTA_Workshop_Music_laning_03_layer_02"	"Μέτωπο #3, στρώση 1"
"DOTA_Workshop_Music_laning_03_layer_03"	"Μέτωπο #3, στρώση 1"
"DOTA_Workshop_Music_battle_01"	"Μάχη #1"
"DOTA_Workshop_Music_battle_01_end"	"Μάχη #1 τέλος"
"DOTA_Workshop_Music_battle_02"	"Μάχη #2"
"DOTA_Workshop_Music_battle_02_end"	"Μάχη #2 τέλος"
"DOTA_Workshop_Music_battle_03"	"Μάχη #3"
"DOTA_Workshop_Music_battle_03_end"	"Μάχη #3 τέλος"
"DOTA_Workshop_Music_roshan"	"roshan"
"DOTA_Workshop_Music_roshan_end"	"roshan_end"
"DOTA_Workshop_Music_smoke"	"smoke"
"DOTA_Workshop_Music_smoke_end"	"smoke_end"
"DOTA_Workshop_Music_smoke_end_hero"	"smoke_end_hero"
"DOTA_Workshop_Music_ganked_sml_01"	"ganked_sml_01"
"DOTA_Workshop_Music_ganked_med_01"	"ganked_med_01"
"DOTA_Workshop_Music_ganked_lg_01"	"ganked_lg_01"
"DOTA_Workshop_Music_killed"	"killed"
"DOTA_Workshop_Music_respawn"	"αναβίωση"
"DOTA_Workshop_Music_radiant_win"	"radiant_win"
"DOTA_Workshop_Music_radiant_lose"	"radiant_lose"
"DOTA_Workshop_Music_dire_win"	"dire_win"
"DOTA_Workshop_Music_dire_lose"	"dire_lose"
"DOTA_Workshop_SubmissionType_Emoticon"	"Emoticon συνομιλίας"
"DOTA_Workshop_SubmissionType_Emoticon_Desc"	"Ένα κινούμενο emoticon συνομιλίας"
"DOTA_Workshop_ChatEmoticon_Image"	"Εικόνα emoticon"
"DOTA_Workshop_ChatEmoticon_Keyword"	"Λέξη κλειδί emoticon"
"DOTA_Workshop_ChatEmoticon_Keyword_Desc"	"Προτεινόμενη λέξη κλεδί για το emoticon συνομιλίας"
"DOTA_Workshop_Emoticon"	"Emoticon"
"DOTA_Workshop_EmoticonAlt"	"Επιπλέον emoticon"
"DOTA_Workshop_Error_ImageExactWidth"	"Λάθος πλάτος εικόνας: %1 (Πρέπει να είναι %2px)"
"DOTA_Workshop_Error_ImageExactHeight"	"Λάθος ύψος εικόνας: %1 (Πρέπει να είναι %2px)"
"DOTA_Workshop_Error_EmoticonHeight"	"Λάθος ύψος εικόνας: %1 (Το ύψος του emoticon πρέπει να είναι %2px)"
"DOTA_Workshop_Error_EmoticonWidth"	"Λάθος πλάτος εικόνας: %1 (Το πλάτος του emoticon πρέπει να είναι πολλαπλάσιο του %2px)"
"DOTA_Workshop_AmbientLightScale"	"Φωτεινότητα φωτός περιβάλλοντος"
"DOTA_Workshop_CloneCamera"	"Αντιγραφή τρέχουσας προβολής"
"DOTA_Workshop_Copy"	"Αντιγραφή"
"DOTA_Workshop_PasteAll"	"Επικόλληση όλων"
"DOTA_Workshop_PasteVisuals"	"Επικόλληση γραφικών"
"DOTA_Workshop_EntityShadowScale"	"Κλίμακα σκιών"
"DOTA_Workshop_SpotLightScale"	"Φωτεινότητα επίκεντρου"
"DOTA_Workshop_SubmissionType_ContractOnly_Desc"	"Προς χρήση μόνο αν επικοινώνησε η Valve μαζί σας."
"DOTA_Workshop_Err_FileTooBig"	"Το πηγαίο αρχείο «%1» είναι πολύ μεγάλο (%2 KB, το μέγιστο είναι %3 KB)"
"DOTA_Workshop_BrowseForPngFilter"	"PNG"
"DOTA_Workshop_BrowseForWavFilter"	"WAV"
"DOTA_Workshop_Err_SessionTooBig"	"Το συνολικό μέγεθος της υποβολής είναι πολύ μεγάλο (%1 KB, το μέγιστο είναι %2 KB)"
"DOTA_Workshop_Items_Err_Name_In_Use"	"Το όνομα αντικειμένου «%1» χρησιμοποιείται ήδη από το αντικείμενο %2"
"DOTA_Workshop_Automatically_Close_Importer"	"Αυτόματο κλείσιμο παραθύρου εισαγωγής στην αποθήκευση"
"DOTA_Workshop_GenerateIconImages"	"Δημιουργία προεπιλεγμένων εικόνων εικονιδίων"
"DOTA_Workshop_ItemSubmit_Create_Button"	"Δημιουργία αρχείου αντικειμένου"
"DOTA_Workshop_ItemSubmit_Recreate_Button"	"Αναδημιουργία αρχείου αντικειμένου"
"DOTA_Workshop_ItemSubmit_Update_Button"	"Ενημέρωση αρχείου αντικειμένου"
"DOTA_Workshop_ItemSubmit_Create_IDLabel_Test"	"Νέο δοκιμαστικό αντικείμενο: «%1»"
"DOTA_Workshop_ItemSubmit_Create_IDLabel_Test_With_Def_Index"	"Νέο δοκιμαστικό αντικείμενο: %1 «%2»"
"DOTA_Workshop_ItemSubmit_Create_IDLabel_GCReserved"	"Νέο αντικείμενο: %1 «%2»"
"DOTA_SoaringCacheTreasure_Title"	"Κερδίστε ένα επιπλέον cache!"
