"dota"
{
"DOTA_Accept"	"Приемане"
"DOTA_CraftingResult_InternalError"	"Неуспешно: вътрешна грешка."
"DOTA_CraftingResult_MissingLeague"	"Неуспешно: трябва да притежавате Compendium, за да ползвате тази рецепта."
"DOTA_Workshop_Attachment_Edit_Disabled"	"Редактирането на точките за прикачване в момента не се поддържа. Тази функционалност ще бъде добавена в по-нататъшно обновление."
"DOTA_Workshop_Mat0Title"	"Файлове за материалите"
"DOTA_Workshop_Mat0Desc"	"Това е комплектът от файлове, които се комбинират, за да текстурират геометрията Ви."
"DOTA_Workshop_Animation_Spawn_Desc"	"Вероятно ще е удачно лицето на единицата да бъде извърнато под ъгъл леко нагоре. Така би било по-отчетливо гледано отгоре, какъвто е изгледът в играта."
"DOTA_Workshop_Animation_Idle_Desc"	"Вероятно ще е удачно лицето на единицата да бъде извърнато под ъгъл леко нагоре. Така би било по-отчетливо гледано отгоре, какъвто е изгледът в играта. Ако са налични отделни анимации за бездействие в портрета или снаряжението, те могат да бъдат подадени с нормалния ъгъл за лицето."
"DOTA_Workshop_Animation_IdleAlt_Desc"	"Вероятно ще е удачно лицето на единицата да бъде извърнато под ъгъл леко нагоре. Така би било по-отчетливо гледано отгоре, какъвто е изгледът в играта. Ако са налични отделни анимации за бездействие в портрета или снаряжението, те могат да бъдат подадени с нормалния ъгъл за лицето."
"DOTA_Workshop_Animation_IdleRare_Desc"	"Вероятно ще е удачно лицето на единицата да бъде извърнато под ъгъл леко нагоре. Така би било по-отчетливо гледано отгоре, какъвто е изгледът в играта. Ако са налични отделни анимации за бездействие в портрета или снаряжението, те могат да бъдат подадени с нормалния ъгъл за лицето."
"DOTA_Workshop_Animation_Run_Desc"	"Вероятно ще е удачно лицето на единицата да бъде извърнато под ъгъл леко нагоре. Така би било по-отчетливо гледано отгоре, какъвто е изгледът в играта."
"DOTA_Workshop_Animation_RunAlt_Desc"	"Вероятно ще е удачно лицето на единицата да бъде извърнато под ъгъл леко нагоре. Така би било по-отчетливо гледано отгоре, какъвто е изгледът в играта."
"DOTA_Workshop_Animation_RunRare_Desc"	"Вероятно ще е удачно лицето на единицата да бъде извърнато под ъгъл леко нагоре. Така би било по-отчетливо гледано отгоре, какъвто е изгледът в играта."
"DOTA_Workshop_Animation_RunHaste_Desc"	"Стойка на тялото, която е по-наклонена или аеродинамична от обикновената, ще спомогне при изразяването на повишената скорост."
"DOTA_Workshop_Animation_RunInjured_Desc"	"Вероятно ще е удачно лицето на единицата да бъде извърнато под ъгъл леко нагоре. Така би било по-отчетливо гледано отгоре, какъвто е изгледът в играта."
"DOTA_Workshop_Animation_PortraitIdle_Desc"	"Ако сте повдигнали главата при анимацията за бездействието в играта, разположете лицето на единицата спрямо нормалния ъгъл за най-добра отчетливост в портрета. Обмислете дали да не смекчите телесните движения на единицата, така че да не се отклонява твърде далеч от рамката на портрета."
"DOTA_Workshop_Animation_PortraitRare_Desc"	"Ако сте повдигнали главата при анимацията за бездействието в играта, разположете лицето на единицата спрямо нормалния ъгъл в портрета. Обмислете дали да не смекчите телесните движения на единицата, така че да не се отклонява твърде далеч от рамката на портрета."
"DOTA_Workshop_Animation_LoadoutIdle"	"Бездействие в снаряжението"
"DOTA_Workshop_Animation_LoadoutIdle_Desc"	"Ако сте повдигнали главата при анимацията за бездействието в играта, разположете лицето на единицата спрямо нормалния ъгъл за най-добра отчетливост в снаряжението."
"DOTA_Workshop_Animation_LoadoutRare"	"Рядко бездействие в снаряжението"
"DOTA_Workshop_Animation_LoadoutRare_Desc"	"Ако сте повдигнали главата при анимацията за бездействието в играта, разположете лицето на единицата спрямо нормалния ъгъл в снаряжението. Уверете се, че началната и крайната поза на тази анимация съвпадат със съответните обикновени такива, за да има плавно преминаване."
"DOTA_Workshop_SubmitNew"	"Изпращане"
"DOTA_Workshop_SubmitUpdate"	"Изпращане на обновление"
"DOTA_Workshop_SelectImportType"	"Какво публикувате?"
"DOTA_Workshop_SelectImportType_Desc"	"Моля, изберете типа на внасяното от опциите по-долу."
"DOTA_Workshop_SelectHero"	"Избор на герой"
"DOTA_Workshop_SelectSlot"	"Избиране на слот"
"DOTA_Workshop_NoSlots"	"Няма достъпни слотове"
"DOTA_Workshop_SelectHeroWearable"	"Предмет за носене"
"DOTA_Workshop_SelectAbility"	"Избиране на умение"
"DOTA_Workshop_SelectHeroAbilityModel"	"Модел на умение"
"DOTA_Workshop_SubmissionTypeImagesTitle"	"Какъв тип изображение публикувате?"
"DOTA_Workshop_SubmissionType_Wearable"	"Предмет за носене…"
"DOTA_Workshop_SubmissionType_Wearable_Desc"	"Геометрията за модел, която се прикачва към базовата такава на определения герой."
"DOTA_Workshop_SubmissionType_Courier"	"Куриер"
"DOTA_Workshop_SubmissionType_Courier_Desc"	"Два модела с необходимите анимации, за да функционират като сухоземен и летящ куриер на отбора."
"DOTA_Workshop_SubmissionType_Ward_Desc"	"Модел с необходимите анимации, за да функционират като Observer и Sentry Ward."
"DOTA_Workshop_SubmissionType_Ability"	"Модел на умение…"
"DOTA_Workshop_SubmissionType_Ability_Desc"	"Един или повече от моделите с необходимите анимации за подмяна на текущите асоциирани за определени заклинания или умения на даден герой."
"DOTA_Workshop_SubmissionType_HudSkin"	"Вид на интерфейса"
"DOTA_Workshop_SubmissionType_HudSkin_Desc"	"Набор от изображения, предназначени да заместят интерфейса в играта."
"DOTA_Workshop_SubmissionType_LoadingScreen"	"Екран при зареждане"
"DOTA_Workshop_SubmissionType_LoadingScreen_Desc"	"Изображение, което да замени екрана при зареждане."
"DOTA_Workshop_SubmissionType_Animation"	"Анимация"
"DOTA_Workshop_SubmissionType_Animation_Desc"	"Анимации, които заменят една или повече от наличните такива на героя."
"DOTA_Workshop_SubmissionType_Images"	"Изображения…"
"DOTA_Workshop_SubmissionType_Images_Desc"	"Подадени публикации съставени от изображения, като например: екрани при зареждане, чат емотикони, курсори и отборни лога."
"DOTA_Workshop_SubmissionType_AbilityIcons"	"Икони на умения…"
"DOTA_Workshop_SubmissionType_AbilityIcons_Desc"	"Набор от изображения, предназначени да заместят иконите за уменията на героя."
"DOTA_Workshop_SubmissionType_ChatEmoticon"	"Чат емотикони"
"DOTA_Workshop_SubmissionType_ChatEmoticon_Desc"	"Анимирана чат емотикона."
"DOTA_Workshop_SubmissionType_CursorPack"	"Пакет с курсори"
"DOTA_Workshop_SubmissionType_CursorPack_Desc"	"Комплект от изображения, предназначени да заместят курсорите в играта."
"DOTA_Workshop_Err_InvalidChars"	"Неподдържани символи (позволени са само букви, цифри и долни черти)"
"DOTA_Workshop_BrowseForInputFile"	"Изберете входен файл"
"DOTA_Workshop_BrowseForGeoFilter"	"Модели"
"DOTA_Workshop_BrowseForImageFilter"	"Изображение"
"DOTA_Workshop_BrowseForAnimFilter"	"Анимации "
"DOTA_Workshop_BrowseForPsdFilter"	"PSD"
"DOTA_Workshop_ImportS1Mask1"	"Внасяне на Source1 стил за маска №1"
"DOTA_Workshop_ImportS1Mask1_Details"	"Разделя Source1 стил за маска №1 (детаилна, дифузна, металност, самоосветяване) в компоненти за Source2."
"DOTA_Workshop_ImportS1Mask2"	"Внасяне на Source1 стил за маска №2"
"DOTA_Workshop_ImportS1Mask2_Details"	"Разделя Source1 стил за маска №2 (отражения, контури, базов оттенък, степен на отразяване) в компоненти за Source2."
"DOTA_Workshop_Imported_S1Mask_Title"	"Внесен Source1 стил за маска"
"DOTA_Workshop_Imported_S1Mask_Text"	"Следният(те) файл(ове) беше(бяха) записан(и): %1"
"DOTA_Workshop_Imported_S1MaskOverwrite_Title"	"Презаписване на файлове?"
"DOTA_Workshop_Imported_S1MaskOverwrite_Text"	"ПРЕДУПРЕЖДЕНИЕ\nСигурни ли сте, че искате да презапишете следните файлове?\n%1"
"DOTA_Workshop_SaveSessionPrompt_Title"	"Запазване на сесията?"
"DOTA_Workshop_SaveSessionPrompt_Text"	"Запазване на текущата Ви сесия?"
"DOTA_Workshop_SaveSessionPrompt_Text_PostSubmit"	"Бихте ли искали да запазите тази сесия за употреба, когато качвате повторно?"
"DOTA_Workshop_Err_S1Mask"	"Неуспешно обработване на Source1 стил за маска"
"DOTA_Workshop_Error_FailedToLoadTexture"	"Неуспешно зареждане на файл за изображение: %1"
"DOTA_Workshop_Error_ImageSize"	"%1: Изображението е с невалиден размер: %3. Целевият размер е %4.\nИзмеренията на изображението трябва да са кратни на две, равни или по-големи от целевия размер и еднакви по съотношение ширина към дължина.\nИзображенията, които са по-големи целевия размер ще бъдат автоматично преоразмерени до него."
"DOTA_Sale_24"	"24 часова разпродажба"
"UI_File_Filter_PNG"	"PNG файлове (*.png)"
"DOTA_Teams_WindowTitle"	"ОТБОРИ"
"DOTA_TeamManagement_FullName"	"Пълно име на отбора"
"DOTA_TeamManagement_TeamTag"	"Отборен таг"
"DOTA_TeamManagement_Country"	"Държава"
"DOTA_TeamManagement_URL"	"Уебсайт на отбора"
"DOTA_TeamKickLabel"	"Изритване"
"DOTA_TeamKickMember"	"Изритване на съотборник"
"DOTA_TeamCreateNewTeam"	"Създаване на нов отбор"
"DOTA_TeamsMyTeams"	"Моите отбори"
"DOTA_OfficialTeamInfo"	"Моята професионална инф."
"DOTA_TeamsManageTeams"	"Управление на отбори"
"DOTA_TeamImagesBrowse"	"Преглед"
"DOTA_TeamBaseLogo"	"Отборно лого в базата"
"DOTA_TeamBannerLogo"	"Отборно лого на флага"
"DOTA_TeamSponsorLogo"	"Лого на отборния спонсор"
"DOTA_TeamInterfaceLogo"	"Отборно лого в интерфейса"
"DOTA_TeamTeamID"	"Отборен №:"
"DOTA_TeamTeamAdmin"	"Отборен администратор:"
"DOTA_TeamBasicInfo"	"Основна инф."
"DOTA_TeamRoster"	"Състав"
"DOTA_TeamImages"	"Изображения"
"DOTA_TeamPlayerRoster"	"Състав от играчи"
"DOTA_TeamInvitePlayer"	"Покана на играч"
"DOTA_TeamLeaveTeam"	"Напускане на този отбор"
"DOTA_TeamJoinTeam"	"Присъединяване към отбор"
"DOTA_TeamDisbandTeam"	"Разпускане на отбора"
"DOTA_TeamDisbandTeamTooltip"	"Съставът трябва да е празен при разпускане на отбора"
"DOTA_TeamInviteAPlayer"	"Напишете име на приятел…"
"DOTA_ProfileCard_CompendiumPanel_ComingSoon"	"Compendium за есенния сезон 2015 не е излязъл"
"DOTA_GameMode_1"	"All Pick"
"DOTA_GameMode_2"	"Captains Mode"
"DOTA_GameMode_3"	"Random Draft"
"DOTA_GameMode_4"	"Single Draft"
"DOTA_GameMode_5"	"All Random"
"DOTA_GameMode_12"	"Least Played"
"DOTA_GameMode_13"	"Limited Heroes"
"DOTA_GameMode_16"	"Captains Draft"
"DOTA_GameMode_18"	"Ability Draft"
"DOTA_GameMode_20"	"All Random Death Match"
"DOTA_ChatTab_RegionRestriction"	"Като допълнителна мярка за поверителност никаква информация, освен имената не е достъпна от списъка с членове в регионалния канал."
"DOTA_JoinChatChannel_ChannelDistance"	"Разстояние"
"DOTA_JoinChatChannel_Regional"	"Регионални"
"DOTA_JoinChatChannel_Custom"	"Потребител"
"DOTA_JoinChatChannel_CustomGame"	"Персонализирани игри"
"DOTA_JoinChatChannel_Locked"	"Понастоящем регионалните канали в тази област са изключени."
"DOTA_Chat_ChannelDistance"	"{s:channel_distance} км"
"DOTA_Chat_CustomGameChannelName"	"{g:dota_custom_game_name:channel_name}"
"DOTA_ChatTarget_Prompt_CustomGame"	"До ({g:dota_custom_game_name:custom_game_id}):"
"DOTA_ChatTarget_Format_CustomGame"	"{g:dota_custom_game_name:custom_game_id}"
"DOTA_ChatCommand_ShareProfile"	"shareprofile"
"DOTA_ChatCommand_ShareProfile_Name"	"Споделяне на профил"
"DOTA_ChatCommand_ShareProfile_Description"	"Споделете връзка към профила Ви в текущия чат."
"DOTA_ChatCommand_FlipCoin"	"flip"
"DOTA_ChatCommand_FlipCoin_Name"	"Хвърляне на монета"
"DOTA_ChatCommand_FlipCoin_Description"	"Произволно хвърляне на монета, за да получите ези или тура."
"DOTA_Chat_UnableToShareProfile"	"Неуспешно споделяне на профила Ви с този чат канал."
"DOTA_CoinFlip_Heads"	"хвърли монета: <span class=\"CoinFlipResult\">ЕЗИ</span>"
"DOTA_CoinFlip_Tails"	"хвърли монета: <span class=\"CoinFlipResult\">ТУРА</span>"
"DOTA_CoinFlip_UnableToFlip"	"Неуспешно хвърляне на монета в този чат канал."
"DOTA_Chat_ShareProfileMessage"	"Профилът ми е: <span class=\"ShareChatPersona\">[{s:share_persona}]</span>"
"DOTA_PlayerContextMenu_Ignore"	"Игнориране на потребител"
"DOTA_Frontpage_LastMatch_Title"	"Последният Ви мач"
"DOTA_Frontpage_LastMatch_Mode"	"Режим"
"DOTA_Frontpage_LastMatch_KDA"	"Уб. / Ум. / А"
"DOTA_Frontpage_LastMatch_Duration"	"Времетраене"
"DOTA_Frontpage_LastMatch_Result"	"Резултат"
"DOTA_Frontpage_LastMatch_Items"	"Предмети"
"DOTA_Frontpage_WatchLive_Title"	"Най-наблюдавана игра в момента"
"DOTA_Frontpage_FriendCustom_Title"	"Потребителска игра"
"DOTA_Frontpage_FriendCustom_IsPlaying"	"играе"
"dota_settings_chat_join_regional"	"Присъединяване към регионален чат канал при стартиране"
"DOTA_Teams_NoInfo"	"Няма въведена информация"
"DOTA_Armory_Category_ScratchPad"	"Колекция"
"dota_profile_oi_cancel"	"Отказ"
"DOTA_tooltip_econ_item_tournament_drop"	"Падане на предмет от турнир"
"DOTA_tooltip_econ_item_leaguename"	"{s:league_name}"
"DOTA_tooltip_econ_item_matchevent"	"{s:tournament_event}"
"DOTA_tooltip_econ_item_matchid"	"МАЧ №: {s:tournament_matchID}"
"DOTA_tooltip_econ_item_matchdate"	"ПОЛУЧЕНИ: {t:l:tournament_date}"
"DOTA_tooltip_econ_item_team1_name"	"{s:team1_name}"
"DOTA_tooltip_econ_item_unknown_team"	"Неизвестен отбор"
"DOTA_tooltip_econ_item_team2_name"	"{s:team2_name}"
"DOTA_tooltip_econ_item_VS"	"СРЕЩУ"
"DOTA_tooltip_econ_item_event_description"	"{s:event_description}"
"DOTA_Compendium_Coins_Increased"	"Compendium монетите Ви се повишиха"
"DOTA_Compendium_Coin_Bank"	"{d:coin_bank}"
"DOTA_Compendium_Coin_Plus"	"+"
"DOTA_Compendium_Coins_Gained"	"{d:coins_gained}"
"DOTA_Workshop_ImportS1Normal"	"Внасяне на Source1 стил за светлосенки"
"DOTA_Workshop_ImportS1Normal_Details"	"Внася Source1 стил за светлосенки (обръща зеления канал) и го запазва в нов файл до оригиналния"
"DOTA_Workshop_Imported_S1Normal_Title"	"Внесен Source1 стил за светлосенки"
"DOTA_Workshop_Imported_S1Normal_Text"	"Следният файл беше записан: %1"
"DOTA_Workshop_Imported_S1NormalOverwrite_Title"	"Презаписване на файла?"
"DOTA_Workshop_Imported_S1NormalOverwrite_Text"	"ПРЕДУПРЕЖДЕНИЕ\nСигурни ли сте, че искате да презапишете следния файл?\n%1"
"DOTA_Workshop_Err_S1Normal"	"Неуспешно обработване на Source1 стил за светлосенки"
"DOTA_Workshop_Items_Err_EmptyName"	"Името на новия предмет не може да бъде празно"
"DOTA_Workshop_Items_Err_EmptyDescription"	"Описанието на новия предмет не може да бъде празно"
"DOTA_Workshop_Items_Err_UpdateNeedsSelection"	"Трябва да изберете предмет за обновяване"
"DOTA_Workshop_OpenInItemEditor"	"Отваряне в редактора за предмети"
"DOTA_Workshop_ItemImport_PrefabType_Label"	"Тип на сглобяемия елемент:"
"DOTA_Workshop_ItemImport_HeroName_Label"	"Герой:"
"DOTA_Workshop_ItemImport_WearableSlot_Label"	"Слот за носим предмет:"
"DOTA_Workshop_ItemImport_CreateItem_Name"	"Име на предмета:"
"DOTA_Workshop_ItemImport_CreateItem_Description"	"Описание:"
"DOTA_Workshop_ItemImport_CreateItem_ReserveDefIndexFromGC"	"Съхраняване на индекс от игралния координатор"
"DOTA_Workshop_ItemImport_UpdateItem_Label"	"Съществуващи определения на предмети"
"DOTA_Workshop_ItemImport_UpdateItem_Find_Label"	"Намиране:"
"DOTA_Workshop_ItemImport_LoadItems_Progress"	"%1 определения на предмети"
"DOTA_Workshop_ItemImport_CreateNewItem_ReserveTestItemIndex_Failed"	"Няма достъпни локални индекси за изпитателен предмет!"
"DOTA_Workshop_ItemImport_CreateNewItem_ReserveTestItemIndex_FailedDesc"	"Няма свободен индекс за предмет, който да бъде назначен към този! Нужно е да премахнете някои от съществуващите локални изпитателни предмети. Техният максимален брой е %s1!"
"DOTA_Workshop_ItemSubmit_CreateItem_WaitingForGC_Title"	"GC заявка"
"DOTA_Workshop_ItemSubmit_CreateItem_WaitingForGC"	"Изчакване на игровия координатор…"
"DOTA_Workshop_ItemSubmit_Create_IDLabel"	"Нов предмет: %1 „%2“"
"DOTA_Workshop_ItemSubmit_Update_IDLabel"	"Обновяване на предмет: %1 „%2“"
"DOTA_Workshop_ItemSubmit_Update_UICheckBoxes_Label"	"Обновление %1"
"DOTA_Workshop_ItemSubmit_Update_UICheckBox_Visuals"	"Визия"
"DOTA_Workshop_ItemSubmit_Update_UICheckBox_Particles"	"Частици"
"DOTA_Workshop_ItemSubmit_Update_UICheckBox_Portrait"	"Портрет"
"DOTA_Workshop_ItemSubmit_Update_UICheckBox_Wearable"	"За носене"
"DOTA_Workshop_ItemSubmit_FileName_Created"	"Създаден предмет: %1"
"DOTA_Workshop_ItemSubmit_FileName_Updated"	"Обновен предмет: %1"
"DOTA_Workshop_Items_Loading"	"Зареждане…"
"DOTA_Workshop_Items_No_Free_Item_Index_Title"	"Няма свободен индекс за предмет!"
"DOTA_Workshop_Items_No_Free_Item_Index_Label"	"Няма свободен индекс за предмет, който да бъде назначен към този!"
"DOTA_Workshop_Items_Duplicate_Item_Title"	"Този предмет вече съществува!"
"DOTA_Workshop_Items_Duplicate_Item_Label"	"Не можете да създадете предмет, който вече съществува (предметите имат еднакви имена)."
"DOTA_ItemPicker_Title"	"Избиране на предмет"
"DOTA_ItemPicker_Action"	"Избиране"
"DOTA_ItemRedemption_Title"	"{g:dota_item_name:header_item_def} откупуване"
"DOTA_ItemRedemption_Action"	"Употребяване"
"DOTA_ItemRedemption_ConfirmTitle"	"Употреба на предмет"
"DOTA_ItemRedemption_ConfirmMessage"	"Сигурни ли сте, че искате да употребите Вашия {g:dota_item_name:redeem_item_def} за {g:dota_item_name:selected_item_def}?"
"DOTA_ItemRedemption_Error"	"Неуспешна употреба на този предмет."
"DOTA_StyleUnlock_Title"	"{g:dota_item_name:header_item_def} отключване на стила"
"DOTA_StyleUnlock_Action"	"Отключване"
"DOTA_StyleUnlock_ConfirmTitle"	"Отключване на стил"
"DOTA_StyleUnlock_ConfirmMessage"	"Сигурни ли сте, че искате да употребите Вашия {g:dota_item_name:redeem_item_def}, за да отключите стил за {g:dota_item_name:selected_item_def}?"
"DOTA_StyleUnlock_Error"	"Неуспешно отключване на стил за този предмет."
"DOTA_StyleUnlock_Text"	"Изберете предмет, на който да приложите това отключване на стил"
"DOTA_StyleUnlock_NoValidItems"	"Нямате никакви артикули в оръжейната, които могат да използват това отключване на стил."
"Dota_Test_Build"	"Тестова версия"
"DOTA_Workshop_SubmissionType_League_Ticket"	"Билет за лига"
"DOTA_Workshop_SubmissionType_League_Ticket_Desc"	"Публикация в работилницата, която да определи разпределянето на приходите от билет за лига."
"DOTA_GameMode_AllDraft"	"All Pick"
"DOTA_GameMode_22"	"All Pick"
"DOTA_PlayerContextMenu_Unignore"	"Премахване на игнорирането"
"DOTA_WatchTournaments_Search"	"Търсене за турнири…"
"DOTA_ProfileCard_Event_ComingSoon"	"Есенният сезон 2015 приключи"
"DOTA_ProfileCard_Event_NotOwned"	"Есенният сезон 2015 приключи"
"DOTA_ProfileCard_Event_NeedsActivate"	"Активирайте своя Compendium за есенния сезон 2015"
"DOTA_ProfileCard_Event_BuyCompendium"	"Купуване на Compendium за есенния сезон 2015"
"DOTA_ProfileCard_Event_Activate"	"Активиране на Compendium"
"DOTA_ProfileCard_Event_BuyLevels"	"Купуване на нива"
"DOTA_ProfileCard_Event_SpendCoins"	"Харчене на монети"
"DOTA_ProfileCard_CompendiumLevel"	"Compendium ниво"
"DOTA_ProfileCard_CoinsBalance"	"Баланс на монетите"
"DOTA_ProfileCard_WageredCoinsWon"	"Спечелени монети от облози"
"DOTA_About_Badges"	"Относно трофеите"
"DOTA_Frontpage_ProPlaying_Title"	"Про. играещи на живо"
"LoadingScreenGameMode"	"{s:game_mode}"
"LoadingScreenMatchID"	"Мач №: {s:match_id}"
"DOTA_econ_item_details_available_gem_count"	"Достъпни обикновени камъни: {d:available_gem_count}"
"DOTA_econ_item_details_available_rare_gem_count"	"Достъпни редки камъни: {d:available_rare_gem_count}"
"DOTA_econ_item_details_extract_rare_gems"	"Унищожаване на предмет и извличане на редките камъни"
"DOTA_econ_item_details_replace_gem"	"Замяна на скъпоценен камък"
"DOTA_econ_item_details_rare_sockets_header"	"Редки гнезда"
"DOTA_econ_item_details_style_unlock"	"Отключване"
"Compendium_TOC"	"Съдържание"
"DOTA_Crafting_Fall_2015"	"Есен 2015"
"DOTA_Crafting_Compendium"	"Compendium"
"DOTA_Crafting_Title"	"Есенен 2015 Compendium изработване"
"DOTA_Crafting_Description"	"Отварянето на монетно съкровище ще Ви възнагради с бронзов, сребърен или златен предмет. След това можете да комбинирате три предмета от по-ниска поредица към една по-висока такава. Както и да размените два златни предмета за друг такъв."
"DOTA_Crafting_Chart_Link"	"Прегледайте графиката за поредиците в<br>Есенния 2015 Compendium"
"DOTA_Crafting_Treasure_Link"	"Преглед на монетно съкровище"
"DOTA_Compendium_Level_Number"	"{d:compendium_level}"
"DOTA_Compendium_Level_Points"	"{d:compendium_points}"
"DOTA_Workshop_Attachment_Reset"	"Нулиране"
"DOTA_Workshop_PreviewAspectRatio"	"Съотношение"
"DOTA_Workshop_ImagePreview"	"Преглед на изображение"
"DOTA_Workshop_BrowseForPreviousSessionCaption"	"Избиране на сесия за работилницата (отказ, ако е празна)"
"DOTA_Workshop_DifferentTemplate_Title"	"Сесията не съвпада!"
"DOTA_Workshop_DifferentTemplate_Text"	"ПРЕДУПРЕЖДЕНИЕ: Сесията използва различен шаблон (%1) от определения за предмета в работилницата (%2)"
"DOTA_Workshop_UnrecognizedTemplate_BadTags"	"Няма шаблон със съвпадащи тагове: %1"
"DOTA_StyleUnlock_Timeout"	"Неуспешно свързване към игралния координатор. Опитайте пак по-късно."
"UnlockStyle_Failed_PreReq"	"Този стил не може да бъде отключен. Необходимо е първо да отключите предпоставения стил {s:unlock_prereq_style}."
"UnlockStyle_Failed_CantAfford"	"Този стил не може да бъде отключен. Нужно е да притежавате {d:unlock_price} ({s:unlock_item_name} бр.), така че да платите за отключването."
"UnlockStyle_Failed_CantAffordAttrib"	"Този стил не може да бъде отключен. Не отговаряте на изискванията за притежаване."
"UnlockStyle_Failed_CantAffordGem"	"Този стил не може да бъде отключен. Предметът не съдържа скъпоценен камък, който да покрива изискванията."
"UnlockStyle_Failed_NoCompendiumLevel"	"Този стил не може да бъде отключен. Не притежавате Compendium с достатъчно високо ниво, което да покрива изискванията."
"UnlockStyle_Failed_AlreadyUnlocked"	"Този стил вече е бил отключен!"
"UnlockStyle_Succeeded"	"Този стил вече е бил отключен и може да се приложи върху предмета."
"DOTA_ReforgeItem_NoValidItems"	"Нямате никакви артикули в оръжейната, които могат да използват този Reforger."
"DOTA_ReforgeItem_Title"	"{g:dota_item_name:header_item_def}"
"DOTA_ReforgeItem_Action"	"Преправяне"
"DOTA_ReforgeItem_Text"	"Изберете предмет, към който да приложите този Reforger"
"DOTA_AddSocket_ConfirmTitle"	"Добавяне на гнездо"
"DOTA_AddSocket_NeedChisels"	"Нужен Ви е Artificer's Chisel, за да добавите гнездо. Искате ли да закупите такъв сега?"
"DOTA_AddSocket_ToolIsInvalid"	"Инструментът за загнездване е невалиден."
"DOTA_AddSocket_ItemCannotBeSocketed"	"На този предмет не може да бъде добавено гнездо."
"DOTA_AddSocket_Failed"	"Неуспешно добавяне на гнездо към предмета!"
"DOTA_AddSocket_Succeeded"	"Гнездото беше добавено успешно към предмета."
"DOTA_AddSocket_Title"	"Добавяне на гнездо"
"DOTA_AddSocket_Text"	"Гнездото се добавя към предмета…"
"DOTA_AddGemToSocket_NeedGems"	"Нямате никакви скъпоценни камъни, които да пасват на това гнездо."
"DOTA_AddGemToSocket_Gem_Not_Removable_Title"	"Камъкът не може да се премахва"
"DOTA_AddGemToSocket_Gem_Not_Removable"	"Това гнездо съдържа скъпоценен камък, който не може да бъде премахнат."
"DOTA_AddGemToSocket_Title"	"Добавяне на камък в гнездо"
"DOTA_AddGemToSocket_Text"	"Скъпоценният камък се добавя към гнездото на предмета…"
"DOTA_AddGemToSocket_Succeeded"	"Скъпоценният камък беше добавен успешно към предмета."
"DOTA_AddGemToSocket_Failed"	"Грешка при вмъкването на скъпоценния камък в гнездото на предмета!"
"DOTA_SelectGem_Title"	"Изберете камък, който да поставите в гнездо"
"DOTA_SelectGem_Text"	"ЗАБЕЛЕЖКА: Скъпоценните камъни вмъкнати в предмет ще бъдат обвързани с него и могат да бъдат премахнати само с Artificer's Hammer."
"DOTA_SelectGem_Action"	"Избиране"
"DOTA_RemoveGemFromSocket_NeedMasterHammers"	"Нужен Ви е Master Artificer's Hammer, за да премахнете този скъпоценен камък. Master Artificer's Hammer също ще унищожи предмета, към който камъкът е прикачен. Искате ли да закупите такъв сега?"
"DOTA_RemoveGemFromSocket_NeedHammers"	"Нужен Ви е Artificer's Hammer, за да премахнете този скъпоценен камък. Искате ли да закупите такъв сега?"
"DOTA_RemoveGemFromSocket_Title"	"Премахване на камък от гнездо"
"DOTA_RemoveGemFromSocket_Text"	"Скъпоценният камък се премахва от гнездото на предмета…"
"DOTA_RemoveGemFromSocket_Fail_Title"	"Камъкът не може да се премахне"
"DOTA_RemoveGemFromSocket_Fail_Unremovable"	"Този камък не може да бъде премахнат."
"DOTA_RemoveGemFromSocket_RequiresMasterHammer"	"Нужно е да използвате Master Artificer's Hammer, за да премахнете този камък."
"DOTA_RemoveGemFromSocket_Confirm_Title"	"Потвърдете премахването на камъка"
"DOTA_RemoveGemFromSocket_Safe_Confirm"	"Сигурни ли сте, че искате да премахнете скъпоценния камък от този предмет? Ще бъде употребен един заряд от Artificer's Hammer."
"DOTA_RemoveGemFromSocket_Confirm_Styles_Affected"	"Сигурни ли сте, че искате да премахнете скъпоценния камък от този предмет? Ще бъде употребен един заряд от Artificer's Hammer. <span class=\"CriticalText\">Стиловете на този артикул са отключени от скъпоценния камък и премахването му ще отстрани достъпа до тях.</span>"
"DOTA_RemoveGemFromSocket_Confirm"	"Сигурни ли сте, че искате да унищожите този предмет и освободите скъпоценните му камъни? Ще бъде употребен един заряд от Artificer's Hammer."
"DOTA_RemoveGemFromSocket_Confirm_Immortal"	"Сигурни ли сте, че искате да унищожите този IMMORTAL предмет и освободите скъпоценните му камъни? Ще бъде употребен един заряд от Artificer's Hammer. <span class=\"CriticalText\">Този предмет е много рядък и ще бъде унищожен от това действие.</span>"
"DOTA_RemoveGemFromSocket_Confirm_Arcana"	"Сигурни ли сте, че искате да унищожите този ARCANA предмет и освободите скъпоценните му камъни? Ще бъде употребен един заряд от Artificer's Hammer. <span class=\"CriticalText\">Този предмет е много рядък и ще бъде унищожен от това действие.</span>"
"DOTA_RemoveGemFromSocket_Failed"	"Възникна грешка при опит за премахване на скъпоценния камък от гнездото."
"DOTA_RemoveGemFromSocket_Rare_Failed"	"Възникна грешка при опит за извличане на редки скъпоценни камъни и унищожава на предмет."
"DOTA_GCRequest_Timeout"	"Времето за връзка със сървърите на Valve изтече. Моля, опитайте пак по-късно."
