"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"哈哈哈哈哈哈哈哈哈哈哈哈！"
"dota_chatwheel_message_life_stealer_3"	"我喜欢暴力。"
"[english]dota_chatwheel_message_life_stealer_3"	"Sweet, sweet violence."
"dota_chatwheel_label_life_stealer_3"	"我喜欢暴力。"
"[english]dota_chatwheel_label_life_stealer_3"	"Sweet, sweet violence."
"dota_chatwheel_message_life_stealer_4"	"尝尝我的死亡之红手。"
"[english]dota_chatwheel_message_life_stealer_4"	"You feel the red hand of death."
"dota_chatwheel_label_life_stealer_4"	"尝尝我的死亡之红手。"
"[english]dota_chatwheel_label_life_stealer_4"	"You feel the red hand..."
"dota_chatwheel_message_life_stealer_5"	"嗒哒！"
"[english]dota_chatwheel_message_life_stealer_5"	"Ta-da!"
"dota_chatwheel_label_life_stealer_5"	"嗒哒！"
"[english]dota_chatwheel_label_life_stealer_5"	"Ta-da!"
"dota_chatwheel_message_dark_seer_laugh"	"呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵。"
"[english]dota_chatwheel_message_dark_seer_laugh"	"Heheh yeheheh hey heehhhe yehhey yehe heheh eheh yeh."
"dota_chatwheel_label_dark_seer_laugh"	"[大笑]"
"[english]dota_chatwheel_label_dark_seer_laugh"	"[Laugh]"
"dota_chatwheel_message_dark_seer_thank"	"非常好。"
"[english]dota_chatwheel_message_dark_seer_thank"	"Very good."
"dota_chatwheel_label_dark_seer_thank"	"非常好。"
"[english]dota_chatwheel_label_dark_seer_thank"	"Very good."
"dota_chatwheel_message_dark_seer_deny"	"哈，没想到吧？"
"[english]dota_chatwheel_message_dark_seer_deny"	"Hh, didn't see that coming, did you?"
"dota_chatwheel_label_dark_seer_deny"	"没想到吧？"
"[english]dota_chatwheel_label_dark_seer_deny"	"Didn't see that coming, did you?"
"dota_chatwheel_message_dark_seer_1"	"你的生命，就像你的脑袋一样，不突出。"
"[english]dota_chatwheel_message_dark_seer_1"	"Your life, much like your head, lacked a point."
"dota_chatwheel_label_dark_seer_1"	"你的生命，就像你的脑袋一样……"
"[english]dota_chatwheel_label_dark_seer_1"	"Your life, much like your head..."
"dota_chatwheel_message_dark_seer_2"	"真是出乎意料之外！"
"[english]dota_chatwheel_message_dark_seer_2"	"I cannot believe that worked."
"dota_chatwheel_label_dark_seer_2"	"真是出乎意料之外！"
"[english]dota_chatwheel_label_dark_seer_2"	"I cannot believe that worked!"
"dota_chatwheel_message_dark_seer_3"	"呵呵呵呵哈哈哈。"
"[english]dota_chatwheel_message_dark_seer_3"	"Hoooahahaaaheeh."
"dota_chatwheel_label_dark_seer_3"	"呵呵呵呵哈哈哈。"
"[english]dota_chatwheel_label_dark_seer_3"	"Hoooahahaaaheeh."
"dota_chatwheel_message_dark_seer_4"	"你撞墙了。"
"[english]dota_chatwheel_message_dark_seer_4"	"You've hit a wall."
"dota_chatwheel_label_dark_seer_4"	"你撞墙了。"
"[english]dota_chatwheel_label_dark_seer_4"	"You've hit a wall."
"dota_chatwheel_message_dark_seer_5"	"我和敌人没啥区别。就是我脑袋大点。"
"[english]dota_chatwheel_message_dark_seer_5"	"We are not so different, my enemies and I. Except my brain is much larger."
"dota_chatwheel_label_dark_seer_5"	"我和敌人没啥区别……"
"[english]dota_chatwheel_label_dark_seer_5"	"We are not so different..."
"dota_chatwheel_message_clinkz_laugh"	"啊哈哈哈哈！"
"[english]dota_chatwheel_message_clinkz_laugh"	"Ah ha ha ha ha."
"dota_chatwheel_label_clinkz_laugh"	"[大笑]"
"[english]dota_chatwheel_label_clinkz_laugh"	"[Laugh]"
"dota_chatwheel_message_clinkz_thank"	"干得不错。"
"[english]dota_chatwheel_message_clinkz_thank"	"Well done."
"dota_chatwheel_label_clinkz_thank"	"干得不错。"
"[english]dota_chatwheel_label_clinkz_thank"	"Well done."
"dota_chatwheel_message_clinkz_deny"	"差点就是你的了。"
"[english]dota_chatwheel_message_clinkz_deny"	"You almost had it too."
"dota_chatwheel_label_clinkz_deny"	"差点就是你的了。"
"[english]dota_chatwheel_label_clinkz_deny"	"You almost had it too."
"dota_chatwheel_message_clinkz_1"	"我要将你的尸体烧成灰。"
"[english]dota_chatwheel_message_clinkz_1"	"I'll burn your body to ashes."
"dota_chatwheel_label_clinkz_1"	"我要将你的尸体烧成灰。"
"[english]dota_chatwheel_label_clinkz_1"	"I'll burn your body to ashes."
"dota_chatwheel_message_clinkz_2"	"以火攻火。"
"[english]dota_chatwheel_message_clinkz_2"	"Fight fire with fire."
"dota_chatwheel_label_clinkz_2"	"以火攻火。"
"[english]dota_chatwheel_label_clinkz_2"	"Fight fire with fire."
"dota_chatwheel_message_clinkz_3"	"多谢你给我当靶子。"
"[english]dota_chatwheel_message_clinkz_3"	"Thanks for the target practice."
"dota_chatwheel_label_clinkz_3"	"多谢你给我当靶子。"
"[english]dota_chatwheel_label_clinkz_3"	"Thanks for the target practice."
"dota_chatwheel_message_clinkz_4"	"是的！"
"[english]dota_chatwheel_message_clinkz_4"	"Yes!"
"dota_chatwheel_label_clinkz_4"	"是的！"
"[english]dota_chatwheel_label_clinkz_4"	"Yes!"
"dota_chatwheel_message_clinkz_5"	"火焰吞噬得越多，想要吞噬得也越多。"
"[english]dota_chatwheel_message_clinkz_5"	"Fire grows hungrier the more its fed."
"dota_chatwheel_label_clinkz_5"	"火焰吞噬得越多……"
"[english]dota_chatwheel_label_clinkz_5"	"Fire grows hungrier..."
"dota_chatwheel_message_omniknight_laugh"	"呵呵呵呵呵呵呵。"
"[english]dota_chatwheel_message_omniknight_laugh"	"Mehooweheh hwh hew."
"dota_chatwheel_label_omniknight_laugh"	"[大笑]"
"[english]dota_chatwheel_label_omniknight_laugh"	"[Laugh]"
"dota_chatwheel_message_omniknight_thank"	"漂亮。"
"[english]dota_chatwheel_message_omniknight_thank"	"Beautiful."
"dota_chatwheel_label_omniknight_thank"	"漂亮。"
"[english]dota_chatwheel_label_omniknight_thank"	"Beautiful."
"dota_chatwheel_message_omniknight_deny"	"板上钉钉。"
"[english]dota_chatwheel_message_omniknight_deny"	"Nailed it."
"dota_chatwheel_label_omniknight_deny"	"板上钉钉。"
"[english]dota_chatwheel_label_omniknight_deny"	"Nailed it."
"dota_chatwheel_message_omniknight_1"	"战场上的又一个污点。"
"[english]dota_chatwheel_message_omniknight_1"	"Another stain on the battlefield."
"dota_chatwheel_label_omniknight_1"	"战场上的又一个污点。"
"[english]dota_chatwheel_label_omniknight_1"	"Another stain on the battlefield."
"dota_chatwheel_message_omniknight_2"	"罪孽深重的你永远无法逃脱。"
"[english]dota_chatwheel_message_omniknight_2"	"Your guilt weighs heavily."
"dota_chatwheel_label_omniknight_2"	"你永远无法逃脱……"
"[english]dota_chatwheel_label_omniknight_2"	"Your guilt weighs heavily."
"dota_chatwheel_message_omniknight_3"	"心情平静些吧，无知的人。"
"[english]dota_chatwheel_message_omniknight_3"	"Be at peace you wretched fool."
"dota_chatwheel_label_omniknight_3"	"心情平静些吧，无知的人。"
"[english]dota_chatwheel_label_omniknight_3"	"Be at peace you wretched fool."
"dota_chatwheel_message_omniknight_4"	"你选错了信仰。"
"[english]dota_chatwheel_message_omniknight_4"	"You chose poorly."
"dota_chatwheel_label_omniknight_4"	"你选错了信仰。"
"[english]dota_chatwheel_label_omniknight_4"	"You chose poorly."
"dota_chatwheel_message_omniknight_5"	"全知的神感到了你的悔恨。"
"[english]dota_chatwheel_message_omniknight_5"	"The All-knowing One senses your regret."
"dota_chatwheel_label_omniknight_5"	"全知的神感到了你的悔恨。"
"[english]dota_chatwheel_label_omniknight_5"	"The All-knowing One senses..."
"dota_chatwheel_message_enchantress_laugh"	"哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_enchantress_laugh"	"Ha ha ha ha ha ha ha!"
"dota_chatwheel_label_enchantress_laugh"	"[大笑]"
"[english]dota_chatwheel_label_enchantress_laugh"	"[Laugh]"
"dota_chatwheel_message_enchantress_thank"	"我爱胜利！"
"[english]dota_chatwheel_message_enchantress_thank"	"I love winning!"
"dota_chatwheel_label_enchantress_thank"	"我爱胜利！"
"[english]dota_chatwheel_label_enchantress_thank"	"I love winning!"
"dota_chatwheel_message_enchantress_deny"	"可别生气哦。"
"[english]dota_chatwheel_message_enchantress_deny"	"Don't be mad."
"dota_chatwheel_label_enchantress_deny"	"可别生气哦。"
"[english]dota_chatwheel_label_enchantress_deny"	"Don't be mad."
"dota_chatwheel_message_enchantress_1"	"这不公平。"
"[english]dota_chatwheel_message_enchantress_1"	"It's just not fair."
"dota_chatwheel_label_enchantress_1"	"这不公平。"
"[english]dota_chatwheel_label_enchantress_1"	"It's just not fair."
"dota_chatwheel_message_enchantress_2"	"真滑稽。"
"[english]dota_chatwheel_message_enchantress_2"	"Hilarious."
"dota_chatwheel_label_enchantress_2"	"真滑稽。"
"[english]dota_chatwheel_label_enchantress_2"	"Hilarious."
"dota_chatwheel_message_enchantress_3"	"你已经尽力了。"
"[english]dota_chatwheel_message_enchantress_3"	"You did your best."
"dota_chatwheel_label_enchantress_3"	"你已经尽力了。"
"[english]dota_chatwheel_label_enchantress_3"	"You did your best."
"dota_chatwheel_message_enchantress_4"	"嗒哒。"
"[english]dota_chatwheel_message_enchantress_4"	"Sproink."
"dota_chatwheel_label_enchantress_4"	"嗒哒。"
"[english]dota_chatwheel_label_enchantress_4"	"Sproink."
"dota_chatwheel_message_enchantress_5"	"知道我喜欢什么吗？我什么都喜欢！"
"[english]dota_chatwheel_message_enchantress_5"	"You know what I love? Everything!"
"dota_chatwheel_label_enchantress_5"	"知道我喜欢什么吗？……"
"[english]dota_chatwheel_label_enchantress_5"	"You know what I love?..."
"dota_chatwheel_message_huskar_laugh"	"呵呵呵。"
"[english]dota_chatwheel_message_huskar_laugh"	"Heh heh heeh."
"dota_chatwheel_label_huskar_laugh"	"[大笑]"
"[english]dota_chatwheel_label_huskar_laugh"	"[Laugh]"
"dota_chatwheel_message_huskar_thank"	"啊，这个会让神高兴。"
"[english]dota_chatwheel_message_huskar_thank"	"Ahh, this will please the gods."
"dota_chatwheel_label_huskar_thank"	"啊，这个会让神高兴。"
"[english]dota_chatwheel_label_huskar_thank"	"Ahh, this will please the gods."
"dota_chatwheel_message_huskar_deny"	"这样做值得。"
"[english]dota_chatwheel_message_huskar_deny"	"Well worth it."
"dota_chatwheel_label_huskar_deny"	"这样做值得。"
"[english]dota_chatwheel_label_huskar_deny"	"Well worth it."
"dota_chatwheel_message_huskar_1"	"又一条性命浪费了。"
"[english]dota_chatwheel_message_huskar_1"	"Another life squandered."
"dota_chatwheel_label_huskar_1"	"又一条性命浪费了。"
"[english]dota_chatwheel_label_huskar_1"	"Another life squandered."
"dota_chatwheel_message_huskar_2"	"公平交易！"
"[english]dota_chatwheel_message_huskar_2"	"A fair trade!"
"dota_chatwheel_label_huskar_2"	"公平交易！"
"[english]dota_chatwheel_label_huskar_2"	"A fair trade!"
"dota_chatwheel_message_huskar_3"	"我的生命此刻有了意义！"
"[english]dota_chatwheel_message_huskar_3"	"My life now has meaning!"
"dota_chatwheel_label_huskar_3"	"我的生命此刻有了意义！"
"[english]dota_chatwheel_label_huskar_3"	"My life now has meaning!"
"dota_chatwheel_message_huskar_4"	"就这点钱？"
"[english]dota_chatwheel_message_huskar_4"	"Is that all?"
"dota_chatwheel_label_huskar_4"	"就这点钱？"
"[english]dota_chatwheel_label_huskar_4"	"Is that all?"
"dota_chatwheel_message_huskar_5"	"虽然你奉献得已到极限，但还不够。"
"[english]dota_chatwheel_message_huskar_5"	"You gave all you could give but it was not enough."
"dota_chatwheel_label_huskar_5"	"虽然你奉献得已到极限……"
"[english]dota_chatwheel_label_huskar_5"	"You gave all you could give..."
"dota_chatwheel_message_night_stalker_laugh"	"呵呵呵呵呵呵。"
"[english]dota_chatwheel_message_night_stalker_laugh"	"Heh heh heh hah heh hehhhh."
"dota_chatwheel_label_night_stalker_laugh"	"大笑"
"[english]dota_chatwheel_label_night_stalker_laugh"	"Laugh"
"dota_chatwheel_message_night_stalker_thank"	"准备受苦吧。"
"[english]dota_chatwheel_message_night_stalker_thank"	"Now they will suffer."
"dota_chatwheel_label_night_stalker_thank"	"准备受苦吧。"
"[english]dota_chatwheel_label_night_stalker_thank"	"Now they will suffer."
"dota_chatwheel_message_night_stalker_deny"	"你的噩梦又将继续。"
"[english]dota_chatwheel_message_night_stalker_deny"	"Your nightmare continues."
"dota_chatwheel_label_night_stalker_deny"	"你的噩梦又将继续。"
"[english]dota_chatwheel_label_night_stalker_deny"	"Your nightmare continues."
"dota_chatwheel_message_night_stalker_1"	"就是我想要的！"
"[english]dota_chatwheel_message_night_stalker_1"	"Just what I needed!"
"dota_chatwheel_label_night_stalker_1"	"就是我想要的！"
"[english]dota_chatwheel_label_night_stalker_1"	"Just what I needed."
"dota_chatwheel_message_night_stalker_2"	"你无处可逃。"
"[english]dota_chatwheel_message_night_stalker_2"	"There's no escape."
"dota_chatwheel_label_night_stalker_2"	"你无处可逃。"
"[english]dota_chatwheel_label_night_stalker_2"	"There's no escape."
"dota_chatwheel_message_night_stalker_3"	"饥饿的黑暗。"
"[english]dota_chatwheel_message_night_stalker_3"	"Darkness hungers."
"dota_chatwheel_label_night_stalker_3"	"饥饿的黑暗。"
"[english]dota_chatwheel_label_night_stalker_3"	"Darkness hungers."
"dota_chatwheel_message_night_stalker_4"	"我该享用大餐了。"
"[english]dota_chatwheel_message_night_stalker_4"	"It's feeding time."
"dota_chatwheel_label_night_stalker_4"	"我该享用大餐了。"
"[english]dota_chatwheel_label_night_stalker_4"	"It's feeding time."
"dota_chatwheel_message_night_stalker_5"	"又是白天。"
"[english]dota_chatwheel_message_night_stalker_5"	"Not this again."
"dota_chatwheel_label_night_stalker_5"	"又是白天。"
"[english]dota_chatwheel_label_night_stalker_5"	"Not this again..."
"dota_chatwheel_message_broodmother_laugh"	"哈哈哈哈哈。"
"[english]dota_chatwheel_message_broodmother_laugh"	"Ha ha ha ha ha."
"dota_chatwheel_label_broodmother_laugh"	"大笑"
"[english]dota_chatwheel_label_broodmother_laugh"	"Laugh"
"dota_chatwheel_message_broodmother_thank"	"多可爱的孩子。"
"[english]dota_chatwheel_message_broodmother_thank"	"What a lovely brood."
"dota_chatwheel_label_broodmother_thank"	"多可爱的孩子。"
"[english]dota_chatwheel_label_broodmother_thank"	"A lovely brood."
"dota_chatwheel_message_broodmother_deny"	"我正需要这个。"
"[english]dota_chatwheel_message_broodmother_deny"	"I need this like I need another pair of legs."
"dota_chatwheel_label_broodmother_deny"	"我正需要这个。"
"[english]dota_chatwheel_label_broodmother_deny"	"I don't need this."
"dota_chatwheel_message_broodmother_1"	"真美味。"
"[english]dota_chatwheel_message_broodmother_1"	"Delicious."
"dota_chatwheel_label_broodmother_1"	"真美味。"
"[english]dota_chatwheel_label_broodmother_1"	"Delicious."
"dota_chatwheel_message_broodmother_2"	"你不怕蜘蛛，是吗？"
"[english]dota_chatwheel_message_broodmother_2"	"You're not afraid of spiders, are you?"
"dota_chatwheel_label_broodmother_2"	"你不怕蜘蛛，是吗？"
"[english]dota_chatwheel_label_broodmother_2"	"You're not afraid of spiders, are you?"
"dota_chatwheel_message_broodmother_3"	"别死了，亲爱的。"
"[english]dota_chatwheel_message_broodmother_3"	"Don't die, my darlings."
"dota_chatwheel_label_broodmother_3"	"别死了，亲爱的。"
"[english]dota_chatwheel_label_broodmother_3"	"Don't die, my darlings."
"dota_chatwheel_message_broodmother_4"	"哦，多漂亮。"
"[english]dota_chatwheel_message_broodmother_4"	"Oh so beautiful."
"dota_chatwheel_label_broodmother_4"	"哦，多漂亮。"
"[english]dota_chatwheel_label_broodmother_4"	"Oh, so beautiful."
"dota_chatwheel_message_broodmother_5"	"嘶嘶嘶！"
"[english]dota_chatwheel_message_broodmother_5"	"Sss-sss-ssslurp!"
"dota_chatwheel_label_broodmother_5"	"嘶嘶嘶。"
"[english]dota_chatwheel_label_broodmother_5"	"Slurp."
"dota_chatwheel_message_bounty_hunter_laugh"	"啊哈哈哈哈哈哈哈哈。"
"[english]dota_chatwheel_message_bounty_hunter_laugh"	"Ah ha ha ha ha ha ha ha ha."
"dota_chatwheel_label_bounty_hunter_laugh"	"大笑"
"[english]dota_chatwheel_label_bounty_hunter_laugh"	"Laugh"
"dota_chatwheel_message_bounty_hunter_thank"	"我的队友也要赚够他们的份儿。"
"[english]dota_chatwheel_message_bounty_hunter_thank"	"My allies have earned their keep."
"dota_chatwheel_label_bounty_hunter_thank"	"赚够他们的份儿。"
"[english]dota_chatwheel_label_bounty_hunter_thank"	"Earned their keep."
"dota_chatwheel_message_bounty_hunter_deny"	"我要杀死多少个你啊？"
"[english]dota_chatwheel_message_bounty_hunter_deny"	"How many of you do I have to kill?"
"dota_chatwheel_label_bounty_hunter_deny"	"我要杀死多少个你啊？"
"[english]dota_chatwheel_label_bounty_hunter_deny"	"How many do I have to kill?"
"dota_chatwheel_message_bounty_hunter_1"	"工作需要，别伤了感情。"
"[english]dota_chatwheel_message_bounty_hunter_1"	"Just business, nothing personal."
"dota_chatwheel_label_bounty_hunter_1"	"工作需要……"
"[english]dota_chatwheel_label_bounty_hunter_1"	"Just business..."
"dota_chatwheel_message_bounty_hunter_2"	"聪明的猎人知道要有耐心。"
"[english]dota_chatwheel_message_bounty_hunter_2"	"A wise hunter knows patience."
"dota_chatwheel_label_bounty_hunter_2"	"聪明的猎人知道要有耐心。"
"[english]dota_chatwheel_label_bounty_hunter_2"	"A wise hunter knows patience."
"dota_chatwheel_message_bounty_hunter_3"	"很疼对吧？"
"[english]dota_chatwheel_message_bounty_hunter_3"	"Stings, don't it?"
"dota_chatwheel_label_bounty_hunter_3"	"很疼对吧？"
"[english]dota_chatwheel_label_bounty_hunter_3"	"Stings, don't it?"
"dota_chatwheel_message_bounty_hunter_4"	"好，现在是个人恩怨了。"
"[english]dota_chatwheel_message_bounty_hunter_4"	"Okay, now it's personal."
"dota_chatwheel_label_bounty_hunter_4"	"好，现在是个人恩怨了。"
"[english]dota_chatwheel_label_bounty_hunter_4"	"Okay, now it's personal."
"dota_chatwheel_message_bounty_hunter_5"	"五个敌人，五份赏金。"
"[english]dota_chatwheel_message_bounty_hunter_5"	"Five enemies, five bounties."
"dota_chatwheel_label_bounty_hunter_5"	"五个敌人……"
"[english]dota_chatwheel_label_bounty_hunter_5"	"Five enemies..."
"dota_chatwheel_message_weaver_laugh"	"呵呵呵哈！"
"[english]dota_chatwheel_message_weaver_laugh"	"Hehehhehah!"
"dota_chatwheel_label_weaver_laugh"	"大笑"
"[english]dota_chatwheel_label_weaver_laugh"	"Laugh"
"dota_chatwheel_message_weaver_thank"	"花样织完了！"
"[english]dota_chatwheel_message_weaver_thank"	"The pattern is complete."
"dota_chatwheel_label_weaver_thank"	"花样织完了！"
"[english]dota_chatwheel_label_weaver_thank"	"The pattern is complete!"
"dota_chatwheel_message_weaver_deny"	"你以为抓到我了，是吗？"
"[english]dota_chatwheel_message_weaver_deny"	"You thought you had me, didn't you?"
"dota_chatwheel_label_weaver_deny"	"你以为抓到我了。"
"[english]dota_chatwheel_label_weaver_deny"	"Thought you had me."
"dota_chatwheel_message_weaver_1"	"我感受到了别样的编织图案。"
"[english]dota_chatwheel_message_weaver_1"	"I'm sensing a pattern here."
"dota_chatwheel_label_weaver_1"	"感受到了图案。"
"[english]dota_chatwheel_label_weaver_1"	"Sensing a pattern."
"dota_chatwheel_message_weaver_2"	"你的计划里有个漏洞。"
"[english]dota_chatwheel_message_weaver_2"	"There's a snag in your plans."
"dota_chatwheel_label_weaver_2"	"你的计划里……"
"[english]dota_chatwheel_label_weaver_2"	"There's a snag..."
"dota_chatwheel_message_weaver_3"	"一个重复的图案。"
"[english]dota_chatwheel_message_weaver_3"	"A pattern repeats."
"dota_chatwheel_label_weaver_3"	"一个重复的图案。"
"[english]dota_chatwheel_label_weaver_3"	"A pattern repeats."
"dota_chatwheel_message_weaver_4"	"你将是我虫子的大餐。"
"[english]dota_chatwheel_message_weaver_4"	"A feast for my beetles."
"dota_chatwheel_label_weaver_4"	"你将是我虫子的大餐。"
"[english]dota_chatwheel_label_weaver_4"	"A feast for my beetles."
"dota_chatwheel_message_weaver_5"	"哦，剪断！"
"[english]dota_chatwheel_message_weaver_5"	"Ho, snap!"
"dota_chatwheel_label_weaver_5"	"哦，剪断！"
"[english]dota_chatwheel_label_weaver_5"	"Ho, snap!"
"dota_chatwheel_message_jakiro_laugh"	"哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_jakiro_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_jakiro_laugh"	"大笑"
"[english]dota_chatwheel_label_jakiro_laugh"	"Laugh"
"dota_chatwheel_message_jakiro_thank"	"干杯。"
"[english]dota_chatwheel_message_jakiro_thank"	"Cheers."
"dota_chatwheel_label_jakiro_thank"	"干杯。"
"[english]dota_chatwheel_label_jakiro_thank"	"Cheers."
"dota_chatwheel_message_jakiro_deny"	"这个将改变一切。"
"[english]dota_chatwheel_message_jakiro_deny"	"This changes everything."
"dota_chatwheel_label_jakiro_deny"	"这个将改变一切。"
"[english]dota_chatwheel_label_jakiro_deny"	"This changes everything."
"dota_chatwheel_message_jakiro_1"	"灼烧吧！"
"[english]dota_chatwheel_message_jakiro_1"	"Burned."
"dota_chatwheel_label_jakiro_1"	"灼烧吧！"
"[english]dota_chatwheel_label_jakiro_1"	"BURNED!"
"dota_chatwheel_message_jakiro_2"	"终于说到点子上了。"
"[english]dota_chatwheel_message_jakiro_2"	"Now we're talking."
"dota_chatwheel_label_jakiro_2"	"终于说到点子上了。"
"[english]dota_chatwheel_label_jakiro_2"	"Now we're talking."
"dota_chatwheel_message_jakiro_3"	"走着瞧！"
"[english]dota_chatwheel_message_jakiro_3"	"We'll see about that."
"dota_chatwheel_label_jakiro_3"	"走着瞧！"
"[english]dota_chatwheel_label_jakiro_3"	"We'll see about that!"
"dota_chatwheel_message_jakiro_4"	"一点都不好笑。"
"[english]dota_chatwheel_message_jakiro_4"	"We are not amused."
"dota_chatwheel_label_jakiro_4"	"一点都不好笑。"
"[english]dota_chatwheel_label_jakiro_4"	"We are not amused."
"dota_chatwheel_message_jakiro_5"	"那实在冷血。"
"[english]dota_chatwheel_message_jakiro_5"	"That was cold blooded."
"dota_chatwheel_label_jakiro_5"	"那实在冷血。"
"[english]dota_chatwheel_label_jakiro_5"	"That was cold blooded."
"dota_chatwheel_message_batrider_laugh"	"呵哈哈！"
"[english]dota_chatwheel_message_batrider_laugh"	"He ha ha!"
"dota_chatwheel_label_batrider_laugh"	"大笑"
"[english]dota_chatwheel_label_batrider_laugh"	"Laugh"
"dota_chatwheel_message_batrider_thank"	"啊，说的就是这个！"
"[english]dota_chatwheel_message_batrider_thank"	"Ah, that's what I'm talking about!"
"dota_chatwheel_label_batrider_thank"	"说的就是这个。"
"[english]dota_chatwheel_label_batrider_thank"	"That's what I'm talking about."
"dota_chatwheel_message_batrider_deny"	"这招会让你痛不欲生。"
"[english]dota_chatwheel_message_batrider_deny"	"This is gonna sting."
"dota_chatwheel_label_batrider_deny"	"这招会让你痛不欲生。"
"[english]dota_chatwheel_label_batrider_deny"	"This is gonna sting."
"dota_chatwheel_message_batrider_1"	"你需要洗澡了！"
"[english]dota_chatwheel_message_batrider_1"	"You need a shower."
"dota_chatwheel_label_batrider_1"	"你需要洗澡了！"
"[english]dota_chatwheel_label_batrider_1"	"You need a shower!"
"dota_chatwheel_message_batrider_2"	"生活开始变得有趣了！"
"[english]dota_chatwheel_message_batrider_2"	"Life just got interesting!"
"dota_chatwheel_label_batrider_2"	"生活开始变得有趣了！"
"[english]dota_chatwheel_label_batrider_2"	"Life just got interesting!"
"dota_chatwheel_message_batrider_3"	"有我在你会痛不欲生了！"
"[english]dota_chatwheel_message_batrider_3"	"I'm sappin your will to live!"
"dota_chatwheel_label_batrider_3"	"有我在你会痛不欲生了！"
"[english]dota_chatwheel_label_batrider_3"	"Sappin' your will to live!"
"dota_chatwheel_message_batrider_4"	"哇，烧焦了！"
"[english]dota_chatwheel_message_batrider_4"	"Whoa, sick burn!"
"dota_chatwheel_label_batrider_4"	"烧焦了！"
"[english]dota_chatwheel_label_batrider_4"	"Sick burn!"
"dota_chatwheel_message_batrider_5"	"太挫了。"
"[english]dota_chatwheel_message_batrider_5"	"That was lame."
"dota_chatwheel_label_batrider_5"	"太挫了。"
"[english]dota_chatwheel_label_batrider_5"	"That was lame."
"dota_chatwheel_message_chen_laugh"	"呵呵呵呵呵呵。"
"[english]dota_chatwheel_message_chen_laugh"	"Hehehmehmehmmm."
"dota_chatwheel_label_chen_laugh"	"大笑"
"[english]dota_chatwheel_label_chen_laugh"	"Laugh"
"dota_chatwheel_message_chen_thank"	"哦，感谢主。"
"[english]dota_chatwheel_message_chen_thank"	"Oh, thank God."
"dota_chatwheel_label_chen_thank"	"哦，感谢主。"
"[english]dota_chatwheel_label_chen_thank"	"Oh, thank God."
"dota_chatwheel_message_chen_deny"	"休想逃脱罪恶。"
"[english]dota_chatwheel_message_chen_deny"	"Can't escape your sins."
"dota_chatwheel_label_chen_deny"	"休想逃脱罪恶。"
"[english]dota_chatwheel_label_chen_deny"	"You can't escape your sins."
"dota_chatwheel_message_chen_1"	"果然是恶徒。"
"[english]dota_chatwheel_message_chen_1"	"Found unworthy."
"dota_chatwheel_label_chen_1"	"果然是恶徒。"
"[english]dota_chatwheel_label_chen_1"	"Found unworthy."
"dota_chatwheel_message_chen_2"	"竟然如此亵渎神灵？"
"[english]dota_chatwheel_message_chen_2"	"What blasphemy is this?"
"dota_chatwheel_label_chen_2"	"竟然如此亵渎……"
"[english]dota_chatwheel_label_chen_2"	"What blasphemy..."
"dota_chatwheel_message_chen_3"	"时间快到了。"
"[english]dota_chatwheel_message_chen_3"	"The time draws nigh."
"dota_chatwheel_label_chen_3"	"时间快到了。"
"[english]dota_chatwheel_label_chen_3"	"The time draws nigh."
"dota_chatwheel_message_chen_4"	"天罚即将开始！"
"[english]dota_chatwheel_message_chen_4"	"The persecution starts now!"
"dota_chatwheel_label_chen_4"	"天罚……"
"[english]dota_chatwheel_label_chen_4"	"The persecution..."
"dota_chatwheel_message_chen_5"	"正如预言所料。"
"[english]dota_chatwheel_message_chen_5"	"A fulfillment of the prophecy."
"dota_chatwheel_label_chen_5"	"正如预言所料。"
"[english]dota_chatwheel_label_chen_5"	"A fulfillment of the prophecy."
"dota_chatwheel_message_spectre_laugh"	"哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_spectre_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_spectre_laugh"	"大笑"
"[english]dota_chatwheel_label_spectre_laugh"	"Laugh"
"dota_chatwheel_message_spectre_thank"	"我一直在你身边。"
"[english]dota_chatwheel_message_spectre_thank"	"I'll stand by you."
"dota_chatwheel_label_spectre_thank"	"我一直在你身边。"
"[english]dota_chatwheel_label_spectre_thank"	"I'll stand by you."
"dota_chatwheel_message_spectre_deny"	"肯定哪里出错了。"
"[english]dota_chatwheel_message_spectre_deny"	"This is all wrong."
"dota_chatwheel_label_spectre_deny"	"肯定哪里出错了。"
"[english]dota_chatwheel_label_spectre_deny"	"This is all wrong."
"dota_chatwheel_message_spectre_1"	"这个还比较有用。"
"[english]dota_chatwheel_message_spectre_1"	"A useful skill."
"dota_chatwheel_label_spectre_1"	"这个还比较有用。"
"[english]dota_chatwheel_label_spectre_1"	"A useful skill."
"dota_chatwheel_message_spectre_2"	"毫无意义。"
"[english]dota_chatwheel_message_spectre_2"	"Nonsense."
"dota_chatwheel_label_spectre_2"	"毫无意义。"
